@relation 'Slow Body-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-Nnormal:normal, tcpFlood:attack, udpFlood:attack, httpFlood:attack, slowBody:attack, slowHeaders:attack, slowRead:attack'

@attribute duration numeric
@attribute protocol_type {tcp,icmp,udp}
@attribute flag {SF,S0,REJ,RSTR,SH,RSTO,S1,RSTOS0,S3,S2,OTH}
@attribute src_bytes numeric
@attribute dst_bytes numeric
@attribute wrong_fragment numeric
@attribute urgent numeric
@attribute count numeric
@attribute srv_count numeric
@attribute serror_rate numeric
@attribute srv_serror_rate numeric
@attribute rerror_rate numeric
@attribute srv_rerror_rate numeric
@attribute same_srv_rate numeric
@attribute diff_srv_rate numeric
@attribute srv_diff_host_rate numeric
@attribute dst_host_count numeric
@attribute dst_host_srv_count numeric
@attribute dst_host_same_srv_rate numeric
@attribute dst_host_diff_srv_rate numeric
@attribute dst_host_same_src_port_rate numeric
@attribute dst_host_srv_diff_host_rate numeric
@attribute dst_host_serror_rate numeric
@attribute dst_host_srv_serror_rate numeric
@attribute dst_host_rerror_rate numeric
@attribute dst_host_srv_rerror_rate numeric
@attribute isAttack {neptune,smurf,pod,back,land,attack,slowHeaders,slowRead,tcpFlood,udpFlood,httpFlood}

@data
0,tcp,OTH,66,0,0,0,96,96,0,0,0,0,1,0,0,50,50,1,0,0.98,0,0,0,0,0,attack
0,tcp,OTH,554,0,0,0,284,251,0,0,0,0,0.88,0.12,0,24,8,0.33,0.67,0.89,0,0,0,0,0,attack
0,tcp,OTH,66,0,0,0,25,25,0,0,0,0,1,0,0,46,46,1,0,0.98,0,0,0,0,0,attack
15,tcp,S1,370,0,0,0,46,46,0.98,0.98,0,0,1,0,0,100,100,1,0,0,0,0.79,0.79,0,0,attack
15,tcp,S1,370,0,0,0,282,282,0.27,0.27,0,0,1,0,0,100,100,1,0,0,0,0.77,0.77,0,0,attack
0,tcp,OTH,165,0,0,0,247,247,0,0,0,0,1,0,0,100,100,1,0,0,0,0,0,0,0,attack
7,tcp,S1,296,0,0,0,492,492,1,1,0,0,1,0,0,100,100,1,0,0,0,1,1,0,0,attack
0,tcp,OTH,120,0,0,0,183,183,0,0,0,0,1,0,0,50,50,1,0,0,0,0,0,0,0,attack
7,tcp,S1,296,0,0,0,193,193,1,1,0,0,1,0,0,100,100,1,0,0,0,1,1,0,0,attack
0,tcp,OTH,66,0,0,0,371,371,0,0,0,0,1,0,0,89,89,1,0,0,0,0,0,0,0,attack
0,tcp,S1,665,140,0,0,478,477,0.99,1,0,0,1,0,0,94,94,1,0,0,0,0.99,0.99,0,0,attack
0,tcp,OTH,66,0,0,0,546,546,0,0,0,0,1,0,0,85,85,1,0,0,0,0,0,0,0,attack
10,tcp,S1,639,206,0,0,92,91,0.98,0.99,0,0,0.99,0.01,0,92,91,0.99,0.01,0,0,0.98,0.99,0,0,attack
15,tcp,S1,370,0,0,0,475,474,0.47,0.47,0,0,1,0,0,100,100,1,0,0,0,0.71,0.71,0,0,attack
29,tcp,RSTO,1170,1024,0,0,379,378,0.4,0.4,0,0,1,0,0,100,100,1,0,0,0,0.8,0.8,0,0,attack
0,tcp,OTH,66,0,0,0,351,351,0,0,0,0,1,0,0,81,81,1,0,0,0,0,0,0,0,attack
0,tcp,OTH,60,0,0,0,826,826,0,0,0,0,1,0,0,47,47,1,0,0,0,0,0,0,0,attack
0,tcp,OTH,66,0,0,0,869,869,0,0,0,0,1,0,0,53,53,1,0,0.98,0,0,0,0,0,attack
0,tcp,OTH,105,0,0,0,25,25,0,0,0,0,1,0,0,54,54,1,0,0,0,0,0,0,0,attack
3,tcp,S1,222,0,0,0,667,667,1,1,0,0,1,0,0,100,100,1,0,0,0,1,1,0,0,attack
0,tcp,OTH,60,0,0,0,1079,1079,0,0,0,0,1,0,0,44,44,1,0,0,0,0,0,0,0,attack
3,tcp,S1,222,0,0,0,457,457,1,1,0,0,1,0,0,100,100,1,0,0,0,1,1,0,0,attack
7,tcp,S1,296,0,0,0,728,728,0.62,0.62,0,0,1,0,0,100,100,1,0,0,0,1,1,0,0,attack
0,tcp,OTH,60,0,0,0,661,661,0,0,0,0,1,0,0,73,73,1,0,0,0,0,0,0,0,attack
10,tcp,S1,744,206,0,0,169,168,0.92,0.93,0,0,0.99,0.01,0,100,100,1,0,0,0,1,1,0,0,attack
0,tcp,OTH,66,0,0,0,681,681,0,0,0,0,1,0,0,60,60,1,0,0.98,0,0,0,0,0,attack
7,tcp,S1,296,0,0,0,19,19,1,1,0,0,1,0,0,100,100,1,0,0,0,1,1,0,0,attack
15,tcp,S1,370,0,0,0,269,268,0.23,0.24,0,0,1,0,0,100,100,1,0,0,0,0.63,0.63,0,0,attack
7,tcp,S1,296,0,0,0,343,343,1,1,0,0,1,0,0,100,100,1,0,0,0,1,1,0,0,attack
0,tcp,OTH,60,0,0,0,1142,1142,0,0,0,0,1,0,0,57,57,1,0,0.12,0,0,0,0,0,attack
0,tcp,OTH,66,0,0,0,749,716,0,0,0,0,0.96,0.04,0,69,69,1,0,0.99,0,0,0,0,0,attack
0,tcp,OTH,66,0,0,0,157,157,0,0,0,0,1,0,0,50,50,1,0,0.98,0,0,0,0,0,attack
7,tcp,S1,296,0,0,0,7,7,1,1,0,0,1,0,0,8,8,1,0,0,0,1,1,0,0,attack
30,tcp,RSTO,1157,958,0,0,38,37,0,0,0,0,0.97,0.03,0,63,62,0.98,0.02,0,0,0,0,0,0,attack
29,tcp,RSTO,5661,838,0,0,392,391,0.39,0.39,0,0,1,0,0,100,100,1,0,0,0,0.67,0.67,0,0,attack
0,tcp,S1,548,140,0,0,506,505,0.99,0.99,0,0,1,0,0,89,89,1,0,0,0,0.99,0.99,0,0,attack
3,tcp,S1,222,0,0,0,579,579,1,1,0,0,1,0,0,100,100,1,0,0,0,1,1,0,0,attack
0,tcp,OTH,66,0,0,0,256,15,0,0,0,0,0.06,0.94,0,50,15,0.3,0.7,0.94,0,0,0,0,0,attack
7,tcp,S1,296,0,0,0,458,458,1,1,0,0,1,0,0,100,100,1,0,0,0,1,1,0,0,attack
7,tcp,S1,296,0,0,0,370,370,1,1,0,0,1,0,0,100,100,1,0,0,0,1,1,0,0,attack
0,tcp,OTH,66,0,0,0,324,324,0,0,0,0,1,0,0,70,70,1,0,0,0,0,0,0,0,attack
0,tcp,OTH,60,0,0,0,1103,1103,0,0,0,0,1,0,0,51,51,1,0,0,0,0,0,0,0,attack
