@relation 'Slow Read-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-Nnormal:normal, tcpFlood:attack, udpFlood:attack, httpFlood:attack, slowBody:attack, slowHeaders:attack, slowRead:attack'

@attribute duration numeric
@attribute protocol_type {tcp,icmp,udp}
@attribute flag {SF,S0,REJ,RSTR,SH,RSTO,S1,RSTOS0,S3,S2,OTH}
@attribute src_bytes numeric
@attribute dst_bytes numeric
@attribute wrong_fragment numeric
@attribute urgent numeric
@attribute count numeric
@attribute srv_count numeric
@attribute serror_rate numeric
@attribute srv_serror_rate numeric
@attribute rerror_rate numeric
@attribute srv_rerror_rate numeric
@attribute same_srv_rate numeric
@attribute diff_srv_rate numeric
@attribute srv_diff_host_rate numeric
@attribute dst_host_count numeric
@attribute dst_host_srv_count numeric
@attribute dst_host_same_srv_rate numeric
@attribute dst_host_diff_srv_rate numeric
@attribute dst_host_same_src_port_rate numeric
@attribute dst_host_srv_diff_host_rate numeric
@attribute dst_host_serror_rate numeric
@attribute dst_host_srv_serror_rate numeric
@attribute dst_host_rerror_rate numeric
@attribute dst_host_srv_rerror_rate numeric
@attribute isAttack {neptune,smurf,pod,back,land,attack,slowHeaders,slowRead,tcpFlood,udpFlood,httpFlood}

@data
0,tcp,OTH,66,0,0,0,637,637,0,0,0,0,1,0,0,76,76,1,0,0.99,0,0,0,0,0,attack
0,tcp,OTH,60,0,0,0,1057,1057,0,0,0,0,1,0,0,50,50,1,0,0,0,0,0,0,0,attack
0,tcp,OTH,66,0,0,0,157,157,0,0,0,0,1,0,0,50,50,1,0,0.98,0,0,0,0,0,attack
30,tcp,RSTO,1144,1886,0,0,71,71,0,0,0,0,1,0,0,75,75,1,0,0,0,0,0,0,0,attack
0,tcp,OTH,66,0,0,0,225,225,0,0,0,0,1,0,0,50,50,1,0,0.98,0,0,0,0,0,attack
30,tcp,RSTO,4252,689,0,0,557,556,0.56,0.56,0,0,1,0,0,100,100,1,0,0,0,1,1,0,0,attack
28,tcp,S1,1011,338,0,0,375,374,1,1,0,0,1,0,0,100,100,1,0,0,0,1,1,0,0,attack
0,tcp,S1,74,0,0,0,841,840,0.99,0.99,0,0,1,0,0,100,100,1,0,0,0,1,1,0,0,attack
0,tcp,OTH,94,0,0,0,239,239,0,0,0,0,1,0,0,50,50,1,0,0,0,0,0,0,0,attack
0,tcp,OTH,66,0,0,0,436,436,0,0,0,0,1,0,0,84,84,1,0,0,0,0,0,0,0,attack
0,tcp,OTH,60,0,0,0,823,823,0,0,0,0,1,0,0,47,47,1,0,0.02,0,0,0,0,0,attack
0,tcp,OTH,105,0,0,0,145,145,0,0,0,0,1,0,0,50,50,1,0,0,0,0,0,0,0,attack
0,tcp,OTH,66,0,0,0,226,226,0,0,0,0,1,0,0,50,50,1,0,0.98,0,0,0,0,0,attack
0,tcp,OTH,66,0,0,0,5,5,0,0,0,0,1,0,0,26,26,1,0,0.96,0,0,0,0,0,attack
0,tcp,OTH,60,0,0,0,668,668,0,0,0,0,1,0,0,62,62,1,0,0.02,0,0,0,0,0,attack
0,tcp,OTH,66,0,0,0,384,384,0,0,0,0,1,0,0,84,84,1,0,0,0,0,0,0,0,attack
0,tcp,OTH,554,0,0,0,454,454,0,0,0,0,1,0,0,55,55,1,0,0.98,0,0,0,0,0,attack
0,tcp,OTH,66,0,0,0,802,802,0,0,0,0,1,0,0,50,50,1,0,0.98,0,0,0,0,0,attack
0,tcp,OTH,60,0,0,0,710,710,0,0,0,0,1,0,0,47,47,1,0,0.02,0,0,0,0,0,attack
0,tcp,OTH,74,0,0,0,655,655,0,0,0,0,1,0,0,44,44,1,0,0.98,0,0,0,0,0,attack
0,tcp,OTH,60,0,0,0,830,830,0,0,0,0,1,0,0,48,48,1,0,0,0,0,0,0,0,attack
0,tcp,OTH,66,0,0,0,907,907,0,0,0,0,1,0,0,51,51,1,0,0.98,0,0,0,0,0,attack
30,tcp,RSTO,1144,1886,0,0,35,35,0,0,0,0,1,0,0,39,39,1,0,0,0,0,0,0,0,attack
0,tcp,OTH,66,0,0,0,822,822,0,0,0,0,1,0,0,61,61,1,0,0.98,0,0,0,0,0,attack
