@relation highrate-weka.filters.unsupervised.attribute.Remove-R7-weka.filters.unsupervised.instance.Randomize-S11

@attribute duration numeric
@attribute protocol_type {tcp,icmp,udp}
@attribute service {aol,auth,bgp,courier,csnet_ns,ctf,daytime,discard,domain,domain_u,echo,eco_i,ecr_i,efs,exec,finger,ftp,ftp_data,gopher,harvest,hostnames,http,http_2784,http_443,http_8001,imap4,IRC,iso_tsap,klogin,kshell,ldap,link,login,mtp,name,netbios_dgm,netbios_ns,netbios_ssn,netstat,nnsp,nntp,ntp_u,other,pm_dump,pop_2,pop_3,printer,private,red_i,remote_job,rje,shell,smtp,sql_net,ssh,sunrpc,supdup,systat,telnet,tftp_u,tim_i,time,urh_i,urp_i,uucp,uucp_path,vmnet,whois,X11,Z39_50}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute dst_bytes numeric
@attribute wrong_fragment numeric
@attribute urgent numeric
@attribute count numeric
@attribute srv_count numeric
@attribute serror_rate numeric
@attribute srv_serror_rate numeric
@attribute rerror_rate numeric
@attribute srv_rerror_rate numeric
@attribute same_srv_rate numeric
@attribute diff_srv_rate numeric
@attribute srv_diff_host_rate numeric
@attribute dst_host_count numeric
@attribute dst_host_srv_count numeric
@attribute dst_host_same_srv_rate numeric
@attribute dst_host_diff_srv_rate numeric
@attribute dst_host_same_src_port_rate numeric
@attribute dst_host_srv_diff_host_rate numeric
@attribute dst_host_serror_rate numeric
@attribute dst_host_srv_serror_rate numeric
@attribute dst_host_rerror_rate numeric
@attribute dst_host_srv_rerror_rate numeric
@attribute isAttack {slowBody,slowHeaders,slowRead,tcpFlood,udpFlood,httpFlood}

@data
9,udp,other,SF,337662,0,0,0,360,360,0,0,0,0,1,0,0,69,69,1,0,0,0,0,0,0,0,udpFlood
0,udp,other,OTH,1464,0,0,0,239,239,0,0,0,0,1,0,0,66,66,1,0,0.99,0,0,0,0,0,udpFlood
0,udp,other,OTH,1464,0,0,0,359,359,0,0,0,0,1,0,0,67,67,1,0,0.99,0,0,0,0,0,udpFlood
0,udp,other,OTH,1464,0,0,0,304,304,0,0,0,0,1,0,0,67,67,1,0,0.99,0,0,0,0,0,udpFlood
0,udp,http,OTH,60,0,0,0,114,114,0,0,0,0,1,0,0,33,33,1,0,0.97,0,0,0,0,0,udpFlood
0,udp,other,OTH,1464,0,0,0,178,178,0,0,0,0,1,0,0,57,57,1,0,0.98,0,0,0,0,0,udpFlood
0,udp,http,OTH,60,0,0,0,112,112,0,0,0,0,1,0,0,33,33,1,0,0.97,0,0,0,0,0,udpFlood
0,udp,other,OTH,1514,0,0,0,159,159,0,0,0,0,1,0,0,60,60,1,0,0.98,0,0,0,0,0,udpFlood
0,udp,http,OTH,60,0,0,0,110,110,0,0,0,0,1,0,0,33,33,1,0,0.97,0,0,0,0,0,udpFlood
0,udp,other,OTH,1514,0,0,0,289,289,0,0,0,0,1,0,0,68,68,1,0,0.99,0,0,0,0,0,udpFlood
0,udp,other,OTH,1464,0,0,0,186,186,0,0,0,0,1,0,0,66,66,1,0,0.99,0,0,0,0,0,udpFlood
0,udp,http,OTH,60,0,0,0,144,144,0,0,0,0,1,0,0,33,33,1,0,0.97,0,0,0,0,0,udpFlood
0,udp,http,OTH,60,0,0,0,109,109,0,0,0,0,1,0,0,33,33,1,0,0.97,0,0,0,0,0,udpFlood
