@relation 'normal-weka.filters.unsupervised.attribute.Remove-R1,3,5,2,4-weka.filters.unsupervised.instance.Randomize-S22-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack'

@attribute duration numeric
@attribute cof {N/A,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127}
@attribute total_f_packets numeric
@attribute total_b_packets numeric
@attribute total_f_bytes numeric
@attribute total_b_bytes numeric
@attribute pps_f numeric
@attribute pps_b numeric
@attribute bps_f numeric
@attribute bps_b numeric
@attribute rfb_packets numeric
@attribute rfb_bytes numeric
@attribute min_f_pkt numeric
@attribute mean_f_pkt numeric
@attribute max_f_pkt numeric
@attribute std_f_pkt numeric
@attribute min_b_pkt numeric
@attribute mean_b_pkt numeric
@attribute max_b_pkt numeric
@attribute std_b_pkt numeric
@attribute min_f_time numeric
@attribute mean_f_time numeric
@attribute max_f_time numeric
@attribute std_f_time numeric
@attribute min_b_time numeric
@attribute mean_b_time numeric
@attribute max_b_time numeric
@attribute std_b_time numeric
@attribute psh_f_cnt numeric
@attribute urg_f_cnt numeric
@attribute psh_b_cnt numeric
@attribute urg_b_cnt numeric
@attribute isAttack {normal,slowHeaders,slowRead,tcpFlood,udpFlood,httpFlood}

@data
0.00496,31,13,5,897,11844,2621.061962,1254.727773,180853.275393,2972199.148977,2.6,0.075735,46,69,307,68.827544,52,2368.8,7292,2979.286787,0.000002,0.000413,0.00265,0.000788,0.000462,0.000996,0.001199,0.000309,1,0,1,0,normal
50.010421,27,14,7,938,13388,0.279942,0.149042,18.756097,285.053119,2,0.070063,52,67,226,44.289631,52,1912.571429,7292,2647.37276,0.000002,3.846954,41.03836,10.822136,0.001062,7.827781,41.134911,14.999777,1,0,2,0,normal
0.003451,27,13,6,800,11915,3791.790821,1744.235098,233340.973574,3463760.199612,2.166667,0.067142,52,61.538462,168,30.806132,52,1985.833333,7292,2856.146029,0.000002,0.000286,0.00177,0.000518,0.000071,0.000688,0.002087,0.00076,1,0,1,0,normal
0.004182,27,14,6,852,11915,3347.791106,1446.062403,203737.001596,2871638.922025,2.333333,0.071507,52,60.857143,168,29.786999,52,1985.833333,7292,2856.146029,0.000001,0.000322,0.001661,0.000541,0.000009,0.00083,0.001812,0.000804,1,0,1,0,normal
0.009476,27,13,6,800,11915,1387.181723,637.335359,85365.02913,1265641.801145,2.166667,0.067142,52,61.538462,168,30.806132,52,1985.833333,7292,2856.146029,0.000025,0.000781,0.003536,0.000943,0.000743,0.001883,0.004504,0.001358,1,0,1,0,normal
0.005837,27,13,6,800,11915,2246.454845,1032.910195,138243.375082,2051187.496306,2.166667,0.067142,52,61.538462,168,30.806132,52,1985.833333,7292,2856.146029,0.000011,0.000482,0.002656,0.00072,0.000329,0.001162,0.002841,0.000927,1,0,1,0,normal
0.005411,27,14,6,852,11915,2587.251322,1159.875743,157452.723299,2303319.913352,2.333333,0.071507,52,60.857143,168,29.786999,52,1985.833333,7292,2856.146029,0.000002,0.000416,0.002701,0.000709,0.000425,0.001035,0.00181,0.000479,1,0,1,0,normal
0.004258,27,13,6,800,11915,3087.889455,1426.472282,190023.966474,2832736.206779,2.166667,0.067142,52,61.538462,168,30.806132,52,1985.833333,7292,2856.146029,0.000003,0.000351,0.00228,0.00062,0.000318,0.000841,0.001978,0.000603,1,0,1,0,normal
0.008099,27,14,6,852,11915,1728.540696,841.216205,105194.0481,1670515.181174,2.333333,0.071507,52,60.857143,168,29.786999,52,1985.833333,7292,2856.146029,0.000002,0.000623,0.003679,0.00099,0.000461,0.001427,0.001762,0.000486,1,0,1,0,normal
0.003715,27,13,6,800,11915,3525.992757,1622.240959,216984.169684,3221500.171469,2.166667,0.067142,52,61.538462,168,30.806132,52,1985.833333,7292,2856.146029,0.000002,0.000307,0.001609,0.000478,0.000129,0.00074,0.002037,0.000707,1,0,1,0,normal
0.0066,27,13,6,800,11915,1976.508935,912.301033,121631.3191,1811677.801704,2.166667,0.067142,52,61.538462,168,30.806132,52,1985.833333,7292,2856.146029,0.000017,0.000548,0.002325,0.000625,0.000305,0.001315,0.003551,0.001232,1,0,1,0,normal
9.518374,27,14,7,1107,13388,1.470842,1.080797,116.301598,2067.100606,2,0.082686,52,79.071429,395,87.719084,52,1912.571429,5844,2531.050085,0.000002,0.732181,4.942204,1.352306,0.000002,1.079451,4.987613,1.786213,1,0,2,0,normal
