@relation 'normal-weka.filters.unsupervised.attribute.Remove-R1,3,5,2,4-weka.filters.unsupervised.instance.Randomize-S22-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack'

@attribute duration numeric
@attribute cof {N/A,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127}
@attribute total_f_packets numeric
@attribute total_b_packets numeric
@attribute total_f_bytes numeric
@attribute total_b_bytes numeric
@attribute pps_f numeric
@attribute pps_b numeric
@attribute bps_f numeric
@attribute bps_b numeric
@attribute rfb_packets numeric
@attribute rfb_bytes numeric
@attribute min_f_pkt numeric
@attribute mean_f_pkt numeric
@attribute max_f_pkt numeric
@attribute std_f_pkt numeric
@attribute min_b_pkt numeric
@attribute mean_b_pkt numeric
@attribute max_b_pkt numeric
@attribute std_b_pkt numeric
@attribute min_f_time numeric
@attribute mean_f_time numeric
@attribute max_f_time numeric
@attribute std_f_time numeric
@attribute min_b_time numeric
@attribute mean_b_time numeric
@attribute max_b_time numeric
@attribute std_b_time numeric
@attribute psh_f_cnt numeric
@attribute urg_f_cnt numeric
@attribute psh_b_cnt numeric
@attribute urg_b_cnt numeric
@attribute isAttack {normal,slowHeaders,slowRead,tcpFlood,udpFlood,httpFlood}

@data
60.90186,31,12,10,1109,1011,0.197038,0.164201,18.209625,16.600769,1.2,1.096934,46,92.416667,306,68.482916,52,101.1,535,144.652999,0.000009,5.536533,10.129762,4.879029,0.000002,6.766755,10.129627,4.557518,7,0,1,0,normal
60.763776,31,15,10,1240,1011,0.246858,0.186629,20.406895,18.868239,1.5,1.226508,46,82.666667,224,43.655724,52,101.1,535,144.652999,0.000003,4.34027,10.056582,4.396151,0,5.953567,10.056584,4.632112,7,0,1,0,normal
0.032375,31,13,7,837,11948,401.543195,257.909223,25853.204174,440214.19893,1.857143,0.070054,46,64.384615,247,52.876545,52,1706.857143,2948,1430.84345,0.000002,0.002698,0.020012,0.005341,0.000021,0.004524,0.022436,0.00809,1,0,1,0,normal
60.721594,31,14,10,1291,1011,0.23056,0.173343,21.26097,17.524966,1.4,1.276954,46,92.214286,393,85.581355,52,101.1,535,144.652999,0.000174,4.670892,10.000468,4.533284,0.000212,6.409903,10.000468,4.421163,7,0,1,0,normal
60.95713,31,12,10,1067,1011,0.19686,0.164053,17.504105,16.585797,1.2,1.055391,46,88.916667,305,67.638079,52,101.1,535,144.652999,0.000016,5.541557,10.001669,4.882906,0.000012,6.772863,10.001675,4.560999,7,0,1,0,normal
61.101551,31,12,10,1041,1011,0.196394,0.163682,17.037211,16.548281,1.2,1.029674,46,86.75,224,46.710322,52,101.1,535,144.652999,0.000002,5.554686,10.054445,4.905742,0,6.788218,10.054433,4.58778,7,0,1,0,normal
31.563527,2,6,0,360,0,0.190093,0,11.40557,0,0,0,60,60,60,0,0,0,0,0,1.003295,6.312705,16.124993,5.492359,0,0,0,0,0,0,-1,-1,normal
61.058996,31,14,10,1196,1011,0.229286,0.172359,19.587613,17.425509,1.4,1.182987,46,85.428571,305,63.244101,52,101.1,535,144.652999,0.000003,4.696846,10.064958,4.556669,0.000002,6.446488,10.064965,4.442144,7,0,1,0,normal
0.006891,31,13,5,898,11844,1886.51531,1059.435211,130314.672941,2509590.127608,2.6,0.075819,46,69.076923,308,69.093539,52,2368.8,7292,2979.286787,0.000002,0.000574,0.00284,0.000835,0.000578,0.00118,0.001652,0.000434,1,0,1,0,normal
60.756412,31,14,10,1181,1011,0.230428,0.173243,19.438277,17.514827,1.4,1.16815,46,84.357143,305,63.077738,52,101.1,535,144.652999,0.000017,4.67357,10.004282,4.534064,0.000001,6.413614,10.004285,4.420939,7,0,1,0,normal
