@relation 'normal-weka.filters.unsupervised.attribute.Remove-R1,3,5,2,4-weka.filters.unsupervised.instance.Randomize-S22-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack'

@attribute duration numeric
@attribute cof {N/A,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127}
@attribute total_f_packets numeric
@attribute total_b_packets numeric
@attribute total_f_bytes numeric
@attribute total_b_bytes numeric
@attribute pps_f numeric
@attribute pps_b numeric
@attribute bps_f numeric
@attribute bps_b numeric
@attribute rfb_packets numeric
@attribute rfb_bytes numeric
@attribute min_f_pkt numeric
@attribute mean_f_pkt numeric
@attribute max_f_pkt numeric
@attribute std_f_pkt numeric
@attribute min_b_pkt numeric
@attribute mean_b_pkt numeric
@attribute max_b_pkt numeric
@attribute std_b_pkt numeric
@attribute min_f_time numeric
@attribute mean_f_time numeric
@attribute max_f_time numeric
@attribute std_f_time numeric
@attribute min_b_time numeric
@attribute mean_b_time numeric
@attribute max_b_time numeric
@attribute std_b_time numeric
@attribute psh_f_cnt numeric
@attribute urg_f_cnt numeric
@attribute psh_b_cnt numeric
@attribute urg_b_cnt numeric
@attribute isAttack {normal,slowHeaders,slowRead,tcpFlood,udpFlood,httpFlood}

@data
60.881001,30,13,12,1027,1784,0.213531,0.210031,16.868974,31.224543,1.083333,0.575673,52,79,395,91.246075,52,148.666667,628,214.375579,0.001138,5.073417,28.93791,8.160592,0.000254,5.194049,28.935748,8.508649,1,0,1,0,normal
60.926942,30,13,12,858,1784,0.21337,0.212191,14.08244,31.545749,1.083333,0.480942,52,66,226,46.236848,52,148.666667,628,214.375579,0.001563,5.077245,28.935866,8.1826,0.000306,5.141162,28.93394,8.539358,1,0,1,0,normal
60.822851,30,13,12,858,1784,0.213735,0.205449,14.10654,30.543375,1.083333,0.480942,52,66,226,46.236848,52,148.666667,628,214.375579,0.001648,5.068571,28.163496,7.926778,0.000001,5.309885,28.158626,8.231896,1,0,1,0,normal
60.951656,30,13,12,858,1784,0.213284,0.204171,14.07673,30.35335,1.083333,0.480942,52,66,226,46.236848,52,148.666667,628,214.375579,0.001254,5.079305,28.42309,7.985553,0.000005,5.343127,28.421823,8.296116,1,0,1,0,normal
60.693597,30,15,11,1007,1732,0.247143,0.400285,16.591536,63.026758,1.363636,0.581409,52,67.133333,247,48.198017,52,157.454545,628,221.828912,0.002261,4.335257,26.069499,7.040161,0.000005,2.748039,13.828663,4.23329,1,0,1,0,normal
60.828886,30,15,12,999,1784,0.246593,0.219269,16.423118,32.597998,1.25,0.559978,52,66.6,247,48.318113,52,148.666667,628,214.375579,0.000832,4.34492,27.647555,7.379089,0.000186,4.975208,27.650214,8.197976,1,0,1,0,normal
60.829776,30,15,12,999,1784,0.24659,0.21925,16.422878,32.595103,1.25,0.559978,52,66.6,247,48.318113,52,148.666667,628,214.375579,0.000314,4.344984,27.648358,7.378815,0.000003,4.97565,27.650923,8.197911,1,0,1,0,normal
60.850093,30,15,11,986,1732,0.246507,0.398135,16.203755,62.688232,1.363636,0.569284,52,65.733333,226,42.975135,52,157.454545,628,221.828912,0.000005,4.346435,26.136298,7.054032,0.000004,2.762879,13.831814,4.237428,1,0,1,0,normal
60.795656,30,13,12,1027,1784,0.213831,0.203049,16.892654,30.186609,1.083333,0.575673,52,79,395,91.246075,52,148.666667,628,214.375579,0.001214,5.066305,28.926178,8.137993,0.002592,5.372641,28.924889,8.429122,1,0,1,0,normal
60.58661,30,15,11,1007,1732,0.247579,0.398248,16.620834,62.70598,1.363636,0.581409,52,67.133333,247,48.198017,52,157.454545,628,221.828912,0.000966,4.327615,25.860742,6.991683,0,2.762097,13.809454,4.232056,1,0,1,0,normal
60.786038,30,15,12,999,1784,0.246767,0.219316,16.434695,32.604977,1.25,0.559978,52,66.6,247,48.318113,52,148.666667,628,214.375579,0.001035,4.34186,27.385626,7.318023,0,4.974143,27.389321,8.127711,1,0,1,0,normal
60.561631,30,14,12,939,1784,0.231169,0.204919,15.504866,30.464657,1.166667,0.526345,52,67.071429,247,49.98066,52,148.666667,628,214.375579,0.001536,4.658587,28.916806,7.926875,0.000003,5.323606,28.923011,8.446413,1,0,1,0,normal
