@relation 'normal-weka.filters.unsupervised.attribute.Remove-R1,3,5,2,4-weka.filters.unsupervised.instance.Randomize-S22-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack'

@attribute duration numeric
@attribute cof {N/A,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127}
@attribute total_f_packets numeric
@attribute total_b_packets numeric
@attribute total_f_bytes numeric
@attribute total_b_bytes numeric
@attribute pps_f numeric
@attribute pps_b numeric
@attribute bps_f numeric
@attribute bps_b numeric
@attribute rfb_packets numeric
@attribute rfb_bytes numeric
@attribute min_f_pkt numeric
@attribute mean_f_pkt numeric
@attribute max_f_pkt numeric
@attribute std_f_pkt numeric
@attribute min_b_pkt numeric
@attribute mean_b_pkt numeric
@attribute max_b_pkt numeric
@attribute std_b_pkt numeric
@attribute min_f_time numeric
@attribute mean_f_time numeric
@attribute max_f_time numeric
@attribute std_f_time numeric
@attribute min_b_time numeric
@attribute mean_b_time numeric
@attribute max_b_time numeric
@attribute std_b_time numeric
@attribute psh_f_cnt numeric
@attribute urg_f_cnt numeric
@attribute psh_b_cnt numeric
@attribute urg_b_cnt numeric
@attribute isAttack {normal,slowHeaders,slowRead,tcpFlood,udpFlood,httpFlood}

@data
3.35415,N/A,1247,0,57362,0,371.778265,0,17101.800189,0,0,0,46,46,46,0,0,0,0,0,0.000349,0.002692,0.025079,0.002327,0,0,0,0,-1,-1,-1,-1,normal
5.74111,N/A,3774,0,173604,0,657.364186,0,30238.75254,0,0,0,46,46,46,0,0,0,0,0,0.00001,0.001522,0.013041,0.000865,0,0,0,0,-1,-1,-1,-1,normal
0.813909,N/A,443,0,20378,0,544.287015,0,25037.202712,0,0,0,46,46,46,0,0,0,0,0,0.000646,0.001841,0.012418,0.001329,0,0,0,0,-1,-1,-1,-1,normal
5.96171,N/A,3823,0,175858,0,641.25897,0,29497.912629,0,0,0,46,46,46,0,0,0,0,0,0.000001,0.00156,0.011289,0.000968,0,0,0,0,-1,-1,-1,-1,normal
3.356962,N/A,1513,0,69598,0,450.705072,0,20732.433322,0,0,0,46,46,46,0,0,0,0,0,0.000267,0.00222,0.020738,0.001821,0,0,0,0,-1,-1,-1,-1,normal
4.20707,N/A,2796,0,128616,0,664.595494,0,30571.392746,0,0,0,46,46,46,0,0,0,0,0,0.000037,0.001505,0.043552,0.001007,0,0,0,0,-1,-1,-1,-1,normal
3.359621,N/A,1887,0,86802,0,561.67053,0,25836.84437,0,0,0,46,46,46,0,0,0,0,0,0.000374,0.001781,0.017155,0.0011,0,0,0,0,-1,-1,-1,-1,normal
3.350678,N/A,1623,0,74658,0,484.379584,0,22281.460867,0,0,0,46,46,46,0,0,0,0,0,0.000353,0.002066,0.01439,0.001565,0,0,0,0,-1,-1,-1,-1,normal
3.358449,N/A,1879,0,86434,0,559.484535,0,25736.288605,0,0,0,46,46,46,0,0,0,0,0,0.000337,0.001788,0.01034,0.001216,0,0,0,0,-1,-1,-1,-1,normal
3.360616,N/A,1853,0,85238,0,551.387013,0,25363.802587,0,0,0,46,46,46,0,0,0,0,0,0.000628,0.001815,0.015846,0.001361,0,0,0,0,-1,-1,-1,-1,normal
