@relation 'httpFlood-weka.filters.unsupervised.attribute.Remove-R1,3,5,2,4-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-Nnormal:NORMAL, tcpFlood:HIGH_RATE, udpFlood:HIGH_RATE, httpFlood:HIGH_RATE, slowHeaders:LOW_RATE, slowRead:LOW_RATE'

@attribute duration numeric
@attribute cof {N/A,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127}
@attribute total_f_packets numeric
@attribute total_b_packets numeric
@attribute total_f_bytes numeric
@attribute total_b_bytes numeric
@attribute pps_f numeric
@attribute pps_b numeric
@attribute bps_f numeric
@attribute bps_b numeric
@attribute rfb_packets numeric
@attribute rfb_bytes numeric
@attribute min_f_pkt numeric
@attribute mean_f_pkt numeric
@attribute max_f_pkt numeric
@attribute std_f_pkt numeric
@attribute min_b_pkt numeric
@attribute mean_b_pkt numeric
@attribute max_b_pkt numeric
@attribute std_b_pkt numeric
@attribute min_f_time numeric
@attribute mean_f_time numeric
@attribute max_f_time numeric
@attribute std_f_time numeric
@attribute min_b_time numeric
@attribute mean_b_time numeric
@attribute max_b_time numeric
@attribute std_b_time numeric
@attribute psh_f_cnt numeric
@attribute urg_f_cnt numeric
@attribute psh_b_cnt numeric
@attribute urg_b_cnt numeric
@attribute isAttack {NORMAL,LOW_RATE,slowRead,HIGH_RATE,udpFlood,httpFlood}

@data
0.0021,31,6,4,447,471,2857.155313,3736.573719,212858.070845,439981.555457,1.5,0.949045,46,74.5,191,52.312363,52,117.75,307,109.312339,0.000001,0.00042,0.001168,0.00051,0.000001,0.000357,0.000882,0.000379,1,0,1,0,HIGH_RATE
0.000285,18,1,1,60,60,0,0,0,0,1,1,60,60,60,0,60,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,HIGH_RATE
0.024148,31,6,4,447,471,248.463006,320.966042,18510.493928,37793.751487,1.5,0.949045,46,74.5,191,52.312363,52,117.75,307,109.312339,0.000003,0.00483,0.013192,0.005882,0,0.004154,0.011012,0.004885,1,0,1,0,HIGH_RATE
0.030496,31,6,4,447,471,196.746337,259.167622,14657.602126,30516.987472,1.5,0.949045,46,74.5,191,52.312363,52,117.75,307,109.312339,0.000003,0.006099,0.015177,0.007346,0,0.005145,0.015304,0.007184,1,0,1,0,HIGH_RATE
0.019876,31,6,4,447,471,301.878797,387.939418,22489.970347,45679.866442,1.5,0.949045,46,74.5,191,52.312363,52,117.75,307,109.312339,0.000003,0.003975,0.009831,0.004779,0,0.003437,0.010069,0.00469,1,0,1,0,HIGH_RATE
0.012959,31,6,4,448,471,463.007083,606.44193,34571.195555,71408.537285,1.5,0.951168,46,74.666667,192,52.683542,52,117.75,307,109.312339,0.000002,0.002592,0.007964,0.003157,0.000001,0.002199,0.004808,0.001984,1,0,1,0,HIGH_RATE
0.019018,31,6,4,441,471,315.483759,424.922524,23188.056313,50034.627156,1.5,0.936306,46,73.5,185,50.08576,52,117.75,307,109.312339,0.000002,0.003804,0.010298,0.004372,0.000136,0.003138,0.008708,0.003943,1,0,1,0,HIGH_RATE
0.031056,31,6,4,447,471,193.201317,241.589978,14393.498146,28447.219872,1.5,0.949045,46,74.5,191,52.312363,52,117.75,307,109.312339,0.000004,0.006211,0.015288,0.007146,0,0.005519,0.016448,0.007728,1,0,1,0,HIGH_RATE
0.040108,31,6,4,440,471,149.594441,164.016189,10970.258995,19312.906286,1.5,0.934183,46,73.333333,184,49.714742,52,117.75,307,109.312339,0.000001,0.008022,0.025944,0.010485,0,0.008129,0.014193,0.005975,1,0,1,0,HIGH_RATE
0.086543,31,6,5,447,535,69.329822,71.815847,5165.071719,7684.295626,1.2,0.835514,46,74.5,191,52.312363,52,107,307,100.107942,0.000055,0.017309,0.037532,0.011923,0.000002,0.017406,0.053128,0.02166,1,0,1,0,HIGH_RATE
0,2,1,0,60,0,0,0,0,0,0,0,60,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,HIGH_RATE
0.031696,31,6,4,441,471,189.297849,247.152647,13913.391935,29102.224213,1.5,0.936306,46,73.5,185,50.08576,52,117.75,307,109.312339,0.000021,0.006339,0.016045,0.007647,0.000018,0.005395,0.016109,0.007576,1,0,1,0,HIGH_RATE
