@relation 'normal-weka.filters.unsupervised.attribute.Remove-R1,3,5,2,4-weka.filters.unsupervised.instance.Randomize-S22-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack'

@attribute duration numeric
@attribute cof {N/A,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127}
@attribute total_f_packets numeric
@attribute total_b_packets numeric
@attribute total_f_bytes numeric
@attribute total_b_bytes numeric
@attribute pps_f numeric
@attribute pps_b numeric
@attribute bps_f numeric
@attribute bps_b numeric
@attribute rfb_packets numeric
@attribute rfb_bytes numeric
@attribute min_f_pkt numeric
@attribute mean_f_pkt numeric
@attribute max_f_pkt numeric
@attribute std_f_pkt numeric
@attribute min_b_pkt numeric
@attribute mean_b_pkt numeric
@attribute max_b_pkt numeric
@attribute std_b_pkt numeric
@attribute min_f_time numeric
@attribute mean_f_time numeric
@attribute max_f_time numeric
@attribute std_f_time numeric
@attribute min_b_time numeric
@attribute mean_b_time numeric
@attribute max_b_time numeric
@attribute std_b_time numeric
@attribute psh_f_cnt numeric
@attribute urg_f_cnt numeric
@attribute psh_b_cnt numeric
@attribute urg_b_cnt numeric
@attribute isAttack {normal,slowHeaders,slowRead,tcpFlood,udpFlood,httpFlood}

@data
0.010048,27,13,7,800,11967,1302.019008,700.93652,80124.246621,1198301.047294,1.857143,0.066851,52,61.538462,168,30.806132,52,1709.571429,5844,2614.845303,0.000043,0.000832,0.003927,0.001052,0.00028,0.001664,0.005579,0.0019,1,0,1,0,normal
0.008785,27,12,6,748,11915,1376.309762,687.853933,85789.975171,1365963.26901,2,0.062778,52,62.333333,168,31.935699,52,1985.833333,5844,2728.138707,0.000009,0.000793,0.003512,0.00107,0.000008,0.001745,0.004696,0.001698,1,0,1,0,normal
0.008402,27,13,6,800,11915,1560.916982,719.722702,96056.429635,1429249.332494,2.166667,0.067142,52,61.538462,168,30.806132,52,1985.833333,7292,2856.146029,0.000024,0.000694,0.003544,0.000977,0.000385,0.001667,0.004275,0.001439,1,0,1,0,normal
0.010663,27,13,7,800,11967,1227.647236,663.250909,75547.522233,1133874.804437,1.857143,0.066851,52,61.538462,168,30.806132,52,1709.571429,5844,2614.845303,0.000024,0.000882,0.004124,0.001137,0.000299,0.001759,0.005821,0.001977,1,0,1,0,normal
0.009881,27,13,6,800,11915,1325.955741,609.666747,81597.276397,1210696.549251,2.166667,0.067142,52,61.538462,168,30.806132,52,1985.833333,7292,2856.146029,0.000022,0.000817,0.00366,0.000955,0.00042,0.001968,0.005782,0.002021,1,0,1,0,normal
0.009831,27,13,6,800,11915,1353.437883,614.250037,83288.485119,1219798.197706,2.166667,0.067142,52,61.538462,168,30.806132,52,1985.833333,7292,2856.146029,0.000024,0.0008,0.003518,0.000957,0.000956,0.001954,0.004257,0.001235,1,0,1,0,normal
0.008988,27,13,6,800,11915,1457.056063,671.841102,89664.988509,1334164.455123,2.166667,0.067142,52,61.538462,168,30.806132,52,1985.833333,7292,2856.146029,0.000007,0.000744,0.004022,0.001099,0.000012,0.001786,0.004207,0.001385,1,0,1,0,normal
0.005445,27,13,6,800,11915,2400.860904,1114.271596,147745.286425,2212757.678105,2.166667,0.067142,52,61.538462,168,30.806132,52,1985.833333,7292,2856.146029,0.000004,0.000451,0.003024,0.000899,0.000503,0.001077,0.001687,0.000447,1,0,1,0,normal
0.007815,27,13,6,800,11915,1679.219981,774.213936,103336.61421,1537459.84187,2.166667,0.067142,52,61.538462,168,30.806132,52,1985.833333,7292,2856.146029,0.000022,0.000645,0.003292,0.000933,0.000425,0.00155,0.00409,0.00134,1,0,1,0,normal
0.007938,27,13,6,800,11915,1645.371073,759.608331,101253.604514,1508455.543616,2.166667,0.067142,52,61.538462,168,30.806132,52,1985.833333,7292,2856.146029,0.000006,0.000658,0.003596,0.001,0.000011,0.00158,0.003789,0.001302,1,0,1,0,normal
