@relation 'slowHeaders-weka.filters.unsupervised.attribute.Remove-R1,3-weka.filters.unsupervised.attribute.StringToNominal-R4-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-Nnormal:NORMAL, tcpFlood:HIGH_RATE, udpFlood:HIGH_RATE, httpFlood:HIGH_RATE, slowHeaders:LOW_RATE, slowRead:LOW_RATE'

@attribute src_port numeric
@attribute dst_port numeric
@attribute proto_number numeric
@attribute duration numeric
@attribute cof string
@attribute total_f_packets numeric
@attribute total_b_packets numeric
@attribute total_f_bytes numeric
@attribute total_b_bytes numeric
@attribute pps_f numeric
@attribute pps_b numeric
@attribute bps_f numeric
@attribute bps_b numeric
@attribute rfb_packets numeric
@attribute rfb_bytes numeric
@attribute min_f_pkt numeric
@attribute mean_f_pkt numeric
@attribute max_f_pkt numeric
@attribute std_f_pkt numeric
@attribute min_b_pkt numeric
@attribute mean_b_pkt numeric
@attribute max_b_pkt numeric
@attribute std_b_pkt numeric
@attribute min_f_time numeric
@attribute mean_f_time numeric
@attribute max_f_time numeric
@attribute std_f_time numeric
@attribute min_b_time numeric
@attribute mean_b_time numeric
@attribute max_b_time numeric
@attribute std_b_time numeric
@attribute psh_f_cnt numeric
@attribute urg_f_cnt numeric
@attribute psh_b_cnt numeric
@attribute urg_b_cnt numeric
@attribute isAttack {NORMAL,LOW_RATE,slowRead,HIGH_RATE,udpFlood,httpFlood}

@data
41388,80,6,31.552547,2,6,0,360,0,0.190159,0,11.409539,0,0,0,60,60,60,0,0,0,0,0,1.02126,6.310509,16.131702,5.493872,0,0,0,0,0,0,-1,-1,LOW_RATE
42768,80,6,31.417896,2,6,0,360,0,0.190974,0,11.458438,0,0,0,60,60,60,0,0,0,0,0,1.017805,6.283579,16.121333,5.501252,0,0,0,0,0,0,-1,-1,LOW_RATE
55364,80,6,31.515254,2,6,0,360,0,0.190384,0,11.42304,0,0,0,60,60,60,0,0,0,0,0,1.010796,6.303051,16.132341,5.498612,0,0,0,0,0,0,-1,-1,LOW_RATE
41420,80,6,31.502627,2,6,0,360,0,0.19046,0,11.427618,0,0,0,60,60,60,0,0,0,0,0,1.004104,6.300525,16.127734,5.498249,0,0,0,0,0,0,-1,-1,LOW_RATE
60610,80,6,60.747638,31,14,10,1256,1011,0.230462,0.173259,20.675701,17.51645,1.4,1.242334,46,89.714286,349,74.970879,52,101.1,535,144.652999,0.000003,4.672895,10.073432,4.572927,0.000001,6.413019,10.073427,4.478496,7,0,1,0,LOW_RATE
35674,80,6,7.122424,2,4,0,240,0,0.561607,0,33.696392,0,0,0,60,60,60,0,0,0,0,0,1.010739,2.374141,4.09565,1.284614,0,0,0,0,0,0,-1,-1,LOW_RATE
53850,80,6,31.613967,2,6,0,360,0,0.18979,0,11.387372,0,0,0,60,60,60,0,0,0,0,0,1.015315,6.322793,16.13531,5.491182,0,0,0,0,0,0,-1,-1,LOW_RATE
53322,80,6,61.16929,31,12,10,1031,1011,0.196177,0.163486,16.854863,16.528455,1.2,1.019782,46,85.916667,245,51.405996,52,101.1,535,144.652999,0.000006,5.560845,10.084238,4.896149,0,6.79636,10.084228,4.572089,7,0,1,0,LOW_RATE
59996,80,6,60.977267,31,12,10,1074,1011,0.196795,0.164002,17.613121,16.580558,1.2,1.062315,46,89.5,349,79.618361,52,101.1,535,144.652999,0.000008,5.543388,10.048258,4.925973,0.000001,6.775003,10.048259,4.61679,7,0,1,0,LOW_RATE
55086,80,6,31.529944,2,6,0,360,0,0.190295,0,11.417718,0,0,0,60,60,60,0,0,0,0,0,1.028093,6.305989,16.130363,5.494599,0,0,0,0,0,0,-1,-1,LOW_RATE
58262,80,6,31.550464,2,6,0,360,0,0.190172,0,11.410292,0,0,0,60,60,60,0,0,0,0,0,1.012571,6.310093,16.136624,5.497048,0,0,0,0,0,0,-1,-1,LOW_RATE
44378,80,6,3.585559,27,15,5,978,11844,4.183448,9.017577,272.760788,21360.835842,3,0.082573,52,65.2,226,43.092459,52,2368.8,7292,2979.286787,0.000001,0.256111,2.016197,0.565726,0.000388,0.138618,0.548722,0.236776,1,0,1,0,LOW_RATE
55490,80,6,60.816839,31,19,10,2187,1011,0.312413,0.186711,35.960435,18.876475,1.9,2.163205,46,115.105263,245,79.228447,52,101.1,535,144.652999,0.000002,3.378713,10.03954,4.163561,0.000006,5.95097,10.039536,4.44285,11,0,1,0,LOW_RATE
55092,80,6,31.520646,2,6,0,360,0,0.190351,0,11.421086,0,0,0,60,60,60,0,0,0,0,0,1.018411,6.304129,16.130002,5.496295,0,0,0,0,0,0,-1,-1,LOW_RATE
40582,80,6,60.992843,30,13,12,858,1784,0.21314,0.208443,14.067224,30.988514,1.083333,0.480942,52,66,226,46.236848,52,148.666667,628,214.375579,0.001651,5.082737,28.16643,7.931482,0.00019,5.233611,28.162838,8.262598,1,0,1,0,LOW_RATE
43478,80,6,61.010474,31,12,10,978,1011,0.196688,0.163942,16.030034,16.574523,1.2,0.967359,46,81.5,224,45.937457,52,101.1,535,144.652999,0.00024,5.546407,10.060319,4.903332,0.000001,6.77747,10.060321,4.588063,7,0,1,0,LOW_RATE
56240,80,6,31.557772,2,6,0,360,0,0.190127,0,11.407649,0,0,0,60,60,60,0,0,0,0,0,1.02007,6.311554,16.138409,5.496159,0,0,0,0,0,0,-1,-1,LOW_RATE
60096,80,6,60.853735,31,12,10,1168,1011,0.197194,0.164332,19.193563,16.613971,1.2,1.155292,46,97.333333,349,79.011954,52,101.1,535,144.652999,0.000003,5.532158,10.048368,4.912486,0.000001,6.761378,10.048368,4.603123,7,0,1,0,LOW_RATE
36942,80,6,31.51878,2,6,0,360,0,0.190363,0,11.421762,0,0,0,60,60,60,0,0,0,0,0,1.019572,6.303756,16.130702,5.496127,0,0,0,0,0,0,-1,-1,LOW_RATE
37304,80,6,31.421209,2,6,0,360,0,0.190954,0,11.457229,0,0,0,60,60,60,0,0,0,0,0,1.018966,6.284242,16.122755,5.501427,0,0,0,0,0,0,-1,-1,LOW_RATE
35546,80,6,30.592268,2,5,0,300,0,0.16344,0,9.806399,0,0,0,60,60,60,0,0,0,0,0,2.016457,7.648067,16.127352,5.371567,0,0,0,0,0,0,-1,-1,LOW_RATE
47384,80,6,60.970809,31,14,10,1235,1011,0.229618,0.172618,20.255595,17.451633,1.4,1.221563,46,88.214286,393,85.533768,52,101.1,535,144.652999,0.000014,4.690062,10.037214,4.548917,0.000006,6.436838,10.037204,4.434072,7,0,1,0,LOW_RATE
58350,80,6,60.617233,31,14,10,1341,1011,0.230957,0.173653,22.122422,17.556346,1.4,1.326409,46,95.785714,393,85.481141,52,101.1,535,144.652999,0.000003,4.662864,10.048162,4.537695,0.000001,6.398446,10.048164,4.431907,7,0,1,0,LOW_RATE
53386,80,6,61.075716,31,15,10,1191,1011,0.245597,0.185452,19.500385,18.749239,1.5,1.178042,46,79.4,245,47.243765,52,101.1,535,144.652999,0.000003,4.362551,10.139849,4.392507,0.000002,5.991354,10.139856,4.613135,7,0,1,0,LOW_RATE
47534,80,6,50.880522,31,12,7,927,11948,0.235847,0.137595,18.219153,234.854559,1.714286,0.077586,46,77.25,395,95.895016,52,1706.857143,2948,1430.84345,0.000003,4.625502,45.850198,13.114852,0.000004,8.479006,45.804951,16.794054,1,0,1,0,LOW_RATE
45048,80,6,31.583781,2,6,0,360,0,0.189971,0,11.398255,0,0,0,60,60,60,0,0,0,0,0,1.020308,6.316756,16.131591,5.490977,0,0,0,0,0,0,-1,-1,LOW_RATE
34286,80,6,31.407333,2,6,0,360,0,0.191038,0,11.462291,0,0,0,60,60,60,0,0,0,0,0,1.007875,6.281467,16.127744,5.505084,0,0,0,0,0,0,-1,-1,LOW_RATE
41406,80,6,31.523902,2,6,0,360,0,0.190332,0,11.419906,0,0,0,60,60,60,0,0,0,0,0,1.025715,6.30478,16.128919,5.494549,0,0,0,0,0,0,-1,-1,LOW_RATE
54660,80,6,57.823261,31,13,9,1074,959,0.224823,0.1978,18.57384,21.076695,1.444444,1.119917,46,82.615385,245,50.276984,52,106.555556,535,151.498523,0.000005,4.818605,10.000562,4.346159,0.000005,5.687562,10.000568,4.505277,6,0,1,0,LOW_RATE
41294,80,6,31.436679,2,6,0,360,0,0.19086,0,11.451591,0,0,0,60,60,60,0,0,0,0,0,1.002869,6.287336,16.1285,5.503006,0,0,0,0,0,0,-1,-1,LOW_RATE
59444,80,6,61.797028,31,15,9,1260,959,0.24273,0.193768,20.38933,20.647095,1.666667,1.313869,46,84,305,61.93545,52,106.555556,535,151.498523,0.000005,4.414073,10.217959,4.228005,0.000001,5.805902,10.217971,4.529367,6,0,1,0,LOW_RATE
35788,80,6,7.201196,2,4,0,240,0,0.555463,0,33.327799,0,0,0,60,60,60,0,0,0,0,0,1.024937,2.400399,4.16022,1.30851,0,0,0,0,0,0,-1,-1,LOW_RATE
46560,80,6,61.014576,31,15,10,1223,1011,0.245843,0.185611,20.044391,18.765313,1.5,1.209693,46,81.533333,224,43.39872,52,101.1,535,144.652999,0.000004,4.358184,10.04898,4.371786,0.000002,5.986222,10.048978,4.58254,7,0,1,0,LOW_RATE
55546,80,6,60.738782,31,13,10,1124,1011,0.214031,0.167474,18.505475,16.931651,1.3,1.111771,46,86.461538,245,50.313808,52,101.1,535,144.652999,0.000011,5.061565,10.040907,4.73787,0.000001,6.634518,10.040907,4.467136,7,0,1,0,LOW_RATE
50750,80,6,60.925087,31,16,11,1361,1063,0.262618,0.204277,22.33891,19.740613,1.454545,1.280339,46,85.0625,349,70.87883,52,96.636364,535,138.641639,0.000003,4.061672,10.064877,4.366971,0.000004,5.384838,10.064877,4.713541,7,0,1,0,LOW_RATE
48398,80,6,60.90813,31,13,11,1115,1063,0.213436,0.190048,18.306259,18.365567,1.181818,1.048918,46,85.769231,224,44.961785,52,96.636364,535,138.641639,0.000924,5.075678,10.090977,4.531382,0.000002,5.788005,10.090971,4.641727,7,0,1,0,LOW_RATE
55810,80,6,31.474289,2,6,0,360,0,0.190632,0,11.437907,0,0,0,60,60,60,0,0,0,0,0,1.006907,6.294858,16.130793,5.501131,0,0,0,0,0,0,-1,-1,LOW_RATE
56330,80,6,60.971863,31,13,11,983,1063,0.213213,0.180447,16.122191,17.437701,1.181818,0.924741,46,75.615385,224,44.873392,52,96.636364,535,138.641639,0.000058,5.080989,10.051559,4.909883,0.00036,6.095987,10.051561,4.769381,7,0,1,0,LOW_RATE
51170,80,6,31.48322,2,6,0,360,0,0.190578,0,11.434663,0,0,0,60,60,60,0,0,0,0,0,1.017192,6.296644,16.129784,5.498738,0,0,0,0,0,0,-1,-1,LOW_RATE
58326,80,6,31.544354,2,6,0,360,0,0.190208,0,11.412502,0,0,0,60,60,60,0,0,0,0,0,1.015599,6.308871,16.129713,5.494115,0,0,0,0,0,0,-1,-1,LOW_RATE
33946,80,6,31.49165,2,6,0,360,0,0.190527,0,11.431602,0,0,0,60,60,60,0,0,0,0,0,1.027343,6.29833,16.124696,5.49561,0,0,0,0,0,0,-1,-1,LOW_RATE
42250,80,6,61.186761,31,13,10,1007,1011,0.212464,0.171958,16.457808,17.384916,1.3,0.996044,46,77.461538,224,43.876777,52,101.1,535,144.652999,0.000236,5.098897,10.059184,4.529349,0.000005,6.46154,10.059184,4.438592,7,0,1,0,LOW_RATE
45124,80,6,31.576841,2,6,0,360,0,0.190013,0,11.40076,0,0,0,60,60,60,0,0,0,0,0,1.018327,6.315368,16.114924,5.486771,0,0,0,0,0,0,-1,-1,LOW_RATE
36222,80,6,31.495575,2,6,0,360,0,0.190503,0,11.430177,0,0,0,60,60,60,0,0,0,0,0,1.029947,6.299115,16.130874,5.496795,0,0,0,0,0,0,-1,-1,LOW_RATE
