@relation 'slowRead-weka.filters.unsupervised.attribute.Remove-R1,3-weka.filters.unsupervised.attribute.StringToNominal-R4-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-Nnormal:NORMAL, tcpFlood:HIGH_RATE, udpFlood:HIGH_RATE, httpFlood:HIGH_RATE, slowHeaders:LOW_RATE, slowRead:LOW_RATE'

@attribute src_port numeric
@attribute dst_port numeric
@attribute proto_number numeric
@attribute duration numeric
@attribute cof string
@attribute total_f_packets numeric
@attribute total_b_packets numeric
@attribute total_f_bytes numeric
@attribute total_b_bytes numeric
@attribute pps_f numeric
@attribute pps_b numeric
@attribute bps_f numeric
@attribute bps_b numeric
@attribute rfb_packets numeric
@attribute rfb_bytes numeric
@attribute min_f_pkt numeric
@attribute mean_f_pkt numeric
@attribute max_f_pkt numeric
@attribute std_f_pkt numeric
@attribute min_b_pkt numeric
@attribute mean_b_pkt numeric
@attribute max_b_pkt numeric
@attribute std_b_pkt numeric
@attribute min_f_time numeric
@attribute mean_f_time numeric
@attribute max_f_time numeric
@attribute std_f_time numeric
@attribute min_b_time numeric
@attribute mean_b_time numeric
@attribute max_b_time numeric
@attribute std_b_time numeric
@attribute psh_f_cnt numeric
@attribute urg_f_cnt numeric
@attribute psh_b_cnt numeric
@attribute urg_b_cnt numeric
@attribute isAttack {NORMAL,LOW_RATE,slowRead,HIGH_RATE,udpFlood,httpFlood}

@data
41822,80,6,7.26345,2,4,0,240,0,0.550703,0,33.042151,0,0,0,60,60,60,0,0,0,0,0,1.023957,2.42115,4.223965,1.337513,0,0,0,0,0,0,-1,-1,LOW_RATE
53542,80,6,60.594715,30,17,11,1275,1732,0.280553,0.386031,21.041439,60.782265,1.545455,0.736143,52,75,395,80.088187,52,157.454545,628,221.828912,0.000013,3.78717,16.127728,4.963477,0.000277,2.849515,14.336524,4.388713,1,0,1,0,LOW_RATE
57308,80,6,60.874506,30,15,11,1155,1732,0.246409,0.396866,18.97346,62.488415,1.363636,0.666859,52,77,395,85.060763,52,157.454545,628,221.828912,0.001744,4.348179,26.027905,7.0285,0.000363,2.771714,13.82282,4.23472,1,0,1,0,LOW_RATE
53518,80,6,60.630398,30,17,11,1275,1732,0.280387,0.386029,21.029055,60.781957,1.545455,0.736143,52,75,395,80.088187,52,157.454545,628,221.828912,0.000741,3.7894,16.129835,4.963891,0.000001,2.84953,14.338532,4.389189,1,0,1,0,LOW_RATE
43550,80,6,0.006047,31,14,6,883,11896,2315.193629,1229.220144,146022.56957,2437133.804718,2.333333,0.074227,46,63.071429,247,51.172627,52,1982.666667,7292,2853.469156,0.000002,0.000465,0.002944,0.000817,0.000388,0.000976,0.001529,0.000492,1,0,1,0,LOW_RATE
41884,80,6,60.871642,30,13,12,879,1784,0.213564,0.217313,14.440222,32.307256,1.083333,0.492713,52,67.615385,247,51.827433,52,148.666667,628,214.375579,0.001302,5.072637,27.645161,7.872046,0.000216,5.019981,27.648099,8.216801,1,0,1,0,LOW_RATE
47566,80,6,60.827376,30,15,11,1111,1732,0.246599,0.399292,18.264802,62.870305,1.363636,0.641455,52,74.066667,351,74.095854,52,157.454545,628,221.828912,0.001153,4.344813,26.017681,7.0283,0.000001,2.754878,13.823574,4.235123,1,0,1,0,LOW_RATE
54996,80,6,60.937502,30,13,5,2469,1420,0.213333,0.187157,40.516922,53.15254,2.6,1.738732,52,189.923077,307,126.47375,52,284,628,280.890014,0.001348,5.078125,34.214484,10.314786,0.000506,6.678891,20.05355,8.186499,7,0,1,0,LOW_RATE
56390,80,6,60.780914,30,16,8,1884,1576,0.263241,0.201355,30.996572,39.666919,2,1.195431,52,117.75,307,109.312339,52,197,628,248.851361,0.001366,4.052061,20.443241,5.889756,0.000154,5.675834,20.50879,6.827367,4,0,1,0,LOW_RATE
43406,80,6,60.622444,30,13,12,858,1784,0.214442,0.208079,14.153174,30.934448,1.083333,0.480942,52,66,226,46.236848,52,148.666667,628,214.375579,0.001652,5.05187,28.171151,7.935094,0.000004,5.242758,28.162604,8.255843,1,0,1,0,LOW_RATE
37478,80,6,60.982996,30,15,11,1155,1732,0.24597,0.388177,18.939706,61.120226,1.363636,0.666859,52,77,395,85.060763,52,157.454545,628,221.828912,0.001352,4.355928,25.571131,6.902565,0.000006,2.833759,13.82444,4.196654,1,0,1,0,LOW_RATE
43436,80,6,31.582601,2,6,0,360,0,0.189978,0,11.398681,0,0,0,60,60,60,0,0,0,0,0,1.021309,6.31652,16.128588,5.490029,0,0,0,0,0,0,-1,-1,LOW_RATE
47586,80,6,60.797934,30,15,11,1111,1732,0.246719,0.399382,18.273647,62.884505,1.363636,0.641455,52,74.066667,351,74.095854,52,157.454545,628,221.828912,0.001194,4.34271,26.019737,7.027831,0,2.754256,13.810081,4.230664,1,0,1,0,LOW_RATE
43102,80,6,60.579751,30,17,6,1968,1472,0.280622,0.165324,32.486102,40.559605,2.833333,1.336957,52,115.764706,226,81.477192,52,245.333333,628,270.600977,0.00005,3.786234,22.513258,5.903715,0.000207,7.258453,22.516531,8.529733,6,0,1,0,LOW_RATE
34444,80,6,60.570556,30,16,10,1171,1680,0.264155,0.345137,19.332826,57.982957,1.6,0.697024,52,73.1875,351,71.823759,52,168,628,230.012174,0.00312,4.038037,16.260455,5.129078,0,3.219337,14.590182,4.625864,1,0,1,0,LOW_RATE
41538,80,6,60.895856,30,16,11,1171,1732,0.262744,0.389287,19.229552,61.295041,1.454545,0.676097,52,73.1875,351,71.823759,52,157.454545,628,221.828912,0.000145,4.059724,17.233935,5.208965,0.000001,2.825677,14.086367,4.324478,1,0,1,0,LOW_RATE
43564,80,6,60.493938,30,17,11,1187,1732,0.28102,0.40044,19.621801,63.051026,1.545455,0.685335,52,69.823529,307,59.413046,52,157.454545,628,221.828912,0.001904,3.780871,16.132542,4.86878,0.000005,2.746981,13.827937,4.233357,1,0,1,0,LOW_RATE
60012,80,6,0.006073,31,14,6,987,11896,2305.286432,1263.281161,162522.693467,2504665.447718,2.333333,0.082969,46,70.5,351,77.901724,52,1982.666667,7292,2853.469156,0.000002,0.000467,0.00287,0.000803,0.000234,0.00095,0.001606,0.000568,1,0,1,0,LOW_RATE
52726,80,6,60.9863,30,13,12,1027,1784,0.213163,0.208876,16.839848,31.05288,1.083333,0.575673,52,79,395,91.246075,52,148.666667,628,214.375579,0.001153,5.082192,28.76216,8.096507,0.000004,5.222762,28.67796,8.415892,1,0,1,0,LOW_RATE
36092,80,6,60.660755,30,17,11,1106,1732,0.280247,0.404544,18.232546,63.697349,1.545455,0.638568,52,65.058824,226,40.410352,52,157.454545,628,221.828912,0.000782,3.791297,16.128639,4.822115,0.000108,2.719108,13.565561,4.165103,1,0,1,0,LOW_RATE
47020,80,6,60.597802,30,16,10,1223,1680,0.264036,0.675908,20.18225,113.552592,1.6,0.727976,52,76.4375,395,82.339973,52,168,628,230.012174,0.010607,4.039853,16.125964,5.069777,0.000023,1.643879,7.430191,2.355581,1,0,1,0,LOW_RATE
54706,80,6,60.82391,30,15,11,1067,1732,0.246614,0.398545,17.542444,62.752718,1.363636,0.616051,52,71.133333,307,63.134636,52,157.454545,628,221.828912,0.00192,4.344565,26.077044,7.039514,0.000004,2.76004,13.810262,4.231956,1,0,1,0,LOW_RATE
55024,80,6,60.693367,30,17,6,2982,1472,0.280097,0.173836,49.132222,42.647683,2.833333,2.025815,52,175.411765,395,162.208312,52,245.333333,628,270.600977,0.001585,3.793335,20.997761,5.720007,0.000006,6.903071,20.995546,7.951579,6,0,1,0,LOW_RATE
57044,80,6,60.604417,30,16,9,1223,1628,0.264007,0.565682,20.180047,102.325512,1.777778,0.751229,52,76.4375,395,82.339973,52,180.888889,628,239.003693,0.001345,4.040294,16.145811,4.963691,0,1.988751,8.187763,2.682726,1,0,1,0,LOW_RATE
42086,80,6,60.822409,30,16,11,1046,1732,0.263061,0.389138,17.197609,61.271573,1.454545,0.603926,52,65.375,226,41.633633,52,157.454545,628,221.828912,0.001442,4.054827,17.142614,5.192529,0.000001,2.82676,14.06768,4.320969,1,0,1,0,LOW_RATE
38498,80,6,60.881632,30,15,11,1155,1732,0.24638,0.398454,18.971239,62.738348,1.363636,0.666859,52,77,395,85.060763,52,157.454545,628,221.828912,0.000018,4.348688,26.087327,7.041372,0.000001,2.760672,13.810173,4.231511,1,0,1,0,LOW_RATE
45246,80,6,60.443826,30,17,11,1187,1732,0.281253,0.400478,19.638069,63.057106,1.545455,0.685335,52,69.823529,307,59.413046,52,157.454545,628,221.828912,0.000925,3.777739,16.129936,4.867597,0.000143,2.746717,13.828976,4.233742,1,0,1,0,LOW_RATE
33676,80,6,60.983547,30,13,12,879,1784,0.213172,0.210768,14.413724,31.334179,1.083333,0.492713,52,67.615385,247,51.827433,52,148.666667,628,214.375579,0.001136,5.081962,27.119285,7.624249,0.000001,5.175876,27.119517,7.952158,1,0,1,0,LOW_RATE
