@relation 'udpFlood-weka.filters.unsupervised.attribute.Remove-R1,3,5,2,4-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack'

@attribute duration numeric
@attribute cof {N/A,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127}
@attribute total_f_packets numeric
@attribute total_b_packets numeric
@attribute total_f_bytes numeric
@attribute total_b_bytes numeric
@attribute pps_f numeric
@attribute pps_b numeric
@attribute bps_f numeric
@attribute bps_b numeric
@attribute rfb_packets numeric
@attribute rfb_bytes numeric
@attribute min_f_pkt numeric
@attribute mean_f_pkt numeric
@attribute max_f_pkt numeric
@attribute std_f_pkt numeric
@attribute min_b_pkt numeric
@attribute mean_b_pkt numeric
@attribute max_b_pkt numeric
@attribute std_b_pkt numeric
@attribute min_f_time numeric
@attribute mean_f_time numeric
@attribute max_f_time numeric
@attribute std_f_time numeric
@attribute min_b_time numeric
@attribute mean_b_time numeric
@attribute max_b_time numeric
@attribute std_b_time numeric
@attribute psh_f_cnt numeric
@attribute urg_f_cnt numeric
@attribute psh_b_cnt numeric
@attribute urg_b_cnt numeric
@attribute isAttack {normal,slowHeaders,slowRead,tcpFlood,udpFlood,httpFlood}

@data
3.358431,N/A,1359,0,62514,0,404.653203,0,18614.047359,0,0,0,46,46,46,0,0,0,0,0,0.00034,0.002473,0.013697,0.001695,0,0,0,0,-1,-1,-1,-1,udpFlood
3.358498,N/A,1137,0,52302,0,338.544161,0,15573.031392,0,0,0,46,46,46,0,0,0,0,0,0.000338,0.002956,0.017704,0.002097,0,0,0,0,-1,-1,-1,-1,udpFlood
3.354284,N/A,710,0,32660,0,211.669596,0,9736.801419,0,0,0,46,46,46,0,0,0,0,0,0.00067,0.004731,0.025404,0.004153,0,0,0,0,-1,-1,-1,-1,udpFlood
3.357599,N/A,721,0,33166,0,214.736749,0,9877.890449,0,0,0,46,46,46,0,0,0,0,0,0.000659,0.004663,0.035765,0.003963,0,0,0,0,-1,-1,-1,-1,udpFlood
3.342442,N/A,1021,0,46966,0,305.465261,0,14051.401984,0,0,0,46,46,46,0,0,0,0,0,0.000026,0.003277,0.020087,0.0027,0,0,0,0,-1,-1,-1,-1,udpFlood
3.348231,N/A,776,0,35696,0,231.764155,0,10661.151108,0,0,0,46,46,46,0,0,0,0,0,0.000013,0.00432,0.038448,0.003925,0,0,0,0,-1,-1,-1,-1,udpFlood
3.355147,N/A,1115,0,51290,0,332.325195,0,15286.958953,0,0,0,46,46,46,0,0,0,0,0,0.000344,0.003012,0.049176,0.002668,0,0,0,0,-1,-1,-1,-1,udpFlood
3.115525,N/A,627,0,28842,0,201.25019,0,9257.508745,0,0,0,46,46,46,0,0,0,0,0,0.000315,0.004977,0.029731,0.004443,0,0,0,0,-1,-1,-1,-1,udpFlood
3.35438,N/A,1416,0,65136,0,422.134685,0,19418.195529,0,0,0,46,46,46,0,0,0,0,0,0.00004,0.002371,0.015026,0.001692,0,0,0,0,-1,-1,-1,-1,udpFlood
3.356389,N/A,1463,0,67298,0,435.885138,0,20050.716369,0,0,0,46,46,46,0,0,0,0,0,0.000003,0.002296,0.011338,0.001555,0,0,0,0,-1,-1,-1,-1,udpFlood
