@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-Nnormal:normal, normal:normal, tcpFlood:attack, udpFlood:attack, httpFlood:attack, slowBody:attack, slowHeaders:attack, slowRead:attack'

@attribute duration numeric
@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute dst_bytes numeric
@attribute wrong_fragment numeric
@attribute urgent numeric
@attribute count numeric
@attribute srv_count numeric
@attribute serror_rate numeric
@attribute srv_serror_rate numeric
@attribute rerror_rate numeric
@attribute srv_rerror_rate numeric
@attribute same_srv_rate numeric
@attribute diff_srv_rate numeric
@attribute srv_diff_host_rate numeric
@attribute dst_host_count numeric
@attribute dst_host_srv_count numeric
@attribute dst_host_same_srv_rate numeric
@attribute dst_host_diff_srv_rate numeric
@attribute dst_host_same_src_port_rate numeric
@attribute dst_host_srv_diff_host_rate numeric
@attribute dst_host_serror_rate numeric
@attribute dst_host_srv_serror_rate numeric
@attribute dst_host_rerror_rate numeric
@attribute dst_host_srv_rerror_rate numeric
@attribute isAttack {normal,neptune,smurf,pod,back,land,attack,slowHeaders,slowRead,tcpFlood,udpFlood,httpFlood}

@data
0,tcp,OTH,60,0,0,0,121,123,0,0,0,0,1,0,0.02,39,39,1,0,0.97,0,0,0,0,0,normal
0,tcp,OTH,60,0,0,0,30,32,0,0,0,0,1,0,0.06,30,66,1,0,0.45,0.55,0,0,0,0,normal
0,tcp,OTH,60,0,0,0,56,58,0,0,0,0,1,0,0.03,37,37,1,0,0.97,0,0,0,0,0,normal
0,tcp,OTH,60,0,0,0,225,227,0,0,0,0,1,0,0.01,28,30,1,0,0.9,0.07,0,0,0,0,normal
0,tcp,OTH,60,0,0,0,110,141,0,0,0,0,1,0,0.22,25,27,1,0,0.89,0.07,0,0,0,0,normal
0,tcp,OTH,66,0,0,0,8,21,0,0,0,0,1,0,0.62,8,49,1,0,0.02,0.84,0,0,0,0,normal
0,tcp,OTH,60,0,0,0,312,314,0,0,0,0,1,0,0.01,31,31,1,0,0.97,0,0,0,0,0,normal
0,tcp,OTH,66,0,0,0,1,123,0,0,0,0,1,0,0.99,1,11,1,0,0.08,0.91,0,0,0,0,normal
0,tcp,OTH,66,0,0,0,4,5,0,0,0,0,1,0,0.2,4,45,1,0,0.09,0.91,0,0,0,0,normal
0,tcp,OTH,74,0,0,0,210,211,0,0,0,0,1,0,0,35,35,1,0,0.97,0,0,0,0,0,normal
0,tcp,OTH,66,0,0,0,5,8,0,0,0,0,1,0,0.38,5,8,1,0,0.56,0.38,0,0,0,0,normal
5,tcp,RSTO,1055,3779,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,1,0,0,0,0,normal
0,tcp,OTH,60,0,0,0,148,152,0,0,0,0,1,0,0.03,38,41,1,0,0.9,0.07,0,0,0,0,normal
0,tcp,OTH,60,0,0,0,392,397,0,0,0,0,1,0,0.01,49,49,1,0,0.98,0,0,0,0,0,normal
0,tcp,OTH,60,0,0,0,236,249,0,0,0,0,1,0,0.05,30,41,1,0,0.71,0.27,0,0,0,0,normal
0,tcp,OTH,60,0,0,0,310,312,0,0,0,0,1,0,0.01,42,44,1,0,0.93,0.05,0,0,0,0,normal
0,tcp,OTH,155,0,0,0,47,47,0,0,0,0,1,0,0,40,40,1,0,0.98,0,0,0,0,0,normal
30,tcp,RSTR,2574,2840,0,0,1,1,0,0,0,0,1,0,0,1,44,1,0,0,0.98,0,0,0,0,normal
6,tcp,RSTO,1218,5705,0,0,0,210,0,0.24,0,0,0,0,1,0,35,0,0,0,1,0,0.31,0,0,normal
0,tcp,OTH,60,0,0,0,183,184,0,0,0,0,1,0,0.01,40,40,1,0,0.98,0,0,0,0,0,normal
3,tcp,SF,338,280,0,0,1,1,0,0,0,0,1,0,0,3,58,1,0,0,0.95,0,0,0,0,normal
0,tcp,OTH,60,0,0,0,40,41,0,0,0,0,1,0,0.02,40,45,1,0,0.87,0.11,0,0,0,0,normal
0,tcp,OTH,66,0,0,0,7,9,0,0,0,0,1,0,0.22,18,50,0.61,0.39,0.1,0.78,0,0,0,0,normal
0,tcp,OTH,60,0,0,0,103,106,0,0,0,0,1,0,0.03,26,27,1,0,0.93,0.04,0,0,0,0,normal
7,tcp,RSTO,1590,4639,0,0,17,39,0.06,0.26,0,0,1,0,0.56,17,26,1,0,0,0.35,0.06,0.27,0,0,normal
2,tcp,SF,1697,6632,0,0,0,1,0,0,0,0,0,0,1,1,40,1,0,0,0.97,0,0,0,0,normal
63,tcp,SF,1896,6433,0,0,0,3,0,0,0,0,0,0,1,0,58,0,0,0,1,0,0,0,0,normal
0,tcp,OTH,60,0,0,0,304,306,0,0,0,0,1,0,0.01,39,41,1,0,0.93,0.05,0,0,0,0,normal
0,tcp,OTH,60,0,0,0,179,180,0,0,0,0,1,0,0.01,36,36,1,0,0.97,0,0,0,0,0,normal
64,tcp,SF,1966,6363,0,0,0,3,0,0,0,0,0,0,1,0,57,0,0,0,1,0,0,0,0,normal
