@relation 'tcpFlood-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack'

@attribute total_fpackets numeric
@attribute total_fvolume numeric
@attribute total_bpackets numeric
@attribute total_bvolume numeric
@attribute min_fpktl numeric
@attribute mean_fpktl numeric
@attribute max_fpktl numeric
@attribute std_fpktl numeric
@attribute min_bpktl numeric
@attribute mean_bpktl numeric
@attribute max_bpktl numeric
@attribute std_bpktl numeric
@attribute min_fiat numeric
@attribute mean_fiat numeric
@attribute max_fiat numeric
@attribute std_fiat numeric
@attribute min_biat numeric
@attribute mean_biat numeric
@attribute max_biat numeric
@attribute std_biat numeric
@attribute duration numeric
@attribute min_active numeric
@attribute mean_active numeric
@attribute max_active numeric
@attribute std_active numeric
@attribute min_idle numeric
@attribute mean_idle numeric
@attribute max_idle numeric
@attribute std_idle numeric
@attribute sflow_fpackets numeric
@attribute sflow_fbytes numeric
@attribute sflow_bpackets numeric
@attribute sflow_bbytes numeric
@attribute fpsh_cnt numeric
@attribute bpsh_cnt numeric
@attribute furg_cnt numeric
@attribute burg_cnt numeric
@attribute total_fhlen numeric
@attribute total_bhlen numeric
@attribute isAttack {normal,slowBody,slowHeaders,slowRead,tcpFlood,udpFlood,httpFlood}

@data
5996,462948,3034,162294,52,77,2948,104,52,53,566,10,3,3031,437408,14574,2,5992,753175,23488,19372872,475946,9085068,17694191,12175137,1202735,1202735,1202735,0,2998,231474,1517,81147,5979,1,0,0,311800,161780,tcpFlood
11701,827664,5906,313798,52,70,2948,77,40,53,566,7,3,2556,698905,13491,2,5060,864834,22103,31011525,6006059,14953275,23900491,12653274,1104975,1104975,1104975,0,5850,413832,2953,156899,11685,1,0,0,608460,313284,tcpFlood
1191,153068,572,31908,52,128,2948,235,52,55,80,6,1,9263,660742,37871,2,19299,660741,54960,11022985,11022985,11022985,11022985,0,0,0,0,0,1191,153068,572,31908,1179,0,0,0,61940,31908,tcpFlood
2266,280924,942,52676,52,123,2464,182,52,55,80,6,1,9361,526496,29353,2,22533,540040,43764,21203616,21203616,21203616,21203616,0,0,0,0,0,2266,280924,942,52676,2255,0,0,0,117840,52676,tcpFlood
3010,199932,1329,69874,52,66,2188,47,52,52,566,14,4,1791,352611,8830,4,4058,354954,14341,5391353,5391353,5391353,5391353,0,0,0,0,0,3010,199932,1329,69874,3007,1,0,0,156528,69360,tcpFlood
1396,171384,703,38628,52,122,2560,199,52,54,72,5,2,8659,327168,26605,2,17198,270126,36688,12079608,12079608,12079608,12079608,0,0,0,0,0,1396,171384,703,38628,1391,0,0,0,72600,38628,tcpFlood
1229,133408,519,29044,52,108,2948,171,52,55,80,6,2,6200,371043,17458,31,14705,379578,27467,8645883,548564,3804202,7059840,4604167,1037479,1037479,1037479,0,614,66704,259,14522,1223,0,0,0,63916,29044,tcpFlood
7904,505828,7091,369266,52,63,64,0,52,52,566,6,1,1341,82495,1035,6,1495,82496,1186,10601120,10601120,10601120,10601120,0,0,0,0,0,7904,505828,7091,369266,7901,1,0,0,411016,368752,tcpFlood
1059,137608,571,31872,52,129,1936,201,52,55,80,6,1,9897,340828,30789,4,18314,342335,42158,17541528,10442302,2610575,10442302,5221151,1018274,2366408,4063545,1552343,264,34402,142,7968,1043,0,0,0,55100,31872,tcpFlood
5455,368016,2348,123230,52,67,2948,66,52,52,566,10,1,1843,348270,8500,2,4283,502970,15011,10054100,10054100,10054100,10054100,0,0,0,0,0,5455,368016,2348,123230,5451,1,0,0,283668,122716,tcpFlood
8037,532928,3262,171290,52,66,2284,45,52,52,566,9,4,1714,351054,6320,3,4221,314757,10361,13775559,13775559,13775559,13775559,0,0,0,0,0,8037,532928,3262,171290,8034,1,0,0,417932,170776,tcpFlood
4766,417604,2874,155754,52,87,2948,145,52,54,566,10,1,4592,523193,21599,1,7617,524052,29235,21884222,21884222,21884222,21884222,0,0,0,0,0,4766,417604,2874,155754,4746,1,0,0,247840,155240,tcpFlood
1462,184884,726,40220,52,126,2948,229,52,55,72,5,1,9447,789134,43945,30,19030,789136,62362,13802150,13802150,13802150,13802150,0,0,0,0,0,1462,184884,726,40220,1450,0,0,0,76032,40220,tcpFlood
2263,275968,938,52132,52,121,2080,164,52,55,80,6,1,8957,679290,28816,2,21698,579999,40744,20331823,20331823,20331823,20331823,0,0,0,0,0,2263,275968,938,52132,2255,0,0,0,117684,52132,tcpFlood
19,2592,1,60,52,136,280,102,60,60,60,0,32,99801,832030,234906,0,0,0,0,13144348,0,374257,1497028,748514,1663556,3882440,6654242,2540870,4,648,0,15,17,0,0,0,996,60,tcpFlood
8230,542736,4337,226318,52,65,1500,40,52,52,566,7,4,1624,384975,7670,2,3083,384015,10687,13372048,13372048,13372048,13372048,0,0,0,0,0,8230,542736,4337,226318,8224,1,0,0,427968,225804,tcpFlood
1221,136472,530,29636,52,111,2948,183,52,55,72,6,1,7307,567717,26000,2,16844,567725,39432,8915627,8915627,8915627,8915627,0,0,0,0,0,1221,136472,530,29636,1214,0,0,0,63500,29636,tcpFlood
10741,775560,5608,298790,52,72,2948,77,40,53,566,7,3,2785,692116,13556,2,5287,726736,20660,31044315,10448521,14954290,19460060,6372120,1135734,1135734,1135734,0,5370,387780,2804,149395,10729,1,0,0,558540,298276,tcpFlood
7500,506300,3033,159150,52,67,2008,55,52,52,566,9,2,1835,426059,8703,2,4538,312749,13215,13766942,13766942,13766942,13766942,0,0,0,0,0,7500,506300,3033,159150,7493,1,0,0,390008,158636,tcpFlood
2976,200168,1470,76568,52,67,2620,60,52,52,64,1,4,1805,344590,8598,2,3655,344596,12531,5370522,5370522,5370522,5370522,0,0,0,0,0,2976,200168,1470,76568,2972,0,0,0,154760,76568,tcpFlood
10000,742104,5661,301898,52,74,2948,92,40,53,566,7,4,3012,681858,16584,2,5322,725109,23755,31220600,11137850,15060353,18982856,5547256,1099894,1099894,1099894,0,5000,371052,2830,150949,9985,1,0,0,520008,301384,tcpFlood
