% isAttack normal:	223
% isAttack neptune:	76
@relation 'UnformattedKDDTest-21-weka.filters.unsupervised.attribute.Remove-R3,7,10,11,12,13,14,15,16,17,18,19,20,21,22,43-weka.filters.unsupervised.instance.Randomize-S11'

@attribute duration numeric
@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute dst_bytes numeric
@attribute wrong_fragment numeric
@attribute urgent numeric
@attribute count numeric
@attribute srv_count numeric
@attribute serror_rate numeric
@attribute srv_serror_rate numeric
@attribute rerror_rate numeric
@attribute srv_rerror_rate numeric
@attribute same_srv_rate numeric
@attribute diff_srv_rate numeric
@attribute srv_diff_host_rate numeric
@attribute dst_host_count numeric
@attribute dst_host_srv_count numeric
@attribute dst_host_same_srv_rate numeric
@attribute dst_host_diff_srv_rate numeric
@attribute dst_host_same_src_port_rate numeric
@attribute dst_host_srv_diff_host_rate numeric
@attribute dst_host_serror_rate numeric
@attribute dst_host_srv_serror_rate numeric
@attribute dst_host_rerror_rate numeric
@attribute dst_host_srv_rerror_rate numeric
@attribute isAttack {normal,neptune}

@data
0,tcp,SF,239,3222,0,0,2,3,0,0,0,0,1,0,0.67,255,22,0.09,0.01,0,0,0.01,0,0.02,0,normal
0,tcp,S0,0,0,0,0,4,3,1,1,0,0,0.75,0.5,0,255,63,0.25,0.02,0,0,0.96,1,0,0,neptune
0,tcp,REJ,0,0,0,0,63,19,0,0,1,1,0.3,0.06,0,255,59,0.23,0.1,0.01,0,0,0,1,1,neptune
0,tcp,SF,234,1075,0,0,4,5,0,0,0,0,1,0,0.4,255,226,0.89,0.01,0,0,0,0,0.03,0,normal
0,tcp,SF,180,113,0,0,1,1,0,0,0,0,1,0,0,255,255,1,0,0,0,0,0,0,0,normal
0,tcp,S3,305,421,0,0,1,2,1,0.5,0,0,1,0,1,29,253,1,0,0.03,0.02,0.07,0.01,0,0,normal
0,tcp,REJ,0,0,0,0,18,10,0,0,1,1,0.56,0.11,0,255,60,0.24,0.11,0.01,0,0,0,1,1,neptune
0,tcp,SF,0,1452,0,0,4,10,0.25,0.1,0,0,1,0,0.2,253,255,1,0,0,0.01,0,0,0,0,normal
0,tcp,REJ,0,0,0,0,1,45,0,0,1,0.02,1,0,0.09,255,18,0.07,0.51,0,0,0.05,0,0.52,1,normal
0,tcp,SF,235,1380,0,0,3,3,0,0,0,0,1,0,0,255,234,0.92,0.02,0,0,0,0,0.05,0,normal
0,tcp,REJ,0,0,0,0,41,14,0,0,1,1,0.34,0.1,0,255,57,0.22,0.11,0,0,0,0,0.99,1,neptune
0,tcp,SF,181,1699,0,0,1,32,0,0,0,0,1,0,0.06,199,159,0.8,0.03,0.01,0,0,0,0.01,0,normal
0,tcp,S0,0,0,0,0,24,9,1,1,0,0,0.38,0.17,0,255,65,0.25,0.02,0.01,0,0.98,1,0,0,neptune
0,tcp,SF,39276,273,0,0,7,15,0,0,0,0,1,0,0.13,255,255,1,0,0,0,0,0,0,0,normal
0,tcp,REJ,0,0,0,0,1,1,0,0,1,1,1,0,0,255,5,0.02,0.5,0,0,0,0,0.02,1,normal
0,tcp,REJ,0,0,0,0,1,1,0,0,1,1,1,0,0,255,26,0.1,0.89,0,0,0.13,0,0.87,1,normal
0,tcp,SF,286,1378,0,0,2,2,0,0,0,0,1,0,0,2,2,1,0,0.5,0,0,0,0,0,normal
0,tcp,S0,0,0,0,0,155,10,1,1,0,0,0.06,0.08,0,255,10,0.04,0.09,0,0,1,1,0,0,neptune
0,tcp,REJ,0,0,0,0,1,1,0,0,1,1,1,0,0,255,54,0.21,0.11,0,0,0,0,0.99,1,neptune
0,tcp,SF,368,940,0,0,5,5,0.2,0.2,0,0,1,0,0,255,255,1,0,0,0,0,0,0,0,normal
0,tcp,SF,247,1733,0,0,1,16,0,0,0,0,1,0,0.12,255,89,0.35,0.32,0,0,0.01,0.01,0.61,0.01,normal
0,tcp,SF,282,24572,0,0,3,3,0.33,0.33,0,0,1,0,0,124,255,1,0,0.01,0.02,0.01,0,0,0,normal
0,tcp,SF,309,3222,0,0,1,1,0,0,0,0,1,0,0,255,194,0.76,0.11,0,0,0.01,0.01,0.2,0.01,normal
0,tcp,SF,308,2919,0,0,3,3,0,0,0,0,1,0,0,255,165,0.65,0.25,0,0,0.01,0,0.29,0,normal
0,tcp,SF,306,1075,0,0,5,25,0,0,0,0,1,0,0.12,255,253,0.99,0.01,0,0,0.21,0.21,0.55,0.55,normal
0,tcp,SF,308,2239,0,0,6,6,0,0,0,0,1,0,0,255,253,0.99,0.01,0,0,0.21,0.21,0.56,0.57,normal
0,tcp,REJ,0,0,0,0,1,1,0,0,1,1,1,0,0,255,26,0.1,0.9,0,0,0.14,0,0.86,1,normal
0,tcp,REJ,0,0,0,0,56,18,0,0,1,1,0.32,0.07,0,255,58,0.23,0.11,0,0,0,0,0.99,1,neptune
0,tcp,SF,152,19706,0,0,1,1,0,0,0,0,1,0,0,15,78,1,0,0.07,0.04,0,0,0,0,normal
0,tcp,REJ,0,0,0,0,1,1,0,0,1,1,1,0,0,255,10,0.04,0.96,0,0,0.1,0,0.89,1,normal
0,tcp,SF,235,1075,0,0,5,5,0,0,0,0,1,0,0,255,226,0.89,0.01,0,0,0,0,0.03,0,normal
0,tcp,SF,239,3222,0,0,4,4,0,0,0,0,1,0,0,255,229,0.9,0.02,0,0,0,0,0.06,0,normal
0,tcp,REJ,0,0,0,0,13,8,0,0,1,1,0.62,0.23,0,255,58,0.23,0.11,0,0,0,0,0.99,1,neptune
0,tcp,REJ,0,0,0,0,2,2,0,0,1,1,1,0,0,255,7,0.03,0.7,0,0,0,0,0.03,1,normal
0,tcp,REJ,0,0,0,0,266,3,0,0,1,1,0.01,0.06,0,255,3,0.01,0.06,0,0,0,0,1,1,neptune
0,tcp,REJ,0,0,0,0,1,1,0,0,1,1,1,0,0,255,29,0.11,0.55,0,0,0,0,0.11,1,normal
440,tcp,SF,257,275,0,0,4,4,0,0,0,0,1,0,0,255,229,0.9,0.02,0,0,0,0,0.06,0,normal
0,tcp,SF,226,1035,0,0,3,3,0.33,0.33,0,0,1,0,0,29,255,1,0,0.03,0.04,0.03,0,0,0,normal
0,tcp,SF,299,1380,0,0,3,3,0,0,0,0,1,0,0,255,229,0.9,0.01,0,0,0,0,0.03,0,normal
0,tcp,SF,299,1380,0,0,3,21,0,0,0,0,1,0,0.1,255,204,0.8,0.14,0,0,0,0,0.13,0,normal
0,tcp,S2,327,61033,0,0,4,14,0.25,0.07,0,0,1,0,0.21,23,253,1,0,0.04,0.05,0.04,0,0,0,normal
0,tcp,REJ,0,0,0,0,235,20,0,0,1,0.95,0.08,0.07,0.1,255,19,0.07,0.07,0,0,0,0,1,1,neptune
0,tcp,REJ,0,0,0,0,20,8,0,0,1,1,0.4,0.2,0,255,28,0.11,0.58,0.01,0,0,0,0.94,1,neptune
0,tcp,SF,305,2507,0,0,4,4,0,0,0,0,1,0,0,255,255,1,0,0,0,0.84,0.84,0.11,0.11,normal
0,tcp,S0,0,0,0,0,157,9,1,1,0,0,0.06,0.1,0,255,9,0.04,0.1,0,0,1,1,0,0,neptune
0,tcp,REJ,0,0,0,0,1,2,0,0,1,0.5,1,0,1,255,23,0.09,0.91,0,0,0.13,0,0.87,1,normal
0,tcp,S1,260,13140,0,0,1,5,1,0.2,0,0,1,0,0.4,17,255,1,0,0.06,0.01,0.06,0,0,0,normal
0,tcp,SF,300,1075,0,0,4,4,0,0,0,0,1,0,0,255,240,0.94,0.02,0,0,0,0,0.04,0,normal
0,tcp,SF,345,6256,0,0,3,3,0.33,0.33,0,0,1,0,0,255,255,1,0,0,0,0,0,0,0,normal
0,tcp,REJ,0,0,0,0,1,1,0,0,1,1,1,0,0,255,1,0,0.76,0,0,0,0,0.73,1,neptune
0,tcp,REJ,0,0,0,0,1,1,0,0,1,1,1,0,0,255,5,0.02,0.71,0,0,0,0,0.02,1,normal
0,tcp,SF,283,1383,0,0,2,2,0,0,0,0,1,0,0,2,2,1,0,0.5,0,0,0,0,0,normal
0,tcp,REJ,0,0,0,0,236,9,0,0,1,1,0.04,0.06,0,255,9,0.04,0.07,0,0,0,0,1,1,neptune
0,tcp,SF,199,12884,0,0,2,33,0,0,0,0,1,0,0.06,48,48,1,0,0.02,0,0,0,0,0,normal
0,tcp,SF,263,1490,0,0,1,1,0,0,0,0,1,0,0,255,229,0.9,0.01,0,0,0,0,0.03,0,normal
0,tcp,REJ,0,0,0,0,219,20,0,0,1,1,0.09,0.06,0,255,20,0.08,0.07,0,0,0,0,1,1,neptune
0,tcp,S0,0,0,0,0,44,14,1,1,0,0,0.32,0.09,0,255,63,0.25,0.02,0.02,0,0.98,1,0,0,neptune
0,tcp,REJ,0,0,0,0,1,1,0,0,1,1,1,0,0,255,22,0.09,0.68,0,0,0.08,0,0.68,1,normal
0,tcp,REJ,0,0,0,0,268,6,0,0,1,1,0.02,0.06,0,255,6,0.02,0.06,0,0,0,0,1,1,neptune
0,tcp,S0,0,0,0,0,24,9,1,1,0,0,0.38,0.17,0,255,58,0.23,0.02,0,0,0.97,1,0,0,neptune
0,tcp,SF,277,25484,0,0,2,2,0,0,0,0,1,0,0,2,2,1,0,0.5,0,0,0,0,0,normal
0,tcp,SF,162,13985,0,0,2,23,0.5,0.04,0,0,1,0,0.09,255,255,1,0,0,0,0.01,0.01,0,0,normal
0,tcp,REJ,0,0,0,0,244,10,0,0,1,1,0.04,0.07,0,255,10,0.04,0.07,0,0,0,0,1,1,neptune
0,tcp,SF,381,536,0,0,1,57,0,0,0,0,1,0,0.05,1,241,1,0,1,0.01,0,0,0,0,normal
0,tcp,S0,0,0,0,0,9,5,1,1,0,0,0.56,0.33,0,255,61,0.24,0.02,0.01,0,0.96,1,0,0,neptune
0,tcp,SF,286,958,0,0,1,1,0,0,0,0,1,0,0,1,153,1,0,1,0.03,0,0.33,0,0,normal
0,tcp,SF,301,1075,0,0,7,7,0,0,0,0,1,0,0,255,79,0.31,0.02,0,0,0,0,0.02,0,normal
0,tcp,REJ,0,0,0,0,3,2,0,0,1,1,0.67,0.67,0,255,52,0.2,0.1,0,0,0,0,1,1,neptune
0,tcp,REJ,0,0,0,0,11,10,0,0,1,1,0.91,0.18,0,255,10,0.04,0.76,0,0,0,0,0.77,1,neptune
0,tcp,REJ,0,0,0,0,283,14,0,0,1,1,0.05,0.06,0,255,14,0.05,0.06,0,0,0,0,1,1,neptune
0,tcp,SF,198,5989,0,0,5,5,0.2,0.2,0,0,1,0,0,255,255,1,0,0,0,0,0,0,0,normal
0,tcp,SF,191,3011,0,0,1,1,0,0,0,0,1,0,0,255,118,0.46,0.26,0,0,0.01,0.01,0.49,0.01,normal
0,tcp,SF,323,272,0,0,2,2,0,0,0,0,1,0,0,249,198,0.8,0.02,0,0,0,0,0.02,0,normal
0,tcp,SF,269,10972,0,0,6,6,0.17,0.17,0,0,1,0,0,255,255,1,0,0,0,0.01,0.01,0,0,normal
0,tcp,SF,185,11380,0,0,1,1,0,0,0,0,1,0,0,255,235,0.92,0.02,0,0,0,0,0.02,0,normal
0,tcp,REJ,0,0,0,0,205,1,0,0,1,1,0,0.07,0,255,1,0,0.07,0,0,0,0,1,1,neptune
0,tcp,SF,213,124,0,0,1,1,0,0,0,0,1,0,0,255,255,1,0,0,0,0,0,0,0,normal
0,tcp,S1,220,29200,0,0,2,2,0.5,0.5,0,0,1,0,0,20,251,1,0,0.05,0.02,0.05,0,0,0,normal
0,tcp,SF,240,771,0,0,3,12,0.33,0.17,0,0,1,0,0.42,255,255,1,0,0,0,0,0,0,0,normal
0,tcp,SF,164,10312,0,0,6,6,0,0,0,0,1,0,0,255,255,1,0,0,0,0,0,0,0,normal
0,tcp,SF,246,6530,0,0,7,7,0,0,0,0,1,0,0,121,255,1,0,0.01,0.03,0,0.01,0,0,normal
1,tcp,SF,78162,174,0,0,3,3,0,0,0,0,1,0,0,255,255,1,0,0,0,0,0,0,0,normal
0,tcp,REJ,0,0,0,0,288,16,0,0,1,1,0.06,0.06,0,255,16,0.06,0.06,0,0,0,0,1,1,neptune
0,tcp,SF,199,910,0,0,12,12,0,0,0,0,1,0,0,28,153,1,0,0.04,0.03,0,0.42,0,0,normal
0,tcp,SF,259,2169,0,0,1,1,0,0,0,0,1,0,0,255,229,0.9,0.02,0,0,0,0,0.06,0,normal
0,tcp,SF,313,5381,0,0,2,2,0,0,0,0,1,0,0,1,255,1,0,1,0.01,0,0,0,0,normal
0,tcp,SF,19822,174,0,0,17,17,0,0,0,0,1,0,0,255,255,1,0,0,0,0,0,0,0,normal
0,tcp,S0,0,0,0,0,56,17,1,1,0,0,0.3,0.07,0,255,37,0.15,0.04,0.01,0,0.82,1,0.02,0,neptune
0,tcp,SF,261,2711,0,0,1,1,0,0,0,0,1,0,0,255,225,0.88,0.02,0,0,0,0,0.07,0,normal
0,tcp,SF,308,3222,0,0,5,18,0,0,0,0,1,0,0.17,255,151,0.59,0.02,0,0,0.19,0.32,0.12,0.21,normal
0,tcp,REJ,0,0,0,0,225,9,0,0,1,1,0.04,0.08,0,255,9,0.04,0.07,0,0,0,0,1,1,neptune
0,tcp,REJ,0,0,0,0,1,29,0,0.03,1,0.03,1,0,0.14,255,16,0.06,0.94,0,0,0.15,0,0.84,1,normal
0,tcp,SF,229,2507,0,0,4,4,0,0,0,0,1,0,0,255,229,0.9,0.02,0,0,0,0,0.06,0,normal
0,tcp,S0,0,0,0,0,10,6,1,1,0,0,0.6,0.2,0,255,63,0.25,0.02,0.01,0,0.97,1,0,0,neptune
0,tcp,SF,175,1724,0,0,1,15,0,0,0,0,1,0,0.13,255,210,0.82,0.07,0,0,0.01,0,0.13,0,normal
0,tcp,SF,265,15201,0,0,1,8,0,0,0,0,1,0,0.25,4,31,1,0,0.25,0.16,0.25,0.03,0,0,normal
0,tcp,SF,297,1075,0,0,6,7,0,0,0,0,1,0,0.29,255,224,0.88,0.02,0,0,0,0,0.07,0,normal
0,tcp,SF,19794,981,0,0,7,7,0,0,0,0,1,0,0,255,255,1,0,0,0,0,0,0,0,normal
0,tcp,SF,304,2698,0,0,1,1,0,0,0,0,1,0,0,255,171,0.67,0.23,0,0,0.01,0,0.25,0,normal
0,tcp,S3,178,10257,0,0,5,35,0.2,0.03,0,0,1,0,0.11,102,255,1,0,0.01,0.01,0.01,0.01,0,0,normal
0,tcp,SF,300,2239,0,0,7,7,0,0,0,0,1,0,0,255,239,0.94,0.02,0,0,0,0,0.04,0,normal
0,tcp,S0,0,0,0,0,36,12,1,1,0,0,0.33,0.11,0,255,32,0.13,0.04,0.01,0,0.82,1,0.02,0,neptune
0,tcp,S1,230,8760,0,0,2,3,0.5,0.33,0,0,1,0,0.67,90,238,1,0,0.01,0.03,0.01,0,0,0,normal
0,tcp,REJ,0,0,0,0,222,3,0,0,1,1,0.01,0.06,0,255,3,0.01,0.07,0,0,0,0,1,1,neptune
0,tcp,SF,297,4812,0,0,1,72,0,0,0,0,1,0,0.06,3,249,1,0,0.33,0.03,0,0,0,0,normal
0,tcp,REJ,0,0,0,0,1,1,0,0,1,1,1,0,0,255,25,0.1,0.9,0,0,0.13,0,0.87,1,normal
0,tcp,REJ,0,0,0,0,264,20,0,0,1,1,0.08,0.06,0,255,20,0.08,0.06,0,0,0,0,1,1,neptune
0,tcp,SF,260,4265,0,0,2,2,0.5,0.5,0,0,1,0,0,33,255,1,0,0.03,0.04,0.03,0,0,0,normal
0,tcp,SF,309,824,0,0,4,4,0.25,0.25,0,0,1,0,0,25,255,1,0,0.04,0.02,0.04,0,0,0,normal
0,tcp,SF,207,38521,0,0,2,2,0,0,0,0,1,0,0,18,153,1,0,0.06,0.03,0,0.48,0,0,normal
