@relation 'UnformattedKDDTrain+_20Percent-weka.filters.unsupervised.attribute.Remove-R3,7,10,11,12,13,14,15,16,17,18,19,20,21,22,43-weka.filters.unsupervised.instance.Randomize-S11'

@attribute duration numeric
@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute dst_bytes numeric
@attribute wrong_fragment numeric
@attribute urgent numeric
@attribute count numeric
@attribute srv_count numeric
@attribute serror_rate numeric
@attribute srv_serror_rate numeric
@attribute rerror_rate numeric
@attribute srv_rerror_rate numeric
@attribute same_srv_rate numeric
@attribute diff_srv_rate numeric
@attribute srv_diff_host_rate numeric
@attribute dst_host_count numeric
@attribute dst_host_srv_count numeric
@attribute dst_host_same_srv_rate numeric
@attribute dst_host_diff_srv_rate numeric
@attribute dst_host_same_src_port_rate numeric
@attribute dst_host_srv_diff_host_rate numeric
@attribute dst_host_serror_rate numeric
@attribute dst_host_srv_serror_rate numeric
@attribute dst_host_rerror_rate numeric
@attribute dst_host_srv_rerror_rate numeric
@attribute isAttack {normal,neptune}

@data
0,tcp,S0,0,0,0,0,35,13,1,1,0,0,0.37,0.11,0,255,65,0.25,0.02,0.01,0,1,1,0,0,neptune
0,tcp,S0,0,0,0,0,238,6,1,1,0,0,0.03,0.06,0,255,6,0.02,0.07,0,0,1,1,0,0,neptune
0,tcp,S0,0,0,0,0,290,45,1,0.36,0,0,0.06,0.06,0.07,255,16,0.06,0.08,0,0,1,1,0,0,neptune
0,tcp,S0,0,0,0,0,38,13,1,1,0,0,0.34,0.11,0,255,63,0.25,0.02,0.01,0,1,1,0,0,neptune
0,tcp,S0,0,0,0,0,40,12,1,1,0,0,0.3,0.1,0,255,2,0.01,0.06,0,0,1,1,0,0,neptune
0,tcp,S0,0,0,0,0,49,18,1,1,0,0,0.37,0.08,0,255,67,0.26,0.02,0,0,1,1,0,0,neptune
0,tcp,S0,0,0,0,0,7,7,1,1,0,0,1,0,0,255,7,0.03,0.07,0,0,1,1,0,0,neptune
0,tcp,S0,0,0,0,0,292,20,1,1,0,0,0.07,0.06,0,255,19,0.07,0.05,0,0,1,1,0,0,neptune
0,tcp,S0,0,0,0,0,38,10,1,1,0,0,0.26,0.11,0,255,30,0.12,0.06,0.01,0,1,1,0,0,neptune
0,tcp,S0,0,0,0,0,41,11,0.98,1,0.02,0,0.27,0.12,0,255,43,0.17,0.04,0,0,1,1,0,0,neptune
0,tcp,S0,0,0,0,0,248,11,1,1,0,0,0.04,0.06,0,255,11,0.04,0.07,0,0,1,1,0,0,neptune
0,tcp,S0,0,0,0,0,28,11,1,1,0,0,0.39,0.14,0,255,67,0.26,0.02,0.01,0,1,1,0,0,neptune
0,tcp,S0,0,0,0,0,2,2,1,1,0,0,1,0,0,255,2,0.01,0.07,0,0,1,1,0,0,neptune
0,tcp,S0,0,0,0,0,283,23,1,1,0,0,0.08,0.05,0,255,23,0.09,0.05,0,0,1,1,0,0,neptune
0,tcp,REJ,0,0,0,0,220,9,0,0,1,1,0.04,0.07,0,255,9,0.04,0.09,0,0,0,0,1,1,neptune
0,tcp,S0,0,0,0,0,107,20,1,1,0,0,0.19,0.07,0,255,14,0.05,0.07,0,0,1,1,0,0,neptune
0,tcp,S0,0,0,0,0,223,28,1,0.39,0,0,0.05,0.06,0.11,255,11,0.04,0.08,0,0,1,1,0,0,neptune
0,tcp,S0,0,0,0,0,22,7,1,1,0,0,0.32,0.14,0,255,62,0.24,0.02,0,0,1,1,0,0,neptune
0,tcp,S0,0,0,0,0,12,8,1,1,0,0,0.67,0.25,0,255,68,0.27,0.02,0,0,1,1,0,0,neptune
0,tcp,S0,0,0,0,0,4,4,1,1,0,0,1,0,0,255,65,0.25,0.02,0,0,1,1,0,0,neptune
0,tcp,S0,0,0,0,0,10,4,1,1,0,0,0.4,0.4,0,172,44,0.26,0.02,0.02,0,0.99,1,0,0,neptune
0,tcp,REJ,0,0,0,0,289,16,0,0,1,1,0.06,0.06,0,255,16,0.06,0.06,0,0,0,0,1,1,neptune
0,tcp,S0,0,0,0,0,296,25,1,1,0,0,0.08,0.05,0,255,25,0.1,0.05,0,0,1,1,0,0,neptune
0,tcp,S0,0,0,0,0,51,16,1,1,0,0,0.31,0.08,0,255,62,0.24,0.02,0.01,0,1,1,0,0,neptune
0,tcp,REJ,0,0,0,0,243,1,0,0,1,1,0,0.07,0,255,1,0,0.07,0,0,0,0,1,1,neptune
0,tcp,S0,0,0,0,0,24,10,1,1,0,0,0.42,0.17,0,104,30,0.29,0.04,0.04,0,1,1,0,0,neptune
0,tcp,S0,0,0,0,0,235,15,1,1,0,0,0.06,0.06,0,255,15,0.06,0.07,0,0,1,1,0,0,neptune
0,tcp,S0,0,0,0,0,7,3,1,1,0,0,0.43,0.43,0,247,63,0.26,0.02,0,0,1,1,0,0,neptune
0,tcp,S0,0,0,0,0,9,5,1,1,0,0,0.56,0.33,0,255,12,0.05,0.05,0.01,0,1,1,0,0,neptune
0,tcp,S0,0,0,0,0,210,10,1,1,0,0,0.05,0.06,0,255,16,0.06,0.08,0,0,1,1,0,0,neptune
0,tcp,S0,0,0,0,0,22,11,1,1,0,0,0.5,0.09,0,255,67,0.26,0.02,0.01,0,1,1,0,0,neptune
0,tcp,S0,0,0,0,0,298,18,1,1,0,0,0.06,0.06,0,255,5,0.02,0.08,0,0,1,1,0,0,neptune
0,tcp,S0,0,0,0,0,238,20,1,0.65,0,0,0.05,0.07,0.1,255,13,0.05,0.06,0,0,1,1,0,0,neptune
0,tcp,S0,0,0,0,0,192,10,1,1,0,0,0.05,0.06,0,255,10,0.04,0.08,0,0,1,1,0,0,neptune
0,tcp,S0,0,0,0,0,16,7,1,1,0,0,0.44,0.25,0,255,40,0.16,0.04,0.01,0,1,1,0,0,neptune
0,tcp,S0,0,0,0,0,23,13,1,0.92,0,0.08,0.52,0.09,0.15,183,52,0.28,0.02,0.01,0,1,1,0,0,neptune
0,tcp,S0,0,0,0,0,74,19,1,1,0,0,0.26,0.05,0,154,39,0.25,0.03,0.03,0,1,1,0,0,neptune
0,tcp,S0,0,0,0,0,9,9,1,1,0,0,1,0,0,11,9,0.82,0.18,0.09,0,0.82,1,0,0,neptune
0,tcp,S0,0,0,0,0,5,2,1,1,0,0,0.4,0.6,0,255,62,0.24,0.02,0,0,1,1,0,0,neptune
0,tcp,REJ,0,0,0,0,296,19,0,0,1,1,0.06,0.05,0,255,19,0.07,0.06,0,0,0,0,1,1,neptune
0,tcp,S0,0,0,0,0,1,1,1,1,0,0,1,0,0,255,41,0.16,0.03,0,0,1,1,0,0,neptune
0,tcp,S0,0,0,0,0,1,1,1,1,0,0,1,0,0,255,59,0.23,0.04,0,0,1,1,0,0,neptune
0,tcp,S0,0,0,0,0,11,3,1,1,0,0,0.27,0.36,0,255,59,0.23,0.04,0.01,0,1,1,0,0,neptune
0,tcp,S0,0,0,0,0,221,9,1,0.89,0,0,0.04,0.07,0.22,255,8,0.03,0.08,0,0,1,1,0,0,neptune
0,tcp,S0,0,0,0,0,113,4,1,1,0,0,0.04,0.06,0,255,14,0.05,0.07,0,0,1,1,0,0,neptune
0,tcp,S0,0,0,0,0,31,11,1,1,0,0,0.35,0.13,0,255,65,0.25,0.02,0.01,0,1,1,0,0,neptune
0,tcp,S0,0,0,0,0,37,20,1,0.95,0,0.05,0.51,0.05,0.1,197,59,0.3,0.02,0.01,0,1,1,0,0,neptune
0,tcp,S0,0,0,0,0,48,16,1,1,0,0,0.33,0.08,0,255,62,0.24,0.02,0,0,1,1,0,0,neptune
0,tcp,S0,0,0,0,0,5,2,1,1,0,0,0.4,0.4,0,255,62,0.24,0.02,0,0,1,1,0,0,neptune
0,tcp,S0,0,0,0,0,145,16,1,1,0,0,0.11,0.06,0,255,16,0.06,0.08,0,0,1,1,0,0,neptune
0,tcp,REJ,0,0,0,0,254,6,0,0,1,1,0.02,0.07,0,255,6,0.02,0.08,0,0,0,0,1,1,neptune
0,tcp,S0,0,0,0,0,252,27,1,0.74,0,0,0.08,0.06,0.07,255,20,0.08,0.06,0,0,1,1,0,0,neptune
0,tcp,S0,0,0,0,0,7,6,0.71,0.83,0.29,0.17,0.71,0.43,0.33,255,46,0.18,0.04,0,0,1,1,0,0,neptune
0,tcp,S0,0,0,0,0,237,23,1,0.26,0,0,0.03,0.07,0.09,255,6,0.02,0.07,0,0,1,1,0,0,neptune
0,tcp,S0,0,0,0,0,6,2,1,1,0,0,0.33,0.67,0,255,62,0.24,0.02,0.01,0,1,1,0,0,neptune
0,tcp,S0,0,0,0,0,47,13,1,1,0,0,0.28,0.09,0,127,33,0.26,0.03,0.03,0,1,1,0,0,neptune
0,tcp,S0,0,0,0,0,295,15,1,1,0,0,0.05,0.06,0,255,13,0.05,0.07,0,0,1,1,0,0,neptune
0,tcp,S0,0,0,0,0,20,9,1,1,0,0,0.45,0.2,0,102,29,0.28,0.04,0.02,0,0.98,1,0,0,neptune
0,tcp,S0,0,0,0,0,129,20,1,1,0,0,0.16,0.05,0,255,14,0.05,0.07,0,0,1,1,0,0,neptune
0,tcp,REJ,0,0,0,0,105,10,0,0,1,1,0.1,0.07,0,255,8,0.03,0.07,0,0,0,0,1,1,neptune
0,tcp,S0,0,0,0,0,58,18,1,1,0,0,0.31,0.07,0,255,66,0.26,0.02,0,0,1,1,0,0,neptune
0,tcp,S0,0,0,0,0,212,6,1,1,0,0,0.03,0.07,0,255,6,0.02,0.08,0,0,1,1,0,0,neptune
0,tcp,S0,0,0,0,0,68,19,0.97,1,0.03,0,0.28,0.09,0,255,35,0.14,0.04,0.01,0,1,1,0,0,neptune
0,tcp,S0,0,0,0,0,262,17,1,1,0,0,0.06,0.06,0,255,17,0.07,0.08,0,0,1,1,0,0,neptune
0,tcp,S0,0,0,0,0,204,13,1,1,0,0,0.06,0.06,0,255,13,0.05,0.07,0,0,1,1,0,0,neptune
0,tcp,REJ,0,0,0,0,293,18,0,0,1,1,0.06,0.05,0,255,18,0.07,0.06,0,0,0,0,1,1,neptune
