% isAttack tcpFlood:	667
% isAttack slowRead:	667
% isAttack httpFlood:	667
% isAttack slowHeaders:	667
% isAttack udpFlood:	372
% isAttack slowBody:	667
@relation 'TCP Flood-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R4,18,17,9,8,21,3,5,1-2,10-11,23-24,14-16,19-20,22,26,6,25,12,7,13,27'

@attribute src_bytes numeric
@attribute dst_host_srv_count numeric
@attribute dst_host_count numeric
@attribute srv_count numeric
@attribute count numeric
@attribute dst_host_same_src_port_rate numeric
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute dst_bytes numeric
@attribute duration numeric
@attribute protocol_type {tcp,icmp,udp}
@attribute serror_rate numeric
@attribute srv_serror_rate numeric
@attribute dst_host_serror_rate numeric
@attribute dst_host_srv_serror_rate numeric
@attribute same_srv_rate numeric
@attribute diff_srv_rate numeric
@attribute srv_diff_host_rate numeric
@attribute dst_host_same_srv_rate numeric
@attribute dst_host_diff_srv_rate numeric
@attribute dst_host_srv_diff_host_rate numeric
@attribute dst_host_srv_rerror_rate numeric
@attribute wrong_fragment numeric
@attribute dst_host_rerror_rate numeric
@attribute rerror_rate numeric
@attribute urgent numeric
@attribute srv_rerror_rate numeric
@attribute isAttack {tcpFlood,httpFlood,slowRead,slowHeaders,udpFlood,slowBody}

@data
78,67,67,26614,26614,0,OTH,0,0,tcp,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,tcpFlood
78,67,67,6709,6709,0.01,OTH,0,0,tcp,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,tcpFlood
78,66,66,15362,15362,0.04,OTH,0,0,tcp,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,tcpFlood
78,72,72,13497,13497,0.01,OTH,0,0,tcp,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,tcpFlood
78,74,74,26973,26973,0.03,OTH,0,0,tcp,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,tcpFlood
78,67,67,19441,19441,0.01,OTH,0,0,tcp,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,tcpFlood
78,70,70,10354,10354,0.01,OTH,0,0,tcp,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,tcpFlood
78,66,66,1687,1687,0.03,OTH,0,0,tcp,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,tcpFlood
78,67,67,12387,12387,0.01,OTH,0,0,tcp,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,tcpFlood
78,73,73,2694,2694,0.04,OTH,0,0,tcp,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,tcpFlood
78,67,67,11429,11429,0.01,OTH,0,0,tcp,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,tcpFlood
78,71,71,6191,6191,0.01,OTH,0,0,tcp,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,tcpFlood
