@relation 'httpFlood'

@attribute 'srcip' STRING
@attribute 'srcport' NUMERIC
@attribute 'dstip' STRING
@attribute 'dstport' NUMERIC
@attribute 'proto' NUMERIC
@attribute 'total_fpackets' NUMERIC
@attribute 'total_fvolume' NUMERIC
@attribute 'total_bpackets' NUMERIC
@attribute 'total_bvolume' NUMERIC
@attribute 'min_fpktl' NUMERIC
@attribute 'mean_fpktl' NUMERIC
@attribute 'max_fpktl' NUMERIC
@attribute 'std_fpktl' NUMERIC
@attribute 'min_bpktl' NUMERIC
@attribute 'mean_bpktl' NUMERIC
@attribute 'max_bpktl' NUMERIC
@attribute 'std_bpktl' NUMERIC
@attribute 'min_fiat' NUMERIC
@attribute 'mean_fiat' NUMERIC
@attribute 'max_fiat' NUMERIC
@attribute 'std_fiat' NUMERIC
@attribute 'min_biat' NUMERIC
@attribute 'mean_biat' NUMERIC
@attribute 'max_biat' NUMERIC
@attribute 'std_biat' NUMERIC
@attribute 'duration' NUMERIC
@attribute 'min_active' NUMERIC
@attribute 'mean_active' NUMERIC
@attribute 'max_active' NUMERIC
@attribute 'std_active' NUMERIC
@attribute 'min_idle' NUMERIC
@attribute 'mean_idle' NUMERIC
@attribute 'max_idle' NUMERIC
@attribute 'std_idle' NUMERIC
@attribute 'sflow_fpackets' NUMERIC
@attribute 'sflow_fbytes' NUMERIC
@attribute 'sflow_bpackets' NUMERIC
@attribute 'sflow_bbytes' NUMERIC
@attribute 'fpsh_cnt' NUMERIC
@attribute 'bpsh_cnt' NUMERIC
@attribute 'furg_cnt' NUMERIC
@attribute 'burg_cnt' NUMERIC
@attribute 'total_fhlen' NUMERIC
@attribute 'total_bhlen' NUMERIC

@attribute isAttack {normal,slowBody,slowHeaders,slowRead,tcpFlood,udpFlood,httpFlood}

@DATA
%Filename: /mnt/hgfs/VMShares/testbed/Feb2_2018/Loic/F/10ConnectionsNoAppend.pcapng,httpFlood
192.168.1.132,55174,192.168.2.100,80,6,6,357,4,699,52,59,89,14,52,174,535,240,10,14654,42876,24446,200,643,1087,627,7184586,0,15115,44248,25235,1950257,3569619,5188982,2290124,2,119,1,233,1,1,0,0,320,216,httpFlood
192.168.1.132,55180,192.168.2.100,80,6,6,357,4,699,52,59,89,14,52,174,535,240,26,15147,44432,25365,473,736,1000,372,7182829,0,15643,45916,26221,1954725,3567949,5181174,2281443,2,119,1,233,1,1,0,0,320,216,httpFlood
192.168.1.132,55226,192.168.2.100,80,6,6,357,4,699,52,59,89,14,52,174,535,240,77,14279,41639,23699,79,636,1194,788,3547028,0,14635,42692,24305,1597106,1751561,1906016,218432,2,119,1,233,1,1,0,0,320,216,httpFlood
192.168.1.132,55216,192.168.2.100,80,6,6,357,4,699,52,59,89,14,52,174,535,240,743,15389,44545,25249,82,855,1629,1093,3555109,0,15774,45676,25908,1601454,1753893,1906333,215582,2,119,1,233,1,1,0,0,320,216,httpFlood
192.168.1.132,55204,192.168.2.100,80,6,6,357,4,699,52,59,89,14,52,174,535,240,510,15161,43983,24961,199,850,1502,921,5215264,0,15658,45436,25799,1662329,2584144,3505960,1303643,2,119,1,233,1,1,0,0,320,216,httpFlood
192.168.1.132,55212,192.168.2.100,80,6,6,357,4,699,52,59,89,14,52,174,535,240,22,14969,43774,24951,84,610,1137,744,3946911,0,15352,44918,25610,1914779,1950426,1986074,50413,2,119,1,233,1,1,0,0,320,216,httpFlood
192.168.1.132,55198,192.168.2.100,80,6,6,357,4,699,52,59,89,14,52,174,535,240,552,14816,42855,24283,390,995,1601,856,5230991,0,15306,44296,25118,1670569,2592536,3514503,1303858,2,119,1,233,1,1,0,0,320,216,httpFlood
192.168.1.132,55186,192.168.2.100,80,6,6,357,4,699,52,59,89,14,52,174,535,240,92,14951,43733,24929,184,652,1121,662,7183803,0,15313,44810,25550,1962902,3568931,5174960,2271267,2,119,1,233,1,1,0,0,320,216,httpFlood
192.168.1.132,55190,192.168.2.100,80,6,6,357,4,699,52,59,89,14,52,174,535,240,20,14618,42499,24154,137,746,1356,861,5549433,0,15053,43786,24892,1596866,2752136,3907407,1633799,2,119,1,233,1,1,0,0,320,216,httpFlood
192.168.1.132,55210,192.168.2.100,80,6,6,357,4,699,52,59,89,14,52,174,535,240,8,15129,44259,25233,124,629,1135,714,3947681,0,15465,45250,25800,1915529,1950643,1985757,49658,2,119,1,233,1,1,0,0,320,216,httpFlood
