@relation 'normal'

@attribute 'srcip' STRING
@attribute 'srcport' NUMERIC
@attribute 'dstip' STRING
@attribute 'dstport' NUMERIC
@attribute 'proto' NUMERIC
@attribute 'total_fpackets' NUMERIC
@attribute 'total_fvolume' NUMERIC
@attribute 'total_bpackets' NUMERIC
@attribute 'total_bvolume' NUMERIC
@attribute 'min_fpktl' NUMERIC
@attribute 'mean_fpktl' NUMERIC
@attribute 'max_fpktl' NUMERIC
@attribute 'std_fpktl' NUMERIC
@attribute 'min_bpktl' NUMERIC
@attribute 'mean_bpktl' NUMERIC
@attribute 'max_bpktl' NUMERIC
@attribute 'std_bpktl' NUMERIC
@attribute 'min_fiat' NUMERIC
@attribute 'mean_fiat' NUMERIC
@attribute 'max_fiat' NUMERIC
@attribute 'std_fiat' NUMERIC
@attribute 'min_biat' NUMERIC
@attribute 'mean_biat' NUMERIC
@attribute 'max_biat' NUMERIC
@attribute 'std_biat' NUMERIC
@attribute 'duration' NUMERIC
@attribute 'min_active' NUMERIC
@attribute 'mean_active' NUMERIC
@attribute 'max_active' NUMERIC
@attribute 'std_active' NUMERIC
@attribute 'min_idle' NUMERIC
@attribute 'mean_idle' NUMERIC
@attribute 'max_idle' NUMERIC
@attribute 'std_idle' NUMERIC
@attribute 'sflow_fpackets' NUMERIC
@attribute 'sflow_fbytes' NUMERIC
@attribute 'sflow_bpackets' NUMERIC
@attribute 'sflow_bbytes' NUMERIC
@attribute 'fpsh_cnt' NUMERIC
@attribute 'bpsh_cnt' NUMERIC
@attribute 'furg_cnt' NUMERIC
@attribute 'burg_cnt' NUMERIC
@attribute 'total_fhlen' NUMERIC
@attribute 'total_bhlen' NUMERIC

@attribute isAttack {normal,slowBody,slowHeaders,slowRead,tcpFlood,udpFlood,httpFlood}

@DATA
%Filename: /mnt/hgfs/VMShares/testbed/Feb2_2018/N/Every5Sec_40secRun.pcapng,normal
192.168.1.131,40648,192.168.2.100,80,6,5,305,4,699,52,61,89,16,52,174,535,240,36,9604,26540,14707,236,1273,2311,1467,1536817,2335,15407,28480,18487,1506002,1506002,1506002,0,2,152,2,349,1,1,0,0,268,216,normal
192.168.1.131,40650,192.168.2.100,80,6,6,357,4,699,52,59,89,14,52,174,535,240,596,12965,44211,20924,1021,1803,2586,1106,1565475,2617,26651,50686,33989,1512172,1512172,1512172,0,3,178,2,349,1,1,0,0,320,216,normal
192.168.1.131,40652,192.168.2.100,80,6,6,357,4,699,52,59,89,14,52,174,535,240,35,12897,43229,20388,222,1140,2059,1298,1474193,2127,26413,50700,34346,1421366,1421366,1421366,0,3,178,2,349,1,1,0,0,320,216,normal
192.168.1.131,40654,192.168.2.100,80,6,5,305,4,699,52,61,89,16,52,174,535,240,60,4907,12373,6561,628,1492,2356,1221,1501730,2398,8636,14875,8822,1484457,1484457,1484457,0,2,152,2,349,1,1,0,0,268,216,normal
192.168.1.131,40656,192.168.2.100,80,6,5,305,4,699,52,61,89,16,52,174,535,240,6,7402,20193,11121,538,1280,2022,1049,1500323,2067,12401,22735,14614,1475521,1475521,1475521,0,2,152,2,349,1,1,0,0,268,216,normal
192.168.1.140,42406,192.168.2.100,80,6,13,800,6,11915,52,61,168,32,52,1985,7292,3128,16,475,1450,525,465,1896,3945,1494,1497791,2006,3821,5637,2567,1490148,1490148,1490148,0,6,400,3,5957,1,1,0,0,684,320,normal
192.168.1.131,40658,192.168.2.100,80,6,6,357,4,699,52,59,89,14,52,174,535,240,17,16153,42826,19938,359,1068,1778,1003,1624848,1844,33582,65321,44885,1557683,1557683,1557683,0,3,178,2,349,1,1,0,0,320,216,normal
192.168.1.131,40660,192.168.2.100,80,6,6,357,4,699,52,59,89,14,52,174,535,240,17,11465,43752,21545,363,1213,2063,1202,1612115,2088,23724,45361,30598,1564666,1564666,1564666,0,3,178,2,349,1,1,0,0,320,216,normal
192.168.1.120,54020,192.168.2.100,80,6,13,800,7,11967,52,61,168,32,52,1709,5844,2824,7,620,1708,523,363,1866,5623,2291,1734092,2545,4681,6817,3020,1724730,1724730,1724730,0,6,400,3,5983,1,1,0,0,684,372,normal
