@relation 'slowBody'

@attribute 'srcip' STRING
@attribute 'srcport' NUMERIC
@attribute 'dstip' STRING
@attribute 'dstport' NUMERIC
@attribute 'proto' NUMERIC
@attribute 'total_fpackets' NUMERIC
@attribute 'total_fvolume' NUMERIC
@attribute 'total_bpackets' NUMERIC
@attribute 'total_bvolume' NUMERIC
@attribute 'min_fpktl' NUMERIC
@attribute 'mean_fpktl' NUMERIC
@attribute 'max_fpktl' NUMERIC
@attribute 'std_fpktl' NUMERIC
@attribute 'min_bpktl' NUMERIC
@attribute 'mean_bpktl' NUMERIC
@attribute 'max_bpktl' NUMERIC
@attribute 'std_bpktl' NUMERIC
@attribute 'min_fiat' NUMERIC
@attribute 'mean_fiat' NUMERIC
@attribute 'max_fiat' NUMERIC
@attribute 'std_fiat' NUMERIC
@attribute 'min_biat' NUMERIC
@attribute 'mean_biat' NUMERIC
@attribute 'max_biat' NUMERIC
@attribute 'std_biat' NUMERIC
@attribute 'duration' NUMERIC
@attribute 'min_active' NUMERIC
@attribute 'mean_active' NUMERIC
@attribute 'max_active' NUMERIC
@attribute 'std_active' NUMERIC
@attribute 'min_idle' NUMERIC
@attribute 'mean_idle' NUMERIC
@attribute 'max_idle' NUMERIC
@attribute 'std_idle' NUMERIC
@attribute 'sflow_fpackets' NUMERIC
@attribute 'sflow_fbytes' NUMERIC
@attribute 'sflow_bpackets' NUMERIC
@attribute 'sflow_bbytes' NUMERIC
@attribute 'fpsh_cnt' NUMERIC
@attribute 'bpsh_cnt' NUMERIC
@attribute 'furg_cnt' NUMERIC
@attribute 'burg_cnt' NUMERIC
@attribute 'total_fhlen' NUMERIC
@attribute 'total_bhlen' NUMERIC

@attribute isAttack {normal,slowBody,slowHeaders,slowRead,tcpFlood,udpFlood,httpFlood}

@DATA
%Filename: /mnt/hgfs/VMShares/testbed/Feb2_2018/Slowhttptest/GET/B/100Connection.pcapng,slowBody
192.168.1.140,59606,192.168.2.100,80,6,13,879,5,11844,52,67,247,53,52,2368,7292,3330,4,938,3257,1197,471,2533,5769,2397,11267,11267,11267,11267,0,0,0,0,0,13,879,5,11844,1,1,0,0,684,268,slowBody
192.168.1.130,37910,192.168.2.100,80,6,12,827,4,11792,52,68,247,56,52,2948,7292,3543,4,930,4968,1534,930,2634,3673,1487,10239,10239,10239,10239,0,0,0,0,0,12,827,4,11792,1,1,0,0,632,216,slowBody
192.168.1.110,49122,192.168.2.100,80,6,13,879,7,11948,52,67,247,53,52,1706,2948,1545,3,1545,7278,2382,220,2848,10584,4030,18548,18548,18548,18548,0,0,0,0,0,13,879,7,11948,1,1,0,0,684,372,slowBody
192.168.1.142,49722,192.168.2.100,80,6,13,879,5,11844,52,67,247,53,52,2368,7292,3330,4,49110,582842,168083,508,147119,581150,289357,589330,589330,589330,589330,0,0,0,0,0,13,879,5,11844,1,1,0,0,684,268,slowBody
192.168.1.120,48272,192.168.2.100,80,6,12,806,4,11792,52,67,226,50,52,2948,7292,3543,3,323,1361,501,497,1344,2191,1197,1569726,2212,2973,3735,1076,1563779,1563779,1563779,0,6,403,2,5896,1,1,0,0,632,216,slowBody
192.168.1.142,49724,192.168.2.100,80,6,8,858,7,859,40,107,406,122,52,122,539,183,1073,1958,2663,810,456,2098,3741,2322,31091302,27,1209,3751,1683,1011794,7771314,10033149,4506361,1,171,1,171,4,1,0,0,412,372,slowBody
192.168.1.142,49726,192.168.2.100,80,6,8,830,7,859,40,103,406,122,52,122,539,183,873,2178,3061,1153,226,1854,3482,2302,31089246,14,1327,3499,1788,1011903,7770651,10033147,4505850,1,166,1,171,4,1,0,0,412,372,slowBody
192.168.1.142,49728,192.168.2.100,80,6,8,877,7,859,40,109,406,121,52,122,539,183,851,2402,3518,1385,330,2013,3697,2380,31086599,11,1454,3709,1971,1011581,7769831,10033174,4505522,1,175,1,171,4,1,0,0,412,372,slowBody
192.168.1.142,49730,192.168.2.100,80,6,8,865,7,859,40,108,406,121,52,122,539,183,873,2238,3977,1585,441,1592,2743,1627,31083947,11,1354,3977,1888,1011939,7769293,10033174,4504929,1,173,1,171,4,1,0,0,412,372,slowBody
