@relation 'slowHeaders'

@attribute 'srcip' STRING
@attribute 'srcport' NUMERIC
@attribute 'dstip' STRING
@attribute 'dstport' NUMERIC
@attribute 'proto' NUMERIC
@attribute 'total_fpackets' NUMERIC
@attribute 'total_fvolume' NUMERIC
@attribute 'total_bpackets' NUMERIC
@attribute 'total_bvolume' NUMERIC
@attribute 'min_fpktl' NUMERIC
@attribute 'mean_fpktl' NUMERIC
@attribute 'max_fpktl' NUMERIC
@attribute 'std_fpktl' NUMERIC
@attribute 'min_bpktl' NUMERIC
@attribute 'mean_bpktl' NUMERIC
@attribute 'max_bpktl' NUMERIC
@attribute 'std_bpktl' NUMERIC
@attribute 'min_fiat' NUMERIC
@attribute 'mean_fiat' NUMERIC
@attribute 'max_fiat' NUMERIC
@attribute 'std_fiat' NUMERIC
@attribute 'min_biat' NUMERIC
@attribute 'mean_biat' NUMERIC
@attribute 'max_biat' NUMERIC
@attribute 'std_biat' NUMERIC
@attribute 'duration' NUMERIC
@attribute 'min_active' NUMERIC
@attribute 'mean_active' NUMERIC
@attribute 'max_active' NUMERIC
@attribute 'std_active' NUMERIC
@attribute 'min_idle' NUMERIC
@attribute 'mean_idle' NUMERIC
@attribute 'max_idle' NUMERIC
@attribute 'std_idle' NUMERIC
@attribute 'sflow_fpackets' NUMERIC
@attribute 'sflow_fbytes' NUMERIC
@attribute 'sflow_bpackets' NUMERIC
@attribute 'sflow_bbytes' NUMERIC
@attribute 'fpsh_cnt' NUMERIC
@attribute 'bpsh_cnt' NUMERIC
@attribute 'furg_cnt' NUMERIC
@attribute 'burg_cnt' NUMERIC
@attribute 'total_fhlen' NUMERIC
@attribute 'total_bhlen' NUMERIC

@attribute isAttack {normal,slowBody,slowHeaders,slowRead,tcpFlood,udpFlood,httpFlood}

@DATA
%Filename: /mnt/hgfs/VMShares/testbed/Feb2_2018/Slowhttptest/GET/H/100Connection.pcapng,slowHeaders
192.168.1.140,32962,192.168.2.100,80,6,12,975,6,11896,52,81,395,98,52,1982,2948,1492,5,857,3588,1184,207,1264,3958,1624,9431,9431,9431,9431,0,0,0,0,0,12,975,6,11896,1,1,0,0,632,320,slowHeaders
192.168.1.110,50720,192.168.2.100,80,6,12,931,5,11844,52,77,351,86,52,2368,4396,2193,16,797,2738,880,375,1392,3439,1392,8769,8769,8769,8769,0,0,0,0,0,12,931,5,11844,1,1,0,0,632,268,slowHeaders
192.168.1.100,47490,192.168.2.100,80,6,13,1027,5,11844,52,79,395,94,52,2368,7292,3330,1,1638,8117,2675,268,2887,8387,3724,19656,19656,19656,19656,0,0,0,0,0,13,1027,5,11844,1,1,0,0,684,268,slowHeaders
192.168.1.141,48306,192.168.2.100,80,6,12,975,5,11844,52,81,395,98,52,2368,4396,2193,5,53737,585901,176499,299,146918,583560,291098,591117,591117,591117,591117,0,0,0,0,0,12,975,5,11844,1,1,0,0,632,268,slowHeaders
192.168.1.130,39492,192.168.2.100,80,6,9,763,5,11844,40,84,351,99,52,2368,4396,2193,5,516,1968,812,412,1383,3309,1667,1563377,2105,2730,3355,883,1557917,1557917,1557917,0,4,381,2,5922,1,1,0,0,464,268,slowHeaders
192.168.1.102,50720,192.168.2.100,80,6,12,975,4,11792,52,81,395,98,52,2948,5844,3339,15,455,1907,572,889,1852,2815,1361,1560069,2822,3354,3887,753,1553360,1553360,1553360,0,6,487,2,5896,1,1,0,0,632,216,slowHeaders
192.168.1.120,49854,192.168.2.100,80,6,13,983,6,11896,52,75,351,82,52,1982,4396,2177,4,659,1909,818,329,1949,3724,1850,1564626,3736,4722,5709,1395,1555181,1555181,1555181,0,6,491,3,5948,1,1,0,0,684,320,slowHeaders
192.168.1.130,39494,192.168.2.100,80,6,8,837,7,855,40,104,349,101,52,122,535,182,1334,1871,2220,471,468,1935,3402,2074,31063116,26,1151,3407,1574,1002788,7764340,10024384,4507706,1,167,1,171,4,1,0,0,412,372,slowHeaders
192.168.1.130,39496,192.168.2.100,80,6,8,826,7,855,40,103,349,101,52,122,535,182,1294,2098,2918,812,190,1789,3389,2262,31060776,13,1274,3394,1726,1002666,7763601,10024152,4507297,1,165,1,171,4,1,0,0,412,372,slowHeaders
192.168.1.130,39498,192.168.2.100,80,6,8,816,7,855,40,102,349,101,52,122,535,182,1063,2228,3401,1169,252,1769,3287,2146,31058037,11,1347,3401,1827,1002524,7762825,10024041,4506876,1,163,1,171,4,1,0,0,412,372,slowHeaders
192.168.1.130,39500,192.168.2.100,80,6,8,805,7,855,40,100,349,101,52,122,535,182,1058,2732,4311,1628,238,2065,3893,2584,31055861,14,1652,4311,2246,1002411,7761899,10024171,4506338,1,161,1,171,4,1,0,0,412,372,slowHeaders
192.168.1.102,50722,192.168.2.100,80,6,8,887,7,855,40,110,393,116,52,122,535,182,801,1582,2007,677,281,1508,2735,1735,31089033,27,971,2746,1309,1010758,7771044,10029074,4506862,1,177,1,171,4,1,0,0,412,372,slowHeaders
192.168.1.102,50724,192.168.2.100,80,6,8,881,7,855,40,110,393,116,52,122,535,182,1173,1558,1979,404,410,1772,3135,1926,31086659,17,951,3178,1404,1011088,7770475,10029115,4506264,1,176,1,171,4,1,0,0,412,372,slowHeaders
192.168.1.102,50726,192.168.2.100,80,6,8,867,7,855,40,108,393,116,52,122,535,182,1123,1961,2672,782,336,1771,3206,2029,31084870,21,1197,3243,1619,1009808,7769721,10029450,4506617,1,173,1,171,4,1,0,0,412,372,slowHeaders
192.168.1.120,49856,192.168.2.100,80,6,8,757,6,803,40,94,349,103,52,133,535,196,1872,1925,2020,82,3896,3896,3896,0,31136864,34,1182,3900,1715,1011420,7782737,10049956,4514217,1,151,1,160,4,1,0,0,412,320,slowHeaders
192.168.1.120,49858,192.168.2.100,80,6,8,812,7,855,40,101,349,101,52,122,535,182,881,2010,3047,1086,189,1591,2993,1982,31135019,14,1222,3047,1645,1011526,7782227,10050066,4513807,1,162,1,171,4,1,0,0,412,372,slowHeaders
192.168.1.120,49860,192.168.2.100,80,6,8,819,7,855,40,102,349,101,52,122,535,182,1612,2378,3905,1322,176,1717,3259,2180,31132944,13,1445,3905,1972,1011234,7781429,10050254,4513471,1,163,1,171,4,1,0,0,412,372,slowHeaders
192.168.1.130,39502,192.168.2.100,80,6,8,858,8,907,40,107,349,101,52,113,535,170,1073,29543,85435,48406,268,15226,42212,23416,31133281,12,17744,85435,37865,1002299,7761140,10024128,4505910,1,171,1,181,4,1,0,0,412,424,slowHeaders
192.168.1.100,47492,192.168.2.100,80,6,8,895,7,855,40,111,393,116,52,122,535,182,512,1462,2506,1000,380,1131,1883,1062,31306552,12,901,2506,1206,1013539,7825511,10192497,4541825,1,179,1,171,4,1,0,0,412,372,slowHeaders
192.168.1.100,47494,192.168.2.100,80,6,8,863,7,855,40,107,393,117,52,122,535,182,1364,4017,7590,3213,183,4574,8965,6209,31296267,13,2424,8977,3898,1013317,7821036,10174644,4538871,1,172,1,171,4,1,0,0,412,372,slowHeaders
192.168.1.100,47496,192.168.2.100,80,6,8,874,6,803,40,109,393,116,52,133,535,196,1116,2368,3674,1279,3404,3404,3404,0,31288870,11,1431,3674,1945,1013535,7820428,10171965,4538304,1,174,1,160,4,1,0,0,412,320,slowHeaders
192.168.1.100,47498,192.168.2.100,80,6,8,879,7,855,40,109,393,116,52,122,535,182,1176,2669,4435,1646,190,1870,3550,2375,31286575,13,1613,4435,2211,1013398,7819627,10168873,4537843,1,175,1,171,4,1,0,0,412,372,slowHeaders
192.168.1.100,47512,192.168.2.100,80,6,8,832,7,855,40,104,393,118,52,122,535,182,1209,1666,2086,439,272,1763,3255,2109,31263162,7,1011,3325,1486,1015171,7814525,10146372,4533139,1,166,1,171,4,1,0,0,412,372,slowHeaders
192.168.1.100,47500,192.168.2.100,80,6,8,892,7,855,40,111,393,116,52,122,535,182,637,3057,5795,2593,175,1781,3387,2271,31285155,11,1852,5795,2655,1013702,7818973,10166060,4537188,1,178,1,171,4,1,0,0,412,372,slowHeaders
192.168.1.100,47502,192.168.2.100,80,6,8,860,7,855,40,107,393,116,52,122,535,182,1537,3074,6034,2563,284,1737,3191,2055,31282892,10,1877,6034,2696,1013941,7818376,10163445,4536616,1,172,1,171,4,1,0,0,412,372,slowHeaders
192.168.1.100,47506,192.168.2.100,80,6,8,838,7,855,40,104,393,117,52,122,535,182,1402,3372,6886,3050,391,1797,3204,1989,31278536,11,2037,6886,3054,1014360,7817087,10157917,4535447,1,167,1,171,4,1,0,0,412,372,slowHeaders
192.168.1.100,47510,192.168.2.100,80,6,8,878,7,855,40,109,393,116,52,122,535,182,1427,3730,7743,3487,307,1872,3438,2213,31271317,11,2253,7743,3416,1014164,7815013,10149372,4534149,1,175,1,171,4,1,0,0,412,372,slowHeaders
192.168.1.140,32988,192.168.2.100,80,6,8,863,7,855,40,107,393,117,52,122,535,182,1238,1559,1750,280,427,1702,2978,1803,31373168,11,956,3047,1375,1015350,7842096,10262424,4552319,1,172,1,171,4,1,0,0,412,372,slowHeaders
192.168.1.100,47514,192.168.2.100,80,6,8,877,6,803,40,109,393,116,52,133,535,196,1074,3641,7744,3590,3199,3199,3199,0,31266081,11,2199,7744,3395,1014879,7813771,10143595,4532817,1,175,1,160,4,1,0,0,412,320,slowHeaders
192.168.1.100,47516,192.168.2.100,80,6,8,890,7,855,40,111,393,116,52,122,535,182,1227,4892,11240,5519,334,1873,3413,2177,31267085,11,2946,11240,4870,1015176,7813088,10140552,4532150,1,178,1,171,4,1,0,0,412,372,slowHeaders
192.168.1.100,47518,192.168.2.100,80,6,8,884,7,855,40,110,393,117,52,122,535,182,1249,4672,10820,5335,257,1728,3200,2081,31263919,10,2813,10820,4685,1015399,7812462,10137848,4531572,1,176,1,171,4,1,0,0,412,372,slowHeaders
192.168.1.100,47520,192.168.2.100,80,6,8,882,7,855,40,110,393,116,52,122,535,182,1153,4664,10750,5291,287,1758,3230,2081,31261302,11,2837,10750,4638,1015281,7811779,10135073,4531183,1,176,1,171,4,1,0,0,412,372,slowHeaders
192.168.1.100,47522,192.168.2.100,80,6,8,842,6,803,40,105,393,117,52,133,535,196,1194,4785,11270,5626,3104,3104,3104,0,31259573,10,2884,11270,4876,1015843,7811287,10132315,4530468,1,168,1,160,4,1,0,0,412,320,slowHeaders
192.168.1.100,47548,192.168.2.100,80,6,8,871,6,803,40,108,393,116,52,133,535,196,1065,3798,8111,3779,3285,3285,3285,0,31222971,10,2288,8111,3552,1017907,7802882,10095668,4523370,1,174,1,160,4,1,0,0,412,320,slowHeaders
192.168.1.100,47524,192.168.2.100,80,6,8,851,7,855,40,106,393,117,52,122,535,182,1259,5330,13027,6669,591,1795,3000,1703,31258648,12,3215,13027,5636,1015809,7810642,10129527,4530049,1,170,1,171,4,1,0,0,412,372,slowHeaders
