@relation 'slowRead'

@attribute 'srcip' STRING
@attribute 'srcport' NUMERIC
@attribute 'dstip' STRING
@attribute 'dstport' NUMERIC
@attribute 'proto' NUMERIC
@attribute 'total_fpackets' NUMERIC
@attribute 'total_fvolume' NUMERIC
@attribute 'total_bpackets' NUMERIC
@attribute 'total_bvolume' NUMERIC
@attribute 'min_fpktl' NUMERIC
@attribute 'mean_fpktl' NUMERIC
@attribute 'max_fpktl' NUMERIC
@attribute 'std_fpktl' NUMERIC
@attribute 'min_bpktl' NUMERIC
@attribute 'mean_bpktl' NUMERIC
@attribute 'max_bpktl' NUMERIC
@attribute 'std_bpktl' NUMERIC
@attribute 'min_fiat' NUMERIC
@attribute 'mean_fiat' NUMERIC
@attribute 'max_fiat' NUMERIC
@attribute 'std_fiat' NUMERIC
@attribute 'min_biat' NUMERIC
@attribute 'mean_biat' NUMERIC
@attribute 'max_biat' NUMERIC
@attribute 'std_biat' NUMERIC
@attribute 'duration' NUMERIC
@attribute 'min_active' NUMERIC
@attribute 'mean_active' NUMERIC
@attribute 'max_active' NUMERIC
@attribute 'std_active' NUMERIC
@attribute 'min_idle' NUMERIC
@attribute 'mean_idle' NUMERIC
@attribute 'max_idle' NUMERIC
@attribute 'std_idle' NUMERIC
@attribute 'sflow_fpackets' NUMERIC
@attribute 'sflow_fbytes' NUMERIC
@attribute 'sflow_bpackets' NUMERIC
@attribute 'sflow_bbytes' NUMERIC
@attribute 'fpsh_cnt' NUMERIC
@attribute 'bpsh_cnt' NUMERIC
@attribute 'furg_cnt' NUMERIC
@attribute 'burg_cnt' NUMERIC
@attribute 'total_fhlen' NUMERIC
@attribute 'total_bhlen' NUMERIC

@attribute isAttack {normal,slowBody,slowHeaders,slowRead,tcpFlood,udpFlood,httpFlood}

@DATA
%Filename: /mnt/hgfs/VMShares/testbed/Feb2_2018/Slowhttptest/GET/X/100Connection.pcapng,slowRead
192.168.1.140,33376,192.168.2.100,80,6,13,983,6,11896,52,75,351,82,52,1982,4396,2177,5,837,3535,1044,266,1756,3339,1470,10049,10049,10049,10049,0,0,0,0,0,13,983,6,11896,1,1,0,0,684,320,slowRead
192.168.1.130,39914,192.168.2.100,80,6,10,815,6,11896,40,81,351,94,52,1982,4396,2177,1,729,3009,1119,110,1254,3203,1258,6562,6562,6562,6562,0,0,0,0,0,10,815,6,11896,1,1,0,0,516,320,slowRead
192.168.1.110,51134,192.168.2.100,80,6,13,983,6,11896,52,75,351,82,52,1982,4396,2177,11,849,2441,856,214,1800,4898,2103,10198,10198,10198,10198,0,0,0,0,0,13,983,6,11896,1,1,0,0,684,320,slowRead
192.168.1.100,47904,192.168.2.100,80,6,7,555,6,11896,40,79,247,74,52,1982,4396,2177,58,65874,390748,159157,144,78964,389023,173334,395249,395249,395249,395249,0,0,0,0,0,7,555,6,11896,1,1,0,0,360,320,slowRead
192.168.1.101,40930,192.168.2.100,80,6,13,879,7,11948,52,67,247,53,52,1706,2948,1545,5,33995,394603,113581,89,66999,392543,159498,407950,407950,407950,407950,0,0,0,0,0,13,879,7,11948,1,1,0,0,684,372,slowRead
192.168.1.142,51724,192.168.2.100,80,6,12,827,5,11844,52,68,247,56,52,2368,4396,2193,5,510,2458,726,272,1277,3200,1665,1376848,3210,3790,4371,820,1369267,1369267,1369267,0,6,413,2,5922,1,1,0,0,632,268,slowRead
192.168.1.120,50272,192.168.2.100,80,6,13,858,7,11948,52,66,226,48,52,1706,2948,1545,1,695,2574,905,88,1667,4335,2156,1393303,4348,4880,5413,753,1383542,1383542,1383542,0,6,429,3,5974,1,1,0,0,684,372,slowRead
192.168.1.141,48722,192.168.2.100,80,6,5,451,6,11896,40,90,247,87,52,1982,4396,2177,678,1784,2890,1564,327,1446,3620,1882,6891950,1703,15771,41987,22723,1537241,3422318,5307395,2665901,1,150,2,3965,1,1,0,0,256,320,slowRead
192.168.1.120,50474,192.168.2.100,80,6,16,1544,6,11896,52,96,226,77,52,1982,2948,1492,11,64114,415722,130731,122,208072,831781,415806,3405464,3691,278516,831858,479211,1025284,1284957,1544631,367233,5,514,2,3965,4,1,0,0,848,320,slowRead
