@relation 'tcpFlood'

@attribute 'srcip' STRING
@attribute 'srcport' NUMERIC
@attribute 'dstip' STRING
@attribute 'dstport' NUMERIC
@attribute 'proto' NUMERIC
@attribute 'total_fpackets' NUMERIC
@attribute 'total_fvolume' NUMERIC
@attribute 'total_bpackets' NUMERIC
@attribute 'total_bvolume' NUMERIC
@attribute 'min_fpktl' NUMERIC
@attribute 'mean_fpktl' NUMERIC
@attribute 'max_fpktl' NUMERIC
@attribute 'std_fpktl' NUMERIC
@attribute 'min_bpktl' NUMERIC
@attribute 'mean_bpktl' NUMERIC
@attribute 'max_bpktl' NUMERIC
@attribute 'std_bpktl' NUMERIC
@attribute 'min_fiat' NUMERIC
@attribute 'mean_fiat' NUMERIC
@attribute 'max_fiat' NUMERIC
@attribute 'std_fiat' NUMERIC
@attribute 'min_biat' NUMERIC
@attribute 'mean_biat' NUMERIC
@attribute 'max_biat' NUMERIC
@attribute 'std_biat' NUMERIC
@attribute 'duration' NUMERIC
@attribute 'min_active' NUMERIC
@attribute 'mean_active' NUMERIC
@attribute 'max_active' NUMERIC
@attribute 'std_active' NUMERIC
@attribute 'min_idle' NUMERIC
@attribute 'mean_idle' NUMERIC
@attribute 'max_idle' NUMERIC
@attribute 'std_idle' NUMERIC
@attribute 'sflow_fpackets' NUMERIC
@attribute 'sflow_fbytes' NUMERIC
@attribute 'sflow_bpackets' NUMERIC
@attribute 'sflow_bbytes' NUMERIC
@attribute 'fpsh_cnt' NUMERIC
@attribute 'bpsh_cnt' NUMERIC
@attribute 'furg_cnt' NUMERIC
@attribute 'burg_cnt' NUMERIC
@attribute 'total_fhlen' NUMERIC
@attribute 'total_bhlen' NUMERIC

@attribute isAttack {normal,slowBody,slowHeaders,slowRead,tcpFlood,udpFlood,httpFlood}

@DATA
%Filename: /mnt/hgfs/VMShares/testbed/Feb2_2018/Loic/T/10ConnectionsNoAppend.pcapng,tcpFlood
192.168.1.111,47032,192.168.2.100,80,6,4079,261916,887,46646,52,64,220,4,52,52,566,17,8,1391,18746,656,7,6399,43424,7682,5674151,5674151,5674151,5674151,0,0,0,0,0,4079,261916,887,46646,4076,1,0,0,212116,46132,tcpFlood
192.168.1.122,48300,192.168.2.100,80,6,6418,421116,1620,85454,52,65,880,20,52,52,566,12,1,1566,154161,3490,4,6208,135985,9366,10050860,10050860,10050860,10050860,0,0,0,0,0,6418,421116,1620,85454,6415,1,0,0,333744,84940,tcpFlood
192.168.1.122,48296,192.168.2.100,80,6,7200,474752,1805,95118,52,65,1264,25,52,52,566,12,4,1605,154140,3901,5,6404,127972,9906,11556274,11556274,11556274,11556274,0,0,0,0,0,7200,474752,1805,95118,7197,1,0,0,374408,94604,tcpFlood
192.168.1.140,34408,192.168.2.100,80,6,13571,885580,3436,180710,52,65,892,18,52,52,566,9,3,1579,644808,6345,2,6239,677844,14435,21435256,21435256,21435256,21435256,0,0,0,0,0,13571,885580,3436,180710,13568,1,0,0,705700,180196,tcpFlood
192.168.1.100,48924,192.168.2.100,80,6,58,3816,24,1256,52,65,184,15,52,52,60,1,328,1491,14804,1843,162,3138,28332,5836,85023,85023,85023,85023,0,0,0,0,0,58,3816,24,1256,56,0,0,0,3024,1256,tcpFlood
192.168.1.111,47024,192.168.2.100,80,6,4820,321340,1243,65434,52,66,1500,50,52,52,566,14,6,1649,679910,10462,1,6395,927678,27139,7948008,7948008,7948008,7948008,0,0,0,0,0,4820,321340,1243,65434,4814,1,0,0,250648,64920,tcpFlood
192.168.1.102,52254,192.168.2.100,80,6,82,5232,34,1776,52,63,64,1,52,52,60,1,19,1343,3050,409,712,2896,8369,2504,108791,108791,108791,108791,0,0,0,0,0,82,5232,34,1776,80,0,0,0,4272,1776,tcpFlood
192.168.1.112,56384,192.168.2.100,80,6,4512,289196,918,48258,52,64,208,3,52,52,566,16,1,1369,17061,558,6,6735,55380,8046,6179566,6179566,6179566,6179566,0,0,0,0,0,4512,289196,918,48258,4509,1,0,0,234632,47744,tcpFlood
192.168.1.102,52246,192.168.2.100,80,6,1064,69364,232,12586,52,65,244,11,52,54,566,33,2,1491,22486,1409,5,6849,43164,9034,1585614,1585614,1585614,1585614,0,0,0,0,0,1064,69364,232,12586,1061,1,0,0,55336,12072,tcpFlood
