@relation 'udpFlood'

@attribute 'srcip' STRING
@attribute 'srcport' NUMERIC
@attribute 'dstip' STRING
@attribute 'dstport' NUMERIC
@attribute 'proto' NUMERIC
@attribute 'total_fpackets' NUMERIC
@attribute 'total_fvolume' NUMERIC
@attribute 'total_bpackets' NUMERIC
@attribute 'total_bvolume' NUMERIC
@attribute 'min_fpktl' NUMERIC
@attribute 'mean_fpktl' NUMERIC
@attribute 'max_fpktl' NUMERIC
@attribute 'std_fpktl' NUMERIC
@attribute 'min_bpktl' NUMERIC
@attribute 'mean_bpktl' NUMERIC
@attribute 'max_bpktl' NUMERIC
@attribute 'std_bpktl' NUMERIC
@attribute 'min_fiat' NUMERIC
@attribute 'mean_fiat' NUMERIC
@attribute 'max_fiat' NUMERIC
@attribute 'std_fiat' NUMERIC
@attribute 'min_biat' NUMERIC
@attribute 'mean_biat' NUMERIC
@attribute 'max_biat' NUMERIC
@attribute 'std_biat' NUMERIC
@attribute 'duration' NUMERIC
@attribute 'min_active' NUMERIC
@attribute 'mean_active' NUMERIC
@attribute 'max_active' NUMERIC
@attribute 'std_active' NUMERIC
@attribute 'min_idle' NUMERIC
@attribute 'mean_idle' NUMERIC
@attribute 'max_idle' NUMERIC
@attribute 'std_idle' NUMERIC
@attribute 'sflow_fpackets' NUMERIC
@attribute 'sflow_fbytes' NUMERIC
@attribute 'sflow_bpackets' NUMERIC
@attribute 'sflow_bbytes' NUMERIC
@attribute 'fpsh_cnt' NUMERIC
@attribute 'bpsh_cnt' NUMERIC
@attribute 'furg_cnt' NUMERIC
@attribute 'burg_cnt' NUMERIC
@attribute 'total_fhlen' NUMERIC
@attribute 'total_bhlen' NUMERIC

@attribute isAttack {normal,slowBody,slowHeaders,slowRead,tcpFlood,udpFlood,httpFlood}

@DATA
%Filename: /mnt/hgfs/VMShares/testbed/Feb2_2018/Loic/U/10ConnectionsNoAppend.pcapng,udpFlood
192.168.1.140,56361,192.168.2.100,80,17,18968,758720,0,0,40,40,40,0,-1,-1,-1,0,1,1586,637596,7061,0,0,0,0,30093134,30093134,30093134,30093134,0,0,0,0,0,18968,758720,0,0,0,0,0,0,379368,0,udpFlood
192.168.1.130,39213,192.168.2.100,80,17,19110,764400,0,0,40,40,40,0,-1,-1,-1,0,1,1574,608318,6887,0,0,0,0,30092366,30092366,30092366,30092366,0,0,0,0,0,19110,764400,0,0,0,0,0,0,382208,0,udpFlood
192.168.1.122,56619,192.168.2.100,80,17,19025,761000,0,0,40,40,40,0,-1,-1,-1,0,1,1581,607598,6879,0,0,0,0,30093063,30093063,30093063,30093063,0,0,0,0,0,19025,761000,0,0,0,0,0,0,380508,0,udpFlood
192.168.1.131,52751,192.168.2.100,80,17,19142,765680,0,0,40,40,40,0,-1,-1,-1,0,1,1572,607640,6869,0,0,0,0,30092765,30092765,30092765,30092765,0,0,0,0,0,19142,765680,0,0,0,0,0,0,382848,0,udpFlood
192.168.1.120,59380,192.168.2.100,80,17,18527,741080,0,0,40,40,40,0,-1,-1,-1,0,1,1624,637595,7143,0,0,0,0,30093074,30093074,30093074,30093074,0,0,0,0,0,18527,741080,0,0,0,0,0,0,370548,0,udpFlood
192.168.1.101,35081,192.168.2.100,80,17,18658,746320,0,0,40,40,40,0,-1,-1,-1,0,1,1612,637612,7108,0,0,0,0,30092362,30092362,30092362,30092362,0,0,0,0,0,18658,746320,0,0,0,0,0,0,373168,0,udpFlood
192.168.1.110,47823,192.168.2.100,80,17,18668,746720,0,0,40,40,40,0,-1,-1,-1,0,1,1612,637693,7121,0,0,0,0,30092392,30092392,30092392,30092392,0,0,0,0,0,18668,746720,0,0,0,0,0,0,373368,0,udpFlood
192.168.1.132,48433,192.168.2.100,80,17,19014,760560,0,0,40,40,40,0,-1,-1,-1,0,1,1582,637699,7028,0,0,0,0,30091318,30091318,30091318,30091318,0,0,0,0,0,19014,760560,0,0,0,0,0,0,380288,0,udpFlood
192.168.1.121,59514,192.168.2.100,80,17,19025,761000,0,0,40,40,40,0,-1,-1,-1,0,1,1581,638967,7061,0,0,0,0,30093086,30093086,30093086,30093086,0,0,0,0,0,19025,761000,0,0,0,0,0,0,380508,0,udpFlood
192.168.1.100,57772,192.168.2.100,80,17,19077,763080,0,0,40,40,40,0,-1,-1,-1,0,1,1577,607867,6886,0,0,0,0,30091759,30091759,30091759,30091759,0,0,0,0,0,19077,763080,0,0,0,0,0,0,381548,0,udpFlood
192.168.1.102,34407,192.168.2.100,80,17,18972,758880,0,0,40,40,40,0,-1,-1,-1,0,3,1586,637398,7055,0,0,0,0,30093447,30093447,30093447,30093447,0,0,0,0,0,18972,758880,0,0,0,0,0,0,379448,0,udpFlood
192.168.1.132,36032,192.168.2.100,80,17,18993,759720,0,0,40,40,40,0,-1,-1,-1,0,1,1584,638859,7059,0,0,0,0,30091658,30091658,30091658,30091658,0,0,0,0,0,18993,759720,0,0,0,0,0,0,379868,0,udpFlood
192.168.1.142,58229,192.168.2.100,80,17,19046,761840,0,0,40,40,40,0,-1,-1,-1,0,1,1580,638675,7037,0,0,0,0,30092741,30092741,30092741,30092741,0,0,0,0,0,19046,761840,0,0,0,0,0,0,380928,0,udpFlood
0.0.0.0,68,255.255.255.255,67,17,1,328,0,0,328,328,328,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,328,0,0,0,0,0,0,28,0,udpFlood
192.168.1.132,34670,192.168.2.100,80,17,18985,759400,0,0,40,40,40,0,-1,-1,-1,0,7,1585,637703,7040,0,0,0,0,30091091,30091091,30091091,30091091,0,0,0,0,0,18985,759400,0,0,0,0,0,0,379708,0,udpFlood
