@relation ,normal
@attribute src_ip string
@attribute src_port numeric
@attribute dst_ip string
@attribute dst_port numeric
@attribute proto_number numeric
@attribute duration numeric
@attribute cof {N/A,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127}
@attribute total_f_packets numeric
@attribute total_b_packets numeric
@attribute total_f_bytes numeric
@attribute total_b_bytes numeric
@attribute pps_f numeric
@attribute pps_b numeric
@attribute bps_f numeric
@attribute bps_b numeric
@attribute rfb_packets numeric
@attribute rfb_bytes numeric
@attribute min_f_pkt numeric
@attribute mean_f_pkt numeric
@attribute max_f_pkt numeric
@attribute std_f_pkt numeric
@attribute min_b_pkt numeric
@attribute mean_b_pkt numeric
@attribute max_b_pkt numeric
@attribute std_b_pkt numeric
@attribute min_f_time numeric
@attribute mean_f_time numeric
@attribute max_f_time numeric
@attribute std_f_time numeric
@attribute min_b_time numeric
@attribute mean_b_time numeric
@attribute max_b_time numeric
@attribute std_b_time numeric
@attribute psh_f_cnt numeric
@attribute urg_f_cnt numeric
@attribute psh_b_cnt numeric
@attribute urg_b_cnt numeric
@attribute isAttack {normal,slowHeaders,slowRead,tcpFlood,udpFlood,httpFlood}
@data
% /home/jed/Documents/finalDataset/Feb19_2018/Noise/GET/B/200Connection.pcapng
192.168.1.102,41624,192.168.2.100,80,6,60.857457399368286,31,11,9,1190,963,0.18075023949512195,0.14789979876647671,19.553889545381377,15.82527846801301,1.2222222222222223,1.2357217030114227,46,108.18181818181819,467,114.66537733915402,52,107.0,539,152.7554327093548,0.001466989517211914,6.085745739936828,10.000659227371216,4.767061451999147,0.003106355667114258,7.606501221656799,10.000659227371216,4.104701301117088,7,0,1,0,normal
192.168.1.111,44504,192.168.2.100,80,6,1.5497207641601562e-05,18,1,1,60,60,0.0,0.0,0.0,0.0,1.0,1.0,60,60.0,60,0.0,60,60.0,60,0.0,0,0,0,0,0,0,0,0,0,0,0,0,normal
192.168.1.100,43352,192.168.2.100,80,6,60.478963136672974,31,16,10,2323,1015,0.2645548000524167,0.1740456970208358,38.41005003261025,17.665638247614833,1.6,2.288669950738916,46,145.1875,467,155.65957196314656,52,101.5,539,145.8528367910614,7.3909759521484375e-06,4.031930875778198,10.007962942123413,4.463408800868166,4.76837158203125e-07,6.384019427829319,10.007965803146362,4.357511039607414,9,0,1,0,normal
192.168.1.110,56138,192.168.2.100,80,6,3.0355491638183594,18,3,5,180,300,0.9882932418428518,1.6471811484395367,59.29759451057111,98.8308689063722,0.6,0.6,60,60.0,60,0.0,60,60.0,60,0.0,1.0202462673187256,1.517768144607544,2.0152900218963623,0.49752187728881836,0.014107942581176758,0.7588722109794617,2.0011820793151855,0.8233145216877457,0,0,0,0,normal
192.168.1.101,38920,192.168.2.100,80,6,60.83193802833557,31,16,10,2672,1015,0.2630197313876008,0.16719959568534964,43.92429514172933,16.970758962062988,1.6,2.6325123152709358,46,167.0,467,173.75269782078206,52,101.5,539,145.8528367910614,0.0005333423614501953,4.055462535222372,10.000755786895752,4.6102362934475325,2.1457672119140625e-05,6.6454174518585205,10.00075888633728,4.313888774498641,10,0,1,0,normal
192.168.1.111,44706,192.168.2.100,80,6,31.396580696105957,18,1,6,60,360,0.0,0.19110372016983032,0.0,11.466223210189819,0.16666666666666666,0.16666666666666666,60,60.0,60,0.0,60,60.0,60,0.0,0,0,0,0,1.028580665588379,6.279312610626221,16.12728190422058,5.503370361175283,0,0,0,0,normal
192.168.1.110,56136,192.168.2.100,80,6,3.038407564163208,18,3,5,180,300,0.9873633400876478,1.645630488960872,59.24180040525887,98.73782933765231,0.6,0.6,60,60.0,60,0.0,60,60.0,60,0.0,1.0233371257781982,1.5191975831985474,2.0150580406188965,0.4958604574203491,0.014105081558227539,0.759587287902832,2.0009524822235107,0.8234624446384496,0,0,0,0,normal
192.168.1.110,56008,192.168.2.100,80,6,5.020304441452026,18,3,5,180,300,0.9937189070737202,0.9959608806182584,59.62313442442321,59.7576528370955,0.6,0.6,60,60.0,60,0.0,60,60.0,60,0.0,1.0026934146881104,1.5094811916351318,2.0162689685821533,0.5067877769470215,1.002718448638916,1.255069375038147,2.0013256072998047,0.4308582596036019,0,0,0,0,normal
192.168.1.101,39106,192.168.2.100,80,6,60.549485206604004,31,16,10,2286,1015,0.26424667270754787,0.17385352501125936,37.7542433630909,17.646132788642824,1.6,2.2522167487684728,46,142.875,467,156.5921753313364,52,101.5,539,145.8528367910614,1.1205673217773438e-05,4.036632347106933,10.000872135162354,4.463507155394698,5.245208740234375e-06,6.391076114442614,10.000877618789673,4.354536330853643,9,0,1,0,normal
