@relation ,normal
@attribute src_ip string
@attribute src_port numeric
@attribute dst_ip string
@attribute dst_port numeric
@attribute proto_number numeric
@attribute duration numeric
@attribute cof string
@attribute total_f_packets numeric
@attribute total_b_packets numeric
@attribute total_f_bytes numeric
@attribute total_b_bytes numeric
@attribute pps_f numeric
@attribute pps_b numeric
@attribute bps_f numeric
@attribute bps_b numeric
@attribute rfb_packets numeric
@attribute rfb_bytes numeric
@attribute min_f_pkt numeric
@attribute mean_f_pkt numeric
@attribute max_f_pkt numeric
@attribute std_f_pkt numeric
@attribute min_b_pkt numeric
@attribute mean_b_pkt numeric
@attribute max_b_pkt numeric
@attribute std_b_pkt numeric
@attribute min_f_time numeric
@attribute mean_f_time numeric
@attribute max_f_time numeric
@attribute std_f_time numeric
@attribute min_b_time numeric
@attribute mean_b_time numeric
@attribute max_b_time numeric
@attribute std_b_time numeric
@attribute psh_f_cnt numeric
@attribute urg_f_cnt numeric
@attribute psh_b_cnt numeric
@attribute urg_b_cnt numeric
@attribute isAttack {normal,slowHeaders,slowRead,tcpFlood,udpFlood,httpFlood}
@data
% /home/jed/Documents/finalDataset/Feb19_2018/Noise/GET/H/200Connection.pcapng
192.168.1.101,38702,192.168.2.100,80,6,60.69676899909973,31,15,10,1199,1011,0.2471301231902885,0.18664234374928454,19.75393451367706,18.869540953052667,1.5,1.1859545004945597,46,79.93333333333334,224,42.5871133351654,52,101.1,535,144.65299858627196,1.9073486328125e-06,4.3354834999356955,10.057373046875,4.390670672640599,7.152557373046875e-07,5.953156656689114,10.057376623153687,4.623648858576098,7,0,1,0,normal
192.168.1.111,44134,192.168.2.100,80,6,64.19087958335876,27,16,19,1605,3507,0.26195659563752016,0.3106837903095437,26.27752099988874,57.34568697976683,0.8421052631578947,0.4576561163387511,52,100.3125,230,50.06710340882524,52,184.57894736842104,535,209.47234858077235,0.0005404949188232422,4.071921396255493,14.417405843734741,4.8230105736742015,9.965896606445312e-05,3.3975237475501165,14.418778657913208,4.644945865939566,12,0,5,0,normal
192.168.1.110,55676,192.168.2.100,80,6,64.24748802185059,27,14,19,1318,3507,0.22911554216764987,0.29573146251943305,21.569591755497324,54.58580205556061,0.7368421052631579,0.3758197889934417,52,94.14285714285714,224,52.81620035943673,52,184.57894736842104,535,209.47234858077235,0.001180887222290039,4.700349294222319,14.593337535858154,5.2622926860267745,0.00013375282287597656,3.5693042145835028,14.601744890213013,4.840818623899556,12,0,5,0,normal
192.168.1.110,55824,192.168.2.100,80,6,64.05765056610107,27,17,19,1569,3507,0.27910865939944374,0.3336708390223558,25.76008744692513,61.5886122342843,0.8947368421052632,0.4473909324208725,52,92.29411764705883,230,50.505404144020716,52,184.57894736842104,535,209.47234858077235,0.0019130706787109375,3.806761145591736,13.851309776306152,4.58809836969811,2.384185791015625e-07,3.1634636057747736,13.851713180541992,4.536168173068303,12,0,5,0,normal
192.168.1.100,42728,192.168.2.100,80,6,60.80428147315979,31,15,10,1227,1011,0.2466931544388251,0.18660022993585978,20.179500033095895,18.865283246515425,1.5,1.2136498516320475,46,81.8,224,43.0723422472782,52,101.1,535,144.65299858627196,5.0067901611328125e-06,4.343162962368557,10.059846639633179,4.3953745246728015,9.5367431640625e-07,5.954500224855211,10.059842109680176,4.6308182700973095,7,0,1,0,normal
192.168.1.101,38396,192.168.2.100,80,6,61.14507818222046,31,12,10,955,1011,0.19625455321585172,0.1635748694173192,15.618591526761534,16.53741929809097,1.2,0.9446092977250248,46,79.58333333333333,224,45.85204163635707,52,101.1,535,144.65299858627196,2.384185791015625e-06,5.558643471110951,10.057828664779663,4.910525467988867,4.76837158203125e-07,6.792676130930583,10.057827711105347,4.593065911574692,7,0,1,0,normal
192.168.1.111,44320,192.168.2.100,80,6,34.562681436538696,18,6,4,360,240,0.19035679296892155,0.20877602366723325,11.421407578135293,12.526561420033994,1.5,1.5,60,60.0,60,0.0,60,60.0,60,0.0,1.0222764015197754,6.303951549530029,16.11641025543213,5.491233402822278,1.0278973579406738,6.38642938931783,16.116381883621216,6.891907281645284,0,0,0,0,normal
192.168.1.101,38404,192.168.2.100,80,6,61.13364505767822,31,12,10,1034,1011,0.19629125645425313,0.16360610781354884,16.91376326447481,16.540577499949787,1.2,1.022749752720079,46,86.16666666666667,224,46.45577347207653,52,101.1,535,144.65299858627196,5.7220458984375e-06,5.5576040961525655,10.057028532028198,4.9097484537336555,4.76837158203125e-07,6.791379160351223,10.0570547580719,4.592430920632917,7,0,1,0,normal
192.168.1.102,41170,192.168.2.100,80,6,61.13420224189758,31,13,11,1103,1063,0.21264692305235658,0.17999538266149012,18.042273548211483,17.39409925174218,1.1818181818181819,1.0376293508936971,46,84.84615384615384,224,46.211630493842215,52,96.63636363636364,535,138.64163924388447,5.4836273193359375e-06,5.0945168534914655,10.948115110397339,4.938255177936179,2.1457672119140625e-06,6.111267876625061,10.948113441467285,4.802212273906319,7,0,1,0,normal
