@relation ,normal
@attribute src_ip string
@attribute src_port numeric
@attribute dst_ip string
@attribute dst_port numeric
@attribute proto_number numeric
@attribute duration numeric
@attribute cof string
@attribute total_f_packets numeric
@attribute total_b_packets numeric
@attribute total_f_bytes numeric
@attribute total_b_bytes numeric
@attribute pps_f numeric
@attribute pps_b numeric
@attribute bps_f numeric
@attribute bps_b numeric
@attribute rfb_packets numeric
@attribute rfb_bytes numeric
@attribute min_f_pkt numeric
@attribute mean_f_pkt numeric
@attribute max_f_pkt numeric
@attribute std_f_pkt numeric
@attribute min_b_pkt numeric
@attribute mean_b_pkt numeric
@attribute max_b_pkt numeric
@attribute std_b_pkt numeric
@attribute min_f_time numeric
@attribute mean_f_time numeric
@attribute max_f_time numeric
@attribute std_f_time numeric
@attribute min_b_time numeric
@attribute mean_b_time numeric
@attribute max_b_time numeric
@attribute std_b_time numeric
@attribute psh_f_cnt numeric
@attribute urg_f_cnt numeric
@attribute psh_b_cnt numeric
@attribute urg_b_cnt numeric
@attribute isAttack {normal,slowHeaders,slowRead,tcpFlood,udpFlood,httpFlood}
@data
% /home/jed/Documents/finalDataset/Feb19_2018/Noise/GET/X/200Connection.pcapng
192.168.1.101,40354,192.168.2.100,80,6,60.95926022529602,30,13,12,879,1784,0.21325718113956774,0.21481852922901137,14.419466324744619,31.936354678713023,1.0833333333333333,0.49271300448430494,52,67.61538461538461,247,51.8274332784934,52,148.66666666666666,628,214.37557904035828,0.0013241767883300781,5.079938352108002,27.649847984313965,7.800173048405842,0.0005908012390136719,5.078282096169212,27.646061182022095,8.142200090731086,1,0,1,0,normal
192.168.1.111,46350,192.168.2.100,80,6,60.437453508377075,30,16,11,1067,1732,0.26473650147722194,0.3984494673557873,17.654615442262237,62.73767976911124,1.4545454545454546,0.6160508083140878,52,66.6875,247,46.69946299209446,52,157.45454545454547,628,221.82891181201444,0.0028624534606933594,4.0291635672251385,17.380953311920166,5.195337138622233,0.0003299713134765625,2.760701394081116,13.824063539505005,4.23476874160161,1,0,1,0,normal
192.168.1.111,46192,192.168.2.100,80,6,60.668020248413086,30,15,11,1007,1732,0.24724723072519184,0.3912846677903702,16.59853075601788,61.609549510265566,1.3636363636363635,0.5814087759815243,52,67.13333333333334,247,48.19801747882261,52,157.45454545454547,628,221.82891181201444,0.0010447502136230469,4.333430017743792,25.302011966705322,6.849553055881557,0.0004601478576660156,2.811252498626709,13.824969053268433,4.20412413137993,1,0,1,0,normal
192.168.1.100,44894,192.168.2.100,80,6,60.44267129898071,30,16,11,1067,1732,0.26471364776145856,0.39755631314278694,17.653091385092267,62.59704857848246,1.4545454545454546,0.6160508083140878,52,66.6875,247,46.69946299209446,52,157.45454545454547,628,221.82891181201444,1.4781951904296875e-05,4.029511419932048,17.35572576522827,5.191542020262283,3.5762786865234375e-06,2.766903614997864,13.825257301330566,4.235878531040886,1,0,1,0,normal
192.168.1.101,40452,192.168.2.100,80,6,60.81485390663147,30,15,12,999,1784,0.24665026776236892,0.21925181723878467,16.42690783297377,32.59543682949932,1.25,0.5599775784753364,52,66.6,247,48.318112545918,52,148.66666666666666,628,214.37557904035828,0.0006010532379150391,4.343918136187962,27.647616147994995,7.3790854332197,7.152557373046875e-07,4.9755988554521045,27.65055274963379,8.197833287744434,1,0,1,0,normal
192.168.1.110,57456,192.168.2.100,80,6,60.75793671607971,30,13,12,879,1784,0.21396381613070023,0.20715943520547594,14.46724572145273,30.797702700547422,1.0833333333333333,0.49271300448430494,52,67.61538461538461,247,51.8274332784934,52,148.66666666666666,628,214.37557904035828,0.0008761882781982422,5.063161393006642,29.184805870056152,8.216872397369528,0.00031685829162597656,5.266036228700117,29.18488073348999,8.549785554053365,1,0,1,0,normal
192.168.1.101,40372,192.168.2.100,80,6,60.929908990859985,30,13,12,879,1784,0.21335991166423887,0.20731217803177657,14.426412488681997,30.820410467390783,1.0833333333333333,0.49271300448430494,52,67.61538461538461,247,51.8274332784934,52,148.66666666666666,628,214.37557904035828,0.0012540817260742188,5.077492415904999,28.67142653465271,8.033187579605714,5.0067901611328125e-06,5.262156334790316,28.674830675125122,8.3630451167198,1,0,1,0,normal
192.168.1.111,46292,192.168.2.100,80,6,60.52199721336365,30,15,11,1007,1732,0.2478437707057014,0.39118816833044684,16.63857847337609,61.59435523166672,1.3636363636363635,0.5814087759815243,52,67.13333333333334,247,48.19801747882261,52,157.45454545454547,628,221.82891181201444,0.0012900829315185547,4.3229998009545465,25.30626344680786,6.9038194216442115,5.0067901611328125e-06,2.811945986747742,14.082385778427124,4.3236812362948545,1,0,1,0,normal
192.168.1.101,40678,192.168.2.100,80,6,60.484983682632446,30,16,9,1449,1628,0.26452846683323505,0.21439028264150803,23.95635927758485,38.78082001559723,1.7777777777777777,0.89004914004914,52,90.5625,247,75.22380669542056,52,180.88888888888889,628,239.00369334405434,0.002043485641479492,4.0323322455088295,21.24765110015869,5.761303144306,0.0004887580871582031,5.247439324855804,21.247278451919556,6.821444722232163,3,0,1,0,normal
192.168.1.102,43328,192.168.2.100,80,6,60.55375957489014,30,15,11,1007,1732,0.2477137688114754,0.3982379777557734,16.629851012877047,62.70437977027268,1.3636363636363635,0.5814087759815243,52,67.13333333333334,247,48.19801747882261,52,157.45454545454547,628,221.82891181201444,0.0012464523315429688,4.325268541063581,25.863759756088257,6.992541121280985,2.384185791015625e-06,2.762167501449585,13.8094642162323,4.232009528635499,1,0,1,0,normal
192.168.1.102,43192,192.168.2.100,80,6,60.75081706047058,30,15,12,999,1784,0.24691025941378192,0.21168693146223858,16.444223276957878,31.470790477386135,1.25,0.5599775784753364,52,66.6,247,48.318112545918,52,148.66666666666666,628,214.37557904035828,0.00039887428283691406,4.339344075747898,28.68101739883423,7.626856713266964,8.702278137207031e-05,5.153407833792946,28.681862354278564,8.415535526069274,1,0,1,0,normal
192.168.1.101,40710,192.168.2.100,80,6,60.438220262527466,30,16,9,1449,1628,0.2647331428771443,0.21438723257484718,23.97489525181138,38.78026829242791,1.7777777777777777,0.89004914004914,52,90.5625,247,75.22380669542056,52,180.88888888888889,628,239.00369334405434,0.002928495407104492,4.0292146841684975,20.73510193824768,5.683102394974537,1.1920928955078125e-06,5.247513979673386,20.735429763793945,6.696599086014485,3,0,1,0,normal
192.168.1.111,46222,192.168.2.100,80,6,60.623937368392944,30,15,11,1007,1732,0.24742701729928282,0.39844824233749376,16.610600428025187,62.737486884412654,1.3636363636363635,0.5814087759815243,52,67.13333333333334,247,48.19801747882261,52,157.45454545454547,628,221.82891181201444,0.0013575553894042969,4.330281240599496,25.816364765167236,6.983160994308673,2.384185791015625e-07,2.7607098817825317,13.822898149490356,4.235433309352027,1,0,1,0,normal
192.168.1.112,59120,192.168.2.100,80,6,60.4607458114624,30,16,9,1449,1628,0.2646345126124239,0.22539239293413282,23.965963048462637,40.77097952186314,1.7777777777777777,0.89004914004914,52,90.5625,247,75.22380669542056,52,180.88888888888889,628,239.00369334405434,0.001539468765258789,4.030716387430827,20.222667455673218,5.724096036077164,5.0067901611328125e-06,4.991295337677002,20.224041223526,6.4902269574745866,3,0,1,0,normal
192.168.1.102,43124,192.168.2.100,80,6,60.861178398132324,30,15,12,999,1784,0.24646252988851614,0.21914272171434027,16.414404490575173,32.57921796153192,1.25,0.5599775784753364,52,66.6,247,48.318112545918,52,148.66666666666666,628,214.37557904035828,9.298324584960938e-05,4.347227028438023,27.647522687911987,7.378832236158434,9.5367431640625e-07,4.978075851093639,27.649904251098633,8.197324845860752,1,0,1,0,normal
192.168.1.100,44538,192.168.2.100,80,6,60.966456174850464,30,15,12,999,1784,0.24603693475278157,0.21148576410422468,16.38605985453525,31.44088359682807,1.25,0.5599775784753364,52,66.6,247,48.318112545918,52,148.66666666666666,628,214.37557904035828,0.0006291866302490234,4.354746869632176,28.684030532836914,7.620686413059146,0.00025773048400878906,5.1583098064769395,28.685112237930298,8.413453294368386,1,0,1,0,normal
192.168.1.112,58862,192.168.2.100,80,6,60.84390377998352,30,15,12,999,1784,0.2465325047886673,0.21111706923936222,16.419064818925243,31.38607096025185,1.25,0.5599775784753364,52,66.6,247,48.318112545918,52,148.66666666666666,628,214.37557904035828,0.0010852813720703125,4.34599312714168,29.197489261627197,7.794825332242972,5.9604644775390625e-06,5.167318279092962,29.19790816307068,8.605795870771331,1,0,1,0,normal
192.168.1.112,59148,192.168.2.100,80,6,60.416226625442505,30,15,11,1007,1732,0.24827767038471737,0.3871704857533073,16.667707605160693,60.96175284770257,1.3636363636363635,0.5814087759815243,52,67.13333333333334,247,48.19801747882261,52,157.45454545454547,628,221.82891181201444,6.9141387939453125e-06,4.3154447589601785,24.795732975006104,6.686695788658279,0.00016069412231445312,2.841125655174255,13.568569421768188,4.099467570185955,1,0,1,0,normal
192.168.1.112,59042,192.168.2.100,80,6,60.57978940010071,30,15,11,1007,1732,0.24760733156287704,0.3980402077399466,16.62270552558781,62.67323998232614,1.3636363636363635,0.5814087759815243,52,67.13333333333334,247,48.19801747882261,52,157.45454545454547,628,221.82891181201444,1.430511474609375e-06,4.327127814292908,25.81291174888611,6.980871560244724,4.76837158203125e-07,2.7635399103164673,13.809068441390991,4.230918720734878,1,0,1,0,normal
192.168.1.100,44672,192.168.2.100,80,6,60.76898002624512,30,15,11,1007,1732,0.24683646152233835,0.36707684574778493,16.570954450199647,57.79791789410577,1.3636363636363635,0.5814087759815243,52,67.13333333333334,247,48.19801747882261,52,157.45454545454547,628,221.82891181201444,0.0006117820739746094,4.340641430446079,23.492525815963745,6.48621895915246,4.0531158447265625e-06,2.9966477394104003,14.33891487121582,4.3240996750078295,1,0,1,0,normal
192.168.1.111,46290,192.168.2.100,80,6,60.52508783340454,30,15,11,1007,1732,0.2478311149467067,0.3911897239142109,16.63772885008891,61.59460016540121,1.3636363636363635,0.5814087759815243,52,67.13333333333334,247,48.19801747882261,52,157.45454545454547,628,221.82891181201444,0.0012788772583007812,4.323220559528896,25.306230306625366,6.903713006015194,4.0531158447265625e-06,2.811934804916382,14.082488536834717,4.323713022453068,1,0,1,0,normal
192.168.1.102,43142,192.168.2.100,80,6,60.83473324775696,30,15,12,999,1784,0.24656966833257327,0.21926868259720927,16.421539910949377,32.597944146118444,1.25,0.5599775784753364,52,66.6,247,48.318112545918,52,148.66666666666666,628,214.37557904035828,0.0006842613220214844,4.345338089125497,27.64754819869995,7.37888763631613,2.1457672119140625e-06,4.9752161502838135,27.650190830230713,8.197964413583039,1,0,1,0,normal
192.168.1.111,46078,192.168.2.100,80,6,60.83411407470703,30,15,12,999,1784,0.2465721779325877,0.21114467584857935,16.421707050310342,31.39017514282213,1.25,0.5599775784753364,52,66.6,247,48.318112545918,52,148.66666666666666,628,214.37557904035828,0.002295255661010742,4.345293862479074,29.19775891304016,7.7946276592078725,0.0045948028564453125,5.166642665863037,29.19810914993286,8.605485550699342,1,0,1,0,normal
192.168.1.101,40720,192.168.2.100,80,6,60.42376208305359,30,16,9,1449,1628,0.2647964881433185,0.21438634131426795,23.980631957479286,38.78010707329202,1.7777777777777777,0.89004914004914,52,90.5625,247,75.22380669542056,52,180.88888888888889,628,239.00369334405434,0.0027725696563720703,4.0282508055369055,20.735079526901245,5.682482094360762,5.9604644775390625e-06,5.247535794973373,20.735424757003784,6.696503256337191,3,0,1,0,normal
