@relation ,normal
@attribute src_ip string
@attribute src_port numeric
@attribute dst_ip string
@attribute dst_port numeric
@attribute proto_number numeric
@attribute duration numeric
@attribute cof {N/A,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127}
@attribute total_f_packets numeric
@attribute total_b_packets numeric
@attribute total_f_bytes numeric
@attribute total_b_bytes numeric
@attribute pps_f numeric
@attribute pps_b numeric
@attribute bps_f numeric
@attribute bps_b numeric
@attribute rfb_packets numeric
@attribute rfb_bytes numeric
@attribute min_f_pkt numeric
@attribute mean_f_pkt numeric
@attribute max_f_pkt numeric
@attribute std_f_pkt numeric
@attribute min_b_pkt numeric
@attribute mean_b_pkt numeric
@attribute max_b_pkt numeric
@attribute std_b_pkt numeric
@attribute min_f_time numeric
@attribute mean_f_time numeric
@attribute max_f_time numeric
@attribute std_f_time numeric
@attribute min_b_time numeric
@attribute mean_b_time numeric
@attribute max_b_time numeric
@attribute std_b_time numeric
@attribute psh_f_cnt numeric
@attribute urg_f_cnt numeric
@attribute psh_b_cnt numeric
@attribute urg_b_cnt numeric
@attribute isAttack {normal,slowHeaders,slowRead,tcpFlood,udpFlood,httpFlood}
@data
% /home/jed/Documents/finalDataset/Feb19_2018/Noise/hping/T/flood.pcapng
192.168.1.102,22525,192.168.2.100,80,6,1.1920928955078125e-06,18,1,1,46,44,0.0,0.0,0.0,0.0,1.0,1.0454545454545454,46,46.0,46,0.0,44,44.0,44,0.0,0,0,0,0,0,0,0,0,0,0,0,0,normal
192.168.1.100,26184,192.168.2.100,80,6,1.1920928955078125e-06,18,1,1,46,44,0.0,0.0,0.0,0.0,1.0,1.0454545454545454,46,46.0,46,0.0,44,44.0,44,0.0,0,0,0,0,0,0,0,0,0,0,0,0,normal
192.168.1.102,23038,192.168.2.100,80,6,3.337860107421875e-06,18,1,1,46,44,0.0,0.0,0.0,0.0,1.0,1.0454545454545454,46,46.0,46,0.0,44,44.0,44,0.0,0,0,0,0,0,0,0,0,0,0,0,0,normal
192.168.1.101,21089,192.168.2.100,80,6,1.1920928955078125e-06,18,1,1,46,44,0.0,0.0,0.0,0.0,1.0,1.0454545454545454,46,46.0,46,0.0,44,44.0,44,0.0,0,0,0,0,0,0,0,0,0,0,0,0,normal
192.168.1.101,23241,192.168.2.100,80,6,1.1920928955078125e-06,18,1,1,46,44,0.0,0.0,0.0,0.0,1.0,1.0454545454545454,46,46.0,46,0.0,44,44.0,44,0.0,0,0,0,0,0,0,0,0,0,0,0,0,normal
192.168.1.111,19729,192.168.2.100,80,6,3.5762786865234375e-06,18,1,1,46,44,0.0,0.0,0.0,0.0,1.0,1.0454545454545454,46,46.0,46,0.0,44,44.0,44,0.0,0,0,0,0,0,0,0,0,0,0,0,0,normal
192.168.1.111,17175,192.168.2.100,80,6,4.0531158447265625e-06,18,1,1,46,44,0.0,0.0,0.0,0.0,1.0,1.0454545454545454,46,46.0,46,0.0,44,44.0,44,0.0,0,0,0,0,0,0,0,0,0,0,0,0,normal
192.168.1.110,27370,192.168.2.100,80,6,1.1920928955078125e-06,18,1,1,46,44,0.0,0.0,0.0,0.0,1.0,1.0454545454545454,46,46.0,46,0.0,44,44.0,44,0.0,0,0,0,0,0,0,0,0,0,0,0,0,normal
192.168.1.102,23701,192.168.2.100,80,6,1.1920928955078125e-06,18,1,1,46,44,0.0,0.0,0.0,0.0,1.0,1.0454545454545454,46,46.0,46,0.0,44,44.0,44,0.0,0,0,0,0,0,0,0,0,0,0,0,0,normal
192.168.1.102,22718,192.168.2.100,80,6,1.1920928955078125e-06,18,1,1,46,44,0.0,0.0,0.0,0.0,1.0,1.0454545454545454,46,46.0,46,0.0,44,44.0,44,0.0,0,0,0,0,0,0,0,0,0,0,0,0,normal
192.168.1.100,26979,192.168.2.100,80,6,3.0994415283203125e-06,18,1,1,46,44,0.0,0.0,0.0,0.0,1.0,1.0454545454545454,46,46.0,46,0.0,44,44.0,44,0.0,0,0,0,0,0,0,0,0,0,0,0,0,normal
192.168.1.110,23302,192.168.2.100,80,6,3.5762786865234375e-06,18,1,1,46,44,0.0,0.0,0.0,0.0,1.0,1.0454545454545454,46,46.0,46,0.0,44,44.0,44,0.0,0,0,0,0,0,0,0,0,0,0,0,0,normal
192.168.1.102,25983,192.168.2.100,80,6,3.5762786865234375e-06,18,1,1,46,44,0.0,0.0,0.0,0.0,1.0,1.0454545454545454,46,46.0,46,0.0,44,44.0,44,0.0,0,0,0,0,0,0,0,0,0,0,0,0,normal
192.168.1.102,25688,192.168.2.100,80,6,1.430511474609375e-06,18,1,1,46,44,0.0,0.0,0.0,0.0,1.0,1.0454545454545454,46,46.0,46,0.0,44,44.0,44,0.0,0,0,0,0,0,0,0,0,0,0,0,0,normal
192.168.1.100,24678,192.168.2.100,80,6,0.037294626235961914,22,2,1,92,44,53.62702892760109,0.0,2466.84333066965,0.0,2.0,2.090909090909091,46,46.0,46,0.0,44,44.0,44,0.0,0.037294626235961914,0.037294626235961914,0.037294626235961914,0.0,0,0,0,0,0,0,0,0,normal
192.168.1.112,15007,192.168.2.100,80,6,1.1920928955078125e-06,18,1,1,46,44,0.0,0.0,0.0,0.0,1.0,1.0454545454545454,46,46.0,46,0.0,44,44.0,44,0.0,0,0,0,0,0,0,0,0,0,0,0,0,normal
192.168.1.102,21163,192.168.2.100,80,6,0.0,4,1,0,46,0,0.0,0.0,0.0,0.0,0.0,0.0,46,46.0,46,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,normal
192.168.1.100,29014,192.168.2.100,80,6,3.5762786865234375e-06,18,1,1,46,44,0.0,0.0,0.0,0.0,1.0,1.0454545454545454,46,46.0,46,0.0,44,44.0,44,0.0,0,0,0,0,0,0,0,0,0,0,0,0,normal
192.168.1.112,12420,192.168.2.100,80,6,3.5762786865234375e-06,18,1,1,46,44,0.0,0.0,0.0,0.0,1.0,1.0454545454545454,46,46.0,46,0.0,44,44.0,44,0.0,0,0,0,0,0,0,0,0,0,0,0,0,normal
192.168.1.101,19304,192.168.2.100,80,6,2.86102294921875e-06,18,1,1,46,44,0.0,0.0,0.0,0.0,1.0,1.0454545454545454,46,46.0,46,0.0,44,44.0,44,0.0,0,0,0,0,0,0,0,0,0,0,0,0,normal
192.168.1.112,15098,192.168.2.100,80,6,1.1920928955078125e-06,18,1,1,46,44,0.0,0.0,0.0,0.0,1.0,1.0454545454545454,46,46.0,46,0.0,44,44.0,44,0.0,0,0,0,0,0,0,0,0,0,0,0,0,normal
192.168.1.101,16790,192.168.2.100,80,6,0.027903318405151367,22,2,1,92,44,71.67606271628145,0.0,3297.0988849489468,0.0,2.0,2.090909090909091,46,46.0,46,0.0,44,44.0,44,0.0,0.027903318405151367,0.027903318405151367,0.027903318405151367,0.0,0,0,0,0,0,0,0,0,normal
192.168.1.111,18268,192.168.2.100,80,6,1.1920928955078125e-06,18,1,1,46,44,0.0,0.0,0.0,0.0,1.0,1.0454545454545454,46,46.0,46,0.0,44,44.0,44,0.0,0,0,0,0,0,0,0,0,0,0,0,0,normal
192.168.1.100,23955,192.168.2.100,80,6,1.1920928955078125e-06,18,1,1,46,44,0.0,0.0,0.0,0.0,1.0,1.0454545454545454,46,46.0,46,0.0,44,44.0,44,0.0,0,0,0,0,0,0,0,0,0,0,0,0,normal
192.168.1.102,21816,192.168.2.100,80,6,1.1920928955078125e-06,18,1,1,46,44,0.0,0.0,0.0,0.0,1.0,1.0454545454545454,46,46.0,46,0.0,44,44.0,44,0.0,0,0,0,0,0,0,0,0,0,0,0,0,normal
192.168.1.111,16191,192.168.2.100,80,6,1.1920928955078125e-06,18,1,1,46,44,0.0,0.0,0.0,0.0,1.0,1.0454545454545454,46,46.0,46,0.0,44,44.0,44,0.0,0,0,0,0,0,0,0,0,0,0,0,0,normal
192.168.1.102,26216,192.168.2.100,80,6,1.430511474609375e-06,18,1,1,46,44,0.0,0.0,0.0,0.0,1.0,1.0454545454545454,46,46.0,46,0.0,44,44.0,44,0.0,0,0,0,0,0,0,0,0,0,0,0,0,normal
192.168.1.111,9500,192.168.2.100,80,6,0.0,4,1,0,46,0,0.0,0.0,0.0,0.0,0.0,0.0,46,46.0,46,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,normal
192.168.1.111,15084,192.168.2.100,80,6,3.337860107421875e-06,18,1,1,46,44,0.0,0.0,0.0,0.0,1.0,1.0454545454545454,46,46.0,46,0.0,44,44.0,44,0.0,0,0,0,0,0,0,0,0,0,0,0,0,normal
192.168.1.102,24174,192.168.2.100,80,6,1.9073486328125e-06,18,1,1,46,44,0.0,0.0,0.0,0.0,1.0,1.0454545454545454,46,46.0,46,0.0,44,44.0,44,0.0,0,0,0,0,0,0,0,0,0,0,0,0,normal
192.168.1.111,15937,192.168.2.100,80,6,4.0531158447265625e-06,18,1,1,46,44,0.0,0.0,0.0,0.0,1.0,1.0454545454545454,46,46.0,46,0.0,44,44.0,44,0.0,0,0,0,0,0,0,0,0,0,0,0,0,normal
192.168.1.101,18506,192.168.2.100,80,6,3.814697265625e-06,18,1,1,46,44,0.0,0.0,0.0,0.0,1.0,1.0454545454545454,46,46.0,46,0.0,44,44.0,44,0.0,0,0,0,0,0,0,0,0,0,0,0,0,normal
192.168.1.112,14442,192.168.2.100,80,6,1.430511474609375e-06,18,1,1,46,44,0.0,0.0,0.0,0.0,1.0,1.0454545454545454,46,46.0,46,0.0,44,44.0,44,0.0,0,0,0,0,0,0,0,0,0,0,0,0,normal
192.168.1.110,25930,192.168.2.100,80,6,3.814697265625e-06,18,1,1,46,44,0.0,0.0,0.0,0.0,1.0,1.0454545454545454,46,46.0,46,0.0,44,44.0,44,0.0,0,0,0,0,0,0,0,0,0,0,0,0,normal
