@relation ,normal
@attribute src_ip string
@attribute src_port numeric
@attribute dst_ip string
@attribute dst_port numeric
@attribute proto_number numeric
@attribute duration numeric
@attribute cof string
@attribute total_f_packets numeric
@attribute total_b_packets numeric
@attribute total_f_bytes numeric
@attribute total_b_bytes numeric
@attribute pps_f numeric
@attribute pps_b numeric
@attribute bps_f numeric
@attribute bps_b numeric
@attribute rfb_packets numeric
@attribute rfb_bytes numeric
@attribute min_f_pkt numeric
@attribute mean_f_pkt numeric
@attribute max_f_pkt numeric
@attribute std_f_pkt numeric
@attribute min_b_pkt numeric
@attribute mean_b_pkt numeric
@attribute max_b_pkt numeric
@attribute std_b_pkt numeric
@attribute min_f_time numeric
@attribute mean_f_time numeric
@attribute max_f_time numeric
@attribute std_f_time numeric
@attribute min_b_time numeric
@attribute mean_b_time numeric
@attribute max_b_time numeric
@attribute std_b_time numeric
@attribute psh_f_cnt numeric
@attribute urg_f_cnt numeric
@attribute psh_b_cnt numeric
@attribute urg_b_cnt numeric
@attribute isAttack {normal,slowHeaders,slowRead,tcpFlood,udpFlood,httpFlood}
@data
% /home/jed/Documents/finalDataset/Feb19_2018/Noise/loic/U/70ConnectionsNoAppend.pcapng
192.168.1.112,36821,192.168.2.100,80,17,3.354656457901001,N/A,1009,0,46414,0,300.7759550530335,0.0,13835.69393243954,0.0,0.0,0.0,46,46.0,46,0.0,0,0,0,0,0.0006358623504638672,0.003328032200298612,0.028417348861694336,0.0030685329282500715,0,0,0,0,-1,-1,-1,-1,normal
192.168.1.101,45392,192.168.2.100,80,17,3.3583452701568604,N/A,1529,0,70334,0,455.28374154590244,0.0,20943.052111111512,0.0,0.0,0.0,46,46.0,46,0.0,0,0,0,0,0.0003440380096435547,0.002197869941202134,0.01639842987060547,0.0017513854338432845,0,0,0,0,-1,-1,-1,-1,normal
192.168.1.101,49563,192.168.2.100,80,17,0.41226816177368164,N/A,148,0,6808,0,358.989642477524,0.0,16513.523553966104,0.0,0.0,0.0,46,46.0,46,0.0,0,0,0,0,0.0006811618804931641,0.0028045453181883106,0.014004707336425781,0.00236176194641218,0,0,0,0,-1,-1,-1,-1,normal
192.168.1.101,34926,192.168.2.100,80,17,3.3482985496520996,N/A,1527,0,70242,0,456.05252260395383,0.0,20978.416039781878,0.0,0.0,0.0,46,46.0,46,0.0,0,0,0,0,5.0067901611328125e-06,0.0021941668084220836,0.016399145126342773,0.0017577013539306276,0,0,0,0,-1,-1,-1,-1,normal
192.168.1.102,46182,192.168.2.100,80,17,0.5890214443206787,N/A,241,0,11086,0,409.1531850388681,0.0,18821.046511787932,0.0,0.0,0.0,46,46.0,46,0.0,0,0,0,0,0.0006697177886962891,0.002454256018002828,0.010745763778686523,0.002022362603044323,0,0,0,0,-1,-1,-1,-1,normal
192.168.1.101,49842,192.168.2.100,80,17,3.356321096420288,N/A,1671,0,76866,0,497.86654852011,0.0,22901.861231925057,0.0,0.0,0.0,46,46.0,46,0.0,0,0,0,0,6.4373016357421875e-06,0.002009773111628915,0.013331890106201172,0.0014924956389792212,0,0,0,0,-1,-1,-1,-1,normal
192.168.1.100,50700,192.168.2.100,80,17,3.3593103885650635,N/A,1528,0,70288,0,454.8552599370517,0.0,20923.341957104378,0.0,0.0,0.0,46,46.0,46,0.0,0,0,0,0,0.0006463527679443359,0.002199941315366774,0.017740249633789062,0.0018554489663395808,0,0,0,0,-1,-1,-1,-1,normal
192.168.1.101,35842,192.168.2.100,80,17,3.3593056201934814,N/A,1568,0,72128,0,466.76312824127325,0.0,21471.10389909857,0.0,0.0,0.0,46,46.0,46,0.0,0,0,0,0,0.0006532669067382812,0.0021437815061860124,0.019359111785888672,0.0017512207319963819,0,0,0,0,-1,-1,-1,-1,normal
192.168.1.112,39890,192.168.2.100,80,17,2.549201250076294,N/A,727,0,33442,0,285.1873699568608,0.0,13118.619018015595,0.0,0.0,0.0,46,46.0,46,0.0,0,0,0,0,0.0006656646728515625,0.0035112964877083938,0.027428627014160156,0.0033294328845646583,0,0,0,0,-1,-1,-1,-1,normal
