@relation ,normal
@attribute src_ip string
@attribute src_port numeric
@attribute dst_ip string
@attribute dst_port numeric
@attribute proto_number numeric
@attribute duration numeric
@attribute cof {N/A,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127}
@attribute total_f_packets numeric
@attribute total_b_packets numeric
@attribute total_f_bytes numeric
@attribute total_b_bytes numeric
@attribute pps_f numeric
@attribute pps_b numeric
@attribute bps_f numeric
@attribute bps_b numeric
@attribute rfb_packets numeric
@attribute rfb_bytes numeric
@attribute min_f_pkt numeric
@attribute mean_f_pkt numeric
@attribute max_f_pkt numeric
@attribute std_f_pkt numeric
@attribute min_b_pkt numeric
@attribute mean_b_pkt numeric
@attribute max_b_pkt numeric
@attribute std_b_pkt numeric
@attribute min_f_time numeric
@attribute mean_f_time numeric
@attribute max_f_time numeric
@attribute std_f_time numeric
@attribute min_b_time numeric
@attribute mean_b_time numeric
@attribute max_b_time numeric
@attribute std_b_time numeric
@attribute psh_f_cnt numeric
@attribute urg_f_cnt numeric
@attribute psh_b_cnt numeric
@attribute urg_b_cnt numeric
@attribute isAttack {tcpFlood,normal,httpFlood,slowRead,slowHeaders,udpFlood}
@data
% Fake test to see performance
% Normal
192.168.1.111,42592,192.168.2.100,80,6,0.007366657257080078,27,13,6,800,11915,1769.0595029524366,818.7469173959723,108865.2001816884,1625894.920128835,2.1666666666666665,0.06714225765841376,52,61.53846153846154,168,30.806131718852495,52,1985.8333333333333,7292,2856.1460289853685,5.9604644775390625e-06,0.0006123781204223633,0.0030372142791748047,0.0008201810420302996,0.00024366378784179688,0.0014656543731689452,0.0046198368072509766,0.0016385806131186816,1,0,1,0,?

% Attack
192.168.2.10,137,172.16.4.4,137,17,0.0,N/A,1,0,78,0,0.0,0.0,0.0,0.0,0.0,0.0,78,78.0,78,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,?
192.168.2.10,137,172.16.4.4,137,17,0.0,N/A,1,0,78,0,0.0,0.0,0.0,0.0,0.0,0.0,78,78.0,78,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,?
192.168.2.10,137,172.16.4.4,137,17,0.0,N/A,1,0,78,0,0.0,0.0,0.0,0.0,0.0,0.0,78,78.0,78,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,?
192.168.2.10,137,172.16.4.4,137,17,0.0,N/A,1,0,78,0,0.0,0.0,0.0,0.0,0.0,0.0,78,78.0,78,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,?
192.168.2.10,137,172.16.4.4,137,17,0.0,N/A,1,0,78,0,0.0,0.0,0.0,0.0,0.0,0.0,78,78.0,78,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,?
192.168.2.10,137,172.16.4.4,137,17,0.0,N/A,1,0,78,0,0.0,0.0,0.0,0.0,0.0,0.0,78,78.0,78,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,?
