@relation ,normal
@attribute src_ip string
@attribute src_port numeric
@attribute dst_ip string
@attribute dst_port numeric
@attribute proto_number numeric
@attribute duration numeric
@attribute cof string
@attribute total_f_packets numeric
@attribute total_b_packets numeric
@attribute total_f_bytes numeric
@attribute total_b_bytes numeric
@attribute pps_f numeric
@attribute pps_b numeric
@attribute bps_f numeric
@attribute bps_b numeric
@attribute rfb_packets numeric
@attribute rfb_bytes numeric
@attribute min_f_pkt numeric
@attribute mean_f_pkt numeric
@attribute max_f_pkt numeric
@attribute std_f_pkt numeric
@attribute min_b_pkt numeric
@attribute mean_b_pkt numeric
@attribute max_b_pkt numeric
@attribute std_b_pkt numeric
@attribute min_f_time numeric
@attribute mean_f_time numeric
@attribute max_f_time numeric
@attribute std_f_time numeric
@attribute min_b_time numeric
@attribute mean_b_time numeric
@attribute max_b_time numeric
@attribute std_b_time numeric
@attribute psh_f_cnt numeric
@attribute urg_f_cnt numeric
@attribute psh_b_cnt numeric
@attribute urg_b_cnt numeric
@attribute isAttack {normal,slowHeaders,slowRead,tcpFlood,udpFlood,httpFlood}
@data
% /home/jed/Documents/finalDataset/Feb19_2018/Normal/6VMs/N/1sec.pcapng
192.168.1.111,42592,192.168.2.100,80,6,0.007366657257080078,27,13,6,800,11915,1769.0595029524366,818.7469173959723,108865.2001816884,1625894.920128835,2.1666666666666665,0.06714225765841376,52,61.53846153846154,168,30.806131718852495,52,1985.8333333333333,7292,2856.1460289853685,5.9604644775390625e-06,0.0006123781204223633,0.0030372142791748047,0.0008201810420302996,0.00024366378784179688,0.0014656543731689452,0.0046198368072509766,0.0016385806131186816,1,0,1,0,normal
192.168.1.111,42624,192.168.2.100,80,6,0.007653951644897461,27,13,6,800,11915,1706.228744875927,787.5887710074171,104998.69199236474,1564020.0344255625,2.1666666666666665,0.06714225765841376,52,61.53846153846154,168,30.806131718852495,52,1985.8333333333333,7292,2856.1460289853685,2.86102294921875e-06,0.0006349285443623861,0.002843618392944336,0.0008068272796752025,0.00020647048950195312,0.0015236377716064454,0.004228353500366211,0.0015613048466815924,1,0,1,0,normal
192.168.1.102,38318,192.168.2.100,80,6,0.008898735046386719,27,13,6,800,11915,1463.7839463087248,676.1371305749597,90079.01208053691,1342695.6518001074,2.1666666666666665,0.06714225765841376,52,61.53846153846154,168,30.806131718852495,52,1985.8333333333333,7292,2856.1460289853685,2.384185791015625e-06,0.0007400910059611002,0.0028285980224609375,0.000804254368402821,0.00010132789611816406,0.0017747879028320312,0.006163835525512695,0.0023425732870348505,1,0,1,0,normal
192.168.1.102,38352,192.168.2.100,80,6,0.0103302001953125,27,13,7,800,11967,1267.0435469628665,684.4171756259033,77971.91058233025,1170060.0486735979,1.8571428571428572,0.06685050555694827,52,61.53846153846154,168,30.806131718852495,52,1709.5714285714287,5844,2614.8453031075614,2.6226043701171875e-05,0.0008550087610880533,0.004031181335449219,0.001115477390434792,0.0002925395965576172,0.0017046133677164714,0.005287885665893555,0.0017804564818199489,1,0,1,0,normal
192.168.1.100,39354,192.168.2.100,80,6,0.007899045944213867,27,13,6,800,11915,1651.3507980253794,762.2773368873811,101621.58757079257,1513755.7448355244,2.1666666666666665,0.06714225765841376,52,61.53846153846154,168,30.806131718852495,52,1985.8333333333333,7292,2856.1460289853685,3.5762786865234375e-06,0.0006560285886128744,0.0023779869079589844,0.0006326776769252194,0.00014543533325195312,0.001574230194091797,0.005191326141357422,0.0019427515726439032,1,0,1,0,normal
192.168.1.111,42692,192.168.2.100,80,6,0.007825851440429688,27,13,6,800,11915,1685.2924522470173,772.834935356079,103710.30475366261,1534721.3757946135,2.1666666666666665,0.06714225765841376,52,61.53846153846154,168,30.806131718852495,52,1985.8333333333333,7292,2856.1460289853685,2.384185791015625e-05,0.0006428162256876627,0.0034952163696289062,0.000966980791871369,0.00048732757568359375,0.001552724838256836,0.00401616096496582,0.0012869418177407206,1,0,1,0,normal
192.168.1.111,42620,192.168.2.100,80,6,0.007055521011352539,27,13,6,800,11915,1844.8977161224834,853.5417175417175,113532.16714599899,1694991.5940849273,2.1666666666666665,0.06714225765841376,52,61.53846153846154,168,30.806131718852495,52,1985.8333333333333,7292,2856.1460289853685,4.76837158203125e-06,0.0005872050921122233,0.0025882720947265625,0.0007126244348597175,0.00011205673217773438,0.0014059066772460938,0.004720211029052734,0.0017614462430875547,1,0,1,0,normal
192.168.1.112,55436,192.168.2.100,80,6,0.008305549621582031,27,13,6,800,11915,1566.5225960295343,724.4256887072166,96401.39052489442,1438588.6801577478,2.1666666666666665,0.06714225765841376,52,61.53846153846154,168,30.806131718852495,52,1985.8333333333333,7292,2856.1460289853685,2.1457672119140625e-06,0.0006915529568990072,0.0025174617767333984,0.0006718957789993821,9.918212890625e-05,0.001656484603881836,0.005872249603271484,0.002222732906965308,1,0,1,0,normal
192.168.1.101,35136,192.168.2.100,80,6,0.007009267807006836,27,13,6,800,11915,1857.6571272826384,858.7846027846028,114317.36167893159,1705403.0903630904,2.1666666666666665,0.06714225765841376,52,61.53846153846154,168,30.806131718852495,52,1985.8333333333333,7292,2856.1460289853685,5.0067901611328125e-06,0.0005831718444824219,0.002363443374633789,0.0006972670064956685,0.0001399517059326172,0.0013973236083984375,0.004400730133056641,0.001652951324441947,1,0,1,0,normal
192.168.1.102,38356,192.168.2.100,80,6,0.010335445404052734,27,13,7,800,11967,1265.308797252454,683.9070114139297,77865.15675399717,1169187.886512928,1.8571428571428572,0.06685050555694827,52,61.53846153846154,168,30.806131718852495,52,1709.5714285714287,5844,2614.8453031075614,2.4080276489257812e-05,0.0008561809857686361,0.0036818981170654297,0.001017598265378443,0.00028395652770996094,0.0017058849334716797,0.005326986312866211,0.0018217208020775415,1,0,1,0,normal
