@relation ,tcpFlood
@attribute src_ip string
@attribute src_port numeric
@attribute dst_ip string
@attribute dst_port numeric
@attribute proto_number numeric
@attribute duration numeric
@attribute cof string
@attribute total_f_packets numeric
@attribute total_b_packets numeric
@attribute total_f_bytes numeric
@attribute total_b_bytes numeric
@attribute pps_f numeric
@attribute pps_b numeric
@attribute bps_f numeric
@attribute bps_b numeric
@attribute rfb_packets numeric
@attribute rfb_bytes numeric
@attribute min_f_pkt numeric
@attribute mean_f_pkt numeric
@attribute max_f_pkt numeric
@attribute std_f_pkt numeric
@attribute min_b_pkt numeric
@attribute mean_b_pkt numeric
@attribute max_b_pkt numeric
@attribute std_b_pkt numeric
@attribute min_f_time numeric
@attribute mean_f_time numeric
@attribute max_f_time numeric
@attribute std_f_time numeric
@attribute min_b_time numeric
@attribute mean_b_time numeric
@attribute max_b_time numeric
@attribute std_b_time numeric
@attribute psh_f_cnt numeric
@attribute urg_f_cnt numeric
@attribute psh_b_cnt numeric
@attribute urg_b_cnt numeric
@attribute isAttack {normal,slowHeaders,slowRead,tcpFlood,udpFlood,httpFlood}
@data
% /home/jed/Documents/finalDataset/Feb19_2018/DDoS/hping/T/flood.pcapng
192.168.1.121,55675,192.168.2.100,80,6,3.337860107421875e-06,18,1,1,46,44,0.0,0.0,0.0,0.0,1.0,1.0454545454545454,46,46.0,46,0.0,44,44.0,44,0.0,0,0,0,0,0,0,0,0,0,0,0,0,tcpFlood
192.168.1.132,58043,192.168.2.100,80,6,3.337860107421875e-06,18,1,1,46,44,0.0,0.0,0.0,0.0,1.0,1.0454545454545454,46,46.0,46,0.0,44,44.0,44,0.0,0,0,0,0,0,0,0,0,0,0,0,0,tcpFlood
192.168.1.112,31899,192.168.2.100,80,6,1.1920928955078125e-06,18,1,1,46,44,0.0,0.0,0.0,0.0,1.0,1.0454545454545454,46,46.0,46,0.0,44,44.0,44,0.0,0,0,0,0,0,0,0,0,0,0,0,0,tcpFlood
192.168.1.140,44408,192.168.2.100,80,6,3.337860107421875e-06,18,1,1,46,44,0.0,0.0,0.0,0.0,1.0,1.0454545454545454,46,46.0,46,0.0,44,44.0,44,0.0,0,0,0,0,0,0,0,0,0,0,0,0,tcpFlood
192.168.1.120,44988,192.168.2.100,80,6,3.814697265625e-06,18,1,1,46,44,0.0,0.0,0.0,0.0,1.0,1.0454545454545454,46,46.0,46,0.0,44,44.0,44,0.0,0,0,0,0,0,0,0,0,0,0,0,0,tcpFlood
192.168.1.120,49044,192.168.2.100,80,6,3.337860107421875e-06,18,1,1,46,44,0.0,0.0,0.0,0.0,1.0,1.0454545454545454,46,46.0,46,0.0,44,44.0,44,0.0,0,0,0,0,0,0,0,0,0,0,0,0,tcpFlood
192.168.1.141,44935,192.168.2.100,80,6,1.430511474609375e-06,18,1,1,46,44,0.0,0.0,0.0,0.0,1.0,1.0454545454545454,46,46.0,46,0.0,44,44.0,44,0.0,0,0,0,0,0,0,0,0,0,0,0,0,tcpFlood
192.168.1.141,47796,192.168.2.100,80,6,0.03005695343017578,22,2,1,92,44,66.54034330678681,0.0,3060.8557921121933,0.0,2.0,2.090909090909091,46,46.0,46,0.0,44,44.0,44,0.0,0.03005695343017578,0.03005695343017578,0.03005695343017578,0.0,0,0,0,0,0,0,0,0,tcpFlood
192.168.1.121,55551,192.168.2.100,80,6,3.337860107421875e-06,18,1,1,46,44,0.0,0.0,0.0,0.0,1.0,1.0454545454545454,46,46.0,46,0.0,44,44.0,44,0.0,0,0,0,0,0,0,0,0,0,0,0,0,tcpFlood
192.168.1.132,60368,192.168.2.100,80,6,1.430511474609375e-06,18,1,1,46,44,0.0,0.0,0.0,0.0,1.0,1.0454545454545454,46,46.0,46,0.0,44,44.0,44,0.0,0,0,0,0,0,0,0,0,0,0,0,0,tcpFlood
192.168.1.120,44650,192.168.2.100,80,6,3.337860107421875e-06,18,1,1,46,44,0.0,0.0,0.0,0.0,1.0,1.0454545454545454,46,46.0,46,0.0,44,44.0,44,0.0,0,0,0,0,0,0,0,0,0,0,0,0,tcpFlood
192.168.1.141,44896,192.168.2.100,80,6,1.430511474609375e-06,18,1,1,46,44,0.0,0.0,0.0,0.0,1.0,1.0454545454545454,46,46.0,46,0.0,44,44.0,44,0.0,0,0,0,0,0,0,0,0,0,0,0,0,tcpFlood
192.168.1.121,60296,192.168.2.100,80,6,3.337860107421875e-06,18,1,1,46,44,0.0,0.0,0.0,0.0,1.0,1.0454545454545454,46,46.0,46,0.0,44,44.0,44,0.0,0,0,0,0,0,0,0,0,0,0,0,0,tcpFlood
192.168.1.121,56120,192.168.2.100,80,6,2.1457672119140625e-06,18,1,1,46,44,0.0,0.0,0.0,0.0,1.0,1.0454545454545454,46,46.0,46,0.0,44,44.0,44,0.0,0,0,0,0,0,0,0,0,0,0,0,0,tcpFlood
192.168.1.110,24559,192.168.2.100,80,6,3.5762786865234375e-06,18,1,1,46,44,0.0,0.0,0.0,0.0,1.0,1.0454545454545454,46,46.0,46,0.0,44,44.0,44,0.0,0,0,0,0,0,0,0,0,0,0,0,0,tcpFlood
192.168.1.120,45537,192.168.2.100,80,6,3.0994415283203125e-06,18,1,1,46,44,0.0,0.0,0.0,0.0,1.0,1.0454545454545454,46,46.0,46,0.0,44,44.0,44,0.0,0,0,0,0,0,0,0,0,0,0,0,0,tcpFlood
