@relation ,udpFlood
@attribute src_ip string
@attribute src_port numeric
@attribute dst_ip string
@attribute dst_port numeric
@attribute proto_number numeric
@attribute duration numeric
@attribute cof string
@attribute total_f_packets numeric
@attribute total_b_packets numeric
@attribute total_f_bytes numeric
@attribute total_b_bytes numeric
@attribute pps_f numeric
@attribute pps_b numeric
@attribute bps_f numeric
@attribute bps_b numeric
@attribute rfb_packets numeric
@attribute rfb_bytes numeric
@attribute min_f_pkt numeric
@attribute mean_f_pkt numeric
@attribute max_f_pkt numeric
@attribute std_f_pkt numeric
@attribute min_b_pkt numeric
@attribute mean_b_pkt numeric
@attribute max_b_pkt numeric
@attribute std_b_pkt numeric
@attribute min_f_time numeric
@attribute mean_f_time numeric
@attribute max_f_time numeric
@attribute std_f_time numeric
@attribute min_b_time numeric
@attribute mean_b_time numeric
@attribute max_b_time numeric
@attribute std_b_time numeric
@attribute psh_f_cnt numeric
@attribute urg_f_cnt numeric
@attribute psh_b_cnt numeric
@attribute urg_b_cnt numeric
@attribute isAttack {normal,slowHeaders,slowRead,tcpFlood,udpFlood,httpFlood}
@data
% /home/jed/Documents/finalDataset/Feb19_2018/DDoS/loic/U/70ConnectionsNoAppend.pcapng
192.168.1.140,57422,192.168.2.100,80,17,3.358496904373169,N/A,473,0,21758,0,140.83681285639918,0.0,6478.493391394362,0.0,0.0,0.0,46,46.0,46,0.0,0,0,0,0,0.00035381317138671875,0.0071154595431634935,0.040087223052978516,0.006225910839091031,0,0,0,0,-1,-1,-1,-1,udpFlood
192.168.1.132,34381,192.168.2.100,80,17,3.352126359939575,N/A,556,0,25576,0,165.86486913041736,0.0,7629.783979999199,0.0,0.0,0.0,46,46.0,46,0.0,0,0,0,0,0.0006768703460693359,0.006039867315206442,0.03442859649658203,0.005718907994961065,0,0,0,0,-1,-1,-1,-1,udpFlood
192.168.1.130,42550,192.168.2.100,80,17,3.3531618118286133,N/A,631,0,29026,0,188.18059950882312,0.0,8656.307577405863,0.0,0.0,0.0,46,46.0,46,0.0,0,0,0,0,0.0003840923309326172,0.005322479066394624,0.029172182083129883,0.004688156031301577,0,0,0,0,-1,-1,-1,-1,udpFlood
192.168.1.121,56024,192.168.2.100,80,17,3.3488316535949707,N/A,612,0,28152,0,182.75030318201215,0.0,8406.513946372559,0.0,0.0,0.0,46,46.0,46,0.0,0,0,0,0,0.00069427490234375,0.0054809028700408685,0.026018857955932617,0.004613614148866722,0,0,0,0,-1,-1,-1,-1,udpFlood
192.168.1.140,49530,192.168.2.100,80,17,3.3541693687438965,N/A,506,0,23276,0,150.8570213285002,0.0,6939.422981111009,0.0,0.0,0.0,46,46.0,46,0.0,0,0,0,0,0.00033736228942871094,0.006641919542067122,0.03944087028503418,0.006510813385711308,0,0,0,0,-1,-1,-1,-1,udpFlood
192.168.1.101,45429,192.168.2.100,80,17,0.7057852745056152,N/A,127,0,5842,0,179.94141361047846,0.0,8277.30502608201,0.0,0.0,0.0,46,46.0,46,0.0,0,0,0,0,0.0009989738464355469,0.005601470432584248,0.030151844024658203,0.005168549207572862,0,0,0,0,-1,-1,-1,-1,udpFlood
192.168.1.141,42692,192.168.2.100,80,17,3.3571903705596924,N/A,515,0,23690,0,153.40208422977872,0.0,7056.495874569821,0.0,0.0,0.0,46,46.0,46,0.0,0,0,0,0,0.0006265640258789062,0.006531498775407962,0.0448298454284668,0.006664132576470532,0,0,0,0,-1,-1,-1,-1,udpFlood
192.168.1.130,40624,192.168.2.100,80,17,3.349160671234131,N/A,541,0,24886,0,161.53300874653084,0.0,7430.518402340419,0.0,0.0,0.0,46,46.0,46,0.0,0,0,0,0,2.1219253540039062e-05,0.006202149391174317,0.04020857810974121,0.0058584818300941865,0,0,0,0,-1,-1,-1,-1,udpFlood
192.168.1.122,40737,192.168.2.100,80,17,3.3548691272735596,N/A,623,0,28658,0,185.7002393730633,0.0,8542.211011160913,0.0,0.0,0.0,46,46.0,46,0.0,0,0,0,0,0.0006685256958007812,0.005393680268928553,0.03712868690490723,0.004962127687428449,0,0,0,0,-1,-1,-1,-1,udpFlood
