@relation 'slowHeaders'

@attribute 'srcip' STRING
@attribute 'srcport' NUMERIC
@attribute 'dstip' STRING
@attribute 'dstport' NUMERIC
@attribute 'proto' NUMERIC
@attribute 'total_fpackets' NUMERIC
@attribute 'total_fvolume' NUMERIC
@attribute 'total_bpackets' NUMERIC
@attribute 'total_bvolume' NUMERIC
@attribute 'min_fpktl' NUMERIC
@attribute 'mean_fpktl' NUMERIC
@attribute 'max_fpktl' NUMERIC
@attribute 'std_fpktl' NUMERIC
@attribute 'min_bpktl' NUMERIC
@attribute 'mean_bpktl' NUMERIC
@attribute 'max_bpktl' NUMERIC
@attribute 'std_bpktl' NUMERIC
@attribute 'min_fiat' NUMERIC
@attribute 'mean_fiat' NUMERIC
@attribute 'max_fiat' NUMERIC
@attribute 'std_fiat' NUMERIC
@attribute 'min_biat' NUMERIC
@attribute 'mean_biat' NUMERIC
@attribute 'max_biat' NUMERIC
@attribute 'std_biat' NUMERIC
@attribute 'duration' NUMERIC
@attribute 'min_active' NUMERIC
@attribute 'mean_active' NUMERIC
@attribute 'max_active' NUMERIC
@attribute 'std_active' NUMERIC
@attribute 'min_idle' NUMERIC
@attribute 'mean_idle' NUMERIC
@attribute 'max_idle' NUMERIC
@attribute 'std_idle' NUMERIC
@attribute 'sflow_fpackets' NUMERIC
@attribute 'sflow_fbytes' NUMERIC
@attribute 'sflow_bpackets' NUMERIC
@attribute 'sflow_bbytes' NUMERIC
@attribute 'fpsh_cnt' NUMERIC
@attribute 'bpsh_cnt' NUMERIC
@attribute 'furg_cnt' NUMERIC
@attribute 'burg_cnt' NUMERIC
@attribute 'total_fhlen' NUMERIC
@attribute 'total_bhlen' NUMERIC

@attribute isAttack {normal,slowBody,slowHeaders,slowRead,tcpFlood,udpFlood,httpFlood}

@DATA
%Filename: /root/Documents/CNIS/AttackerData/POST/H/750Connection.pcapng,slowHeaders
192.168.2.11,40710,192.168.100.11,80,6,7,704,7,7612,40,100,396,130,52,1087,1500,704,41,1043,2846,1155,3,786,3070,1239,6260,6260,6260,6260,0,0,0,0,0,7,704,7,7612,1,0,0,0,360,372,slowHeaders
192.168.2.11,40712,192.168.100.11,80,6,8,870,6,803,40,108,395,117,52,133,535,196,1536,1600,1652,59,3205,3205,3205,0,31094125,840,1909,4736,1606,1012746,7771144,10834568,4554777,1,174,1,160,4,1,0,0,412,320,slowHeaders
192.168.2.11,40714,192.168.100.11,80,6,8,894,6,803,40,111,395,117,52,133,535,196,1489,1828,2331,443,3137,3137,3137,0,31091875,762,2055,4602,1536,1012807,7770399,10831760,4554096,1,178,1,160,4,1,0,0,412,320,slowHeaders
192.168.2.11,40716,192.168.100.11,80,6,8,859,6,803,40,107,395,117,52,133,535,196,1148,2041,2936,894,3376,3376,3376,0,31089624,701,2129,4514,1579,1012868,7769743,10828956,4553455,1,171,1,160,4,1,0,0,412,320,slowHeaders
192.168.2.11,40718,192.168.100.11,80,6,8,869,6,803,40,108,395,117,52,133,535,196,1111,2002,3500,1304,2516,2516,2516,0,31087176,969,2278,3887,1322,1012588,7768946,10826557,4552986,1,173,1,160,4,1,0,0,412,320,slowHeaders
192.168.2.11,40720,192.168.100.11,80,6,8,872,6,803,40,109,395,117,52,133,535,196,1311,2304,4155,1604,2781,2781,2781,0,31085533,913,2435,4204,1611,1012647,7768339,10823942,4552389,1,174,1,160,4,1,0,0,412,320,slowHeaders
192.168.2.11,40724,192.168.100.11,80,6,8,923,6,803,40,115,395,116,52,133,535,196,1416,2518,4428,1660,3125,3125,3125,0,31080298,749,2621,4517,1739,1012424,7766797,10818081,4551190,1,184,1,160,4,1,0,0,412,320,slowHeaders
192.168.2.11,40726,192.168.100.11,80,6,8,868,6,803,40,108,395,117,52,133,535,196,1465,2736,5079,2031,3081,3081,3081,0,31078005,689,2722,5079,1953,1012483,7766097,10815109,4550512,1,173,1,160,4,1,0,0,412,320,slowHeaders
192.168.2.11,40728,192.168.100.11,80,6,8,868,6,803,40,108,395,117,52,133,535,196,1467,2817,5354,2198,3561,3561,3561,0,31075333,986,2910,5354,2094,1012542,7765195,10811679,4549674,1,173,1,160,4,1,0,0,412,320,slowHeaders
