@relation 'tcpFlood'

@attribute 'srcip' STRING
@attribute 'srcport' NUMERIC
@attribute 'dstip' STRING
@attribute 'dstport' NUMERIC
@attribute 'proto' NUMERIC
@attribute 'total_fpackets' NUMERIC
@attribute 'total_fvolume' NUMERIC
@attribute 'total_bpackets' NUMERIC
@attribute 'total_bvolume' NUMERIC
@attribute 'min_fpktl' NUMERIC
@attribute 'mean_fpktl' NUMERIC
@attribute 'max_fpktl' NUMERIC
@attribute 'std_fpktl' NUMERIC
@attribute 'min_bpktl' NUMERIC
@attribute 'mean_bpktl' NUMERIC
@attribute 'max_bpktl' NUMERIC
@attribute 'std_bpktl' NUMERIC
@attribute 'min_fiat' NUMERIC
@attribute 'mean_fiat' NUMERIC
@attribute 'max_fiat' NUMERIC
@attribute 'std_fiat' NUMERIC
@attribute 'min_biat' NUMERIC
@attribute 'mean_biat' NUMERIC
@attribute 'max_biat' NUMERIC
@attribute 'std_biat' NUMERIC
@attribute 'duration' NUMERIC
@attribute 'min_active' NUMERIC
@attribute 'mean_active' NUMERIC
@attribute 'max_active' NUMERIC
@attribute 'std_active' NUMERIC
@attribute 'min_idle' NUMERIC
@attribute 'mean_idle' NUMERIC
@attribute 'max_idle' NUMERIC
@attribute 'std_idle' NUMERIC
@attribute 'sflow_fpackets' NUMERIC
@attribute 'sflow_fbytes' NUMERIC
@attribute 'sflow_bpackets' NUMERIC
@attribute 'sflow_bbytes' NUMERIC
@attribute 'fpsh_cnt' NUMERIC
@attribute 'bpsh_cnt' NUMERIC
@attribute 'furg_cnt' NUMERIC
@attribute 'burg_cnt' NUMERIC
@attribute 'total_fhlen' NUMERIC
@attribute 'total_bhlen' NUMERIC

@attribute isAttack {normal,slowBody,slowHeaders,slowRead,tcpFlood,udpFlood,httpFlood}

@DATA
%Filename: /root/Documents/highratePcap/appendRandomCharacters/T/TCPFlood100ThreadsAppendRandom.pcapng,tcpFlood
172.16.15.11,49334,152.14.13.11,80,6,1228,79200,881,46334,52,64,340,9,52,52,566,17,367,1750,34299,1532,16,2436,62276,3054,2147409,2147409,2147409,2147409,0,0,0,0,0,1228,79200,881,46334,1226,1,0,0,63864,45820,tcpFlood
172.16.15.11,49338,152.14.13.11,80,6,624,40124,600,31208,52,64,208,6,52,52,60,0,165,1797,26049,1683,3,1869,50732,2539,1120441,1120441,1120441,1120441,0,0,0,0,0,624,40124,600,31208,622,0,0,0,32456,31208,tcpFlood
172.16.15.11,49320,152.14.13.11,80,6,3039,196712,2603,135890,52,64,292,9,52,52,566,10,285,1870,38572,1846,3,2183,60466,3316,5683563,5683563,5683563,5683563,0,0,0,0,0,3039,196712,2603,135890,3037,1,0,0,158036,135376,tcpFlood
172.16.15.11,49340,152.14.13.11,80,6,295,18864,291,15140,52,63,64,0,52,52,60,0,43,2004,31766,2421,24,2027,31209,2431,589402,589402,589402,589402,0,0,0,0,0,295,18864,291,15140,293,0,0,0,15348,15140,tcpFlood
172.16.15.11,49342,152.14.13.11,80,6,20,1264,19,996,52,63,64,2,52,52,60,1,259,4180,8775,3094,332,4408,8690,3094,80255,80255,80255,80255,0,0,0,0,0,20,1264,19,996,18,0,0,0,1048,996,tcpFlood
172.16.15.11,49330,152.14.13.11,80,6,1681,109272,1236,64794,52,65,352,11,52,52,566,14,238,1882,56619,2151,3,2550,69360,3566,3163117,3163117,3163117,3163117,0,0,0,0,0,1681,109272,1236,64794,1678,1,0,0,87420,64280,tcpFlood
172.16.15.11,49306,152.14.13.11,80,6,5270,339604,3766,196366,52,64,328,8,52,52,566,8,54,1752,34706,1458,5,2451,57406,2840,9233697,9233697,9233697,9233697,0,0,0,0,0,5270,339604,3766,196366,5267,1,0,0,274048,195852,tcpFlood
172.16.15.11,49312,152.14.13.11,80,6,4131,266888,3136,163594,52,64,400,9,52,52,566,9,369,1869,41891,1740,2,2461,56347,3177,7719712,7719712,7719712,7719712,0,0,0,0,0,4131,266888,3136,163594,4128,1,0,0,214820,163080,tcpFlood
172.16.15.11,49328,152.14.13.11,80,6,2027,132100,1514,79250,52,65,424,14,52,52,566,13,289,1808,43685,1944,6,2420,56095,3657,3664777,3664777,3664777,3664777,0,0,0,0,0,2027,132100,1514,79250,2024,1,0,0,105412,78736,tcpFlood
172.16.15.11,49336,152.14.13.11,80,6,922,59556,689,36350,52,64,232,9,52,52,566,19,168,1754,24651,1744,2,2347,52202,3144,1616654,1616654,1616654,1616654,0,0,0,0,0,922,59556,689,36350,919,1,0,0,47952,35836,tcpFlood
172.16.15.11,49332,152.14.13.11,80,6,1321,86004,1078,56578,52,65,460,13,52,52,566,15,148,2012,64723,2494,11,2465,92735,3832,2656591,2656591,2656591,2656591,0,0,0,0,0,1321,86004,1078,56578,1318,1,0,0,68700,56064,tcpFlood
172.16.15.11,49322,152.14.13.11,80,6,2763,179552,2343,122358,52,64,352,11,52,52,566,10,223,1872,36611,1946,4,2208,52044,3390,5173174,5173174,5173174,5173174,0,0,0,0,0,2763,179552,2343,122358,2761,1,0,0,143684,121844,tcpFlood
172.16.15.11,49314,152.14.13.11,80,6,3895,251580,3049,159082,52,64,316,9,52,52,566,9,51,1850,35259,1620,4,2364,56487,3070,7207879,7207879,7207879,7207879,0,0,0,0,0,3895,251580,3049,159082,3892,1,0,0,202548,158568,tcpFlood
172.16.15.11,49318,152.14.13.11,80,6,3328,215496,2752,143626,52,64,340,10,52,52,566,9,349,1859,42127,1771,3,2249,55245,3170,6188208,6188208,6188208,6188208,0,0,0,0,0,3328,215496,2752,143626,3325,1,0,0,173064,143112,tcpFlood
172.16.15.11,49308,152.14.13.11,80,6,4773,307868,3530,184094,52,64,364,8,52,52,566,8,159,1829,42219,1572,3,2473,55661,2998,8730964,8730964,8730964,8730964,0,0,0,0,0,4773,307868,3530,184094,4770,1,0,0,248204,183580,tcpFlood
172.16.15.11,49304,152.14.13.11,80,6,5534,356572,3856,201046,52,64,328,7,52,52,566,8,374,1760,34798,1433,4,2526,57431,2818,9742240,9742240,9742240,9742240,0,0,0,0,0,5534,356572,3856,201046,5531,1,0,0,287776,200532,tcpFlood
172.16.15.11,49310,152.14.13.11,80,6,4677,301556,3306,172434,52,64,316,8,52,52,566,8,52,1759,33106,1438,2,2489,58133,2936,8228226,8228226,8228226,8228226,0,0,0,0,0,4677,301556,3306,172434,4674,1,0,0,243212,171920,tcpFlood
172.16.15.11,49326,152.14.13.11,80,6,2275,147708,1652,86438,52,64,340,11,52,52,566,12,260,1832,35995,1828,6,2523,56271,3726,4167245,4167245,4167245,4167245,0,0,0,0,0,2275,147708,1652,86438,2272,1,0,0,118308,85924,tcpFlood
172.16.15.11,49316,152.14.13.11,80,6,3666,237296,2874,149970,52,64,436,10,52,52,566,9,424,1830,42521,1784,3,2333,56534,3202,6708903,6708903,6708903,6708903,0,0,0,0,0,3666,237296,2874,149970,3663,1,0,0,190640,149456,tcpFlood
172.16.15.11,49324,152.14.13.11,80,6,2321,151252,2012,105146,52,65,424,14,52,52,566,11,153,2012,45165,2296,3,2321,73031,3884,4668885,4668885,4668885,4668885,0,0,0,0,0,2321,151252,2012,105146,2319,1,0,0,120700,104632,tcpFlood
%Filename: /root/Documents/highratePcap/appendRandomCharacters/T/TCPFlood150ThreadsAppendRandom.pcapng,tcpFlood
172.16.15.11,43004,152.14.13.11,80,6,579,37580,134,7156,52,64,256,9,52,53,64,3,108,16960,663233,69101,22,70833,1232579,165061,13723791,3750404,4893004,6035605,1615881,3937782,3937782,3937782,0,289,18790,67,3578,577,0,0,0,30116,7156,tcpFlood
172.16.15.11,43070,152.14.13.11,80,6,445,29208,100,5898,52,65,244,12,52,58,566,51,215,22755,924426,93346,2,103449,985916,198441,13016870,59302,3352972,6356285,3158516,1418978,1478977,1538976,84851,148,9736,33,1966,442,1,0,0,23148,5384,tcpFlood
172.16.15.11,43016,152.14.13.11,80,6,438,28244,98,5104,52,64,148,4,52,52,60,0,4,21695,778893,83623,2,86487,1393551,190003,13650948,73004,3145828,5612689,2819117,1430890,2106732,2782574,955784,146,9414,32,1701,436,0,0,0,22784,5104,tcpFlood
172.16.15.11,43002,152.14.13.11,80,6,529,34236,194,10730,52,64,232,9,52,55,566,36,392,18628,659779,71435,7,47545,1037713,126593,13863327,3643818,4908635,6173452,1788721,4046057,4046057,4046057,0,264,17118,97,5365,526,1,0,0,27516,10216,tcpFlood
172.16.15.11,43024,152.14.13.11,80,6,484,32100,113,6256,52,66,400,19,52,55,80,6,232,20191,653152,76824,3,84955,679911,151367,13588126,71524,3237339,5890581,2943196,1431306,1938053,2444801,716649,161,10700,37,2085,482,0,0,0,25176,6256,tcpFlood
172.16.15.11,43000,152.14.13.11,80,6,666,42848,159,8336,52,64,100,3,52,52,64,2,322,15075,665522,63576,3,60951,1000852,133884,13948544,3747098,5005155,6263212,1779161,3938234,3938234,3938234,0,333,21424,79,4168,664,0,0,0,34640,8336,tcpFlood
172.16.15.11,43156,152.14.13.11,80,6,369,24104,72,3844,52,65,220,10,52,53,72,4,392,18841,659342,73757,517,96175,691007,155361,12300302,68128,1814465,4625522,2021250,1053698,1680813,2459265,714899,92,6026,18,961,367,0,0,0,19196,3844,tcpFlood
172.16.15.11,43076,152.14.13.11,80,6,572,37528,105,6046,52,65,220,10,52,57,566,50,28,17824,924885,80581,7,92150,1170838,184717,12999422,60204,3382171,6333023,3152833,1421307,1426454,1431601,7278,190,12509,35,2015,569,1,0,0,29752,5532,tcpFlood
172.16.15.11,43010,152.14.13.11,80,6,374,26524,130,7486,52,70,1500,87,52,57,566,45,5,22849,941035,85470,1,64103,887888,137569,13667862,3707,2839209,5978584,2999006,1213891,2575116,3936342,1925063,124,8841,43,2495,370,1,0,0,19456,6972,tcpFlood
172.16.15.11,43032,152.14.13.11,80,6,390,25172,87,4532,52,64,124,4,52,52,60,0,331,24399,1237336,98103,253,111086,1116722,197765,13509528,3646243,4733568,5820893,1537709,4042392,4042392,4042392,0,195,12586,43,2266,388,0,0,0,20288,4532,tcpFlood
172.16.15.11,43154,152.14.13.11,80,6,349,23484,85,4464,52,67,712,36,52,52,64,2,496,27040,928145,100253,463,113696,1501315,227739,12332060,71789,3119911,5659179,2828238,1415775,1486162,1556550,99542,116,7828,28,1488,347,0,0,0,18156,4464,tcpFlood
172.16.15.11,43206,152.14.13.11,80,6,367,24024,105,5720,52,65,220,10,52,54,72,5,460,23721,980379,92821,9,84643,1001620,172895,11513864,47412,2880573,4844066,2513804,1421102,1436072,1451042,21170,122,8008,35,1906,365,0,0,0,19092,5720,tcpFlood
172.16.15.11,43220,152.14.13.11,80,6,259,17460,63,3460,52,67,460,28,52,54,72,6,151,30919,901419,109030,9,132275,1170214,243604,10908228,59002,2680971,4232809,2283430,1428963,1432656,1436350,5223,86,5820,21,1153,257,0,0,0,13476,3460,tcpFlood
