@relation 'httpFlood'

@attribute 'srcip' STRING
@attribute 'srcport' NUMERIC
@attribute 'dstip' STRING
@attribute 'dstport' NUMERIC
@attribute 'proto' NUMERIC
@attribute 'total_fpackets' NUMERIC
@attribute 'total_fvolume' NUMERIC
@attribute 'total_bpackets' NUMERIC
@attribute 'total_bvolume' NUMERIC
@attribute 'min_fpktl' NUMERIC
@attribute 'mean_fpktl' NUMERIC
@attribute 'max_fpktl' NUMERIC
@attribute 'std_fpktl' NUMERIC
@attribute 'min_bpktl' NUMERIC
@attribute 'mean_bpktl' NUMERIC
@attribute 'max_bpktl' NUMERIC
@attribute 'std_bpktl' NUMERIC
@attribute 'min_fiat' NUMERIC
@attribute 'mean_fiat' NUMERIC
@attribute 'max_fiat' NUMERIC
@attribute 'std_fiat' NUMERIC
@attribute 'min_biat' NUMERIC
@attribute 'mean_biat' NUMERIC
@attribute 'max_biat' NUMERIC
@attribute 'std_biat' NUMERIC
@attribute 'duration' NUMERIC
@attribute 'min_active' NUMERIC
@attribute 'mean_active' NUMERIC
@attribute 'max_active' NUMERIC
@attribute 'std_active' NUMERIC
@attribute 'min_idle' NUMERIC
@attribute 'mean_idle' NUMERIC
@attribute 'max_idle' NUMERIC
@attribute 'std_idle' NUMERIC
@attribute 'sflow_fpackets' NUMERIC
@attribute 'sflow_fbytes' NUMERIC
@attribute 'sflow_bpackets' NUMERIC
@attribute 'sflow_bbytes' NUMERIC
@attribute 'fpsh_cnt' NUMERIC
@attribute 'bpsh_cnt' NUMERIC
@attribute 'furg_cnt' NUMERIC
@attribute 'burg_cnt' NUMERIC
@attribute 'total_fhlen' NUMERIC
@attribute 'total_bhlen' NUMERIC

@attribute isAttack {normal,slowBody,slowHeaders,slowRead,tcpFlood,udpFlood,httpFlood}

@DATA
%Filename: /mnt/hgfs/VMShares/testbed/Jan24_2018/Data/Loic/F/100ConnectionsNoAppend.pcapng,httpFlood
192.168.1.60,37572,192.168.2.10,80,6,6,356,4,699,52,59,88,14,52,174,535,240,31,14995,43417,24625,75,817,1560,1050,10753294,0,15660,45354,25728,1212501,5353157,9493813,5855771,2,118,1,233,1,1,0,0,320,216,httpFlood
192.168.1.60,37548,192.168.2.10,80,6,6,356,4,699,52,59,88,14,52,174,535,240,3,15031,44014,25105,173,628,1083,643,11540856,0,15477,45346,25872,1992607,5747212,9501817,5309813,2,118,1,233,1,1,0,0,320,216,httpFlood
192.168.1.60,37332,192.168.2.10,80,6,6,356,4,699,52,59,88,14,52,174,535,240,11,14688,42897,20032,106,4967,13975,7809,15560814,0,29377,58754,41545,15502060,15502060,15502060,0,3,178,2,349,1,1,0,0,320,216,httpFlood
192.168.1.60,37558,192.168.2.10,80,6,6,356,4,699,52,59,88,14,52,174,535,240,1,14866,43525,24824,63,569,1075,715,11537155,0,15753,46180,26356,1996047,5744948,9493849,5301746,2,118,1,233,1,1,0,0,320,216,httpFlood
192.168.1.60,37268,192.168.2.10,80,6,6,356,4,699,52,59,88,14,52,174,535,240,20,15245,44377,25237,118,736,1354,873,17266789,0,15651,45559,25910,1693601,8609918,15526235,9781149,2,118,1,233,1,1,0,0,320,216,httpFlood
192.168.1.60,37302,192.168.2.10,80,6,6,356,4,699,52,59,88,14,52,174,535,240,310,16493,43285,20297,174,7108,19645,10877,15580369,0,32987,65975,46651,15514394,15514394,15514394,0,3,178,2,349,1,1,0,0,320,216,httpFlood
192.168.1.60,37760,192.168.2.10,80,6,6,356,4,699,52,59,88,14,52,174,535,240,841,15667,45146,25529,210,1031,1852,1161,5551607,0,16209,46764,26477,1980434,2751489,3522545,1090437,2,118,1,233,1,1,0,0,320,216,httpFlood
192.168.1.60,37772,192.168.2.10,80,6,6,356,4,699,52,59,88,14,52,174,535,240,24,14979,42999,24284,206,1073,1940,1226,5548788,0,15467,44451,25119,1987638,2751193,3514748,1079829,2,118,1,233,1,1,0,0,320,216,httpFlood
192.168.1.60,37482,192.168.2.10,80,6,6,356,4,699,52,59,88,14,52,174,535,240,32,14198,41021,23241,58,817,1576,1073,12757644,0,15792,45739,25947,1208207,6355134,11502061,7278853,2,118,1,233,1,1,0,0,320,216,httpFlood
