@relation 'slowHeaders'

@attribute 'srcip' STRING
@attribute 'srcport' NUMERIC
@attribute 'dstip' STRING
@attribute 'dstport' NUMERIC
@attribute 'proto' NUMERIC
@attribute 'total_fpackets' NUMERIC
@attribute 'total_fvolume' NUMERIC
@attribute 'total_bpackets' NUMERIC
@attribute 'total_bvolume' NUMERIC
@attribute 'min_fpktl' NUMERIC
@attribute 'mean_fpktl' NUMERIC
@attribute 'max_fpktl' NUMERIC
@attribute 'std_fpktl' NUMERIC
@attribute 'min_bpktl' NUMERIC
@attribute 'mean_bpktl' NUMERIC
@attribute 'max_bpktl' NUMERIC
@attribute 'std_bpktl' NUMERIC
@attribute 'min_fiat' NUMERIC
@attribute 'mean_fiat' NUMERIC
@attribute 'max_fiat' NUMERIC
@attribute 'std_fiat' NUMERIC
@attribute 'min_biat' NUMERIC
@attribute 'mean_biat' NUMERIC
@attribute 'max_biat' NUMERIC
@attribute 'std_biat' NUMERIC
@attribute 'duration' NUMERIC
@attribute 'min_active' NUMERIC
@attribute 'mean_active' NUMERIC
@attribute 'max_active' NUMERIC
@attribute 'std_active' NUMERIC
@attribute 'min_idle' NUMERIC
@attribute 'mean_idle' NUMERIC
@attribute 'max_idle' NUMERIC
@attribute 'std_idle' NUMERIC
@attribute 'sflow_fpackets' NUMERIC
@attribute 'sflow_fbytes' NUMERIC
@attribute 'sflow_bpackets' NUMERIC
@attribute 'sflow_bbytes' NUMERIC
@attribute 'fpsh_cnt' NUMERIC
@attribute 'bpsh_cnt' NUMERIC
@attribute 'furg_cnt' NUMERIC
@attribute 'burg_cnt' NUMERIC
@attribute 'total_fhlen' NUMERIC
@attribute 'total_bhlen' NUMERIC

@attribute isAttack {normal,slowBody,slowHeaders,slowRead,tcpFlood,udpFlood,httpFlood}

@DATA
%Filename: /mnt/hgfs/VMShares/testbed/Jan24_2018/Data/slowHTTPTest/GET/H/1000Connection.pcapng,slowHeaders
192.168.1.50,44272,192.168.2.10,80,6,13,938,7,11948,52,72,306,70,52,1706,2948,1545,4,904,3548,1181,207,1691,3945,1796,10852,10852,10852,10852,0,0,0,0,0,13,938,7,11948,1,1,0,0,684,372,slowHeaders
192.168.1.60,51482,192.168.2.10,80,6,13,938,6,11896,52,72,306,70,52,1982,4396,2177,3,942,2906,1147,256,2024,4947,2119,11305,11305,11305,11305,0,0,0,0,0,13,938,6,11896,1,1,0,0,684,320,slowHeaders
192.168.1.50,44274,192.168.2.10,80,6,8,760,7,855,40,95,304,86,52,122,535,182,1290,1783,2554,675,474,2157,3841,2380,31059791,21,1124,3870,1655,1008585,7763542,10990516,4574140,1,152,1,171,4,1,0,0,412,372,slowHeaders
192.168.1.50,44276,192.168.2.10,80,6,8,746,7,855,40,93,304,86,52,122,535,182,1355,1730,2191,424,312,1639,2966,1876,31057166,11,1053,3033,1453,1008477,7762975,10988290,4573688,1,149,1,171,4,1,0,0,412,372,slowHeaders
192.168.1.50,44280,192.168.2.10,80,6,8,748,7,855,40,93,304,86,52,122,535,182,992,2147,3213,1113,276,1748,3220,2081,31052414,11,1306,3284,1773,1008152,7761470,10982560,4572511,1,149,1,171,4,1,0,0,412,372,slowHeaders
192.168.1.50,44282,192.168.2.10,80,6,8,809,7,855,40,101,304,85,52,122,535,182,1365,2489,4048,1393,267,1842,3418,2228,31050281,12,1518,4048,2059,1007960,7760672,10979507,4571897,1,161,1,171,4,1,0,0,412,372,slowHeaders
192.168.1.50,44284,192.168.2.10,80,6,8,755,7,855,40,94,304,86,52,122,535,182,1485,2641,4815,1883,255,1675,3095,2008,31047895,11,1601,4815,2255,1007845,7759972,10976811,4571320,1,151,1,171,4,1,0,0,412,372,slowHeaders
192.168.1.50,44286,192.168.2.10,80,6,8,778,7,855,40,97,304,86,52,122,535,182,1530,2665,4631,1709,268,1815,3362,2187,31045393,10,1617,4631,2240,1008144,7759326,10973811,4570490,1,155,1,171,4,1,0,0,412,372,slowHeaders
192.168.1.50,44288,192.168.2.10,80,6,8,792,7,855,40,99,304,86,52,122,535,182,1548,3236,5222,1855,276,2393,4511,2994,31042944,11,1965,5222,2685,1008053,7758279,10969710,4569575,1,158,1,171,4,1,0,0,412,372,slowHeaders
192.168.1.50,44290,192.168.2.10,80,6,8,755,7,855,40,94,304,86,52,122,535,182,1433,2955,5953,2596,238,1571,2905,1885,31040379,11,1791,5953,2655,1007806,7757855,10968122,4569345,1,151,1,171,4,1,0,0,412,372,slowHeaders
192.168.1.50,44292,192.168.2.10,80,6,8,748,7,855,40,93,304,87,52,122,535,182,256,3328,6848,3318,239,1684,3129,2043,31038629,10,2015,6848,3032,1007694,7757138,10965388,4568758,1,149,1,171,4,1,0,0,412,372,slowHeaders
192.168.1.50,44294,192.168.2.10,80,6,8,784,7,855,40,98,304,86,52,122,535,182,555,3426,7650,3736,236,1438,2640,1699,31036529,10,2072,7650,3325,1007471,7756542,10963112,4568354,1,156,1,171,4,1,0,0,412,372,slowHeaders
192.168.1.50,44296,192.168.2.10,80,6,8,777,7,855,40,97,304,86,52,122,535,182,1445,3699,8023,3745,264,1689,3114,2015,31034512,11,2245,8023,3506,1007355,7755821,10960370,4567766,1,155,1,171,4,1,0,0,412,372,slowHeaders
192.168.1.50,44298,192.168.2.10,80,6,8,753,7,855,40,94,304,86,52,122,535,182,1443,4148,8960,4178,172,1818,3465,2328,31032660,8,2504,8960,3917,1007158,7755034,10957349,4567170,1,150,1,171,4,1,0,0,412,372,slowHeaders
192.168.1.50,44300,192.168.2.10,80,6,8,760,7,855,40,95,304,86,52,122,535,182,1216,4301,9874,4835,249,1653,3057,1985,31030219,10,2596,9874,4279,1007043,7754309,10954557,4566575,1,152,1,171,4,1,0,0,412,372,slowHeaders
192.168.1.50,44302,192.168.2.10,80,6,8,790,7,855,40,98,304,85,52,122,535,182,1162,4266,9891,4879,171,1542,2914,1939,31027373,10,2573,9891,4282,1006805,7753626,10951967,4566103,1,158,1,171,4,1,0,0,412,372,slowHeaders
192.168.1.50,44304,192.168.2.10,80,6,8,791,7,855,40,98,304,86,52,122,535,182,1006,4510,10094,4888,218,1848,3479,2305,31024796,10,2724,10094,4387,1006690,7752793,10948739,4565408,1,158,1,171,4,1,0,0,412,372,slowHeaders
192.168.1.50,44306,192.168.2.10,80,6,8,791,7,855,40,98,304,85,52,122,535,182,1425,4498,10431,5138,175,1615,3055,2036,31022076,10,2717,10431,4517,1006444,7752122,10946171,4564952,1,158,1,171,4,1,0,0,412,372,slowHeaders
192.168.1.50,44308,192.168.2.10,80,6,8,790,7,855,40,98,304,87,52,122,535,182,1296,4689,10741,5253,230,1778,3326,2189,31019583,10,2831,10741,4656,1006331,7751356,10943243,4564321,1,158,1,171,4,1,0,0,412,372,slowHeaders
192.168.1.50,44310,192.168.2.10,80,6,8,774,6,803,40,96,304,86,52,133,535,196,1280,4971,11675,5815,3237,3237,3237,0,31017493,10,3001,11675,5053,1006139,7750621,10940421,4563771,1,154,1,160,4,1,0,0,412,320,slowHeaders
192.168.1.50,44312,192.168.2.10,80,6,8,778,7,855,40,97,304,86,52,122,535,182,1228,4940,11642,5815,218,1696,3175,2090,31014734,9,2986,11642,5036,1006232,7749951,10937622,4563079,1,155,1,171,4,1,0,0,412,372,slowHeaders
192.168.1.50,44314,192.168.2.10,80,6,8,763,7,855,40,95,304,86,52,122,535,182,1387,5298,12000,5830,175,2019,3864,2608,31012190,7,3190,12000,5208,1006048,7749059,10934189,4562380,1,152,1,171,4,1,0,0,412,372,slowHeaders
192.168.1.50,44316,192.168.2.10,80,6,8,739,7,855,40,92,304,86,52,122,535,182,1072,5094,12452,6381,197,1513,2829,1861,31009088,10,3068,12452,5388,1005932,7748436,10931811,4561884,1,147,1,171,4,1,0,0,412,372,slowHeaders
192.168.1.50,44318,192.168.2.10,80,6,8,762,7,855,40,95,304,86,52,122,535,182,1232,5380,13050,6649,220,1671,3123,2052,31006994,11,3246,13050,5646,1005747,7747690,10929038,4561329,1,152,1,171,4,1,0,0,412,372,slowHeaders
192.168.1.50,44320,192.168.2.10,80,6,8,803,7,855,40,100,304,85,52,122,535,182,1286,5510,13513,6934,202,1597,2993,1973,31004628,7,3319,13513,5848,1005632,7747008,10926416,4560777,1,160,1,171,4,1,0,0,412,372,slowHeaders
192.168.1.50,44322,192.168.2.10,80,6,8,804,7,855,40,100,304,86,52,122,535,182,1298,5682,13600,6870,218,1846,3474,2302,31002278,10,3427,13600,5884,1005808,7746285,10923222,4559970,1,160,1,171,4,1,0,0,412,372,slowHeaders
192.168.1.50,44324,192.168.2.10,80,6,8,802,7,855,40,100,304,85,52,122,535,182,1315,5745,14062,7207,209,1690,3172,2095,30999575,11,3465,14062,6085,1005708,7745561,10920455,4559373,1,160,1,171,4,1,0,0,412,372,slowHeaders
192.168.1.50,44326,192.168.2.10,80,6,8,743,7,855,40,92,304,86,52,122,535,182,1244,5923,14558,7486,216,1708,3200,2110,30997173,10,3571,14558,6301,1005527,7744828,10917630,4558819,1,148,1,171,4,1,0,0,412,372,slowHeaders
192.168.1.50,44328,192.168.2.10,80,6,8,780,7,855,40,97,304,85,52,122,535,182,1598,6127,15018,7700,212,1785,3358,2224,30994693,11,3695,15018,6499,1005414,7744054,10914652,4558184,1,156,1,171,4,1,0,0,412,372,slowHeaders
192.168.1.50,44330,192.168.2.10,80,6,8,806,7,855,40,100,304,85,52,122,535,182,1282,6210,15354,7926,206,1737,3268,2165,30992019,10,3744,15354,6647,1005162,7743324,10911870,4557682,1,161,1,171,4,1,0,0,412,372,slowHeaders
192.168.1.50,44332,192.168.2.10,80,6,8,778,7,855,40,97,304,85,52,122,535,182,1283,6439,16048,8328,210,1737,3264,2159,30989722,11,3882,16048,6951,1005045,7742577,10908991,4557074,1,155,1,171,4,1,0,0,412,372,slowHeaders
192.168.1.50,44334,192.168.2.10,80,6,8,775,7,855,40,96,304,86,52,122,535,182,1552,6689,16750,8713,169,1741,3313,2223,30987642,11,4032,16750,7257,1004976,7741870,10906055,4556458,1,155,1,171,4,1,0,0,412,372,slowHeaders
192.168.1.50,44336,192.168.2.10,80,6,8,783,7,855,40,97,304,86,52,122,535,182,1519,6735,16952,8848,215,1733,3252,2147,30984799,10,4059,16952,7347,1004876,7741125,10903209,4555843,1,156,1,171,4,1,0,0,412,372,slowHeaders
192.168.1.50,44338,192.168.2.10,80,6,8,771,7,855,40,96,304,86,52,122,535,182,1499,6864,17295,9034,172,1733,3295,2208,30982153,11,4136,17295,7496,1004686,7740367,10900290,4555275,1,154,1,171,4,1,0,0,412,372,slowHeaders
192.168.1.50,44340,192.168.2.10,80,6,8,754,7,855,40,94,304,86,52,122,535,182,1352,7052,17889,9389,214,1738,3263,2155,30979709,10,4248,17889,7758,1004574,7739616,10897390,4554661,1,150,1,171,4,1,0,0,412,372,slowHeaders
192.168.1.50,44342,192.168.2.10,80,6,8,748,7,855,40,93,304,86,52,122,535,182,1397,7203,18437,9730,213,1688,3164,2086,30977295,11,4340,18437,8002,1004422,7738898,10894617,4554104,1,149,1,171,4,1,0,0,412,372,slowHeaders
192.168.1.50,44344,192.168.2.10,80,6,8,788,7,855,40,98,304,85,52,122,535,182,1326,7227,18475,9744,219,1708,3197,2105,30974793,11,4354,18475,8018,1004671,7738255,10891798,4553330,1,157,1,171,4,1,0,0,412,372,slowHeaders
192.168.1.50,44346,192.168.2.10,80,6,8,760,6,803,40,95,304,86,52,133,535,196,1572,7572,19389,10233,3320,3320,3320,0,30972786,10,4561,19389,8416,1004443,7737494,10888847,4552782,1,152,1,160,4,1,0,0,412,320,slowHeaders
192.168.1.50,44348,192.168.2.10,80,6,8,799,7,855,40,99,304,85,52,122,535,182,1285,7571,19596,10417,223,1653,3083,2022,30969938,10,4555,19596,8517,1004332,7736790,10886158,4552214,1,159,1,171,4,1,0,0,412,372,slowHeaders
192.168.1.50,44350,192.168.2.10,80,6,8,795,7,855,40,99,304,85,52,122,535,182,1304,7682,19966,10640,173,1625,3077,2053,30967362,9,4622,19966,8682,1004224,7736062,10883352,4551620,1,159,1,171,4,1,0,0,412,372,slowHeaders
192.168.1.50,44438,192.168.2.10,80,6,8,752,7,855,40,94,304,86,52,122,535,182,1298,6746,17309,9149,206,1571,2937,1931,30836694,10,4060,17309,7515,1001846,7704097,10757923,4524237,1,150,1,171,4,1,0,0,412,372,slowHeaders
192.168.1.10,47388,192.168.2.10,80,6,5,450,6,11896,40,90,246,87,52,1982,4396,2177,1164,1583,2002,592,307,1288,3199,1654,30837906,2146,15929,42421,22949,5199333,15395059,25590786,14418934,1,150,2,3965,1,1,0,0,256,320,slowHeaders
192.168.1.50,44352,192.168.2.10,80,6,8,784,7,855,40,98,304,86,52,122,535,182,1478,8731,22952,12316,245,1738,3231,2111,30967465,10,5251,22952,9995,1004115,7735301,10880419,4550998,1,156,1,171,4,1,0,0,412,372,slowHeaders
192.168.1.50,44354,192.168.2.10,80,6,8,771,7,855,40,96,304,86,52,122,535,182,1352,8695,22895,12299,174,1678,3183,2127,30964590,10,5230,22895,9972,1004241,7734609,10877531,4550268,1,154,1,171,4,1,0,0,412,372,slowHeaders
192.168.1.50,44356,192.168.2.10,80,6,8,777,7,855,40,97,304,85,52,122,535,182,1242,8997,23827,12847,199,1679,3159,2093,30962513,10,5412,23827,10386,1004145,7733863,10874645,4549651,1,155,1,171,4,1,0,0,412,372,slowHeaders
192.168.1.50,44358,192.168.2.10,80,6,8,756,7,855,40,94,304,86,52,122,535,182,1232,9001,23845,12859,231,1693,3155,2067,30959535,10,5442,23845,10376,1004038,7733080,10871760,4549027,1,151,1,171,4,1,0,0,412,372,slowHeaders
192.168.1.50,44360,192.168.2.10,80,6,8,774,7,855,40,96,304,86,52,122,535,182,1345,9307,24858,13468,199,1622,3045,2012,30957560,11,5595,24858,10849,1003913,7732395,10869137,4548485,1,154,1,171,4,1,0,0,412,372,slowHeaders
192.168.1.50,44362,192.168.2.10,80,6,8,750,7,855,40,93,304,86,52,122,535,182,1427,9374,24878,13428,249,1754,3260,2129,30954628,10,5638,24878,10848,1003773,7731609,10866101,4547862,1,150,1,171,4,1,0,0,412,372,slowHeaders
192.168.1.50,44364,192.168.2.10,80,6,8,807,7,855,40,100,304,85,52,122,535,182,1265,9582,25618,13890,181,1651,3122,2079,30952303,12,5771,25618,11177,1003625,7730861,10863279,4547285,1,161,1,171,4,1,0,0,412,372,slowHeaders
192.168.1.50,44366,192.168.2.10,80,6,8,798,6,803,40,99,304,86,52,133,535,196,1255,9709,25965,14081,3153,3153,3153,0,30949693,10,5838,25965,11335,1003515,7730125,10860399,4546683,1,159,1,160,4,1,0,0,412,320,slowHeaders
192.168.1.50,44368,192.168.2.10,80,6,8,770,7,855,40,96,304,86,52,122,535,182,1257,9797,26224,14229,204,1680,3157,2088,30947296,10,5891,26224,11450,1003742,7729460,10857510,4545909,1,154,1,171,4,1,0,0,412,372,slowHeaders
192.168.1.50,44370,192.168.2.10,80,6,8,807,7,855,40,100,304,85,52,122,535,182,1265,10103,27205,14812,201,1648,3096,2047,30945296,10,6074,27205,11889,1003651,7728730,10854723,4545311,1,161,1,171,4,1,0,0,412,372,slowHeaders
192.168.1.50,44372,192.168.2.10,80,6,8,774,7,855,40,96,304,86,52,122,535,182,1247,10145,27214,14786,208,1712,3217,2127,30942351,10,6100,27214,11886,1003528,7727962,10851755,4544692,1,154,1,171,4,1,0,0,412,372,slowHeaders
192.168.1.50,44374,192.168.2.10,80,6,8,774,7,855,40,96,304,86,52,122,535,182,1266,10824,29326,16026,174,1656,3139,2096,30941409,9,6507,29326,12829,1003420,7727218,10848892,4544089,1,154,1,171,4,1,0,0,412,372,slowHeaders
192.168.1.50,44376,192.168.2.10,80,6,8,788,7,855,40,98,304,85,52,122,535,182,1299,10835,29345,16032,240,1697,3154,2060,30938450,9,6514,29345,12837,1003314,7726469,10846031,4543484,1,157,1,171,4,1,0,0,412,372,slowHeaders
192.168.1.50,44378,192.168.2.10,80,6,8,767,7,855,40,95,304,86,52,122,535,182,1322,10740,29039,15849,175,1674,3174,2120,30935460,10,6457,29039,12699,1003493,7725793,10843131,4542732,1,153,1,171,4,1,0,0,412,372,slowHeaders
192.168.1.50,44380,192.168.2.10,80,6,8,750,6,803,40,93,304,86,52,133,535,196,1254,10870,29403,16053,3201,3201,3201,0,30932823,9,6535,29403,12860,1003396,7725037,10840198,4542110,1,150,1,160,4,1,0,0,412,320,slowHeaders
192.168.1.50,44382,192.168.2.10,80,6,8,803,7,855,40,100,304,85,52,122,535,182,1276,10989,29824,16313,179,1657,3136,2090,30930226,9,6606,29824,13051,1003307,7724298,10837344,4541500,1,160,1,171,4,1,0,0,412,372,slowHeaders
192.168.1.50,44384,192.168.2.10,80,6,8,774,7,855,40,96,304,86,52,122,535,182,1234,10984,29843,16334,201,1649,3097,2047,30927275,10,6603,29843,13062,1003185,7723565,10834520,4540916,1,154,1,171,4,1,0,0,412,372,slowHeaders
