@relation 'udpFlood'

@attribute 'srcip' STRING
@attribute 'srcport' NUMERIC
@attribute 'dstip' STRING
@attribute 'dstport' NUMERIC
@attribute 'proto' NUMERIC
@attribute 'total_fpackets' NUMERIC
@attribute 'total_fvolume' NUMERIC
@attribute 'total_bpackets' NUMERIC
@attribute 'total_bvolume' NUMERIC
@attribute 'min_fpktl' NUMERIC
@attribute 'mean_fpktl' NUMERIC
@attribute 'max_fpktl' NUMERIC
@attribute 'std_fpktl' NUMERIC
@attribute 'min_bpktl' NUMERIC
@attribute 'mean_bpktl' NUMERIC
@attribute 'max_bpktl' NUMERIC
@attribute 'std_bpktl' NUMERIC
@attribute 'min_fiat' NUMERIC
@attribute 'mean_fiat' NUMERIC
@attribute 'max_fiat' NUMERIC
@attribute 'std_fiat' NUMERIC
@attribute 'min_biat' NUMERIC
@attribute 'mean_biat' NUMERIC
@attribute 'max_biat' NUMERIC
@attribute 'std_biat' NUMERIC
@attribute 'duration' NUMERIC
@attribute 'min_active' NUMERIC
@attribute 'mean_active' NUMERIC
@attribute 'max_active' NUMERIC
@attribute 'std_active' NUMERIC
@attribute 'min_idle' NUMERIC
@attribute 'mean_idle' NUMERIC
@attribute 'max_idle' NUMERIC
@attribute 'std_idle' NUMERIC
@attribute 'sflow_fpackets' NUMERIC
@attribute 'sflow_fbytes' NUMERIC
@attribute 'sflow_bpackets' NUMERIC
@attribute 'sflow_bbytes' NUMERIC
@attribute 'fpsh_cnt' NUMERIC
@attribute 'bpsh_cnt' NUMERIC
@attribute 'furg_cnt' NUMERIC
@attribute 'burg_cnt' NUMERIC
@attribute 'total_fhlen' NUMERIC
@attribute 'total_bhlen' NUMERIC

@attribute isAttack {normal,slowBody,slowHeaders,slowRead,tcpFlood,udpFlood,httpFlood}

@DATA
%Filename: /mnt/hgfs/VMShares/testbed/Jan24_2018/Data/Loic/U/100ConnectionsNoAppend.pcapng,udpFlood
192.168.1.10,48255,192.168.2.10,80,17,7347,293880,0,0,40,40,40,0,-1,-1,-1,0,12,4048,698858,11275,0,0,0,0,29739002,29739002,29739002,29739002,0,0,0,0,0,7347,293880,0,0,0,0,0,0,146948,0,udpFlood
192.168.1.60,34770,192.168.2.10,80,17,9466,378640,0,0,40,40,40,0,-1,-1,-1,0,1,3142,341237,6544,0,0,0,0,29741212,29741212,29741212,29741212,0,0,0,0,0,9466,378640,0,0,0,0,0,0,189328,0,udpFlood
192.168.1.60,43048,192.168.2.10,80,17,9408,376320,0,0,40,40,40,0,-1,-1,-1,0,126,3160,344826,6547,0,0,0,0,29727966,29727966,29727966,29727966,0,0,0,0,0,9408,376320,0,0,0,0,0,0,188168,0,udpFlood
192.168.1.50,56350,192.168.2.10,80,17,2160,86400,0,0,40,40,40,0,-1,-1,-1,0,333,3120,142843,4516,0,0,0,0,6737570,6737570,6737570,6737570,0,0,0,0,0,2160,86400,0,0,0,0,0,0,43208,0,udpFlood
192.168.1.20,53800,192.168.2.10,80,17,7836,313440,0,0,40,40,40,0,-1,-1,-1,0,3,3795,350125,7378,0,0,0,0,29738324,29738324,29738324,29738324,0,0,0,0,0,7836,313440,0,0,0,0,0,0,156728,0,udpFlood
192.168.1.50,45021,192.168.2.10,80,17,6073,242920,0,0,40,40,40,0,-1,-1,-1,0,85,3013,344858,7759,0,0,0,0,18296770,18296770,18296770,18296770,0,0,0,0,0,6073,242920,0,0,0,0,0,0,121468,0,udpFlood
192.168.1.50,38582,192.168.2.10,80,17,10117,404680,0,0,40,40,40,0,-1,-1,-1,0,8,2701,343471,6063,0,0,0,0,27326263,27326263,27326263,27326263,0,0,0,0,0,10117,404680,0,0,0,0,0,0,202348,0,udpFlood
192.168.1.60,46754,192.168.2.10,80,17,10428,417120,0,0,40,40,40,0,-1,-1,-1,0,9,2853,354119,6152,0,0,0,0,29749452,29749452,29749452,29749452,0,0,0,0,0,10428,417120,0,0,0,0,0,0,208568,0,udpFlood
192.168.1.50,60031,192.168.2.10,80,17,1637,65480,0,0,40,40,40,0,-1,-1,-1,0,275,3195,170282,5473,0,0,0,0,5227491,5227491,5227491,5227491,0,0,0,0,0,1637,65480,0,0,0,0,0,0,32748,0,udpFlood
192.168.1.50,53792,192.168.2.10,80,17,2309,92360,0,0,40,40,40,0,-1,-1,-1,0,168,3137,170115,4831,0,0,0,0,7241591,7241591,7241591,7241591,0,0,0,0,0,2309,92360,0,0,0,0,0,0,46188,0,udpFlood
192.168.1.50,53476,192.168.2.10,80,17,7593,303720,0,0,40,40,40,0,-1,-1,-1,0,1,2806,348290,6954,0,0,0,0,21308437,21308437,21308437,21308437,0,0,0,0,0,7593,303720,0,0,0,0,0,0,151868,0,udpFlood
192.168.1.60,51169,192.168.2.10,80,17,9828,393120,0,0,40,40,40,0,-1,-1,-1,0,18,3026,343756,6436,0,0,0,0,29743236,29743236,29743236,29743236,0,0,0,0,0,9828,393120,0,0,0,0,0,0,196568,0,udpFlood
192.168.1.60,41562,192.168.2.10,80,17,9330,373200,0,0,40,40,40,0,-1,-1,-1,0,16,3188,339959,6599,0,0,0,0,29745893,29745893,29745893,29745893,0,0,0,0,0,9330,373200,0,0,0,0,0,0,186608,0,udpFlood
192.168.1.60,42385,192.168.2.10,80,17,9730,389200,0,0,40,40,40,0,-1,-1,-1,0,10,3056,353320,6475,0,0,0,0,29737140,29737140,29737140,29737140,0,0,0,0,0,9730,389200,0,0,0,0,0,0,194608,0,udpFlood
192.168.1.20,59922,192.168.2.10,80,17,7387,295480,0,0,40,40,40,0,-1,-1,-1,0,10,4027,346490,7825,0,0,0,0,29743945,29743945,29743945,29743945,0,0,0,0,0,7387,295480,0,0,0,0,0,0,147748,0,udpFlood
192.168.1.10,36656,192.168.2.10,80,17,7536,301440,0,0,40,40,40,0,-1,-1,-1,0,1,3947,692192,11094,0,0,0,0,29746819,29746819,29746819,29746819,0,0,0,0,0,7536,301440,0,0,0,0,0,0,150728,0,udpFlood
192.168.1.20,45912,192.168.2.10,80,17,7346,293840,0,0,40,40,40,0,-1,-1,-1,0,19,4049,347786,7778,0,0,0,0,29743321,29743321,29743321,29743321,0,0,0,0,0,7346,293840,0,0,0,0,0,0,146928,0,udpFlood
192.168.1.20,60318,192.168.2.10,80,17,7561,302440,0,0,40,40,40,0,-1,-1,-1,0,1,3934,352004,7612,0,0,0,0,29746160,29746160,29746160,29746160,0,0,0,0,0,7561,302440,0,0,0,0,0,0,151228,0,udpFlood
192.168.1.60,47722,192.168.2.10,80,17,9655,386200,0,0,40,40,40,0,-1,-1,-1,0,1,3080,340175,6482,0,0,0,0,29743019,29743019,29743019,29743019,0,0,0,0,0,9655,386200,0,0,0,0,0,0,193108,0,udpFlood
192.168.1.60,53365,192.168.2.10,80,17,10133,405320,0,0,40,40,40,0,-1,-1,-1,0,16,2936,355349,6333,0,0,0,0,29747590,29747590,29747590,29747590,0,0,0,0,0,10133,405320,0,0,0,0,0,0,202668,0,udpFlood
192.168.1.60,43185,192.168.2.10,80,17,9386,375440,0,0,40,40,40,0,-1,-1,-1,0,9,3169,355728,6659,0,0,0,0,29746009,29746009,29746009,29746009,0,0,0,0,0,9386,375440,0,0,0,0,0,0,187728,0,udpFlood
192.168.1.60,59219,192.168.2.10,80,17,9404,376160,0,0,40,40,40,0,-1,-1,-1,0,2,3163,340478,6578,0,0,0,0,29742517,29742517,29742517,29742517,0,0,0,0,0,9404,376160,0,0,0,0,0,0,188088,0,udpFlood
192.168.1.10,60856,192.168.2.10,80,17,7526,301040,0,0,40,40,40,0,-1,-1,-1,0,4,3953,712927,11198,0,0,0,0,29748180,29748180,29748180,29748180,0,0,0,0,0,7526,301040,0,0,0,0,0,0,150528,0,udpFlood
192.168.1.60,48934,192.168.2.10,80,17,9619,384760,0,0,40,40,40,0,-1,-1,-1,0,18,3093,356446,6509,0,0,0,0,29749471,29749471,29749471,29749471,0,0,0,0,0,9619,384760,0,0,0,0,0,0,192388,0,udpFlood
192.168.1.20,50477,192.168.2.10,80,17,7963,318520,0,0,40,40,40,0,-1,-1,-1,0,12,3734,353646,7563,0,0,0,0,29735126,29735126,29735126,29735126,0,0,0,0,0,7963,318520,0,0,0,0,0,0,159268,0,udpFlood
192.168.1.20,48157,192.168.2.10,80,17,7782,311280,0,0,40,40,40,0,-1,-1,-1,0,3,3822,344124,7594,0,0,0,0,29742577,29742577,29742577,29742577,0,0,0,0,0,7782,311280,0,0,0,0,0,0,155648,0,udpFlood
192.168.1.50,39755,192.168.2.10,80,17,3827,153080,0,0,40,40,40,0,-1,-1,-1,0,166,2811,151266,3791,0,0,0,0,10756991,10756991,10756991,10756991,0,0,0,0,0,3827,153080,0,0,0,0,0,0,76548,0,udpFlood
192.168.1.60,36752,192.168.2.10,80,17,9254,370160,0,0,40,40,40,0,-1,-1,-1,0,23,3214,350570,6747,0,0,0,0,29743205,29743205,29743205,29743205,0,0,0,0,0,9254,370160,0,0,0,0,0,0,185088,0,udpFlood
192.168.1.20,36704,192.168.2.10,80,17,7367,294680,0,0,40,40,40,0,-1,-1,-1,0,2,4037,343997,7790,0,0,0,0,29737705,29737705,29737705,29737705,0,0,0,0,0,7367,294680,0,0,0,0,0,0,147348,0,udpFlood
192.168.1.50,51202,192.168.2.10,80,17,11961,478440,0,0,40,40,40,0,-1,-1,-1,0,28,2487,344693,5526,0,0,0,0,29746763,29746763,29746763,29746763,0,0,0,0,0,11961,478440,0,0,0,0,0,0,239228,0,udpFlood
192.168.1.50,42687,192.168.2.10,80,17,11908,476320,0,0,40,40,40,0,-1,-1,-1,0,14,2498,345012,5598,0,0,0,0,29747259,29747259,29747259,29747259,0,0,0,0,0,11908,476320,0,0,0,0,0,0,238168,0,udpFlood
192.168.1.10,56587,192.168.2.10,80,17,6792,271680,0,0,40,40,40,0,-1,-1,-1,0,3,4176,695927,11666,0,0,0,0,28362262,28362262,28362262,28362262,0,0,0,0,0,6792,271680,0,0,0,0,0,0,135848,0,udpFlood
192.168.1.20,56869,192.168.2.10,80,17,7587,303480,0,0,40,40,40,0,-1,-1,-1,0,16,3920,362405,7730,0,0,0,0,29740686,29740686,29740686,29740686,0,0,0,0,0,7587,303480,0,0,0,0,0,0,151748,0,udpFlood
192.168.1.10,51822,192.168.2.10,80,17,7388,295520,0,0,40,40,40,0,-1,-1,-1,0,31,4026,698780,11304,0,0,0,0,29747102,29747102,29747102,29747102,0,0,0,0,0,7388,295520,0,0,0,0,0,0,147768,0,udpFlood
192.168.1.50,56658,192.168.2.10,80,17,6910,276400,0,0,40,40,40,0,-1,-1,-1,0,109,2939,344484,7369,0,0,0,0,20306778,20306778,20306778,20306778,0,0,0,0,0,6910,276400,0,0,0,0,0,0,138208,0,udpFlood
192.168.1.20,33927,192.168.2.10,80,17,6090,243600,0,0,40,40,40,0,-1,-1,-1,0,1,4365,341614,8583,0,0,0,0,26581017,26581017,26581017,26581017,0,0,0,0,0,6090,243600,0,0,0,0,0,0,121808,0,udpFlood
192.168.1.60,56961,192.168.2.10,80,17,9073,362920,0,0,40,40,40,0,-1,-1,-1,0,2,3278,350995,6777,0,0,0,0,29745245,29745245,29745245,29745245,0,0,0,0,0,9073,362920,0,0,0,0,0,0,181468,0,udpFlood
192.168.1.60,38043,192.168.2.10,80,17,9993,399720,0,0,40,40,40,0,-1,-1,-1,0,7,2977,351511,6299,0,0,0,0,29747451,29747451,29747451,29747451,0,0,0,0,0,9993,399720,0,0,0,0,0,0,199868,0,udpFlood
192.168.1.50,43057,192.168.2.10,80,17,11897,475880,0,0,40,40,40,0,-1,-1,-1,0,4,2500,345500,5577,0,0,0,0,29742026,29742026,29742026,29742026,0,0,0,0,0,11897,475880,0,0,0,0,0,0,237948,0,udpFlood
192.168.1.50,59475,192.168.2.10,80,17,11290,451600,0,0,40,40,40,0,-1,-1,-1,0,23,2635,339590,5698,0,0,0,0,29747436,29747436,29747436,29747436,0,0,0,0,0,11290,451600,0,0,0,0,0,0,225808,0,udpFlood
192.168.1.50,56233,192.168.2.10,80,17,11689,467560,0,0,40,40,40,0,-1,-1,-1,0,5,2544,344765,5672,0,0,0,0,29744175,29744175,29744175,29744175,0,0,0,0,0,11689,467560,0,0,0,0,0,0,233788,0,udpFlood
192.168.1.50,52209,192.168.2.10,80,17,10956,438240,0,0,40,40,40,0,-1,-1,-1,0,8,2676,339621,5911,0,0,0,0,29326270,29326270,29326270,29326270,0,0,0,0,0,10956,438240,0,0,0,0,0,0,219128,0,udpFlood
192.168.1.10,45302,192.168.2.10,80,17,7202,288080,0,0,40,40,40,0,-1,-1,-1,0,1,4129,692914,11328,0,0,0,0,29734145,29734145,29734145,29734145,0,0,0,0,0,7202,288080,0,0,0,0,0,0,144048,0,udpFlood
192.168.1.10,54930,192.168.2.10,80,17,5267,210680,0,0,40,40,40,0,-1,-1,-1,0,34,4733,692176,13224,0,0,0,0,24924393,24924393,24924393,24924393,0,0,0,0,0,5267,210680,0,0,0,0,0,0,105348,0,udpFlood
192.168.1.20,38222,192.168.2.10,80,17,6928,277120,0,0,40,40,40,0,-1,-1,-1,0,14,4002,344930,7871,0,0,0,0,27722756,27722756,27722756,27722756,0,0,0,0,0,6928,277120,0,0,0,0,0,0,138568,0,udpFlood
192.168.1.20,58934,192.168.2.10,80,17,6493,259720,0,0,40,40,40,0,-1,-1,-1,0,13,4426,346796,8436,0,0,0,0,28733956,28733956,28733956,28733956,0,0,0,0,0,6493,259720,0,0,0,0,0,0,129868,0,udpFlood
192.168.1.20,46248,192.168.2.10,80,17,7266,290640,0,0,40,40,40,0,-1,-1,-1,0,16,4092,352661,7887,0,0,0,0,29734429,29734429,29734429,29734429,0,0,0,0,0,7266,290640,0,0,0,0,0,0,145328,0,udpFlood
192.168.1.60,41002,192.168.2.10,80,17,9722,388880,0,0,40,40,40,0,-1,-1,-1,0,2,3060,350764,6534,0,0,0,0,29748553,29748553,29748553,29748553,0,0,0,0,0,9722,388880,0,0,0,0,0,0,194448,0,udpFlood
192.168.1.60,54587,192.168.2.10,80,17,9728,389120,0,0,40,40,40,0,-1,-1,-1,0,11,3057,346038,6438,0,0,0,0,29741873,29741873,29741873,29741873,0,0,0,0,0,9728,389120,0,0,0,0,0,0,194568,0,udpFlood
192.168.1.50,33530,192.168.2.10,80,17,11046,441840,0,0,40,40,40,0,-1,-1,-1,0,2,2693,344856,5855,0,0,0,0,29744623,29744623,29744623,29744623,0,0,0,0,0,11046,441840,0,0,0,0,0,0,220928,0,udpFlood
192.168.1.60,38045,192.168.2.10,80,17,9157,366280,0,0,40,40,40,0,-1,-1,-1,0,27,3249,351479,6691,0,0,0,0,29748154,29748154,29748154,29748154,0,0,0,0,0,9157,366280,0,0,0,0,0,0,183148,0,udpFlood
192.168.1.50,56374,192.168.2.10,80,17,8481,339240,0,0,40,40,40,0,-1,-1,-1,0,107,2749,343795,6544,0,0,0,0,23315946,23315946,23315946,23315946,0,0,0,0,0,8481,339240,0,0,0,0,0,0,169628,0,udpFlood
192.168.1.10,49776,192.168.2.10,80,17,7051,282040,0,0,40,40,40,0,-1,-1,-1,0,6,4219,691879,11486,0,0,0,0,29747250,29747250,29747250,29747250,0,0,0,0,0,7051,282040,0,0,0,0,0,0,141028,0,udpFlood
192.168.1.60,43397,192.168.2.10,80,17,9867,394680,0,0,40,40,40,0,-1,-1,-1,0,16,3014,346091,6361,0,0,0,0,29744247,29744247,29744247,29744247,0,0,0,0,0,9867,394680,0,0,0,0,0,0,197348,0,udpFlood
192.168.1.50,34277,192.168.2.10,80,17,3173,126920,0,0,40,40,40,0,-1,-1,-1,0,52,3073,172493,4380,0,0,0,0,9748986,9748986,9748986,9748986,0,0,0,0,0,3173,126920,0,0,0,0,0,0,63468,0,udpFlood
192.168.1.20,56357,192.168.2.10,80,17,6486,259440,0,0,40,40,40,0,-1,-1,-1,0,22,4274,353100,8358,0,0,0,0,27723117,27723117,27723117,27723117,0,0,0,0,0,6486,259440,0,0,0,0,0,0,129728,0,udpFlood
