@relation 'httpFlood'

@attribute 'srcip' STRING
@attribute 'srcport' NUMERIC
@attribute 'dstip' STRING
@attribute 'dstport' NUMERIC
@attribute 'proto' NUMERIC
@attribute 'total_fpackets' NUMERIC
@attribute 'total_fvolume' NUMERIC
@attribute 'total_bpackets' NUMERIC
@attribute 'total_bvolume' NUMERIC
@attribute 'min_fpktl' NUMERIC
@attribute 'mean_fpktl' NUMERIC
@attribute 'max_fpktl' NUMERIC
@attribute 'std_fpktl' NUMERIC
@attribute 'min_bpktl' NUMERIC
@attribute 'mean_bpktl' NUMERIC
@attribute 'max_bpktl' NUMERIC
@attribute 'std_bpktl' NUMERIC
@attribute 'min_fiat' NUMERIC
@attribute 'mean_fiat' NUMERIC
@attribute 'max_fiat' NUMERIC
@attribute 'std_fiat' NUMERIC
@attribute 'min_biat' NUMERIC
@attribute 'mean_biat' NUMERIC
@attribute 'max_biat' NUMERIC
@attribute 'std_biat' NUMERIC
@attribute 'duration' NUMERIC
@attribute 'min_active' NUMERIC
@attribute 'mean_active' NUMERIC
@attribute 'max_active' NUMERIC
@attribute 'std_active' NUMERIC
@attribute 'min_idle' NUMERIC
@attribute 'mean_idle' NUMERIC
@attribute 'max_idle' NUMERIC
@attribute 'std_idle' NUMERIC
@attribute 'sflow_fpackets' NUMERIC
@attribute 'sflow_fbytes' NUMERIC
@attribute 'sflow_bpackets' NUMERIC
@attribute 'sflow_bbytes' NUMERIC
@attribute 'fpsh_cnt' NUMERIC
@attribute 'bpsh_cnt' NUMERIC
@attribute 'furg_cnt' NUMERIC
@attribute 'burg_cnt' NUMERIC
@attribute 'total_fhlen' NUMERIC
@attribute 'total_bhlen' NUMERIC

@attribute isAttack {normal,slowBody,slowHeaders,slowRead,tcpFlood,udpFlood,httpFlood}

@DATA
%Filename: HTTPFlood150ThreadsAppendRandom.pcapng,InvalidAttack
%Filename: HTTPFlood50ThreadsAppendRandom.pcapng,InvalidAttack
%Filename: HTTPFlood75ThreadsAppendRandom.pcapng,InvalidAttack
%Filename: HTTPFlood100ThreadsAppendRandom.pcapng,InvalidAttack
%Filename: /root/Documents/highratePcap/appendRandomCharacters/F/ExtraHTTPFlood75ThreadsAppendRandom.pcapng,httpFlood
%Filename: /root/Documents/highratePcap/appendRandomCharacters/F/HTTPFlood50ThreadsAppendRandom.pcapng,httpFlood
172.16.15.11,48584,152.14.13.11,80,6,5,304,4,699,52,60,88,15,52,174,535,240,565,17128,43030,22720,27,4505,8984,6333,1123529,9411,26656,43902,24388,1070216,1070216,1070216,0,2,152,2,349,1,1,0,0,268,216,httpFlood
172.16.15.11,48094,152.14.13.11,80,6,5,304,4,699,52,60,88,15,52,174,535,240,191,181267,680236,333221,46,226673,678754,391514,725068,725068,725068,725068,0,0,0,0,0,5,304,4,699,1,1,0,0,268,216,httpFlood
172.16.15.11,48004,152.14.13.11,80,6,5,304,4,699,52,60,88,15,52,174,535,240,630,14623,42502,24143,285,1046,1808,1076,1111197,2368,23067,43766,29272,1065063,1065063,1065063,0,2,152,2,349,1,1,0,0,268,216,httpFlood
172.16.15.11,48164,152.14.13.11,80,6,5,304,4,699,52,60,88,15,52,174,535,240,981,12976,41480,19232,9,2603,5356,2677,51904,51904,51904,51904,0,0,0,0,0,5,304,4,699,1,1,0,0,268,216,httpFlood
172.16.15.11,48874,152.14.13.11,80,6,3,200,2,112,52,66,88,18,52,56,60,5,992,1346,1701,501,2896,2896,2896,0,3765,3765,3765,3765,0,0,0,0,0,3,200,2,112,1,0,0,0,164,112,httpFlood
