@relation 'slowBody'

@attribute 'srcip' STRING
@attribute 'srcport' NUMERIC
@attribute 'dstip' STRING
@attribute 'dstport' NUMERIC
@attribute 'proto' NUMERIC
@attribute 'total_fpackets' NUMERIC
@attribute 'total_fvolume' NUMERIC
@attribute 'total_bpackets' NUMERIC
@attribute 'total_bvolume' NUMERIC
@attribute 'min_fpktl' NUMERIC
@attribute 'mean_fpktl' NUMERIC
@attribute 'max_fpktl' NUMERIC
@attribute 'std_fpktl' NUMERIC
@attribute 'min_bpktl' NUMERIC
@attribute 'mean_bpktl' NUMERIC
@attribute 'max_bpktl' NUMERIC
@attribute 'std_bpktl' NUMERIC
@attribute 'min_fiat' NUMERIC
@attribute 'mean_fiat' NUMERIC
@attribute 'max_fiat' NUMERIC
@attribute 'std_fiat' NUMERIC
@attribute 'min_biat' NUMERIC
@attribute 'mean_biat' NUMERIC
@attribute 'max_biat' NUMERIC
@attribute 'std_biat' NUMERIC
@attribute 'duration' NUMERIC
@attribute 'min_active' NUMERIC
@attribute 'mean_active' NUMERIC
@attribute 'max_active' NUMERIC
@attribute 'std_active' NUMERIC
@attribute 'min_idle' NUMERIC
@attribute 'mean_idle' NUMERIC
@attribute 'max_idle' NUMERIC
@attribute 'std_idle' NUMERIC
@attribute 'sflow_fpackets' NUMERIC
@attribute 'sflow_fbytes' NUMERIC
@attribute 'sflow_bpackets' NUMERIC
@attribute 'sflow_bbytes' NUMERIC
@attribute 'fpsh_cnt' NUMERIC
@attribute 'bpsh_cnt' NUMERIC
@attribute 'furg_cnt' NUMERIC
@attribute 'burg_cnt' NUMERIC
@attribute 'total_fhlen' NUMERIC
@attribute 'total_bhlen' NUMERIC

@attribute isAttack {normal,slowBody,slowHeaders,slowRead,tcpFlood,udpFlood,httpFlood}

@DATA
%Filename: /root/Documents/CNIS/AttackerData/POST/B/750Connection.pcapng,slowBody
%Filename: /root/Documents/CNIS/AttackerData/POST/B/500Connection.pcapng,slowBody
192.168.2.11,44274,192.168.100.11,80,6,7,535,5,4612,40,76,227,66,52,922,1500,790,31,1084,2991,1181,37,1238,3025,1369,6504,6504,6504,6504,0,0,0,0,0,7,535,5,4612,1,0,0,0,360,268,slowBody
192.168.2.11,45142,192.168.100.11,80,6,12,1364,2,112,52,113,387,87,52,56,60,5,1498,279690,837499,315353,3035,3035,3035,0,30525636,0,279943,1675024,683449,1658590,5769195,9460418,3195647,2,227,0,18,10,0,0,0,632,112,slowBody
192.168.2.11,44372,192.168.100.11,80,6,12,1211,2,112,52,100,387,91,52,56,60,5,1510,281153,828424,313658,3008,3008,3008,0,31666560,0,281399,1683874,687071,1667374,5995632,10601312,3543771,2,201,0,18,10,0,0,0,632,112,slowBody
192.168.2.11,44732,192.168.100.11,80,6,14,3843,1,60,52,274,387,157,60,60,60,0,413,360913,864115,354687,0,0,0,0,31139307,798318,360913,1728077,672278,1029316,4768818,13561530,4792318,2,549,0,8,10,0,0,0,752,60,slowBody
192.168.2.11,44600,192.168.100.11,80,6,12,1471,2,112,52,122,387,85,52,56,60,5,1487,280379,833181,314300,2974,2974,2974,0,31332866,0,280623,1679178,685151,1662904,5929825,10267316,3438344,2,245,0,18,10,0,0,0,632,112,slowBody
192.168.2.11,44644,192.168.100.11,80,6,12,1292,2,112,52,107,387,89,52,56,60,5,1552,280226,834052,314562,3062,3062,3062,0,31268222,0,280471,1678241,684766,1662031,5917078,10202683,3418316,2,215,0,18,10,0,0,0,632,112,slowBody
192.168.2.11,44402,192.168.100.11,80,6,12,1354,2,112,52,112,387,88,52,56,60,5,1501,281046,829017,313827,3079,3079,3079,0,31622596,0,281293,1683205,686795,1666905,5986967,10557216,3529663,2,225,0,18,10,0,0,0,632,112,slowBody
192.168.2.11,44320,192.168.100.11,80,6,12,1572,2,112,52,131,387,84,52,56,60,5,1497,281316,827364,313364,3033,3033,3033,0,31742959,0,281563,1684873,687480,1668323,6010716,10677764,3568374,2,262,0,18,10,0,0,0,632,112,slowBody
192.168.2.11,44624,192.168.100.11,80,6,12,1344,2,112,52,112,387,88,52,56,60,5,1504,280290,833619,314432,3051,3051,3051,0,31297569,0,280543,1678660,684936,1662465,5922861,10232008,3427384,2,224,0,18,10,0,0,0,632,112,slowBody
192.168.2.11,44622,192.168.100.11,80,6,12,1326,2,112,52,110,387,88,52,56,60,5,1549,280304,833585,314417,3058,3058,3058,0,31300533,0,280552,1678703,684953,1662499,5923444,10234965,3428304,2,221,0,18,10,0,0,0,632,112,slowBody
192.168.2.11,45136,192.168.100.11,80,6,12,1352,2,112,52,112,387,87,52,56,60,5,1571,279717,837389,315311,3112,3112,3112,0,30534530,0,279970,1675149,683497,1658701,5770941,9469221,3198155,2,225,0,18,10,0,0,0,632,112,slowBody
192.168.2.11,44468,192.168.100.11,80,6,12,1252,2,112,52,104,387,90,52,56,60,5,1521,280829,830399,313851,3022,3022,3022,0,31525658,0,281069,1681900,686266,1665715,5967848,10460279,3498826,2,208,0,18,10,0,0,0,632,112,slowBody
192.168.2.11,44678,192.168.100.11,80,6,12,1227,2,112,52,102,387,91,52,56,60,5,1496,280098,834761,314789,3025,3025,3025,0,31218295,0,280349,1677513,684470,1661323,5907240,10152725,3402941,2,204,0,18,10,0,0,0,632,112,slowBody
192.168.2.11,44470,192.168.100.11,80,6,12,1331,2,112,52,110,387,89,52,56,60,5,1507,280820,830443,313866,3048,3048,3048,0,31522717,0,281065,1681863,686250,1665652,5967264,10457324,3497893,2,221,0,18,10,0,0,0,632,112,slowBody
192.168.2.11,44560,192.168.100.11,80,6,12,1215,2,112,52,101,387,90,52,56,60,5,1547,280511,832274,314037,3081,3081,3081,0,31391567,0,280763,1679975,685473,1663815,5941397,10326034,3456623,2,202,0,18,10,0,0,0,632,112,slowBody
192.168.2.11,44578,192.168.100.11,80,6,12,1442,2,112,52,120,387,86,52,56,60,5,1529,280444,832712,314175,3032,3032,3032,0,31365153,0,280691,1679599,685324,1663375,5936201,10299652,3448402,2,240,0,18,10,0,0,0,632,112,slowBody
192.168.2.11,44454,192.168.100.11,80,6,12,1237,2,112,52,103,387,90,52,56,60,5,1526,280870,830119,313764,3069,3069,3069,0,31546246,0,281123,1682149,686361,1665984,5971900,10480805,3505335,2,206,0,18,10,0,0,0,632,112,slowBody
192.168.2.11,44308,192.168.100.11,80,6,12,1274,2,112,52,106,387,89,52,56,60,5,1454,281365,827105,313288,3082,3082,3082,0,31760546,0,281612,1685165,687599,1668444,6014174,10695341,3574058,2,212,0,18,10,0,0,0,632,112,slowBody
192.168.2.11,44562,192.168.100.11,80,6,12,1380,2,112,52,115,387,88,52,56,60,5,1482,280499,832308,314052,2984,2984,2984,0,31388617,0,280746,1679932,685460,1663781,5940828,10323145,3455719,2,230,0,18,10,0,0,0,632,112,slowBody
192.168.2.11,44314,192.168.100.11,80,6,12,1149,2,112,52,95,387,92,52,56,60,5,1479,281347,827262,313330,3058,3058,3058,0,31751734,0,281593,1685046,687551,1668383,6012435,10686525,3571206,2,191,0,18,10,0,0,0,632,112,slowBody
192.168.2.11,44590,192.168.100.11,80,6,12,1404,2,112,52,117,387,88,52,56,60,5,1511,280404,832915,314219,3015,3015,3015,0,31347536,0,280651,1679341,685217,1663172,5932725,10282014,3442904,2,234,0,18,10,0,0,0,632,112,slowBody
192.168.2.11,44660,192.168.100.11,80,6,12,1274,2,112,52,106,387,90,52,56,60,5,1533,280169,834366,314663,3070,3070,3070,0,31244700,0,280421,1677922,684635,1661716,5912434,10179152,3411055,2,212,0,18,10,0,0,0,632,112,slowBody
192.168.2.11,44550,192.168.100.11,80,6,12,1337,2,112,52,111,387,88,52,56,60,5,1477,280541,832106,314364,3001,3001,3001,0,31406246,0,280791,1680197,685568,1663990,5944299,10340761,3461234,2,222,0,18,10,0,0,0,632,112,slowBody
192.168.2.11,45106,192.168.100.11,80,6,12,1170,2,112,52,97,387,91,52,56,60,5,1520,279822,836535,315057,2997,2997,2997,0,30579254,0,280064,1675781,683761,1659542,5779773,9513354,3210764,2,195,0,18,10,0,0,0,632,112,slowBody
192.168.2.11,45166,192.168.100.11,80,6,12,3786,1,60,52,315,387,133,60,60,60,0,1558,287001,864021,325621,0,0,0,0,30489809,0,287001,1722009,703007,1696034,5753560,13567408,4770081,2,631,0,10,10,0,0,0,632,60,slowBody
192.168.2.11,44340,192.168.100.11,80,6,12,1257,2,112,52,104,387,90,52,56,60,5,1497,281264,827788,313475,3103,3103,3103,0,31713569,0,281518,1684537,687338,1667919,6004891,10648290,3558872,2,209,0,18,10,0,0,0,632,112,slowBody
192.168.2.11,44684,192.168.100.11,80,6,12,1306,2,112,52,108,387,89,52,56,60,5,1496,280080,834862,314565,3099,3099,3099,0,31209501,0,280324,1677374,684414,1661221,5905510,10143949,3400244,2,217,0,18,10,0,0,0,632,112,slowBody
192.168.2.11,44750,192.168.100.11,80,6,13,3799,1,60,52,292,387,149,60,60,60,0,320,288012,864043,326067,0,0,0,0,31112384,0,246868,1728076,653151,1001988,4897384,13567435,4716381,1,542,0,8,10,0,0,0,692,60,slowBody
192.168.2.11,45070,192.168.100.11,80,6,12,1389,2,112,52,115,387,88,52,56,60,5,1438,279958,835831,314833,3121,3121,3121,0,30632762,0,280235,1676527,684043,1660249,5790270,9565965,3225936,2,231,0,18,10,0,0,0,632,112,slowBody
192.168.2.11,44542,192.168.100.11,80,6,12,1422,2,112,52,118,387,86,52,56,60,5,1378,280579,831971,314321,2853,2853,2853,0,31418032,0,280821,1680403,685654,1664125,5946620,10352542,3464928,2,237,0,18,10,0,0,0,632,112,slowBody
192.168.2.11,44310,192.168.100.11,80,6,12,1228,2,112,52,102,387,90,52,56,60,5,1525,281363,827152,313297,3011,3011,3011,0,31757629,0,281607,1685131,687585,1668419,6013597,10692423,3573114,2,204,0,18,10,0,0,0,632,112,slowBody
192.168.2.11,44546,192.168.100.11,80,6,12,1384,2,112,52,115,387,87,52,56,60,5,1527,280560,832039,314343,3036,3036,3036,0,31412123,0,280803,1680283,685604,1664058,5945460,10346654,3463081,2,230,0,18,10,0,0,0,632,112,slowBody
192.168.2.11,44406,192.168.100.11,80,6,12,1294,2,112,52,107,387,88,52,56,60,5,1506,281037,829138,313869,3055,3055,3055,0,31616721,0,281292,1683170,686779,1666821,5985793,10551310,3527776,2,215,0,18,10,0,0,0,632,112,slowBody
192.168.2.11,44626,192.168.100.11,80,6,12,1372,2,112,52,114,387,88,52,56,60,5,1482,280284,833653,314440,2964,2964,2964,0,31294644,0,280527,1678618,684924,1662431,5922295,10229137,3426490,2,228,0,18,10,0,0,0,632,112,slowBody
