@relation 'slowRead'

@attribute 'srcip' STRING
@attribute 'srcport' NUMERIC
@attribute 'dstip' STRING
@attribute 'dstport' NUMERIC
@attribute 'proto' NUMERIC
@attribute 'total_fpackets' NUMERIC
@attribute 'total_fvolume' NUMERIC
@attribute 'total_bpackets' NUMERIC
@attribute 'total_bvolume' NUMERIC
@attribute 'min_fpktl' NUMERIC
@attribute 'mean_fpktl' NUMERIC
@attribute 'max_fpktl' NUMERIC
@attribute 'std_fpktl' NUMERIC
@attribute 'min_bpktl' NUMERIC
@attribute 'mean_bpktl' NUMERIC
@attribute 'max_bpktl' NUMERIC
@attribute 'std_bpktl' NUMERIC
@attribute 'min_fiat' NUMERIC
@attribute 'mean_fiat' NUMERIC
@attribute 'max_fiat' NUMERIC
@attribute 'std_fiat' NUMERIC
@attribute 'min_biat' NUMERIC
@attribute 'mean_biat' NUMERIC
@attribute 'max_biat' NUMERIC
@attribute 'std_biat' NUMERIC
@attribute 'duration' NUMERIC
@attribute 'min_active' NUMERIC
@attribute 'mean_active' NUMERIC
@attribute 'max_active' NUMERIC
@attribute 'std_active' NUMERIC
@attribute 'min_idle' NUMERIC
@attribute 'mean_idle' NUMERIC
@attribute 'max_idle' NUMERIC
@attribute 'std_idle' NUMERIC
@attribute 'sflow_fpackets' NUMERIC
@attribute 'sflow_fbytes' NUMERIC
@attribute 'sflow_bpackets' NUMERIC
@attribute 'sflow_bbytes' NUMERIC
@attribute 'fpsh_cnt' NUMERIC
@attribute 'bpsh_cnt' NUMERIC
@attribute 'furg_cnt' NUMERIC
@attribute 'burg_cnt' NUMERIC
@attribute 'total_fhlen' NUMERIC
@attribute 'total_bhlen' NUMERIC

@attribute isAttack {normal,slowBody,slowHeaders,slowRead,tcpFlood,udpFlood,httpFlood}

@DATA
%Filename: /root/Documents/CNIS/AttackerData/POST/X/750Connection.pcapng,slowRead
%Filename: /root/Documents/CNIS/AttackerData/POST/X/500Connection.pcapng,slowRead
%Filename: /root/Documents/CNIS/AttackerData/POST/X/1000Connection.pcapng,slowRead
%Filename: /root/Documents/CNIS/AttackerData/GET/X/750Connection.pcapng,slowRead
192.168.2.11,36112,192.168.100.11,80,6,11,755,9,10612,52,68,227,52,52,1179,1500,636,21,669,2794,983,2,617,3029,1078,6692,6692,6692,6692,0,0,0,0,0,11,755,9,10612,1,0,0,0,580,476,slowRead
192.168.2.11,37614,192.168.100.11,80,6,16,1703,10,12104,40,106,227,84,52,1210,1500,608,21,164387,863598,289841,21,273803,1715339,594469,2465810,2465810,2465810,2465810,0,0,0,0,0,16,1703,10,12104,5,1,0,0,828,528,slowRead
192.168.2.11,37616,192.168.100.11,80,6,11,1626,3,1612,40,147,227,91,52,537,1500,833,444,317699,864016,346119,812061,812061,812061,0,5259019,813540,847198,1728056,864519,1021356,1358711,1696067,477092,3,542,1,537,6,0,0,0,576,164,slowRead
192.168.2.11,37618,192.168.100.11,80,6,8,587,6,6112,40,73,227,62,52,1018,1500,745,28,4230,27229,10152,29,5635,25825,11308,29615,29615,29615,29615,0,0,0,0,0,8,587,6,6112,1,0,0,0,412,320,slowRead
192.168.2.11,37620,192.168.100.11,80,6,14,1599,8,9112,40,114,227,87,52,1139,1500,668,3,174746,864046,278695,5,324315,1709763,645466,2271710,2271710,2271710,2271710,0,0,0,0,0,14,1599,8,9112,5,0,0,0,724,424,slowRead
192.168.2.11,37622,192.168.100.11,80,6,7,535,5,4612,40,76,227,66,52,922,1500,790,52,418,1473,596,75,631,1411,695,3058807,506,1679,2853,1659,3055448,3055448,3055448,0,3,267,2,2306,1,0,0,0,360,268,slowRead
