@relation 'udpFlood'
@attribute 'srcip' STRING
@attribute 'srcport' NUMERIC
@attribute 'dstip' STRING
@attribute 'dstport' NUMERIC
@attribute 'proto' NUMERIC
@attribute 'total_fpackets' NUMERIC
@attribute 'total_fvolume' NUMERIC
@attribute 'total_bpackets' NUMERIC
@attribute 'total_bvolume' NUMERIC
@attribute 'min_fpktl' NUMERIC
@attribute 'mean_fpktl' NUMERIC
@attribute 'max_fpktl' NUMERIC
@attribute 'std_fpktl' NUMERIC
@attribute 'min_bpktl' NUMERIC
@attribute 'mean_bpktl' NUMERIC
@attribute 'max_bpktl' NUMERIC
@attribute 'std_bpktl' NUMERIC
@attribute 'min_fiat' NUMERIC
@attribute 'mean_fiat' NUMERIC
@attribute 'max_fiat' NUMERIC
@attribute 'std_fiat' NUMERIC
@attribute 'min_biat' NUMERIC
@attribute 'mean_biat' NUMERIC
@attribute 'max_biat' NUMERIC
@attribute 'std_biat' NUMERIC
@attribute 'duration' NUMERIC
@attribute 'min_active' NUMERIC
@attribute 'mean_active' NUMERIC
@attribute 'max_active' NUMERIC
@attribute 'std_active' NUMERIC
@attribute 'min_idle' NUMERIC
@attribute 'mean_idle' NUMERIC
@attribute 'max_idle' NUMERIC
@attribute 'std_idle' NUMERIC
@attribute 'sflow_fpackets' NUMERIC
@attribute 'sflow_fbytes' NUMERIC
@attribute 'sflow_bpackets' NUMERIC
@attribute 'sflow_bbytes' NUMERIC
@attribute 'fpsh_cnt' NUMERIC
@attribute 'bpsh_cnt' NUMERIC
@attribute 'furg_cnt' NUMERIC
@attribute 'burg_cnt' NUMERIC
@attribute 'total_fhlen' NUMERIC
@attribute 'total_bhlen' NUMERIC
@attribute isAttack {normal,slowBody,slowHeaders,slowRead,tcpFlood,udpFlood,httpFlood}
@DATA
%Filename: /root/Documents/highratePcap/appendRandomCharacters/U/UDPFlood125ThreadsAppendRandom.pcapng,udpFlood
172.16.15.11,54452,152.14.13.11,80,17,6636,265440,0,0,40,40,40,0,-1,-1,-1,0,5,3932,974571,27383,0,0,0,0,28809597,31106,8694614,20018155,10255601,1179559,1362877,1546195,259250,2212,88480,0,0,0,0,0,0,132728,0,udpFlood
172.16.15.11,51985,152.14.13.11,80,17,7005,280200,0,0,40,40,40,0,-1,-1,-1,0,15,3482,904409,22919,0,0,0,0,28822443,47968,6094862,14503646,6126777,1151289,1480997,1748308,303361,1751,70050,0,0,0,0,0,0,140108,0,udpFlood
172.16.15.11,35959,152.14.13.11,80,17,6210,248400,0,0,40,40,40,0,-1,-1,-1,0,164,4205,988471,28595,0,0,0,0,28820134,36904,8700909,20022060,10254117,1177291,1358703,1540115,256555,2070,82800,0,0,0,0,0,0,124208,0,udpFlood
172.16.15.11,42710,152.14.13.11,80,17,6386,255440,0,0,40,40,40,0,-1,-1,-1,0,184,4089,988967,27817,0,0,0,0,28819838,35408,8702092,20028269,10258328,1172832,1356780,1540728,260141,2128,85146,0,0,0,0,0,0,127728,0,udpFlood
172.16.15.11,42555,152.14.13.11,80,17,5983,239320,0,0,40,40,40,0,-1,-1,-1,0,3,4366,989507,28836,0,0,0,0,28818585,35762,8703873,20031575,10259785,1165376,1353483,1541590,266023,1994,79773,0,0,0,0,0,0,119668,0,udpFlood
172.16.15.11,46814,152.14.13.11,80,17,6600,264000,0,0,40,40,40,0,-1,-1,-1,0,81,3953,988633,27569,0,0,0,0,28817590,17819,8694401,20025189,10264371,1162609,1367193,1571777,289325,2200,88000,0,0,0,0,0,0,132008,0,udpFlood
172.16.15.11,48193,152.14.13.11,80,17,6750,270000,0,0,40,40,40,0,-1,-1,-1,0,65,3867,896640,26487,0,0,0,0,28804334,30838,8697345,20033090,10264801,1167747,1356149,1544552,266441,2250,90000,0,0,0,0,0,0,135008,0,udpFlood
172.16.15.11,42019,152.14.13.11,80,17,6189,247560,0,0,40,40,40,0,-1,-1,-1,0,13,4221,989154,29278,0,0,0,0,28821514,32774,8704385,20035027,10262814,1164427,1354179,1543932,268350,2063,82520,0,0,0,0,0,0,123788,0,udpFlood
172.16.15.11,33618,152.14.13.11,80,17,6091,243640,0,0,40,40,40,0,-1,-1,-1,0,256,4283,905914,27717,0,0,0,0,28814031,34399,8692370,20035724,10267507,1165003,1368460,1571918,287732,2030,81213,0,0,0,0,0,0,121828,0,udpFlood
172.16.15.11,37303,152.14.13.11,80,17,6162,246480,0,0,40,40,40,0,-1,-1,-1,0,163,4239,975398,28640,0,0,0,0,28822149,32148,8704076,20036403,10264056,1164146,1354960,1545775,269852,2054,82160,0,0,0,0,0,0,123248,0,udpFlood
172.16.15.11,46304,152.14.13.11,80,17,6637,265480,0,0,40,40,40,0,-1,-1,-1,0,300,3933,987982,28353,0,0,0,0,28822884,13371,8698176,20035479,10271222,1165327,1364177,1563027,281216,2212,88493,0,0,0,0,0,0,132748,0,udpFlood
172.16.15.11,58116,152.14.13.11,80,17,6277,251080,0,0,40,40,40,0,-1,-1,-1,0,178,4020,906664,25922,0,0,0,0,28815136,34929,8408095,20024483,10381928,1173738,1795425,2417112,879198,2092,83693,0,0,0,0,0,0,125548,0,udpFlood
