% isAttack normal:	1332
% isAttack highrate:	1260
% isAttack lowrate:	1332
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:highrate, udpFlood:highrate, httpFlood:highrate, slowBody:lowrate, slowHeaders:lowrate, slowRead:lowrate-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R1-2,4,8-9,16,18,22,27'

@attribute duration numeric
@attribute protocol_type {tcp,icmp,udp}
@attribute src_bytes numeric
@attribute count numeric
@attribute srv_count numeric
@attribute srv_diff_host_rate numeric
@attribute dst_host_srv_count numeric
@attribute dst_host_srv_diff_host_rate numeric
@attribute isAttack {normal,highrate,lowrate}

@data
0,tcp,734,3015,3015,0,47,0,normal
0,tcp,946,2316,2316,0,100,0,normal
0,tcp,66,3615,3615,0,38,0,normal
0,tcp,66,3076,3076,0,43,0,normal
0,tcp,946,1865,1865,0,94,0,normal
0,tcp,66,4913,4913,0,78,0,normal
0,tcp,66,4416,4416,0,43,0,normal
0,tcp,946,4231,4231,0,95,0,normal
0,tcp,66,4746,4746,0,42,0,normal
0,tcp,946,2531,2531,0,100,0,normal
0,tcp,66,5982,5982,0,32,0,normal
0,tcp,66,2864,2864,0,50,0,normal
0,tcp,946,3539,3539,0,100,0,normal
0,tcp,1024,3615,3615,0,100,0,normal
0,tcp,946,1973,1973,0,100,0,normal
0,tcp,946,2337,2337,0,78,0,normal
0,tcp,66,5109,5109,0,42,0,normal
0,tcp,66,3268,3268,0,35,0,normal
0,tcp,66,5784,5784,0,41,0,normal
0,tcp,946,3428,3428,0,95,0,normal
0,tcp,946,2778,2778,0,100,0,normal
0,tcp,140,2986,2986,0,100,0,normal
0,tcp,66,4679,4679,0,32,0,normal
0,tcp,66,2999,2999,0,45,0,normal
0,tcp,946,2285,2285,0,100,0,normal
0,tcp,1024,2786,2786,0,89,0,normal
0,tcp,66,3358,3358,0,48,0,normal
0,tcp,946,1479,1479,0,100,0,normal
0,tcp,66,2905,2905,0,49,0,normal
0,tcp,66,3850,3850,0,49,0,normal
0,tcp,66,2766,2766,0,47,0,normal
0,tcp,1024,3017,3017,0,55,0,normal
0,tcp,66,3945,3945,0,18,0,normal
0,tcp,66,2142,2142,0,52,0,normal
0,tcp,946,2021,2021,0,86,0,normal
0,tcp,66,4980,4980,0,33,0,normal
0,tcp,66,5076,5076,0,25,0,normal
0,tcp,946,2533,2533,0,100,0,normal
0,tcp,66,4883,4883,0,48,0,normal
0,tcp,946,2114,2114,0,100,0,normal
0,tcp,78,5993,5993,0,50,0,normal
0,tcp,946,3098,3098,0,85,0,normal
0,tcp,66,5510,5510,0,100,0,normal
0,tcp,286,3342,3342,0,100,0,normal
0,tcp,146,3316,3316,0,47,0,normal
0,tcp,946,1548,1548,0,100,0,normal
0,tcp,66,3185,3185,0,43,0,normal
0,tcp,946,1943,1943,0,100,0,normal
0,tcp,146,3535,3535,0,45,0,normal
0,tcp,66,4059,4059,0,37,0,normal
0,tcp,66,5084,5084,0,42,0,normal
0,tcp,66,4937,4937,0,59,0,normal
0,tcp,146,4073,4073,0,34,0,normal
0,tcp,946,2413,2413,0,100,0,normal
0,tcp,946,2251,2251,0,100,0,normal
0,tcp,946,1926,1926,0,100,0,normal
0,tcp,66,5701,5701,0,31,0,normal
0,tcp,66,3261,3261,0,47,0,normal
0,tcp,66,3948,3948,0,68,0,normal
0,tcp,66,5147,5147,0,49,0,normal
0,tcp,946,2139,2139,0,100,0,normal
0,tcp,880,2043,2043,0,100,0,normal
0,tcp,946,1950,1950,0,99,0,normal
0,tcp,946,1953,1953,0,100,0,normal
0,tcp,946,2249,2249,0,100,0,normal
0,tcp,946,2003,2003,0,100,0,normal
0,tcp,66,5943,5943,0,52,0,normal
0,tcp,66,3758,3758,0,40,0,normal
0,tcp,286,1757,1757,0,100,0,normal
0,tcp,66,2956,2956,0,42,0,normal
0,tcp,66,6323,6323,0,51,0,normal
0,tcp,66,5023,5023,0,46,0,normal
0,tcp,352,2883,2883,0,100,0,normal
0,tcp,946,1248,1248,0,100,0,normal
0,tcp,946,3356,3356,0,100,0,normal
0,tcp,66,2477,2477,0,52,0,normal
0,tcp,1024,2784,2784,0,89,0,normal
0,tcp,66,4441,4441,0,49,0,normal
0,tcp,66,2520,2520,0,48,0,normal
0,tcp,946,1866,1866,0,100,0,normal
0,tcp,946,1944,1944,0,100,0,normal
0,tcp,66,4742,4742,0,52,0,normal
0,tcp,946,2210,2210,0,100,0,normal
0,tcp,946,2141,2141,0,100,0,normal
0,tcp,66,3065,3065,0,40,0,normal
0,tcp,946,2122,2122,0,100,0,normal
0,tcp,66,5910,5910,0,53,0,normal
0,tcp,946,1144,1144,0,100,0,normal
0,tcp,946,2119,2119,0,100,0,normal
0,tcp,946,2323,2323,0,47,0,normal
0,tcp,946,2750,2750,0,100,0,normal
0,tcp,66,3114,3114,0,83,0,normal
0,tcp,946,3028,3028,0,100,0,normal
0,tcp,286,1665,1665,0,100,0,normal
0,tcp,946,2187,2187,0,100,0,normal
0,tcp,66,3069,3069,0,85,0,normal
0,tcp,66,3493,3493,0,48,0,normal
0,tcp,946,1583,1583,0,100,0,normal
0,tcp,946,2122,2122,0,100,0,normal
0,tcp,946,2330,2330,0,100,0,normal
0,tcp,140,2264,2264,0,100,0,normal
0,tcp,880,2711,2711,0,78,0,normal
0,tcp,66,3383,3383,0,52,0,normal
0,tcp,946,2179,2179,0,98,0,normal
0,tcp,946,2943,2943,0,100,0,normal
0,tcp,946,999,999,0,100,0,normal
0,tcp,146,3546,3546,0,52,0,normal
0,tcp,1048,2034,2034,0,100,0,normal
13,tcp,1086,1530,1530,0,90,0,normal
0,tcp,1024,2780,2780,0,100,0,normal
0,tcp,1024,2685,2685,0,100,0,normal
0,tcp,946,2533,2533,0,100,0,normal
0,tcp,66,2789,2789,0,46,0,normal
0,tcp,946,2321,2321,0,100,0,normal
0,tcp,946,2167,2167,0,99,0,normal
0,tcp,880,2080,2080,0,88,0,normal
0,tcp,946,3088,3088,0,100,0,normal
0,tcp,146,4355,4355,0,80,0,normal
0,tcp,66,3005,3005,0,56,0,normal
0,tcp,880,3372,3372,0,65,0,normal
0,tcp,66,5974,5974,0,42,0,normal
0,tcp,946,2187,2187,0,100,0,normal
0,tcp,946,281,281,0,100,0,normal
0,tcp,66,5917,5917,0,64,0,normal
0,tcp,880,1886,1886,0,99,0,normal
0,tcp,946,2753,2753,0,100,0,normal
0,tcp,946,3368,3368,0,100,0,normal
0,tcp,946,3909,3909,0,100,0,normal
0,tcp,880,2621,2621,0,100,0,normal
0,tcp,66,3144,3144,0,100,0,normal
