% isAttack normal:	1332
% isAttack highrate:	1260
% isAttack lowrate:	1332
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:highrate, udpFlood:highrate, httpFlood:highrate, slowBody:lowrate, slowHeaders:lowrate, slowRead:lowrate-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R2-4,8,14,16,18-19,21-22,27'

@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute count numeric
@attribute same_srv_rate numeric
@attribute srv_diff_host_rate numeric
@attribute dst_host_srv_count numeric
@attribute dst_host_same_srv_rate numeric
@attribute dst_host_same_src_port_rate numeric
@attribute dst_host_srv_diff_host_rate numeric
@attribute isAttack {normal,highrate,lowrate}

@data
tcp,SF,734,3015,1,0,47,1,0,0,normal
tcp,SF,946,2316,1,0,100,1,0,0,normal
tcp,OTH,66,3615,1,0,38,1,0.05,0,normal
tcp,OTH,66,3076,1,0,43,1,0.02,0,normal
tcp,SF,946,1865,1,0,94,1,0,0,normal
tcp,OTH,66,4913,1,0,78,1,0.08,0,normal
tcp,OTH,66,4416,1,0,43,1,0,0,normal
tcp,SF,946,4231,1,0,95,1,0,0,normal
tcp,OTH,66,4746,1,0,42,1,0,0,normal
tcp,SF,946,2531,1,0,100,1,0,0,normal
tcp,OTH,66,5982,1,0,32,1,0.15,0,normal
tcp,OTH,66,2864,1,0,50,1,0.14,0,normal
tcp,SF,946,3539,1,0,100,1,0,0,normal
tcp,S2,1024,3615,1,0,100,1,0,0,normal
tcp,SF,946,1973,1,0,100,1,0,0,normal
tcp,SF,946,2337,1,0,78,1,0,0,normal
tcp,OTH,66,5109,1,0,42,1,0.12,0,normal
tcp,OTH,66,3268,1,0,35,1,0.17,0,normal
tcp,OTH,66,5784,1,0,41,1,0.05,0,normal
tcp,SF,946,3428,1,0,95,1,0,0,normal
tcp,SF,946,2778,1,0,100,1,0,0,normal
tcp,S1,140,2986,1,0,100,1,0,0,normal
tcp,OTH,66,4679,1,0,32,1,0.09,0,normal
tcp,OTH,66,2999,1,0,45,1,0,0,normal
tcp,SF,946,2285,1,0,100,1,0,0,normal
tcp,SF,1024,2786,1,0,89,1,0,0,normal
tcp,OTH,66,3358,1,0,48,1,0.12,0,normal
tcp,SF,946,1479,1,0,100,1,0,0,normal
tcp,OTH,66,2905,1,0,49,1,0.04,0,normal
tcp,OTH,66,3850,1,0,49,1,0.08,0,normal
tcp,OTH,66,2766,1,0,47,1,0.12,0,normal
tcp,SF,1024,3017,1,0,55,1,0,0,normal
tcp,OTH,66,3945,1,0,18,1,0,0,normal
tcp,OTH,66,2142,1,0,52,1,0.15,0,normal
tcp,SF,946,2021,1,0,86,1,0,0,normal
tcp,OTH,66,4980,1,0,33,1,0,0,normal
tcp,OTH,66,5076,1,0,25,1,0,0,normal
tcp,SF,946,2533,1,0,100,1,0,0,normal
tcp,OTH,66,4883,1,0,48,1,0,0,normal
tcp,SF,946,2114,1,0,100,1,0,0,normal
tcp,OTH,78,5993,1,0,50,1,0.04,0,normal
tcp,SF,946,3098,1,0,85,1,0,0,normal
tcp,OTH,66,5510,1,0,100,1,0,0,normal
tcp,RSTR,286,3342,1,0,100,1,0,0,normal
tcp,OTH,146,3316,1,0,47,1,0.02,0,normal
tcp,SF,946,1548,1,0,100,1,0,0,normal
tcp,OTH,66,3185,1,0,43,1,0.14,0,normal
tcp,SF,946,1943,1,0,100,1,0,0,normal
tcp,OTH,146,3535,1,0,45,1,0,0,normal
tcp,OTH,66,4059,1,0,37,1,0,0,normal
tcp,OTH,66,5084,1,0,42,1,0.02,0,normal
tcp,OTH,66,4937,1,0,59,1,0,0,normal
tcp,OTH,146,4073,1,0,34,1,0.03,0,normal
tcp,SF,946,2413,1,0,100,1,0,0,normal
tcp,SF,946,2251,1,0,100,1,0,0,normal
tcp,SF,946,1926,1,0,100,1,0,0,normal
tcp,OTH,66,5701,1,0,31,1,0.25,0,normal
tcp,OTH,66,3261,1,0,47,1,0.15,0,normal
tcp,OTH,66,3948,1,0,68,1,0.09,0,normal
tcp,OTH,66,5147,1,0,49,1,0.1,0,normal
tcp,SF,946,2139,1,0,100,1,0,0,normal
tcp,SF,880,2043,1,0,100,1,0,0,normal
tcp,SF,946,1950,1,0,99,1,0,0,normal
tcp,SF,946,1953,1,0,100,1,0,0,normal
tcp,SF,946,2249,1,0,100,1,0,0,normal
tcp,SF,946,2003,1,0,100,1,0,0,normal
tcp,OTH,66,5943,1,0,52,1,0.15,0,normal
tcp,OTH,66,3758,1,0,40,1,0.02,0,normal
tcp,S3,286,1757,1,0,100,1,0,0,normal
tcp,OTH,66,2956,1,0,42,1,0,0,normal
tcp,OTH,66,6323,1,0,51,1,0.06,0,normal
tcp,OTH,66,5023,1,0,46,1,0.15,0,normal
tcp,S2,352,2883,1,0,100,1,0,0,normal
tcp,SF,946,1248,1,0,100,1,0,0,normal
tcp,SF,946,3356,1,0,100,1,0,0,normal
tcp,OTH,66,2477,1,0,52,1,0.06,0,normal
tcp,SF,1024,2784,1,0,89,1,0,0,normal
