% isAttack normal:	1333
% isAttack attack:	2592
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:attack, udpFlood:attack, httpFlood:attack, slowBody:attack, slowHeaders:attack, slowRead:attack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R1-3,5,8-9,18-19,22,27'

@attribute duration numeric
@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute dst_bytes numeric
@attribute count numeric
@attribute srv_count numeric
@attribute dst_host_srv_count numeric
@attribute dst_host_same_srv_rate numeric
@attribute dst_host_srv_diff_host_rate numeric
@attribute isAttack {normal,attack}

@data
0,tcp,OTH,0,2920,2920,53,1,0,normal
0,tcp,SF,12461,2364,2364,100,1,0,normal
0,tcp,SF,12461,1462,1462,100,1,0,normal
0,tcp,SF,12461,2167,2167,100,1,0,normal
0,tcp,SF,12461,1152,1152,100,1,0,normal
0,tcp,SF,12461,2151,2151,100,1,0,normal
0,tcp,SF,12461,2485,2485,100,1,0,normal
0,tcp,SF,12395,2158,2158,86,1,0,normal
0,tcp,OTH,0,2734,2734,51,1,0,normal
0,tcp,OTH,0,5880,5880,55,1,0,normal
0,tcp,SF,12395,1943,1943,100,1,0,normal
0,tcp,SF,12461,2102,2102,100,1,0,normal
0,tcp,OTH,0,5517,5517,100,1,0,normal
0,tcp,OTH,0,2586,2586,69,1,0,normal
0,tcp,OTH,0,3586,3586,59,1,0,normal
0,tcp,SF,12461,1881,1881,100,1,0,normal
0,tcp,SF,12461,4000,4000,98,1,0,normal
0,tcp,SF,12461,2065,2065,100,1,0,normal
0,tcp,SF,12461,1877,1877,100,1,0,normal
0,tcp,OTH,0,3832,3832,31,1,0,normal
0,tcp,OTH,0,3361,3361,49,1,0,normal
0,tcp,OTH,0,4296,4296,46,1,0,normal
0,tcp,SF,12461,3517,3517,100,1,0,normal
