% isAttack highrate:	1705
% isAttack lowrate:	2000
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:highrate, udpFlood:highrate, httpFlood:highrate, slowBody:lowrate, slowHeaders:lowrate, slowRead:lowrate-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R2-4,8-9,16-18,27'

@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute count numeric
@attribute srv_count numeric
@attribute srv_diff_host_rate numeric
@attribute dst_host_count numeric
@attribute dst_host_srv_count numeric
@attribute isAttack {highrate,lowrate}

@data
udp,OTH,60,108,108,0,33,33,highrate
udp,OTH,60,112,112,0,33,33,highrate
udp,OTH,60,101,101,0,34,34,highrate
udp,OTH,60,116,116,0,37,37,highrate
udp,OTH,60,102,102,0,33,33,highrate
udp,OTH,60,158,158,0,33,33,highrate
udp,OTH,60,160,160,0,33,33,highrate
udp,OTH,60,86,86,0,42,42,highrate
udp,OTH,60,87,87,0,41,41,highrate
udp,OTH,60,107,107,0,40,40,highrate
udp,OTH,60,83,83,0,39,39,highrate
udp,OTH,60,83,83,0,40,40,highrate
udp,OTH,60,110,110,0,33,33,highrate
udp,OTH,60,103,103,0,34,34,highrate
udp,OTH,60,143,143,0,33,33,highrate
udp,OTH,60,111,111,0,33,33,highrate
udp,OTH,60,83,83,0,41,41,highrate
udp,OTH,60,119,119,0,33,33,highrate
udp,OTH,60,111,111,0,34,34,highrate
udp,OTH,60,106,106,0,33,33,highrate
udp,OTH,60,112,112,0,33,33,highrate
udp,OTH,60,121,121,0,33,33,highrate
udp,OTH,60,164,164,0,33,33,highrate
udp,OTH,60,136,136,0,18,18,highrate
udp,OTH,60,113,113,0,34,34,highrate
udp,OTH,60,141,141,0,35,35,highrate
udp,OTH,60,86,86,0,42,42,highrate
udp,OTH,60,79,79,0,41,41,highrate
udp,OTH,60,106,106,0,33,33,highrate
udp,OTH,60,117,117,0,33,33,highrate
udp,OTH,60,117,117,0,33,33,highrate
udp,OTH,60,121,121,0,33,33,highrate
udp,OTH,60,125,125,0,33,33,highrate
udp,OTH,60,63,63,0,26,26,highrate
udp,OTH,60,164,164,0,33,33,highrate
udp,OTH,60,148,148,0,33,33,highrate
udp,OTH,60,108,108,0,34,34,highrate
udp,OTH,60,48,48,0,22,22,highrate
udp,OTH,60,120,120,0,33,33,highrate
udp,OTH,60,139,139,0,33,33,highrate
udp,OTH,60,139,139,0,19,19,highrate
udp,OTH,60,160,160,0,33,33,highrate
udp,OTH,60,138,138,0,33,33,highrate
udp,OTH,60,106,106,0,40,40,highrate
udp,OTH,60,145,145,0,33,33,highrate
udp,OTH,60,110,110,0,33,33,highrate
udp,OTH,60,73,73,0,29,29,highrate
udp,OTH,60,30,30,0,27,27,highrate
udp,OTH,60,110,110,0,33,33,highrate
udp,OTH,60,139,139,0,18,18,highrate
udp,OTH,60,60,60,0,25,25,highrate
udp,OTH,60,86,86,0,40,40,highrate
udp,OTH,60,108,108,0,33,33,highrate
udp,OTH,60,140,140,0,33,33,highrate
udp,OTH,60,160,160,0,33,33,highrate
udp,OTH,60,92,92,0,42,42,highrate
udp,OTH,60,111,111,0,33,33,highrate
udp,OTH,60,104,104,0,39,39,highrate
udp,OTH,60,95,95,0,42,42,highrate
udp,OTH,60,112,112,0,33,33,highrate
udp,OTH,60,141,141,0,26,26,highrate
udp,OTH,60,99,99,0,41,41,highrate
udp,OTH,60,110,110,0,34,34,highrate
