% isAttack highrate:	1705
% isAttack lowrate:	2000
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:highrate, udpFlood:highrate, httpFlood:highrate, slowBody:lowrate, slowHeaders:lowrate, slowRead:lowrate-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R1,3,8,12,21,27'

@attribute duration numeric
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute count numeric
@attribute rerror_rate numeric
@attribute dst_host_same_src_port_rate numeric
@attribute isAttack {highrate,lowrate}

@data
0,OTH,108,0,0.97,highrate
0,OTH,112,0,0.97,highrate
0,OTH,101,0,0.97,highrate
0,OTH,116,0,0.97,highrate
0,OTH,102,0,0.97,highrate
0,OTH,158,0,0.97,highrate
0,OTH,160,0,0.97,highrate
0,OTH,86,0,0.98,highrate
0,OTH,87,0,0.98,highrate
0,OTH,107,0,0.98,highrate
0,OTH,83,0,0.97,highrate
0,OTH,83,0,0.98,highrate
0,OTH,110,0,0.97,highrate
0,OTH,103,0,0.97,highrate
0,OTH,143,0,0.97,highrate
0,OTH,111,0,0.97,highrate
0,OTH,83,0,0.98,highrate
0,OTH,119,0,0.97,highrate
0,OTH,111,0,0.97,highrate
0,OTH,106,0,0.97,highrate
0,OTH,112,0,0.97,highrate
0,OTH,121,0,0.97,highrate
0,OTH,164,0,0.97,highrate
0,OTH,136,0,0.95,highrate
0,OTH,113,0,0.97,highrate
0,OTH,141,0,0.97,highrate
0,OTH,86,0,0.98,highrate
0,OTH,79,0,0.98,highrate
0,OTH,106,0,0.97,highrate
0,OTH,117,0,0.97,highrate
0,OTH,117,0,0.97,highrate
0,OTH,121,0,0.97,highrate
0,OTH,125,0,0.97,highrate
0,OTH,63,0,0.96,highrate
0,OTH,164,0,0.97,highrate
0,OTH,148,0,0.97,highrate
0,OTH,108,0,0.97,highrate
0,OTH,48,0,0.96,highrate
0,OTH,120,0,0.97,highrate
0,OTH,139,0,0.97,highrate
0,OTH,139,0,0.95,highrate
0,OTH,160,0,0.97,highrate
0,OTH,138,0,0.97,highrate
0,OTH,106,0,0.98,highrate
0,OTH,145,0,0.97,highrate
0,OTH,110,0,0.97,highrate
0,OTH,73,0,0.97,highrate
0,OTH,30,0,0.96,highrate
0,OTH,110,0,0.97,highrate
0,OTH,139,0,0.95,highrate
0,OTH,60,0,0.96,highrate
0,OTH,86,0,0.98,highrate
0,OTH,108,0,0.97,highrate
0,OTH,140,0,0.97,highrate
0,OTH,160,0,0.97,highrate
0,OTH,92,0,0.98,highrate
0,OTH,111,0,0.97,highrate
0,OTH,104,0,0.97,highrate
0,OTH,95,0,0.98,highrate
0,OTH,112,0,0.97,highrate
0,OTH,141,0,0.96,highrate
0,OTH,99,0,0.98,highrate
0,OTH,110,0,0.97,highrate
0,OTH,143,0,0.97,highrate
0,OTH,160,0,0.97,highrate
0,OTH,85,0,0.98,highrate
0,OTH,141,0,0.97,highrate
0,OTH,109,0,0.97,highrate
0,OTH,137,0,0.97,highrate
0,OTH,12,0,0.92,highrate
0,OTH,136,0,0.91,highrate
0,OTH,138,0,0.95,highrate
0,OTH,149,0,0.97,highrate
0,OTH,114,0,0.97,highrate
0,OTH,153,0,0.97,highrate
0,OTH,114,0,0.97,highrate
0,OTH,145,0,0.97,highrate
0,OTH,121,0,0.97,highrate
0,OTH,150,0,0.97,highrate
0,OTH,106,0,0.97,highrate
0,OTH,120,0,0.97,highrate
0,OTH,29,0,0.96,highrate
0,OTH,116,0,0.97,highrate
0,OTH,84,0,0.98,highrate
0,OTH,86,0,0.98,highrate
0,OTH,102,0,0.97,highrate
0,OTH,78,0,0.97,highrate
0,OTH,69,0,0.96,highrate
0,OTH,3,0,0.75,highrate
0,OTH,14,0,0.93,highrate
0,OTH,107,0,0.97,highrate
0,OTH,165,0,0.97,highrate
0,OTH,112,0,0.97,highrate
0,OTH,106,0,0.97,highrate
0,OTH,110,0,0.97,highrate
0,OTH,23,0,0.96,highrate
0,OTH,102,0,0.97,highrate
0,OTH,131,0,0.97,highrate
0,OTH,125,0,0.97,highrate
0,OTH,26,0,0.96,highrate
0,OTH,77,0,0.97,highrate
0,OTH,109,0,0.97,highrate
0,OTH,118,0,0.97,highrate
0,OTH,100,0,0.97,highrate
0,OTH,117,0,0.97,highrate
0,OTH,138,0,0.92,highrate
0,OTH,160,0,0.97,highrate
0,OTH,121,0,0.97,highrate
0,OTH,55,0,0.96,highrate
0,OTH,125,0,0.97,highrate
0,OTH,46,0,0.95,highrate
0,OTH,107,0,0.97,highrate
0,OTH,108,0,0.97,highrate
0,OTH,21,0,0.95,highrate
0,OTH,114,0,0.97,highrate
0,OTH,143,0,0.97,highrate
0,OTH,112,0,0.97,highrate
0,OTH,159,0,0.97,highrate
0,OTH,145,0,0.97,highrate
0,OTH,85,0,0.98,highrate
0,OTH,5,0,0.83,highrate
0,OTH,121,0,0.97,highrate
0,OTH,141,0,0.97,highrate
0,OTH,109,0,0.97,highrate
0,OTH,156,0,0.97,highrate
0,OTH,159,0,0.97,highrate
0,OTH,114,0,0.97,highrate
0,OTH,84,0,0.98,highrate
0,OTH,121,0,0.97,highrate
0,OTH,153,0,0.97,highrate
0,OTH,85,0,0.98,highrate
0,OTH,153,0,0.97,highrate
0,OTH,103,0,0.97,highrate
0,OTH,164,0,0.97,highrate
0,OTH,139,0,0.95,highrate
0,OTH,1,0,0.5,highrate
0,OTH,104,0,0.97,highrate
0,OTH,141,0,0.97,highrate
0,OTH,138,0,0.94,highrate
0,OTH,141,0,0.95,highrate
0,OTH,141,0,0.97,highrate
0,OTH,144,0,0.97,highrate
0,OTH,112,0,0.97,highrate
0,OTH,138,0,0.92,highrate
0,OTH,111,0,0.97,highrate
0,OTH,114,0,0.97,highrate
0,OTH,123,0,0.97,highrate
0,OTH,130,0,0.97,highrate
0,OTH,114,0,0.97,highrate
0,OTH,90,0,0.98,highrate
0,OTH,137,0,0.95,highrate
0,OTH,105,0,0.97,highrate
0,OTH,92,0,0.98,highrate
0,OTH,107,0,0.97,highrate
0,OTH,113,0,0.97,highrate
0,OTH,117,0,0.97,highrate
0,OTH,112,0,0.97,highrate
0,OTH,111,0,0.97,highrate
0,OTH,145,0,0.97,highrate
0,OTH,91,0,0.98,highrate
0,OTH,141,0,0.96,highrate
0,OTH,99,0,0.98,highrate
0,OTH,109,0,0.97,highrate
0,OTH,108,0,0.97,highrate
0,OTH,100,0,0.98,highrate
0,OTH,78,0,0.98,highrate
0,OTH,103,0,0.97,highrate
0,OTH,108,0,0.98,highrate
0,OTH,135,0,0.95,highrate
0,OTH,125,0,0.97,highrate
0,OTH,82,0,0.98,highrate
0,OTH,108,0,0.97,highrate
0,OTH,52,0,0.96,highrate
0,OTH,142,0,0.97,highrate
0,OTH,33,0,0.97,highrate
0,OTH,27,0,0.96,highrate
0,OTH,161,0,0.97,highrate
0,OTH,162,0,0.97,highrate
0,OTH,110,0,0.97,highrate
0,OTH,108,0,0.97,highrate
0,OTH,139,0,0.94,highrate
0,OTH,119,0,0.97,highrate
0,OTH,108,0,0.97,highrate
0,OTH,151,0,0.97,highrate
0,OTH,102,0,0.97,highrate
0,OTH,106,0,0.97,highrate
0,OTH,82,0,0.98,highrate
0,OTH,153,0,0.97,highrate
0,OTH,142,0,0.97,highrate
0,OTH,108,0,0.97,highrate
0,OTH,101,0,0.97,highrate
0,OTH,118,0,0.97,highrate
0,OTH,103,0,0.97,highrate
0,OTH,105,0,0.97,highrate
0,OTH,18,0,0.95,highrate
0,OTH,109,0,0.98,highrate
0,OTH,151,0,0.97,highrate
