@relation Slowrate-weka.filters.unsupervised.attribute.Remove-R7-weka.filters.unsupervised.instance.Randomize-S11

@attribute duration numeric
@attribute protocol_type {tcp,icmp,udp}
@attribute service {aol,auth,bgp,courier,csnet_ns,ctf,daytime,discard,domain,domain_u,echo,eco_i,ecr_i,efs,exec,finger,ftp,ftp_data,gopher,harvest,hostnames,http,http_2784,http_443,http_8001,imap4,IRC,iso_tsap,klogin,kshell,ldap,link,login,mtp,name,netbios_dgm,netbios_ns,netbios_ssn,netstat,nnsp,nntp,ntp_u,other,pm_dump,pop_2,pop_3,printer,private,red_i,remote_job,rje,shell,smtp,sql_net,ssh,sunrpc,supdup,systat,telnet,tftp_u,tim_i,time,urh_i,urp_i,uucp,uucp_path,vmnet,whois,X11,Z39_50}
@attribute flag {SF,S0,REJ,RSTR,SH,RSTO,S1,RSTOS0,S3,S2,OTH}
@attribute src_bytes numeric
@attribute dst_bytes numeric
@attribute wrong_fragment numeric
@attribute urgent numeric
@attribute count numeric
@attribute srv_count numeric
@attribute serror_rate numeric
@attribute srv_serror_rate numeric
@attribute rerror_rate numeric
@attribute srv_rerror_rate numeric
@attribute same_srv_rate numeric
@attribute diff_srv_rate numeric
@attribute srv_diff_host_rate numeric
@attribute dst_host_count numeric
@attribute dst_host_srv_count numeric
@attribute dst_host_same_srv_rate numeric
@attribute dst_host_diff_srv_rate numeric
@attribute dst_host_same_src_port_rate numeric
@attribute dst_host_srv_diff_host_rate numeric
@attribute dst_host_serror_rate numeric
@attribute dst_host_srv_serror_rate numeric
@attribute dst_host_rerror_rate numeric
@attribute dst_host_srv_rerror_rate numeric
@attribute isAttack {highrate,lowrate}

@data
0,tcp,private,OTH,66,0,0,0,121,121,0,0,0,0,1,0,0,50,50,1,0,0.98,0,0,0,0,0,lowrate
0,tcp,private,OTH,66,0,0,0,493,493,0,0,0,0,1,0,0,100,100,1,0,0.99,0,0,0,0,0,lowrate
0,tcp,private,OTH,66,0,0,0,208,208,0,0,0,0,1,0,0,50,50,1,0,0.98,0,0,0,0,0,lowrate
0,tcp,http,OTH,60,0,0,0,1036,1036,0,0,0,0,1,0,0,49,49,1,0,0.02,0,0,0,0,0,lowrate
0,tcp,http,OTH,108,0,0,0,22,22,0,0,0,0,1,0,0,30,30,1,0,0,0,0,0,0,0,lowrate
0,tcp,http,S1,400,140,0,0,154,153,0.99,1,0,0,0.99,0.01,0,99,99,1,0,0,0,1,1,0,0,lowrate
0,tcp,private,OTH,549,0,0,0,944,944,0,0,0,0,1,0,0,48,48,1,0,0.98,0,0,0,0,0,lowrate
0,tcp,private,OTH,66,0,0,0,128,128,0,0,0,0,1,0,0,50,50,1,0,0.98,0,0,0,0,0,lowrate
15,tcp,http,S1,370,0,0,0,252,252,0.2,0.2,0,0,1,0,0,100,100,1,0,0,0,0.5,0.5,0,0,lowrate
30,tcp,http,RSTO,997,1019,0,0,138,138,0,0,0,0,1,0,0,100,100,1,0,0,0,0,0,0,0,lowrate
0,tcp,http,OTH,60,0,0,0,680,680,0,0,0,0,1,0,0,50,50,1,0,0.02,0,0,0,0,0,lowrate
0,tcp,private,OTH,66,0,0,0,628,628,0,0,0,0,1,0,0,52,52,1,0,0.98,0,0,0,0,0,lowrate
0,tcp,private,OTH,66,0,0,0,715,715,0,0,0,0,1,0,0,98,98,1,0,0.99,0,0,0,0,0,lowrate
0,tcp,private,OTH,554,0,0,0,904,904,0,0,0,0,1,0,0,49,49,1,0,0.98,0,0,0,0,0,lowrate
13,tcp,http,S1,4037,74,0,0,571,570,1,1,0,0,1,0,0,99,99,1,0,0,0,1,1,0,0,lowrate
0,tcp,http,OTH,99,0,0,0,181,181,0,0,0,0,1,0,0,50,50,1,0,0,0,0,0,0,0,lowrate
0,tcp,http,OTH,66,0,0,0,520,520,0,0,0,0,1,0,0,100,100,1,0,0,0,0,0,0,0,lowrate
0,tcp,private,OTH,66,0,0,0,11,11,0,0,0,0,1,0,0,11,11,1,0,0.92,0,0,0,0,0,lowrate
0,tcp,private,OTH,66,0,0,0,113,113,0,0,0,0,1,0,0,50,50,1,0,0.98,0,0,0,0,0,lowrate
15,tcp,http,S1,370,0,0,0,259,258,1,1,0,0,1,0,0,100,100,1,0,0,0,1,1,0,0,lowrate
15,tcp,http,S1,370,0,0,0,461,460,1,1,0,0,1,0,0,100,100,1,0,0,0,1,1,0,0,lowrate
15,tcp,http,S1,370,0,0,0,511,511,0.52,0.52,0,0,1,0,0,100,100,1,0,0,0,1,1,0,0,lowrate
0,tcp,http,OTH,60,0,0,0,668,668,0,0,0,0,1,0,0,50,50,1,0,0.02,0,0,0,0,0,lowrate
7,tcp,http,S1,296,0,0,0,671,670,1,1,0,0,1,0,0,100,100,1,0,0,0,1,1,0,0,lowrate
15,tcp,http,S1,370,0,0,0,304,304,0.34,0.34,0,0,1,0,0,100,100,1,0,0,0,0.98,0.98,0,0,lowrate
0,tcp,http,OTH,60,0,0,0,852,852,0,0,0,0,1,0,0,49,49,1,0,0,0,0,0,0,0,lowrate
0,tcp,http,OTH,60,0,0,0,723,723,0,0,0,0,1,0,0,57,57,1,0,0.02,0,0,0,0,0,lowrate
0,tcp,private,OTH,66,0,0,0,536,536,0,0,0,0,1,0,0,50,50,1,0,0.98,0,0,0,0,0,lowrate
0,tcp,http,OTH,66,0,0,0,422,422,0,0,0,0,1,0,0,100,100,1,0,0,0,0,0,0,0,lowrate
0,tcp,http,OTH,60,0,0,0,793,793,0,0,0,0,1,0,0,50,50,1,0,0.02,0,0,0,0,0,lowrate
0,tcp,private,OTH,554,0,0,0,539,539,0,0,0,0,1,0,0,49,49,1,0,0.98,0,0,0,0,0,lowrate
0,tcp,http,OTH,60,0,0,0,24,24,0,0,0,0,1,0,0,24,24,1,0,0.08,0,0,0,0,0,lowrate
0,tcp,http,OTH,66,0,0,0,532,532,0,0,0,0,1,0,0,87,87,1,0,0,0,0,0,0,0,lowrate
30,tcp,http,RSTO,1089,1019,0,0,39,39,0,0,0,0,1,0,0,40,40,1,0,0,0,0,0,0,0,lowrate
1,tcp,http,RSTO,2736,11980,0,0,10,10,0,0,0,0,1,0,0,66,66,1,0,0,0,0,0,0,0,lowrate
30,tcp,http,RSTO,993,1019,0,0,80,80,0,0,0,0,1,0,0,92,92,1,0,0,0,0,0,0,0,lowrate
0,tcp,http,OTH,60,0,0,0,836,836,0,0,0,0,1,0,0,48,48,1,0,0,0,0,0,0,0,lowrate
15,tcp,http,S1,370,0,0,0,340,340,0.88,0.88,0,0,1,0,0,100,100,1,0,0,0,0.6,0.6,0,0,lowrate
0,tcp,http,OTH,184,0,0,0,530,530,0,0,0,0,1,0,0,100,100,1,0,0,0,0,0,0,0,lowrate
0,tcp,http,OTH,113,0,0,0,211,211,0,0,0,0,1,0,0,50,50,1,0,0,0,0,0,0,0,lowrate
0,tcp,http,OTH,66,0,0,0,495,495,0,0,0,0,1,0,0,100,100,1,0,0,0,0,0,0,0,lowrate
0,tcp,http,OTH,91,0,0,0,61,61,0,0,0,0,1,0,0,50,50,1,0,0,0,0,0,0,0,lowrate
15,tcp,http,S1,370,0,0,0,59,59,0.95,0.95,0,0,1,0,0,100,100,1,0,0,0,0.58,0.58,0,0,lowrate
15,tcp,http,S1,370,0,0,0,791,791,0.64,0.64,0,0,1,0,0,100,100,1,0,0,0,1,1,0,0,lowrate
15,tcp,http,S1,370,0,0,0,349,349,0.89,0.89,0,0,1,0,0,100,100,1,0,0,0,0.98,0.98,0,0,lowrate
0,tcp,private,OTH,2954,0,0,0,836,836,0,0,0,0,1,0,0,42,42,1,0,0.98,0,0,0,0,0,lowrate
0,tcp,http,OTH,66,0,0,0,385,385,0,0,0,0,1,0,0,85,85,1,0,0,0,0,0,0,0,lowrate
15,tcp,http,S1,370,0,0,0,216,215,1,1,0,0,1,0,0,99,99,1,0,0,0,1,1,0,0,lowrate
0,tcp,http,OTH,122,0,0,0,573,573,0,0,0,0,1,0,0,100,100,1,0,0,0,0,0,0,0,lowrate
