@relation 'slowRead-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-Nnormal:NORMAL, normal:NORMAL, tcpFlood:HIGH_RATE, udpFlood:HIGH_RATE, httpFlood:HIGH_RATE, slowBody:LOW_RATE, slowHeaders:LOW_RATE, slowRead:LOW_RATE'

@attribute total_fpackets numeric
@attribute total_fvolume numeric
@attribute total_bpackets numeric
@attribute total_bvolume numeric
@attribute min_fpktl numeric
@attribute mean_fpktl numeric
@attribute max_fpktl numeric
@attribute std_fpktl numeric
@attribute min_bpktl numeric
@attribute mean_bpktl numeric
@attribute max_bpktl numeric
@attribute std_bpktl numeric
@attribute min_fiat numeric
@attribute mean_fiat numeric
@attribute max_fiat numeric
@attribute std_fiat numeric
@attribute min_biat numeric
@attribute mean_biat numeric
@attribute max_biat numeric
@attribute std_biat numeric
@attribute duration numeric
@attribute min_active numeric
@attribute mean_active numeric
@attribute max_active numeric
@attribute std_active numeric
@attribute min_idle numeric
@attribute mean_idle numeric
@attribute max_idle numeric
@attribute std_idle numeric
@attribute sflow_fpackets numeric
@attribute sflow_fbytes numeric
@attribute sflow_bpackets numeric
@attribute sflow_bbytes numeric
@attribute fpsh_cnt numeric
@attribute bpsh_cnt numeric
@attribute furg_cnt numeric
@attribute burg_cnt numeric
@attribute total_fhlen numeric
@attribute total_bhlen numeric
@attribute isAttack {NORMAL,LOW_RATE,slowHeaders,slowRead,HIGH_RATE,udpFlood,httpFlood}

@data
7,773,6,803,40,110,394,126,52,133,535,196,1362,10492,28720,15785,213,1471,2729,1779,30578645,5,7883,28720,13953,1022337,10182370,19215260,9097127,1,193,1,200,3,1,0,0,360,320,LOW_RATE
15,3220,4,1368,52,214,396,175,52,342,628,330,94,243636,832826,298560,75,75,75,0,29871932,0,213891,1664209,586189,1022238,4022971,9906483,3102908,1,402,0,171,7,1,0,0,812,216,LOW_RATE
7,782,7,855,40,111,394,126,52,122,535,182,1313,19709,55947,31383,72,5152,12210,6306,30548093,14,14798,55947,27473,1022289,10162966,19214783,9096572,1,195,1,213,3,1,0,0,360,372,LOW_RATE
5,741,3,164,52,148,467,179,52,54,60,4,750,1264,1778,726,2532,2532,2532,0,9578124,5,850,2545,1467,1014483,4787787,8561091,5336257,1,247,1,54,2,0,0,0,276,164,LOW_RATE
4,685,3,164,52,171,467,198,52,54,60,4,1463,1666,1869,287,3324,3324,3324,0,10453628,14,1705,3396,2391,10450218,10450218,10450218,0,2,342,1,82,2,0,0,0,216,164,LOW_RATE
14,943,9,1628,52,67,227,46,52,180,628,253,860,321924,1340102,576215,61,323043,895132,369948,29404864,0,179947,1604468,534218,1013164,3473166,8191789,2366304,1,104,1,180,1,1,0,0,768,476,LOW_RATE
14,943,9,1628,52,67,227,46,52,180,628,253,237,311905,1296597,557461,74,312626,864561,357857,29588956,0,174161,1555001,517831,1007111,3502687,8192115,2236297,1,104,1,180,1,1,0,0,768,476,LOW_RATE
7,771,7,855,40,110,394,126,52,122,535,182,1567,20356,57265,31965,66,6012,14184,7317,30713985,13,15287,57265,28043,1024214,10217612,19215490,9097213,1,192,1,213,3,1,0,0,360,372,LOW_RATE
10,828,10,1680,52,82,352,94,52,168,628,242,1538,260419,1296166,514195,329,260187,864477,345079,13662757,1105,392162,1562514,780234,1726766,4031368,6909738,2638693,2,207,2,420,1,1,0,0,528,528,LOW_RATE
6,882,5,268,52,147,511,179,52,53,60,3,1263,1665,2068,569,3328,3328,3328,0,29938272,5,854,3393,1692,9043137,9978284,10703763,849935,1,220,1,67,4,0,0,0,320,268,LOW_RATE
11,755,10,1680,52,68,227,52,52,168,628,242,1167,311621,1300695,559692,33,311591,864367,359457,29803917,0,259853,1555217,634597,1695629,5648958,10115699,3240006,1,125,1,280,1,1,0,0,580,528,LOW_RATE
3,579,2,112,52,193,467,237,52,56,60,5,1552,1646,1741,133,3323,3323,3323,0,3397,3397,3397,3397,0,0,0,0,0,3,579,2,112,1,0,0,0,164,112,LOW_RATE
6,874,5,268,52,145,511,179,52,53,60,3,1577,1656,1736,112,3254,3254,3254,0,29800735,5,849,3371,1681,9046302,9932446,10562296,789825,1,218,1,67,4,0,0,0,320,268,LOW_RATE
3,579,2,112,52,193,467,237,52,56,60,5,1476,1652,1828,248,3342,3342,3342,0,3407,3407,3407,3407,0,0,0,0,0,3,579,2,112,1,0,0,0,164,112,LOW_RATE
11,755,10,1680,52,68,227,52,52,168,628,242,1379,316490,1319862,567801,14,316481,863201,360623,30485637,0,263962,1579371,644418,1728892,5780373,10105655,3233884,1,125,1,280,1,1,0,0,580,528,LOW_RATE
