@relation 'Slow Read-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-Nnormal:normal, tcpFlood:attack, udpFlood:attack, httpFlood:attack, slowBody:attack, slowHeaders:attack, slowRead:attack'

@attribute duration numeric
@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute dst_bytes numeric
@attribute wrong_fragment numeric
@attribute urgent numeric
@attribute count numeric
@attribute srv_count numeric
@attribute serror_rate numeric
@attribute srv_serror_rate numeric
@attribute rerror_rate numeric
@attribute srv_rerror_rate numeric
@attribute same_srv_rate numeric
@attribute diff_srv_rate numeric
@attribute srv_diff_host_rate numeric
@attribute dst_host_count numeric
@attribute dst_host_srv_count numeric
@attribute dst_host_same_srv_rate numeric
@attribute dst_host_diff_srv_rate numeric
@attribute dst_host_same_src_port_rate numeric
@attribute dst_host_srv_diff_host_rate numeric
@attribute dst_host_serror_rate numeric
@attribute dst_host_srv_serror_rate numeric
@attribute dst_host_rerror_rate numeric
@attribute dst_host_srv_rerror_rate numeric
@attribute isAttack {neptune,smurf,pod,back,land,attack,slowHeaders,slowRead,tcpFlood,udpFlood,httpFlood}

@data
7,tcp,S1,296,0,0,0,208,208,1,1,0,0,1,0,0,100,100,1,0,0,0,1,1,0,0,attack
7,tcp,S1,296,0,0,0,686,686,1,1,0,0,1,0,0,100,100,1,0,0,0,1,1,0,0,attack
0,tcp,OTH,653,0,0,0,39,39,0,0,0,0,1,0,0,57,57,1,0,0,0,0,0,0,0,attack
7,tcp,S1,296,0,0,0,196,196,1,1,0,0,1,0,0,100,100,1,0,0,0,1,1,0,0,attack
15,tcp,S1,370,0,0,0,270,269,1,1,0,0,1,0,0,100,100,1,0,0,0,1,1,0,0,attack
10,tcp,S1,713,206,0,0,77,76,0.99,1,0,0,0.99,0.01,0,86,85,0.99,0.01,0,0,0.88,0.89,0,0,attack
7,tcp,S1,296,0,0,0,179,179,1,1,0,0,1,0,0,100,100,1,0,0,0,1,1,0,0,attack
7,tcp,S1,296,0,0,0,302,302,1,1,0,0,1,0,0,100,100,1,0,0,0,1,1,0,0,attack
0,tcp,S1,74,0,0,0,727,726,0.99,0.99,0,0,1,0,0,100,100,1,0,0,0,1,1,0,0,attack
27,tcp,RSTO,4104,689,0,0,19,19,0,0,0,0,1,0,0,61,61,1,0,0,0,0,0,0,0,attack
0,tcp,OTH,60,0,0,0,1044,1044,0,0,0,0,1,0,0,51,51,1,0,0.02,0,0,0,0,0,attack
0,tcp,OTH,461,0,0,0,1139,1139,0,0,0,0,1,0,0,59,59,1,0,0,0,0,0,0,0,attack
0,tcp,S1,74,0,0,0,408,407,0.99,0.99,0,0,1,0,0,98,98,1,0,0,0,0.98,0.98,0,0,attack
0,tcp,OTH,109,0,0,0,153,153,0,0,0,0,1,0,0,50,50,1,0,0,0,0,0,0,0,attack
0,tcp,OTH,66,0,0,0,843,843,0,0,0,0,1,0,0,58,58,1,0,0,0,0,0,0,0,attack
0,tcp,OTH,60,0,0,0,815,815,0,0,0,0,1,0,0,38,38,1,0,0.03,0,0,0,0,0,attack
15,tcp,S1,370,0,0,0,720,720,0.12,0.12,0,0,1,0,0,100,100,1,0,0,0,0.89,0.89,0,0,attack
0,tcp,S1,621,140,0,0,589,588,0.99,0.99,0,0,1,0,0,99,99,1,0,0,0,1,1,0,0,attack
7,tcp,S1,296,0,0,0,634,634,1,1,0,0,1,0,0,100,100,1,0,0,0,1,1,0,0,attack
15,tcp,S1,370,0,0,0,424,423,1,1,0,0,1,0,0,100,100,1,0,0,0,1,1,0,0,attack
0,tcp,OTH,102,0,0,0,21,21,0,0,0,0,1,0,0,57,57,1,0,0,0,0,0,0,0,attack
3,tcp,S1,222,0,0,0,999,999,1,1,0,0,1,0,0,100,100,1,0,0,0,1,1,0,0,attack
7,tcp,S1,296,0,0,0,237,237,1,1,0,0,1,0,0,100,100,1,0,0,0,1,1,0,0,attack
7,tcp,S1,296,0,0,0,616,616,1,1,0,0,1,0,0,100,100,1,0,0,0,1,1,0,0,attack
0,tcp,OTH,66,0,0,0,358,358,0,0,0,0,1,0,0,78,78,1,0,0,0,0,0,0,0,attack
7,tcp,S1,296,0,0,0,130,130,1,1,0,0,1,0,0,100,100,1,0,0,0,1,1,0,0,attack
15,tcp,S1,370,0,0,0,626,625,1,1,0,0,1,0,0,100,100,1,0,0,0,1,1,0,0,attack
7,tcp,S1,296,0,0,0,288,288,1,1,0,0,1,0,0,100,100,1,0,0,0,1,1,0,0,attack
0,tcp,OTH,117,0,0,0,92,92,0,0,0,0,1,0,0,50,50,1,0,0,0,0,0,0,0,attack
15,tcp,S1,370,0,0,0,890,889,1,1,0,0,1,0,0,100,100,1,0,0,0,1,1,0,0,attack
7,tcp,S1,296,0,0,0,544,544,1,1,0,0,1,0,0,100,100,1,0,0,0,1,1,0,0,attack
15,tcp,S1,370,0,0,0,908,908,0.3,0.3,0,0,1,0,0,100,100,1,0,0,0,0.95,0.95,0,0,attack
10,tcp,S1,718,206,0,0,70,69,0.99,1,0,0,0.99,0.01,0,85,84,0.99,0.01,0,0,0.81,0.82,0,0,attack
0,tcp,OTH,60,0,0,0,1078,1078,0,0,0,0,1,0,0,49,49,1,0,0.02,0,0,0,0,0,attack
29,tcp,RSTO,3430,1424,0,0,385,385,0,0,0,0,1,0,0,100,100,1,0,0,0,0,0,0,0,attack
0,tcp,OTH,60,0,0,0,517,517,0,0,0,0,1,0,0,83,83,1,0,0,0,0,0,0,0,attack
0,tcp,OTH,106,0,0,0,238,238,0,0,0,0,1,0,0,50,50,1,0,0,0,0,0,0,0,attack
7,tcp,S1,296,0,0,0,616,616,1,1,0,0,1,0,0,100,100,1,0,0,0,1,1,0,0,attack
15,tcp,S1,370,0,0,0,929,929,0.31,0.31,0,0,1,0,0,100,100,1,0,0,0,0.95,0.95,0,0,attack
10,tcp,S1,692,206,0,0,130,129,0.99,1,0,0,0.99,0.01,0,99,99,1,0,0,0,1,1,0,0,attack
29,tcp,RSTO,936,953,0,0,705,704,0.65,0.65,0,0,1,0,0,100,100,1,0,0,0,0.97,0.97,0,0,attack
7,tcp,S1,296,0,0,0,666,666,1,1,0,0,1,0,0,100,100,1,0,0,0,1,1,0,0,attack
28,tcp,RSTO,3430,1424,0,0,802,802,0.21,0.21,0,0,1,0,0,100,100,1,0,0,0,1,1,0,0,attack
7,tcp,S1,296,0,0,0,612,612,1,1,0,0,1,0,0,100,100,1,0,0,0,1,1,0,0,attack
15,tcp,S1,370,0,0,0,899,898,1,1,0,0,1,0,0,100,100,1,0,0,0,1,1,0,0,attack
0,tcp,OTH,66,0,0,0,556,556,0,0,0,0,1,0,0,78,78,1,0,0,0,0,0,0,0,attack
29,tcp,RSTO,1139,1754,0,0,544,544,0,0,0,0,1,0,0,100,100,1,0,0,0,0,0,0,0,attack
6,tcp,S1,2702,140,0,0,449,448,0.98,0.98,0,0,1,0,0,100,100,1,0,0,0,1,1,0,0,attack
7,tcp,S1,296,0,0,0,220,220,1,1,0,0,1,0,0,100,100,1,0,0,0,1,1,0,0,attack
29,tcp,RSTO,1139,1754,0,0,486,486,0,0,0,0,1,0,0,100,100,1,0,0,0,0,0,0,0,attack
7,tcp,S1,296,0,0,0,641,641,1,1,0,0,1,0,0,100,100,1,0,0,0,1,1,0,0,attack
0,tcp,OTH,60,0,0,0,69,69,0,0,0,0,1,0,0,51,51,1,0,0,0,0,0,0,0,attack
7,tcp,S1,296,0,0,0,598,598,1,1,0,0,1,0,0,100,100,1,0,0,0,1,1,0,0,attack
0,tcp,OTH,105,0,0,0,143,143,0,0,0,0,1,0,0,50,50,1,0,0,0,0,0,0,0,attack
0,tcp,OTH,84,0,0,0,242,242,0,0,0,0,1,0,0,50,50,1,0,0,0,0,0,0,0,attack
7,tcp,S1,296,0,0,0,290,290,1,1,0,0,1,0,0,100,100,1,0,0,0,1,1,0,0,attack
0,tcp,OTH,116,0,0,0,219,219,0,0,0,0,1,0,0,50,50,1,0,0,0,0,0,0,0,attack
7,tcp,S1,296,0,0,0,163,163,1,1,0,0,1,0,0,100,100,1,0,0,0,1,1,0,0,attack
0,tcp,S1,74,0,0,0,542,541,0.99,0.99,0,0,1,0,0,100,100,1,0,0,0,1,1,0,0,attack
7,tcp,S1,296,0,0,0,435,435,1,1,0,0,1,0,0,100,100,1,0,0,0,1,1,0,0,attack
3,tcp,S1,222,0,0,0,792,792,1,1,0,0,1,0,0,100,100,1,0,0,0,1,1,0,0,attack
29,tcp,RSTO,1034,1820,0,0,417,417,0,0,0,0,1,0,0,100,100,1,0,0,0,0,0,0,0,attack
7,tcp,S1,296,0,0,0,23,23,1,1,0,0,1,0,0,24,24,1,0,0,0,1,1,0,0,attack
0,tcp,OTH,128,0,0,0,261,261,0,0,0,0,1,0,0,50,50,1,0,0,0,0,0,0,0,attack
29,tcp,RSTO,3504,1424,0,0,621,621,0,0,0,0,1,0,0,100,100,1,0,0,0,0,0,0,0,attack
7,tcp,S1,296,0,0,0,224,224,1,1,0,0,1,0,0,100,100,1,0,0,0,1,1,0,0,attack
0,tcp,OTH,114,0,0,0,186,186,0,0,0,0,1,0,0,50,50,1,0,0,0,0,0,0,0,attack
0,tcp,OTH,60,0,0,0,856,856,0,0,0,0,1,0,0,49,49,1,0,0,0,0,0,0,0,attack
0,tcp,OTH,60,0,0,0,386,386,0,0,0,0,1,0,0,84,84,1,0,0.01,0,0,0,0,0,attack
0,tcp,OTH,60,0,0,0,703,703,0,0,0,0,1,0,0,51,51,1,0,0,0,0,0,0,0,attack
0,tcp,OTH,173,0,0,0,653,653,0,0,0,0,1,0,0,89,89,1,0,0,0,0,0,0,0,attack
7,tcp,S1,296,0,0,0,330,330,1,1,0,0,1,0,0,100,100,1,0,0,0,1,1,0,0,attack
7,tcp,S1,296,0,0,0,319,319,1,1,0,0,1,0,0,100,100,1,0,0,0,1,1,0,0,attack
0,tcp,OTH,60,0,0,0,845,845,0,0,0,0,1,0,0,29,29,1,0,0.03,0,0,0,0,0,attack
0,tcp,OTH,66,0,0,0,486,486,0,0,0,0,1,0,0,89,89,1,0,0,0,0,0,0,0,attack
7,tcp,S1,902,1754,0,0,139,138,0.94,0.94,0,0,0.99,0.01,0,100,100,1,0,0,0,1,1,0,0,attack
8,tcp,S1,148,0,0,0,447,446,0.99,0.99,0,0,1,0,0,100,100,1,0,0,0,1,1,0,0,attack
7,tcp,S1,296,0,0,0,451,451,1,1,0,0,1,0,0,100,100,1,0,0,0,1,1,0,0,attack
7,tcp,S1,296,0,0,0,60,60,1,1,0,0,1,0,0,61,61,1,0,0,0,1,1,0,0,attack
0,tcp,OTH,109,0,0,0,51,51,0,0,0,0,1,0,0,54,54,1,0,0,0,0,0,0,0,attack
0,tcp,OTH,125,0,0,0,84,84,0,0,0,0,1,0,0,50,50,1,0,0,0,0,0,0,0,attack
7,tcp,S1,296,0,0,0,26,26,1,1,0,0,1,0,0,100,100,1,0,0,0,1,1,0,0,attack
7,tcp,S1,296,0,0,0,225,225,1,1,0,0,1,0,0,100,100,1,0,0,0,1,1,0,0,attack
0,tcp,S1,74,0,0,0,764,763,0.99,0.99,0,0,1,0,0,100,100,1,0,0,0,1,1,0,0,attack
7,tcp,S1,296,0,0,0,388,388,1,1,0,0,1,0,0,100,100,1,0,0,0,1,1,0,0,attack
15,tcp,S1,370,0,0,0,939,938,0.7,0.7,0,0,1,0,0,100,100,1,0,0,0,0.99,0.99,0,0,attack
0,tcp,OTH,66,0,0,0,560,560,0,0,0,0,1,0,0,74,74,1,0,0,0,0,0,0,0,attack
7,tcp,S1,296,0,0,0,283,283,1,1,0,0,1,0,0,100,100,1,0,0,0,1,1,0,0,attack
30,tcp,RSTO,1306,1688,0,0,265,265,0,0,0,0,1,0,0,100,100,1,0,0,0,0,0,0,0,attack
0,tcp,OTH,90,0,0,0,70,70,0,0,0,0,1,0,0,50,50,1,0,0,0,0,0,0,0,attack
0,tcp,OTH,84,0,0,0,149,149,0,0,0,0,1,0,0,50,50,1,0,0,0,0,0,0,0,attack
7,tcp,S1,296,0,0,0,286,286,1,1,0,0,1,0,0,100,100,1,0,0,0,1,1,0,0,attack
15,tcp,S1,370,0,0,0,639,638,0.61,0.61,0,0,1,0,0,100,100,1,0,0,0,0.99,0.99,0,0,attack
7,tcp,S1,296,0,0,0,514,514,1,1,0,0,1,0,0,100,100,1,0,0,0,1,1,0,0,attack
0,tcp,S1,621,140,0,0,745,744,0.99,0.99,0,0,1,0,0,99,99,1,0,0,0,1,1,0,0,attack
29,tcp,S1,936,338,0,0,58,57,0.98,1,0,0,0.98,0.02,0,73,72,0.99,0.01,0,0,0.78,0.79,0,0,attack
30,tcp,RSTO,975,1886,0,0,9,9,0,0,0,0,1,0,0,13,13,1,0,0,0,0,0,0,0,attack
0,tcp,OTH,105,0,0,0,136,136,0,0,0,0,1,0,0,50,50,1,0,0,0,0,0,0,0,attack
0,tcp,S1,74,0,0,0,501,500,0.99,0.99,0,0,1,0,0,100,100,1,0,0,0,0.99,0.99,0,0,attack
0,tcp,OTH,110,0,0,0,15,15,0,0,0,0,1,0,0,18,18,1,0,0,0,0,0,0,0,attack
7,tcp,S1,296,0,0,0,560,560,1,1,0,0,1,0,0,100,100,1,0,0,0,1,1,0,0,attack
5,tcp,RSTO,2156,12310,0,0,8,8,0,0,0,0,1,0,0,52,52,1,0,0,0,0,0,0,0,attack
30,tcp,RSTO,1256,1820,0,0,344,344,0,0,0,0,1,0,0,100,100,1,0,0,0,0,0,0,0,attack
0,tcp,OTH,103,0,0,0,290,290,0,0,0,0,1,0,0,50,50,1,0,0,0,0,0,0,0,attack
15,tcp,S1,370,0,0,0,583,582,1,1,0,0,1,0,0,100,100,1,0,0,0,1,1,0,0,attack
0,tcp,OTH,60,0,0,0,1097,1097,0,0,0,0,1,0,0,50,50,1,0,0.02,0,0,0,0,0,attack
0,tcp,OTH,525,0,0,0,5,5,0,0,0,0,1,0,0,79,79,1,0,0,0,0,0,0,0,attack
0,tcp,OTH,408,0,0,0,297,297,0,0,0,0,1,0,0,50,50,1,0,0,0,0,0,0,0,attack
8,tcp,S1,148,0,0,0,133,132,0.96,0.97,0,0,0.99,0.01,0,100,100,1,0,0,0,0.98,0.98,0,0,attack
0,tcp,OTH,60,0,0,0,849,849,0,0,0,0,1,0,0,50,50,1,0,0.02,0,0,0,0,0,attack
13,tcp,S1,926,1490,0,0,310,309,0.97,0.97,0,0,1,0,0,100,100,1,0,0,0,1,1,0,0,attack
0,tcp,OTH,60,0,0,0,990,990,0,0,0,0,1,0,0,41,41,1,0,0,0,0,0,0,0,attack
0,tcp,OTH,66,0,0,0,510,510,0,0,0,0,1,0,0,94,94,1,0,0,0,0,0,0,0,attack
15,tcp,S1,370,0,0,0,309,308,1,1,0,0,1,0,0,100,100,1,0,0,0,1,1,0,0,attack
7,tcp,S1,296,0,0,0,678,678,1,1,0,0,1,0,0,100,100,1,0,0,0,1,1,0,0,attack
0,tcp,S1,74,0,0,0,579,578,0.99,0.99,0,0,1,0,0,100,100,1,0,0,0,1,1,0,0,attack
0,tcp,OTH,60,0,0,0,838,838,0,0,0,0,1,0,0,51,51,1,0,0,0,0,0,0,0,attack
7,tcp,S1,296,0,0,0,661,661,1,1,0,0,1,0,0,100,100,1,0,0,0,1,1,0,0,attack
0,tcp,OTH,60,0,0,0,1017,1017,0,0,0,0,1,0,0,50,50,1,0,0,0,0,0,0,0,attack
0,tcp,OTH,60,0,0,0,1188,1188,0,0,0,0,1,0,0,57,57,1,0,0.03,0,0,0,0,0,attack
30,tcp,RSTO,975,1886,0,0,55,55,0,0,0,0,1,0,0,59,59,1,0,0,0,0,0,0,0,attack
0,tcp,OTH,112,0,0,0,66,66,0,0,0,0,1,0,0,50,50,1,0,0,0,0,0,0,0,attack
30,tcp,RSTO,1300,1820,0,0,266,266,0,0,0,0,1,0,0,100,100,1,0,0,0,0,0,0,0,attack
10,tcp,S1,722,206,0,0,25,24,0.96,1,0,0,0.96,0.04,0,67,66,0.99,0.01,0,0,0.36,0.36,0,0,attack
7,tcp,S1,296,0,0,0,177,177,1,1,0,0,1,0,0,100,100,1,0,0,0,1,1,0,0,attack
7,tcp,S1,296,0,0,0,455,454,0.98,0.98,0,0,1,0,0,100,100,1,0,0,0,1,1,0,0,attack
0,tcp,OTH,110,0,0,0,80,80,0,0,0,0,1,0,0,50,50,1,0,0,0,0,0,0,0,attack
0,tcp,OTH,60,0,0,0,984,984,0,0,0,0,1,0,0,35,35,1,0,0,0,0,0,0,0,attack
0,tcp,OTH,82,0,0,0,119,119,0,0,0,0,1,0,0,50,50,1,0,0,0,0,0,0,0,attack
0,tcp,OTH,60,0,0,0,413,413,0,0,0,0,1,0,0,83,83,1,0,0.01,0,0,0,0,0,attack
9,tcp,S1,2192,140,0,0,346,345,0.97,0.98,0,0,1,0,0,100,100,1,0,0,0,1,1,0,0,attack
0,tcp,OTH,60,0,0,0,287,287,0,0,0,0,1,0,0,51,51,1,0,0.02,0,0,0,0,0,attack
30,tcp,RSTO,951,953,0,0,104,103,0,0,0,0,0.99,0.01,0,99,99,1,0,0,0,0,0,0,0,attack
0,tcp,OTH,54,0,0,0,11,11,0,0,0,0,1,0,0,11,11,1,0,0.33,0,0,0,0,0,attack
7,tcp,S1,296,0,0,0,50,50,1,1,0,0,1,0,0,51,51,1,0,0,0,1,1,0,0,attack
15,tcp,S1,370,0,0,0,974,973,0.71,0.71,0,0,1,0,0,100,100,1,0,0,0,1,1,0,0,attack
0,tcp,S1,74,0,0,0,811,810,0.99,0.99,0,0,1,0,0,100,100,1,0,0,0,1,1,0,0,attack
15,tcp,S1,370,0,0,0,533,532,0.54,0.54,0,0,1,0,0,99,99,1,0,0,0,1,1,0,0,attack
15,tcp,S1,370,0,0,0,721,721,0.16,0.16,0,0,1,0,0,100,100,1,0,0,0,1,1,0,0,attack
30,tcp,RSTO,1078,1820,0,0,169,169,0,0,0,0,1,0,0,100,100,1,0,0,0,0,0,0,0,attack
7,tcp,S1,296,0,0,0,120,120,1,1,0,0,1,0,0,100,100,1,0,0,0,1,1,0,0,attack
0,tcp,OTH,60,0,0,0,880,880,0,0,0,0,1,0,0,33,33,1,0,0,0,0,0,0,0,attack
29,tcp,RSTO,3122,1424,0,0,382,382,0,0,0,0,1,0,0,100,100,1,0,0,0,0,0,0,0,attack
0,tcp,OTH,86,0,0,0,37,37,0,0,0,0,1,0,0,60,60,1,0,0,0,0,0,0,0,attack
15,tcp,S1,370,0,0,0,728,728,0.13,0.13,0,0,1,0,0,100,100,1,0,0,0,0.97,0.97,0,0,attack
15,tcp,S1,370,0,0,0,809,808,1,1,0,0,1,0,0,100,100,1,0,0,0,1,1,0,0,attack
0,tcp,OTH,66,0,0,0,484,484,0,0,0,0,1,0,0,86,86,1,0,0,0,0,0,0,0,attack
7,tcp,S1,296,0,0,0,607,607,1,1,0,0,1,0,0,100,100,1,0,0,0,1,1,0,0,attack
0,tcp,OTH,60,0,0,0,1082,1082,0,0,0,0,1,0,0,50,50,1,0,0.02,0,0,0,0,0,attack
29,tcp,RSTO,1264,1754,0,0,493,493,0,0,0,0,1,0,0,100,100,1,0,0,0,0,0,0,0,attack
7,tcp,S1,296,0,0,0,446,446,1,1,0,0,1,0,0,100,100,1,0,0,0,1,1,0,0,attack
0,tcp,OTH,95,0,0,0,199,199,0,0,0,0,1,0,0,50,50,1,0,0,0,0,0,0,0,attack
0,tcp,OTH,166,0,0,0,564,564,0,0,0,0,1,0,0,94,94,1,0,0,0,0,0,0,0,attack
