@relation 'slowRead-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack'

@attribute total_fpackets numeric
@attribute total_fvolume numeric
@attribute total_bpackets numeric
@attribute total_bvolume numeric
@attribute min_fpktl numeric
@attribute mean_fpktl numeric
@attribute max_fpktl numeric
@attribute std_fpktl numeric
@attribute min_bpktl numeric
@attribute mean_bpktl numeric
@attribute max_bpktl numeric
@attribute std_bpktl numeric
@attribute min_fiat numeric
@attribute mean_fiat numeric
@attribute max_fiat numeric
@attribute std_fiat numeric
@attribute min_biat numeric
@attribute mean_biat numeric
@attribute max_biat numeric
@attribute std_biat numeric
@attribute duration numeric
@attribute min_active numeric
@attribute mean_active numeric
@attribute max_active numeric
@attribute std_active numeric
@attribute min_idle numeric
@attribute mean_idle numeric
@attribute max_idle numeric
@attribute std_idle numeric
@attribute sflow_fpackets numeric
@attribute sflow_fbytes numeric
@attribute sflow_bpackets numeric
@attribute sflow_bbytes numeric
@attribute fpsh_cnt numeric
@attribute bpsh_cnt numeric
@attribute furg_cnt numeric
@attribute burg_cnt numeric
@attribute total_fhlen numeric
@attribute total_bhlen numeric
@attribute isAttack {normal,slowBody,slowHeaders,slowRead,tcpFlood,udpFlood,httpFlood}

@data
16,2097,4,1368,52,131,227,87,52,342,628,330,962,226250,864119,301557,36,3512,6988,4915,29238556,0,226250,1758085,619221,1005062,3918364,8194331,2742254,2,262,0,171,7,1,0,0,872,216,slowRead
9,800,5,1420,52,88,352,98,52,284,628,314,6,68508,220624,102941,190,91409,262555,148323,13461080,11501,55091,263954,116864,1029062,3296406,6074302,2242742,1,160,1,284,1,1,0,0,500,268,slowRead
4,635,3,164,52,158,467,205,52,54,60,4,1403,1625,1847,313,3246,3246,3246,0,10356880,16,1663,3311,2329,10353553,10353553,10353553,0,2,317,1,82,2,0,0,0,216,164,slowRead
6,876,5,268,52,146,511,179,52,53,60,3,110,718,1327,860,1449,1449,1449,0,27838835,6,374,1469,730,8593363,9279113,10192298,823373,1,219,1,67,4,0,0,0,320,268,slowRead
14,943,9,1628,52,67,227,46,52,180,628,253,788,325187,1360526,585749,363,326457,895842,372066,29431495,0,181750,1621707,540003,1008058,3474467,8191465,2241791,1,104,1,180,1,1,0,0,768,476,slowRead
14,1068,9,1628,52,76,352,79,52,180,628,253,1160,311258,1291622,555110,5,312043,863540,357061,29661039,0,173697,1552019,516883,1032423,3512219,8191830,2231915,1,118,1,180,1,1,0,0,768,476,slowRead
11,924,10,1680,52,84,396,103,52,168,628,242,1440,314733,1316382,566684,70,314727,862823,360368,29624112,0,262510,1570498,640782,1729237,5609809,9048661,2954122,1,154,1,280,1,1,0,0,580,528,slowRead
12,976,11,1732,52,81,396,99,52,157,628,232,1206,260036,1300879,516400,303,259835,864460,345646,30912365,0,260038,1560216,636954,1695642,5870427,13566337,4694571,2,162,1,288,1,1,0,0,632,580,slowRead
11,755,10,1680,52,68,227,52,52,168,628,242,966,310334,1293073,556187,59,310352,865071,358963,29798763,0,258788,1548996,632071,1695059,5649206,10116109,3240287,1,125,1,280,1,1,0,0,580,528,slowRead
14,1110,8,1576,52,79,227,62,52,197,628,266,494,176430,621227,262587,38,291456,663787,339191,30197395,0,98148,663827,224206,1018151,3664257,7042682,2255449,1,123,0,175,2,1,0,0,760,424,slowRead
12,807,11,1732,52,67,227,50,52,157,628,232,1349,393556,1295577,538485,39,393333,867761,380533,30576711,0,393560,2361340,964011,1692357,5643069,13580295,4854312,2,134,1,288,1,1,0,0,632,580,slowRead
12,807,11,1732,52,67,227,50,52,157,628,232,1026,260823,1301535,516556,13,260653,863939,345636,30866025,0,260825,1564943,638884,1728425,5860214,13822257,4837652,2,134,1,288,1,1,0,0,632,580,slowRead
14,943,9,1628,52,67,227,46,52,180,628,253,275,320582,1333548,573274,21,320882,897553,370800,29535429,0,178970,1596325,531529,1017162,3490586,8192859,2231011,1,104,1,180,1,1,0,0,768,476,slowRead
7,799,6,803,40,114,394,125,52,133,535,196,1285,2134,3670,1332,326,1528,2731,1700,31046130,13,1623,3670,1892,1035496,10346545,19214830,9097751,1,199,1,200,3,1,0,0,360,320,slowRead
11,755,10,1680,52,68,227,52,52,168,628,242,1398,309079,1288810,554502,70,309034,864810,358592,30479786,0,257759,1542219,629256,1695436,5786646,10363879,3365367,1,125,1,280,1,1,0,0,580,528,slowRead
14,1068,9,1628,52,76,352,79,52,180,628,253,37,315873,1316213,566145,62,316395,863622,359363,29576286,0,176382,1573865,524075,1011097,3498605,8195175,2237490,1,118,1,180,1,1,0,0,768,476,slowRead
8,724,8,1576,52,90,352,105,52,197,628,266,905,310246,1292023,555744,183,310364,863583,358509,10232830,1137,518014,1550518,894174,1695309,4339394,6983479,3739300,2,241,2,525,1,1,0,0,424,424,slowRead
3,579,2,112,52,193,467,237,52,56,60,5,723,1377,2032,925,2736,2736,2736,0,2808,2808,2808,2808,0,0,0,0,0,3,579,2,112,1,0,0,0,164,112,slowRead
14,1060,10,1680,52,75,352,79,52,168,628,242,138,316178,1316425,566180,1002,316452,864441,360212,30324398,0,176048,1578506,525925,1027250,3592495,6911298,2121513,1,117,1,186,1,1,0,0,760,528,slowRead
3,579,2,112,52,193,467,237,52,56,60,5,1490,1709,1928,309,3408,3408,3408,0,3478,3478,3478,3478,0,0,0,0,0,3,579,2,112,1,0,0,0,164,112,slowRead
11,880,10,1680,52,80,352,90,52,168,628,242,905,315738,1312388,564142,74,315792,863241,359719,30597227,0,263311,1575680,642928,1728774,5803471,10167340,3257392,1,146,1,280,1,1,0,0,580,528,slowRead
14,943,9,1628,52,67,227,46,52,180,628,253,149,322248,1345513,579059,39,323406,897104,371581,29644157,0,179925,1608835,535852,1032286,3503103,8191288,2226908,1,104,1,180,1,1,0,0,768,476,slowRead
10,828,10,1680,52,82,352,94,52,168,628,242,907,264123,1320386,524103,121,263905,862276,347178,13725366,946,398068,1584742,791118,1727428,4044364,6919289,2640524,2,207,2,420,1,1,0,0,528,528,slowRead
14,1448,8,1576,52,103,396,124,52,197,628,266,99,181016,644008,272957,39,301557,687155,351189,30081785,0,101091,687197,231792,1009089,3646495,6951111,2235419,1,160,0,175,2,1,0,0,760,424,slowRead
14,935,10,1680,52,66,227,46,52,168,628,242,504,323635,1352343,582056,72,325064,895681,371300,30027823,0,180902,1614897,537765,1005085,3549962,7166582,2139605,1,103,1,186,1,1,0,0,760,528,slowRead
14,943,9,1628,52,67,227,46,52,180,628,253,175,313595,1304511,560896,21,314388,863802,358285,29600842,0,175105,1563819,520782,1019141,3503111,8191980,2233852,1,104,1,180,1,1,0,0,768,476,slowRead
12,807,11,1732,52,67,227,50,52,157,628,232,1300,399561,1295579,542746,331,399346,867794,386740,30612065,0,399565,2397369,978719,1724304,5642934,13821456,5004230,2,134,1,288,1,1,0,0,632,580,slowRead
14,935,10,1680,52,66,227,46,52,168,628,242,1010,321421,1336661,574490,38,322232,896670,369954,30145445,0,179791,1599150,532296,1029216,3565915,7175879,2163747,1,103,1,186,1,1,0,0,760,528,slowRead
16,2097,4,1368,52,131,227,87,52,342,628,330,1309,252810,864583,309540,587,587,587,0,29253319,0,197235,1726717,573728,1020053,3434774,8194007,2221976,1,233,0,152,7,1,0,0,872,216,slowRead
6,879,5,268,52,146,511,179,52,53,60,3,1319,1708,2098,550,3452,3452,3452,0,29726053,5,875,3475,1733,9047761,9907517,10485650,759186,1,219,1,67,4,0,0,0,320,268,slowRead
14,1060,10,1680,52,75,352,79,52,168,628,242,28,311930,1296169,557311,18,312709,864237,357778,30035934,0,174149,1555857,518154,1025180,3558573,6910958,2316847,1,117,1,186,1,1,0,0,760,528,slowRead
14,1448,8,1576,52,103,396,124,52,197,628,266,177,176615,623700,264199,71,293214,666283,340221,30116612,0,98412,666357,224994,1012197,3653862,6999750,2245273,1,160,0,175,2,1,0,0,760,424,slowRead
5,710,3,164,52,142,467,181,52,54,60,4,1222,1690,2158,661,3375,3375,3375,0,9566548,5,1142,3423,1974,1002068,4781560,8561052,5345008,1,236,1,54,2,0,0,0,276,164,slowRead
6,929,5,268,52,154,511,176,52,53,60,3,1600,1710,1820,155,3366,3366,3366,0,28881832,5,872,3473,1733,9050091,9626113,10192014,571028,1,232,1,67,4,0,0,0,320,268,slowRead
14,1060,10,1680,52,75,352,79,52,168,628,242,74,325515,1344199,576481,8811,326693,896140,367261,30014981,0,181816,1624657,541078,1003993,3547328,7167304,2395846,1,117,1,186,1,1,0,0,760,528,slowRead
11,2404,1,60,52,218,352,153,60,60,60,0,24,287216,864347,326001,0,0,0,0,10618469,0,344660,1723301,770683,1017164,2223792,4164784,1359400,2,480,0,12,6,0,0,0,604,60,slowRead
8,724,8,1576,52,90,352,105,52,197,628,266,1308,313591,1309499,563518,189,313329,862570,359538,10208841,704,523250,1565855,902922,1693530,4319545,6945560,3713746,2,241,2,525,1,1,0,0,424,424,slowRead
6,893,5,268,52,148,511,178,52,53,60,3,1432,1632,1832,282,3253,3253,3253,0,29637153,5,836,3319,1655,9049524,9877936,10394599,724705,1,223,1,67,4,0,0,0,320,268,slowRead
11,755,10,1680,52,68,227,52,52,168,628,242,1088,314930,1311962,564294,34,314970,862841,359690,30509084,0,262653,1571462,641184,1728847,5786632,10106165,3228382,1,125,1,280,1,1,0,0,580,528,slowRead
9,776,9,1628,52,86,352,99,52,180,628,253,1192,399646,1310682,546743,102,399147,862884,384393,7453608,1094,800820,2397878,1383093,1692768,2525574,3358380,1177765,3,258,3,542,1,1,0,0,476,476,slowRead
14,1112,9,1628,52,79,396,91,52,180,628,253,124,314613,1308821,562686,28,314734,864052,359146,29493902,0,175481,1567283,521940,1026360,3489320,8191102,2237988,1,123,1,180,1,1,0,0,768,476,slowRead
12,807,11,1732,52,67,227,50,52,157,628,232,1160,258559,1292940,513302,27,258366,864731,344956,30726876,0,258561,1551357,633337,1695487,5835101,13561627,4714726,2,134,1,288,1,1,0,0,632,580,slowRead
4,682,3,164,52,170,467,198,52,54,60,4,1492,1635,1779,202,3311,3311,3311,0,10439285,15,1694,3374,2375,10435896,10435896,10435896,0,2,341,1,82,2,0,0,0,216,164,slowRead
3,579,2,112,52,193,467,237,52,56,60,5,673,1540,2408,1226,3046,3046,3046,0,3120,3120,3120,3120,0,0,0,0,0,3,579,2,112,1,0,0,0,164,112,slowRead
11,3908,1,60,52,355,467,191,60,60,60,0,951,287867,864086,326085,0,0,0,0,14903707,0,345441,1727207,772430,1016034,3294125,6912265,2639509,2,781,0,12,8,0,0,0,588,60,slowRead
6,840,5,268,52,140,511,182,52,53,60,3,1542,1662,1782,169,3275,3275,3275,0,29975218,6,852,3382,1686,9042337,9990602,10741864,866721,1,210,1,67,4,0,0,0,320,268,slowRead
14,1060,10,1680,52,75,352,79,52,168,628,242,52,321089,1339997,576763,71,323033,896321,370110,30044744,0,179631,1603310,533897,1001978,3553507,7166819,2142916,1,117,1,186,1,1,0,0,760,528,slowRead
12,932,11,1732,52,77,352,86,52,157,628,232,1091,264141,1319348,523610,11,263954,863081,347228,30886036,0,264144,1584851,647011,1729355,5860234,13814110,4832782,2,155,1,288,1,1,0,0,632,580,slowRead
11,924,10,1680,52,84,396,103,52,168,628,242,1315,313351,1304347,560963,68,313335,863612,359303,30441370,0,261329,1563655,638009,1728135,5774678,10062333,3221003,1,154,1,280,1,1,0,0,580,528,slowRead
11,880,10,1680,52,80,352,90,52,168,628,242,1164,314227,1308407,562816,75,314359,863687,359535,30594223,0,262160,1568138,639798,1728367,5804252,10167382,3257703,1,146,1,280,1,1,0,0,580,528,slowRead
9,776,9,1628,52,86,352,99,52,180,628,253,1205,393399,1303250,538635,73,393278,867500,377224,7670638,1144,787960,2360394,1361767,1723887,2653378,3582869,1314498,3,258,3,542,1,1,0,0,476,476,slowRead
14,1112,9,1628,52,79,396,91,52,180,628,253,1003,323672,1352009,581834,392,325148,893743,370512,29435132,0,180803,1614748,537744,1031508,3475987,8191138,2401392,1,123,1,180,1,1,0,0,768,476,slowRead
6,876,5,268,52,146,511,179,52,53,60,3,1429,1647,1865,308,3291,3291,3291,0,29508989,6,845,3356,1673,9050056,9835202,10264751,680961,1,219,1,67,4,0,0,0,320,268,slowRead
12,976,11,1732,52,81,396,99,52,157,628,232,1287,410645,1312555,558029,13,410431,892568,399660,30606355,0,410646,2463870,1005870,1695090,5628495,13564125,4868241,2,162,1,288,1,1,0,0,632,580,slowRead
4,667,3,164,52,166,467,200,52,54,60,4,1432,1539,1646,151,3081,3081,3081,0,9705298,14,1566,3119,2195,9702165,9702165,9702165,0,2,333,1,82,2,0,0,0,216,164,slowRead
14,935,10,1680,52,66,227,46,52,168,628,242,77,319787,1332575,573254,38,320746,896015,370222,29859624,0,178557,1595589,531400,1026191,3531575,7168244,2392846,1,103,1,186,1,1,0,0,760,528,slowRead
11,755,10,1680,52,68,227,52,52,168,628,242,1347,315516,1315949,566195,31,315516,863287,360293,30415098,0,263152,1574481,642419,1728829,5767236,10105251,3245105,1,125,1,280,1,1,0,0,580,528,slowRead
6,864,5,268,52,144,511,180,52,53,60,3,1375,1445,1516,99,2899,2899,2899,0,29708591,5,741,2936,1463,9047995,9901875,10468298,752521,1,216,1,67,4,0,0,0,320,268,slowRead
11,924,10,1680,52,84,396,103,52,168,628,242,1478,315538,1316290,566365,38,315514,864012,360564,30382595,0,263173,1574580,642457,1727828,5760711,10060693,3231789,1,154,1,280,1,1,0,0,580,528,slowRead
9,776,9,1628,52,86,352,99,52,180,628,253,1253,400161,1310741,547142,109,399711,863532,385062,7456639,1061,801731,2400969,1384980,1692379,2525722,3359066,1178525,3,258,3,542,1,1,0,0,476,476,slowRead
9,800,5,1420,52,88,352,98,52,284,628,314,3,68192,220764,103125,189,91260,262016,147988,13494263,11595,54978,263299,116562,1018195,3304842,6086022,2255024,1,160,1,284,1,1,0,0,500,268,slowRead
6,889,5,268,52,148,511,178,52,53,60,3,1211,1742,2273,750,3504,3504,3504,0,27831328,5,887,3533,1763,8583717,9275926,10192315,827399,1,222,1,67,4,0,0,0,320,268,slowRead
3,579,2,112,52,193,467,237,52,56,60,5,1456,1713,1971,364,3420,3420,3420,0,3490,3490,3490,3490,0,0,0,0,0,3,579,2,112,1,0,0,0,164,112,slowRead
15,3220,4,1368,52,214,396,175,52,342,628,330,190,243945,832520,298331,31,31,31,0,29839152,0,214088,1664282,586157,1021280,4018063,9922504,3106001,1,402,0,171,7,1,0,0,812,216,slowRead
3,579,2,112,52,193,467,237,52,56,60,5,1448,1633,1818,261,3299,3299,3299,0,3364,3364,3364,3364,0,0,0,0,0,3,579,2,112,1,0,0,0,164,112,slowRead
