% isAttack normal:	2000
% isAttack attack:	2000
@relation 'UnformattedKDDTrain+-weka.filters.unsupervised.attribute.Remove-R3,7,10,11,12,13,14,15,16,17,18,19,20,21,22,43-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-Nnormal:normal, tcpFlood:attack, udpFlood:attack, httpFlood:attack, slowBody:attack, slowHeaders:attack, slowRead:attack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R3,8,18,27'

@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute count numeric
@attribute dst_host_srv_count numeric
@attribute isAttack {normal,attack}

@data
SF,2,255,normal
SF,3,255,normal
SF,8,255,normal
SF,14,255,normal
SF,8,255,normal
SF,5,255,normal
SF,5,236,normal
SF,16,255,normal
SF,19,255,normal
SF,21,255,normal
SF,1,255,normal
SF,20,255,normal
SF,2,255,normal
SF,11,255,normal
SF,14,255,normal
REJ,1,255,normal
SF,4,255,normal
REJ,1,14,normal
SF,22,255,normal
SF,6,255,normal
SF,4,255,normal
SF,21,255,normal
SF,15,255,normal
SF,2,255,normal
SF,3,255,normal
SF,1,255,normal
SF,14,255,normal
SF,5,255,normal
SF,1,255,normal
SF,5,255,normal
SF,1,255,normal
SF,7,249,normal
REJ,1,133,normal
SF,1,255,normal
SF,5,255,normal
SF,1,236,normal
SF,3,255,normal
SF,26,255,normal
SF,18,255,normal
SF,1,255,normal
SF,4,255,normal
SF,6,255,normal
SF,12,255,normal
SF,1,255,normal
SF,4,255,normal
SF,3,255,normal
SF,13,255,normal
SF,14,255,normal
SF,6,255,normal
SF,35,255,normal
SF,19,255,normal
SF,15,255,normal
SF,4,153,normal
SF,22,255,normal
SF,5,255,normal
SF,4,255,normal
SF,1,255,normal
SF,6,255,normal
SF,10,255,normal
SF,5,255,normal
SF,15,255,normal
SF,6,255,normal
SF,11,255,normal
SF,23,255,normal
SF,1,255,normal
SF,8,255,normal
SF,4,255,normal
SF,7,255,normal
SF,27,255,normal
SF,11,255,normal
SF,1,240,normal
SF,2,255,normal
SF,32,255,normal
SF,17,255,normal
SF,45,255,normal
SF,24,255,normal
SF,6,176,normal
REJ,1,223,normal
SF,12,255,normal
SF,8,255,normal
SF,16,255,normal
SF,11,255,normal
SF,7,255,normal
SF,6,215,normal
SF,4,255,normal
SF,9,255,normal
SF,2,255,normal
SF,2,255,normal
SF,14,255,normal
SF,18,255,normal
SF,2,1,normal
REJ,1,255,normal
SF,2,255,normal
S1,1,255,normal
SF,3,255,normal
SF,12,255,normal
SF,42,255,normal
SF,12,255,normal
REJ,1,255,normal
SF,10,255,normal
S0,1,255,normal
SF,2,255,normal
SF,13,255,normal
SF,1,215,normal
SF,20,255,normal
SF,10,255,normal
SF,9,255,normal
SF,5,246,normal
SF,5,255,normal
SF,4,255,normal
REJ,1,255,normal
SF,22,255,normal
SF,8,255,normal
SF,7,255,normal
SF,1,221,normal
SF,6,255,normal
SF,20,255,normal
SF,14,255,normal
SF,4,227,normal
SF,21,255,normal
SF,25,255,normal
SF,26,255,normal
SF,8,13,normal
SF,9,118,normal
SF,33,255,normal
SF,14,255,normal
REJ,1,255,normal
SF,1,255,normal
SF,6,255,normal
SF,1,255,normal
SF,4,255,normal
SF,1,255,normal
SF,3,230,normal
SF,17,255,normal
SF,16,255,normal
SF,5,234,normal
SF,3,167,normal
SF,2,255,normal
SF,6,255,normal
SF,13,255,normal
SF,37,255,normal
SF,8,255,normal
SF,19,139,normal
SF,6,255,normal
SF,16,255,normal
SF,4,255,normal
SF,14,255,normal
SF,15,255,normal
S1,5,255,normal
SF,12,255,normal
SF,10,255,normal
SF,1,248,normal
SF,2,255,normal
SF,3,255,normal
SF,18,255,normal
SF,3,255,normal
SF,1,255,normal
SF,34,255,normal
SF,1,255,normal
SF,15,255,normal
SF,5,255,normal
SF,14,255,normal
SF,2,255,normal
SF,3,255,normal
SF,1,255,normal
SF,3,255,normal
SF,10,255,normal
SF,13,255,normal
SF,26,255,normal
SF,3,255,normal
SF,36,255,normal
SF,1,255,normal
SF,11,255,normal
SF,3,255,normal
SF,12,255,normal
S1,1,255,normal
SF,7,255,normal
SF,1,255,normal
SF,17,255,normal
SF,20,255,normal
SF,4,255,normal
SF,4,255,normal
S1,1,255,normal
SF,1,255,normal
SF,11,255,normal
SF,1,255,normal
SF,5,255,normal
REJ,1,249,normal
SF,9,255,normal
SF,5,255,normal
SF,12,255,normal
SF,8,255,normal
SF,4,255,normal
SF,43,255,normal
SF,1,255,normal
SF,35,255,normal
SF,1,255,normal
SF,5,255,normal
SF,5,255,normal
SF,9,255,normal
SF,7,255,normal
SF,6,255,normal
SF,34,255,normal
SF,6,255,normal
SF,2,255,normal
SF,17,255,normal
SF,4,255,normal
SF,15,255,normal
SF,20,52,normal
SF,34,255,normal
SF,1,255,normal
SF,23,255,normal
SF,4,255,normal
REJ,1,32,normal
SF,13,255,normal
SF,25,255,normal
SF,1,255,normal
SF,10,255,normal
SF,5,255,normal
SF,8,255,normal
SF,2,255,normal
SF,1,255,normal
SF,1,255,normal
SF,13,255,normal
SF,4,255,normal
SF,2,255,normal
SF,14,255,normal
SF,10,219,normal
SF,3,255,normal
SF,10,255,normal
SF,13,255,normal
SF,6,113,normal
SF,17,255,normal
SF,14,255,normal
SF,1,255,normal
REJ,1,253,normal
SF,18,255,normal
SF,2,255,normal
SF,4,255,normal
SF,1,255,normal
SF,14,255,normal
REJ,1,254,normal
SF,10,255,normal
SF,17,255,normal
SF,3,138,normal
SF,7,255,normal
SF,8,255,normal
SF,12,255,normal
SF,19,255,normal
REJ,1,47,normal
SF,5,255,normal
SF,6,255,normal
SF,4,255,normal
SF,6,255,normal
SF,7,255,normal
SF,2,255,normal
SF,22,255,normal
SF,19,255,normal
SF,40,255,normal
SF,4,255,normal
SF,4,231,normal
SF,10,255,normal
SF,2,255,normal
SF,5,255,normal
SF,11,255,normal
REJ,1,229,normal
SF,1,255,normal
SF,10,255,normal
SF,11,255,normal
SF,6,255,normal
SF,1,255,normal
SF,3,255,normal
SF,1,249,normal
SF,11,249,normal
REJ,1,122,normal
SF,6,255,normal
SF,17,255,normal
SF,16,255,normal
SF,19,255,normal
SF,21,255,normal
REJ,1,255,normal
SF,7,255,normal
SF,12,157,normal
SF,5,255,normal
SF,59,255,normal
SF,3,255,normal
SF,10,255,normal
SF,12,241,normal
SF,12,255,normal
SF,1,198,normal
SF,7,231,normal
SF,7,255,normal
SF,14,255,normal
REJ,1,251,normal
SF,37,255,normal
SF,1,255,normal
SF,29,255,normal
SF,1,255,normal
SF,1,255,normal
SF,24,255,normal
SF,14,255,normal
SF,6,240,normal
SF,13,255,normal
SF,4,255,normal
REJ,1,255,normal
SF,1,2,normal
REJ,1,114,normal
SF,19,255,normal
SF,3,255,normal
REJ,1,250,normal
SF,3,255,normal
SF,6,252,normal
SF,3,255,normal
SF,3,255,normal
SF,5,255,normal
SF,12,255,normal
SF,1,255,normal
SF,1,255,normal
SF,2,255,normal
SF,13,255,normal
SF,1,255,normal
SF,30,255,normal
SF,9,255,normal
SF,12,255,normal
SF,20,255,normal
SF,6,255,normal
SF,8,255,normal
SF,2,255,normal
SF,1,255,normal
SF,2,255,normal
SF,1,255,normal
SF,5,255,normal
SF,4,255,normal
SF,8,255,normal
SF,8,255,normal
SF,4,45,normal
SF,43,255,normal
SF,1,57,normal
SF,1,255,normal
SF,33,255,normal
SF,2,255,normal
SF,9,255,normal
SF,22,255,normal
SF,12,255,normal
SF,2,255,normal
SF,8,255,normal
SF,7,255,normal
SF,8,255,normal
SF,18,255,normal
SF,1,255,normal
SF,14,255,normal
SF,21,255,normal
SF,10,255,normal
SF,1,255,normal
SF,3,255,normal
SF,13,255,normal
SF,3,255,normal
SF,4,255,normal
SF,1,255,normal
SF,10,255,normal
REJ,1,255,normal
SF,5,254,normal
SF,5,255,normal
SF,4,228,normal
SF,16,255,normal
SF,9,236,normal
SF,25,255,normal
SF,1,255,normal
SF,14,255,normal
SF,2,255,normal
SF,2,255,normal
SF,1,255,normal
SF,2,255,normal
SF,2,255,normal
SF,15,255,normal
SF,5,255,normal
SF,4,255,normal
REJ,1,87,normal
SF,7,245,normal
SF,10,255,normal
SF,43,255,normal
SF,6,255,normal
SF,45,253,normal
SF,1,210,normal
SF,5,255,normal
SF,1,192,normal
SF,1,255,normal
SF,3,255,normal
SF,4,255,normal
SF,14,255,normal
SF,7,255,normal
S2,1,255,normal
SF,2,255,normal
SF,1,255,normal
SF,5,255,normal
SF,30,255,normal
SF,13,255,normal
SF,5,255,normal
SF,5,255,normal
SF,4,255,normal
SF,28,255,normal
SF,1,255,normal
SF,3,255,normal
SF,3,255,normal
REJ,1,229,normal
SF,2,255,normal
SF,1,255,normal
SF,3,255,normal
SF,7,255,normal
SF,14,255,normal
SF,4,255,normal
SF,6,255,normal
S1,1,255,normal
SF,12,255,normal
SF,4,255,normal
SF,1,253,normal
SF,8,255,normal
SF,3,255,normal
SF,17,255,normal
SF,12,255,normal
SF,12,255,normal
SF,4,255,normal
SF,7,255,normal
SF,3,255,normal
SF,31,255,normal
SF,4,154,normal
SF,11,255,normal
SF,4,255,normal
SF,18,254,normal
SF,2,255,normal
SF,4,252,normal
SF,7,255,normal
SF,14,255,normal
SF,8,255,normal
SF,41,255,normal
SF,14,255,normal
SF,12,255,normal
SF,20,255,normal
SF,2,255,normal
SF,1,255,normal
SF,2,41,normal
SF,10,255,normal
SF,2,255,normal
SF,3,255,normal
SF,5,255,normal
SF,5,255,normal
SF,6,255,normal
SF,13,255,normal
REJ,1,255,normal
SF,34,255,normal
SF,8,255,normal
REJ,1,255,normal
SF,39,255,normal
SF,7,247,normal
SF,12,255,normal
SF,4,247,normal
SF,2,242,normal
SF,5,255,normal
SF,1,255,normal
SF,2,255,normal
SF,12,255,normal
SF,4,255,normal
SF,1,255,normal
S2,1,255,normal
SF,5,255,normal
