% isAttack normal:	2000
% isAttack attack:	2000
@relation 'UnformattedKDDTrain+-weka.filters.unsupervised.attribute.Remove-R3,7,10,11,12,13,14,15,16,17,18,19,20,21,22,43-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-Nnormal:normal, tcpFlood:attack, udpFlood:attack, httpFlood:attack, slowBody:attack, slowHeaders:attack, slowRead:attack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R2-5,9,12,17,20,22,27'

@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute dst_bytes numeric
@attribute srv_count numeric
@attribute rerror_rate numeric
@attribute dst_host_count numeric
@attribute dst_host_diff_srv_rate numeric
@attribute dst_host_srv_diff_host_rate numeric
@attribute isAttack {normal,attack}

@data
tcp,SF,240,4017,2,0,46,0,0.02,normal
tcp,SF,234,11700,6,0,15,0,0.04,normal
tcp,SF,228,1183,8,0,8,0,0.02,normal
tcp,SF,226,2648,14,0,151,0,0.01,normal
tcp,SF,247,1137,8,0,255,0,0,normal
tcp,SF,299,7492,14,0,255,0,0,normal
tcp,SF,302,2239,7,0,255,0.01,0,normal
tcp,SF,238,504,16,0,56,0,0.02,normal
tcp,SF,205,365,20,0,255,0,0,normal
tcp,SF,303,4899,21,0,255,0,0,normal
tcp,SF,221,11620,7,0,6,0,0.04,normal
tcp,SF,308,2280,28,0,255,0,0,normal
tcp,SF,358,2116,8,0,60,0,0.04,normal
tcp,SF,324,3373,11,0,23,0,0.07,normal
tcp,SF,249,8163,16,0,128,0,0.04,normal
tcp,REJ,0,0,1,1,17,0,0.06,normal
tcp,SF,242,370,4,0,255,0,0,normal
tcp,REJ,0,0,2,1,1,0,0.5,normal
tcp,SF,351,3518,22,0,101,0,0.02,normal
tcp,SF,246,692,6,0,6,0,0.06,normal
