% isAttack HIGH_RATE:	1260
% isAttack LOW_RATE:	1332
% isAttack NORMAL:	1333
@relation 'UnformattedKDDTrain+-weka.filters.unsupervised.attribute.Remove-R3,7,10,11,12,13,14,15,16,17,18,19,20,21,22,43-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-Nnormal:NORMAL, tcpFlood:HIGH_RATE, udpFlood:HIGH_RATE, httpFlood:HIGH_RATE, slowBody:LOW_RATE, slowHeaders:LOW_RATE, slowRead:LOW_RATE-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R3,12,17,20,27'

@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute rerror_rate numeric
@attribute dst_host_count numeric
@attribute dst_host_diff_srv_rate numeric
@attribute isAttack {HIGH_RATE,LOW_RATE,NORMAL}

@data
SF,0,2,0,NORMAL
SF,0,5,0,NORMAL
SF,0,150,0,NORMAL
SF,0,199,0,NORMAL
SF,0,255,0,NORMAL
SF,0,143,0,NORMAL
SF,0,255,0,NORMAL
SF,0,16,0,NORMAL
SF,0,3,0,NORMAL
SF,0,255,0,NORMAL
SF,0,185,0,NORMAL
SF,0,255,0,NORMAL
SF,0,255,0,NORMAL
REJ,1,2,0,NORMAL
SF,0,5,0,NORMAL
SF,0,214,0,NORMAL
SF,0,255,0,NORMAL
SF,0,3,0,NORMAL
SF,0,24,0,NORMAL
SF,0,255,0,NORMAL
SF,0,64,0,NORMAL
SF,0,25,0,NORMAL
SF,0,70,0,NORMAL
SF,0,164,0,NORMAL
SF,0,194,0,NORMAL
SF,0,47,0,NORMAL
SF,0,255,0.02,NORMAL
SF,0,16,0,NORMAL
SF,0,5,0,NORMAL
SF,0,255,0,NORMAL
SF,0,255,0,NORMAL
SF,0,255,0,NORMAL
SF,0,60,0,NORMAL
SF,0,255,0,NORMAL
SF,0,44,0,NORMAL
SF,0,2,0,NORMAL
REJ,1,3,0,NORMAL
SF,0,255,0,NORMAL
SF,0,28,0,NORMAL
SF,0,17,0,NORMAL
SF,0,132,0,NORMAL
SF,0,25,0,NORMAL
SF,0,177,0,NORMAL
SF,0,137,0,NORMAL
SF,0,193,0,NORMAL
SF,0,255,0,NORMAL
SF,0,255,0,NORMAL
SF,0,52,0,NORMAL
SF,0,32,0,NORMAL
SF,0,255,0,NORMAL
SF,0,10,0,NORMAL
SF,0,5,0,NORMAL
REJ,1,1,0,NORMAL
SF,0,255,0,NORMAL
SF,0,255,0,NORMAL
SF,0,101,0,NORMAL
SF,0,255,0.02,NORMAL
SF,0,31,0,NORMAL
SF,0,182,0,NORMAL
SF,0,73,0,NORMAL
SF,0,255,0,NORMAL
SF,0,8,0,NORMAL
SF,0,36,0,NORMAL
SF,0,161,0,NORMAL
SF,0,255,0,NORMAL
SF,0,95,0,NORMAL
SF,0,141,0,NORMAL
SF,0,255,0,NORMAL
SF,0,255,0,NORMAL
S1,0,2,0,NORMAL
SF,0,56,0,NORMAL
SF,0,190,0,NORMAL
SF,0,27,0,NORMAL
SF,0,255,0,NORMAL
SF,0,142,0,NORMAL
SF,0,81,0,NORMAL
SF,0,12,0,NORMAL
SF,0,252,0,NORMAL
SF,0,49,0,NORMAL
SF,0,183,0,NORMAL
REJ,1,33,0,NORMAL
SF,0,255,0,NORMAL
SF,0.08,23,0,NORMAL
SF,0,117,0,NORMAL
SF,0,5,0,NORMAL
REJ,1,6,0,NORMAL
SF,0,14,0,NORMAL
SF,0,69,0,NORMAL
SF,0,7,0,NORMAL
SF,0,255,0,NORMAL
SF,0,255,0,NORMAL
SF,0,255,0,NORMAL
SF,0,34,0,NORMAL
SF,0,255,0,NORMAL
SF,0,255,0,NORMAL
SF,0,25,0,NORMAL
SF,0,147,0,NORMAL
SF,0,22,0,NORMAL
SF,0,255,0,NORMAL
SF,0,255,0,NORMAL
SF,0,255,0,NORMAL
SF,0,255,0,NORMAL
SF,0,202,0,NORMAL
SF,0,255,0,NORMAL
SF,0,255,0,NORMAL
SF,0,17,0,NORMAL
REJ,1,2,0,NORMAL
SF,0,255,0,NORMAL
SF,0,255,0,NORMAL
SF,0,74,0,NORMAL
SF,0,2,0,NORMAL
SF,0,17,0,NORMAL
SF,0,38,0,NORMAL
SF,0,167,0,NORMAL
SF,0,255,0,NORMAL
SF,0,209,0,NORMAL
SF,0,198,0,NORMAL
REJ,1,9,0,NORMAL
SF,0,54,0,NORMAL
SF,0,255,0,NORMAL
SF,0,10,0,NORMAL
SF,0,255,0,NORMAL
SF,0,34,0,NORMAL
SF,0,255,0,NORMAL
SF,0,255,0,NORMAL
SF,0,255,0,NORMAL
SF,0,255,0,NORMAL
SF,0,5,0,NORMAL
SF,0,255,0,NORMAL
SF,0,64,0,NORMAL
SF,0,1,0,NORMAL
SF,0,27,0,NORMAL
SF,0,17,0,NORMAL
REJ,1,9,0,NORMAL
SF,0,32,0,NORMAL
SF,0,47,0,NORMAL
SF,0,80,0,NORMAL
SF,0,12,0,NORMAL
SF,0,255,0,NORMAL
SF,0,28,0,NORMAL
SF,0,255,0,NORMAL
SF,0,255,0,NORMAL
SF,0,58,0,NORMAL
SF,0,255,0.01,NORMAL
SF,0,169,0,NORMAL
SF,0,37,0,NORMAL
SF,0,56,0,NORMAL
SF,0,32,0,NORMAL
SF,0,255,0,NORMAL
SF,0,255,0.01,NORMAL
SF,0,27,0,NORMAL
SF,0,255,0,NORMAL
SF,0,49,0,NORMAL
SF,0,138,0,NORMAL
SF,0,58,0,NORMAL
SF,0,45,0,NORMAL
SF,0,255,0,NORMAL
SF,0,39,0,NORMAL
SF,0,11,0,NORMAL
SF,0,255,0.01,NORMAL
SF,0,32,0,NORMAL
SF,0,56,0,NORMAL
SF,0,123,0,NORMAL
SF,0,225,0,NORMAL
SF,0,34,0,NORMAL
SF,0,34,0,NORMAL
SF,0,255,0,NORMAL
SF,0,255,0,NORMAL
SF,0,3,0,NORMAL
SF,0,136,0,NORMAL
SF,0,160,0,NORMAL
SF,0,94,0,NORMAL
SF,0,15,0,NORMAL
SF,0,12,0,NORMAL
S0,0,13,0,NORMAL
SF,0,255,0,NORMAL
SF,0,255,0,NORMAL
SF,0,133,0,NORMAL
SF,0,255,0,NORMAL
SF,0,117,0,NORMAL
SF,0,1,0,NORMAL
SF,0,255,0,NORMAL
SF,0,255,0,NORMAL
SF,0,70,0,NORMAL
SF,0,255,0,NORMAL
SF,0,21,0,NORMAL
SF,0,166,0,NORMAL
SF,0,112,0,NORMAL
SF,0,3,0,NORMAL
SF,0,118,0,NORMAL
SF,0,41,0,NORMAL
SF,0,7,0,NORMAL
SF,0,255,0,NORMAL
SF,0,128,0,NORMAL
SF,0,255,0,NORMAL
SF,0,239,0,NORMAL
SF,0,10,0,NORMAL
SF,0,2,0,NORMAL
SF,0,255,0,NORMAL
SF,0,255,0,NORMAL
SF,0,170,0,NORMAL
SF,0,255,0,NORMAL
