% isAttack normal:	2000
% isAttack attack:	2000
@relation 'UnformattedKDDTrain+-weka.filters.unsupervised.attribute.Remove-R3,7,10,11,12,13,14,15,16,17,18,19,20,21,22,43-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-Nnormal:normal, tcpFlood:attack, udpFlood:attack, httpFlood:attack, slowBody:attack, slowHeaders:attack, slowRead:attack, normal:normal-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R2-3,8,11,15-16,18,22,27'

@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute count numeric
@attribute srv_serror_rate numeric
@attribute diff_srv_rate numeric
@attribute srv_diff_host_rate numeric
@attribute dst_host_srv_count numeric
@attribute dst_host_srv_diff_host_rate numeric
@attribute isAttack {normal,attack}

@data
tcp,SF,1,0,0,0.15,255,0.04,normal
tcp,SF,8,0,0,0,255,0.01,normal
tcp,SF,3,0,0,0.27,255,0.02,normal
tcp,SF,1,0,0,1,119,0.02,normal
tcp,SF,11,0,0,0.17,255,0.02,normal
tcp,SF,3,0,0,0,255,0.01,normal
tcp,SF,17,0,0,0,255,0.02,normal
tcp,SF,9,0,0,0,255,0,normal
tcp,SF,2,0,0,0,255,0.01,normal
tcp,SF,9,0,0,0,214,0,normal
tcp,SF,8,0,0,0,255,0.06,normal
tcp,SF,4,0,0,0,255,0.01,normal
tcp,SF,2,0,0,0.5,255,0,normal
tcp,SF,2,0,0,0.67,255,0.04,normal
tcp,SF,4,0,0,0,255,0.01,normal
tcp,SF,15,0.07,0,0,255,0,normal
tcp,SF,11,0,0,0.17,255,0.02,normal
tcp,SF,14,0,0,0,255,0,normal
tcp,SF,2,0,0,0,255,0,normal
tcp,SF,9,0,0,0.07,255,0.06,normal
tcp,SF,4,0,0,0.4,80,0,normal
tcp,SF,19,0,0,0,255,0,normal
tcp,SF,1,0,0,0.17,247,0.04,normal
tcp,SF,1,0,0,0.6,255,0.03,normal
tcp,SF,1,0,0,1,255,0,normal
tcp,SF,3,0,0,0.38,255,0.06,normal
tcp,SF,5,0,0,0,255,0,normal
tcp,SF,1,0,0,0,255,0.04,normal
tcp,SF,18,0,0,0.12,255,0.02,normal
