% isAttack HIGH_RATE:	1260
% isAttack LOW_RATE:	1332
% isAttack NORMAL:	1333
@relation 'UnformattedKDDTrain+-weka.filters.unsupervised.attribute.Remove-R3,7,10,11,12,13,14,15,16,17,18,19,20,21,22,43-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-Nnormal:NORMAL, tcpFlood:HIGH_RATE, udpFlood:HIGH_RATE, httpFlood:HIGH_RATE, slowBody:LOW_RATE, slowHeaders:LOW_RATE, slowRead:LOW_RATE, normal:NORMAL-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R2-4,8,14,16,18,21,27'

@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute count numeric
@attribute same_srv_rate numeric
@attribute srv_diff_host_rate numeric
@attribute dst_host_srv_count numeric
@attribute dst_host_same_src_port_rate numeric
@attribute isAttack {HIGH_RATE,LOW_RATE,NORMAL}

@data
tcp,SF,219,17,1,0.16,255,0,NORMAL
tcp,SF,264,1,1,0,241,0,NORMAL
tcp,SF,222,7,1,0,255,0.01,NORMAL
tcp,SF,233,16,1,0,255,0,NORMAL
tcp,SF,257,6,1,0,255,0,NORMAL
tcp,SF,199,13,1,0.13,255,0.01,NORMAL
tcp,SF,332,7,1,0.18,255,0.14,NORMAL
tcp,SF,316,1,1,0,255,0,NORMAL
tcp,SF,244,9,1,0,255,0.01,NORMAL
tcp,SF,242,4,1,0.4,255,0.06,NORMAL
tcp,SF,343,19,1,0,255,0.01,NORMAL
tcp,SF,390,6,1,0.29,255,0.04,NORMAL
tcp,SF,225,22,1,0.12,255,0.02,NORMAL
tcp,SF,272,21,1,0.1,255,0,NORMAL
tcp,SF,192,13,1,0,239,0.08,NORMAL
tcp,SF,296,6,1,0,255,0.01,NORMAL
tcp,SF,238,8,1,0,255,0.07,NORMAL
tcp,SF,329,38,1,0.05,255,0,NORMAL
tcp,SF,219,4,1,0,255,0.01,NORMAL
tcp,SF,227,3,1,0,255,0.01,NORMAL
tcp,SF,194,14,1,0,255,0,NORMAL
tcp,SF,301,2,1,0.67,25,0.04,NORMAL
tcp,SF,303,6,1,0,246,0,NORMAL
tcp,SF,214,3,1,0,255,0.01,NORMAL
tcp,SF,228,1,1,0,255,0.06,NORMAL
tcp,SF,228,1,1,0,255,0,NORMAL
tcp,SF,247,4,1,0,255,0,NORMAL
tcp,SF,293,11,1,0,255,0.03,NORMAL
tcp,SF,229,19,1,0,255,0,NORMAL
tcp,SF,329,15,1,0,255,0,NORMAL
tcp,SF,226,10,1,0.18,255,0,NORMAL
tcp,SF,289,10,1,0,255,0,NORMAL
tcp,SF,220,4,1,0,83,0.03,NORMAL
tcp,REJ,0,1,1,0,249,0.06,NORMAL
tcp,S0,0,2,1,0,255,0.01,NORMAL
tcp,REJ,0,1,1,0,60,0.12,NORMAL
tcp,SF,209,5,1,0,255,0.2,NORMAL
tcp,SF,323,10,1,0,255,0.01,NORMAL
tcp,SF,215,3,1,0,255,0.02,NORMAL
tcp,REJ,0,1,1,0,195,0.06,NORMAL
tcp,SF,305,3,1,0,255,0.01,NORMAL
tcp,REJ,0,1,1,1,243,0.02,NORMAL
tcp,SF,214,4,1,0,255,0.01,NORMAL
tcp,SF,298,17,1,0,255,0.03,NORMAL
tcp,SF,300,2,1,0,180,0.01,NORMAL
tcp,SF,337,23,1,0.08,109,0.01,NORMAL
tcp,SF,308,7,1,0,237,0,NORMAL
tcp,SF,268,1,1,0.67,255,0.1,NORMAL
tcp,SF,213,1,1,0,209,0.05,NORMAL
tcp,SF,323,12,1,0.25,255,0.02,NORMAL
tcp,SF,307,8,1,0,255,0,NORMAL
tcp,SF,260,6,1,0,255,0,NORMAL
tcp,SF,237,1,1,0.09,255,0.02,NORMAL
tcp,SF,338,2,1,0,255,0.5,NORMAL
tcp,SF,171,1,1,0.19,255,0.04,NORMAL
tcp,SF,222,10,1,0.25,255,0,NORMAL
tcp,SF,256,1,1,0,255,0.03,NORMAL
tcp,SF,293,24,1,0.08,255,0.01,NORMAL
tcp,SF,302,3,1,0,225,0,NORMAL
tcp,SF,204,4,1,0,255,0.04,NORMAL
tcp,SF,238,1,1,0.38,255,0.01,NORMAL
tcp,SF,168,1,1,0,255,0.03,NORMAL
tcp,SF,323,2,1,0,139,0.01,NORMAL
tcp,SF,345,20,1,0,255,0.01,NORMAL
tcp,REJ,0,1,1,0,222,1,NORMAL
tcp,SF,197,2,1,0,255,0.5,NORMAL
tcp,REJ,0,1,1,0,255,0.17,NORMAL
tcp,SF,299,7,1,0,255,0.14,NORMAL
tcp,SF,243,5,1,0.33,255,0.06,NORMAL
tcp,SF,185,5,1,0,255,0.04,NORMAL
tcp,SF,401,4,1,0.5,255,0,NORMAL
tcp,SF,297,5,1,0.07,255,0,NORMAL
tcp,SF,216,38,1,0,255,0.01,NORMAL
tcp,SF,221,1,1,1,255,0.01,NORMAL
tcp,REJ,0,1,1,0,204,0.02,NORMAL
tcp,SF,143,1,1,0.15,255,1,NORMAL
tcp,SF,327,4,1,0,255,0.03,NORMAL
tcp,SF,239,11,1,0.15,255,0.01,NORMAL
tcp,SF,394,8,1,0,255,0,NORMAL
tcp,SF,302,2,1,0.4,255,0.08,NORMAL
tcp,SF,200,3,1,0.5,255,0.01,NORMAL
tcp,SF,237,21,1,0.11,255,0.01,NORMAL
tcp,SF,233,7,1,0,255,0,NORMAL
tcp,SF,337,6,1,0.2,255,0.1,NORMAL
tcp,SF,279,1,1,0.67,255,0.04,NORMAL
tcp,SF,223,8,1,0.3,255,0,NORMAL
tcp,REJ,0,1,1,0,255,0.01,NORMAL
tcp,SF,359,17,1,0.11,255,0,NORMAL
tcp,SF,242,2,1,0.67,255,0.01,NORMAL
tcp,SF,296,24,1,0,255,0,NORMAL
tcp,SF,272,12,1,0,255,0,NORMAL
tcp,SF,236,13,1,0,255,0,NORMAL
tcp,SF,283,7,1,0,255,0.01,NORMAL
tcp,SF,255,4,1,0.29,255,0.01,NORMAL
tcp,SF,298,6,1,0.2,255,0.01,NORMAL
tcp,SF,243,7,1,0,255,0.03,NORMAL
tcp,REJ,0,1,1,0,212,0.14,NORMAL
tcp,SF,251,6,1,0,255,0.17,NORMAL
tcp,SF,285,9,1,0,255,0.11,NORMAL
tcp,SF,251,10,1,0,255,0.1,NORMAL
tcp,SF,299,2,1,0,255,0.03,NORMAL
tcp,SF,311,20,1,0.08,255,0,NORMAL
tcp,SF,186,1,1,0,255,0.1,NORMAL
tcp,SF,295,11,1,0.15,255,0.04,NORMAL
tcp,SF,212,10,1,0,255,0,NORMAL
tcp,S1,170,4,1,0,255,0.02,NORMAL
tcp,SF,251,11,1,0,255,0.01,NORMAL
tcp,SF,201,14,1,0,255,0.01,NORMAL
tcp,SF,269,3,1,0,255,0.01,NORMAL
tcp,SF,246,1,1,0,255,0.03,NORMAL
tcp,SF,202,6,1,0.18,255,0,NORMAL
tcp,SF,269,20,1,0,255,0.02,NORMAL
tcp,REJ,0,1,1,0,255,0.25,NORMAL
tcp,SF,295,8,1,0,255,0.11,NORMAL
tcp,SF,352,9,1,0,255,0.05,NORMAL
tcp,SF,214,5,1,0.33,255,0.02,NORMAL
tcp,SF,239,29,1,0,255,0.03,NORMAL
tcp,SF,168,15,1,0,255,0,NORMAL
tcp,SF,228,16,1,0,255,0,NORMAL
tcp,SF,202,2,1,0,255,0.07,NORMAL
tcp,SF,215,7,1,0,255,0.03,NORMAL
tcp,SF,307,15,1,0,255,0.03,NORMAL
tcp,SF,198,19,1,0,255,0.01,NORMAL
tcp,SF,275,2,1,0.5,255,0.04,NORMAL
tcp,SF,277,4,1,0.4,255,0,NORMAL
tcp,SF,236,9,1,0,255,0,NORMAL
tcp,SF,250,1,1,0,255,0,NORMAL
tcp,SF,285,1,1,1,255,0.01,NORMAL
tcp,SF,320,10,1,0,255,0,NORMAL
tcp,SF,338,15,1,0,255,0,NORMAL
tcp,SF,264,10,1,0,255,0,NORMAL
tcp,SF,273,1,1,0,255,0,NORMAL
tcp,REJ,0,1,1,1,9,0.04,NORMAL
tcp,SF,212,9,1,0,255,0.11,NORMAL
tcp,SF,305,13,1,0.12,255,0.01,NORMAL
tcp,SF,252,10,1,0,255,0,NORMAL
tcp,SF,306,1,1,0,46,0.02,NORMAL
tcp,SF,237,11,1,0.24,255,0,NORMAL
tcp,SF,219,1,1,0.11,255,0.25,NORMAL
tcp,SF,375,3,1,0,255,0,NORMAL
tcp,SF,344,17,1,0,255,0,NORMAL
tcp,SF,229,8,1,0,255,0.01,NORMAL
tcp,SF,229,8,1,0,255,0,NORMAL
tcp,SF,346,7,1,0.25,255,0.06,NORMAL
tcp,SF,210,7,1,0,255,0.14,NORMAL
tcp,SF,306,1,1,0.29,243,0,NORMAL
tcp,SF,240,3,1,0,255,0,NORMAL
tcp,SF,216,12,1,0,255,0.02,NORMAL
tcp,SF,216,13,1,0,255,0.02,NORMAL
tcp,SF,293,10,1,0,255,0.02,NORMAL
tcp,SF,296,20,1,0,255,0,NORMAL
tcp,SF,309,13,1,0,255,0,NORMAL
tcp,SF,308,6,1,0.2,67,0.01,NORMAL
tcp,SF,330,9,1,0.2,255,0.01,NORMAL
tcp,SF,305,6,1,0.27,255,0.08,NORMAL
tcp,SF,303,4,1,0,247,0,NORMAL
tcp,SF,294,9,1,0,255,0.01,NORMAL
tcp,SF,226,3,1,0,255,0.01,NORMAL
tcp,SF,229,10,1,0.17,255,0,NORMAL
tcp,SF,300,4,1,0,255,0.01,NORMAL
tcp,SF,222,5,1,0,255,0.02,NORMAL
tcp,REJ,0,1,1,0,250,0.5,NORMAL
tcp,SF,243,14,1,0,255,0.01,NORMAL
tcp,SF,315,22,1,0.09,255,0,NORMAL
tcp,REJ,0,1,1,0,255,0.01,NORMAL
tcp,REJ,0,1,1,1,255,0.01,NORMAL
tcp,SF,240,16,1,0.12,255,0,NORMAL
tcp,SF,220,25,1,0.08,255,0,NORMAL
tcp,SF,361,18,1,0,255,0.01,NORMAL
tcp,REJ,0,1,1,0,11,1,NORMAL
tcp,SF,211,10,1,0.24,255,0.04,NORMAL
tcp,SF,351,7,1,0,255,0.03,NORMAL
tcp,SF,301,4,1,0.25,255,0.01,NORMAL
tcp,SF,331,4,1,0.5,255,0,NORMAL
tcp,SF,206,8,1,0,255,0.12,NORMAL
tcp,SF,233,17,1,0.11,255,0.01,NORMAL
tcp,SF,184,1,1,0,249,0,NORMAL
tcp,SF,310,2,1,0.18,255,0,NORMAL
tcp,SF,303,5,1,0,255,0.01,NORMAL
tcp,SF,326,4,1,0,255,0,NORMAL
tcp,SF,208,1,1,1,255,0.03,NORMAL
tcp,SF,287,9,1,0.13,255,0.02,NORMAL
tcp,SF,216,2,1,0,255,0,NORMAL
tcp,SF,327,22,1,0,255,0,NORMAL
tcp,SF,230,37,1,0,255,0,NORMAL
tcp,SF,248,3,1,0.17,255,0,NORMAL
tcp,REJ,0,1,1,0,250,0.02,NORMAL
tcp,SF,309,3,1,0.22,255,0.01,NORMAL
tcp,SF,214,4,1,0.4,255,0.02,NORMAL
tcp,SF,218,4,1,0,255,0.02,NORMAL
tcp,SF,211,2,1,0.67,255,0.01,NORMAL
tcp,SF,156,5,1,0,255,0,NORMAL
tcp,SF,264,1,1,0.75,255,1,NORMAL
tcp,SF,315,1,1,0,255,0.02,NORMAL
tcp,SF,216,14,1,0.21,255,0.07,NORMAL
tcp,SF,293,3,1,0,255,0.01,NORMAL
tcp,SF,220,9,1,0.16,255,0.11,NORMAL
tcp,SF,344,1,1,0,255,1,NORMAL
tcp,SF,224,16,1,0,255,0,NORMAL
tcp,SF,163,1,1,0.4,255,0,NORMAL
tcp,SF,331,13,1,0.06,255,0.02,NORMAL
tcp,SF,213,10,1,0,255,0,NORMAL
tcp,SF,197,3,1,0,255,0.33,NORMAL
tcp,SF,299,7,1,0,250,0,NORMAL
tcp,SF,228,1,1,0,255,0,NORMAL
tcp,SF,229,6,1,0,255,0,NORMAL
tcp,REJ,0,1,1,0,255,0.14,NORMAL
tcp,SF,309,5,1,0.33,255,0,NORMAL
tcp,SF,249,29,1,0.14,255,0,NORMAL
tcp,SF,317,19,1,0.06,255,0,NORMAL
tcp,SF,230,10,1,0,255,0.02,NORMAL
tcp,SF,326,8,1,0,255,0.12,NORMAL
tcp,SF,293,13,1,0,204,0.08,NORMAL
tcp,SF,350,12,1,0.12,255,0,NORMAL
tcp,SF,229,3,1,0,255,0.03,NORMAL
tcp,SF,314,18,1,0.15,255,0,NORMAL
tcp,SF,303,16,1,0,255,0,NORMAL
tcp,SF,224,7,1,0.2,255,0,NORMAL
tcp,SF,244,1,1,0.18,255,0.14,NORMAL
tcp,REJ,0,1,1,1,255,1,NORMAL
tcp,SF,328,6,1,0.3,255,0,NORMAL
tcp,SF,219,51,1,0,255,0.02,NORMAL
tcp,SF,304,9,1,0,255,0,NORMAL
tcp,SF,386,12,1,0,255,0,NORMAL
tcp,SF,327,5,1,0.33,255,0,NORMAL
tcp,SF,209,1,1,1,255,0.03,NORMAL
tcp,SF,236,1,1,0,255,1,NORMAL
tcp,SF,290,34,1,0,255,0.03,NORMAL
