% isAttack normal:	3000
% isAttack attack:	3000
@relation 'UnformattedKDDTrain+-weka.filters.unsupervised.attribute.Remove-R3,7,10,11,12,13,14,15,16,17,18,19,20,21,22,43-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-Nnormal:normal, tcpFlood:attack, udpFlood:attack, httpFlood:attack, slowBody:attack, slowHeaders:attack, slowRead:attack, normal:normal'

@attribute duration numeric
@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute dst_bytes numeric
@attribute wrong_fragment numeric
@attribute urgent numeric
@attribute count numeric
@attribute srv_count numeric
@attribute serror_rate numeric
@attribute srv_serror_rate numeric
@attribute rerror_rate numeric
@attribute srv_rerror_rate numeric
@attribute same_srv_rate numeric
@attribute diff_srv_rate numeric
@attribute srv_diff_host_rate numeric
@attribute dst_host_count numeric
@attribute dst_host_srv_count numeric
@attribute dst_host_same_srv_rate numeric
@attribute dst_host_diff_srv_rate numeric
@attribute dst_host_same_src_port_rate numeric
@attribute dst_host_srv_diff_host_rate numeric
@attribute dst_host_serror_rate numeric
@attribute dst_host_srv_serror_rate numeric
@attribute dst_host_rerror_rate numeric
@attribute dst_host_srv_rerror_rate numeric
@attribute isAttack {normal,attack}

@data
0,tcp,SF,415,235,0,0,1,13,0,0,0,0,1,0,0.15,14,255,1,0,0.07,0.04,0,0,0,0,normal
0,tcp,SF,246,392,0,0,8,8,0,0,0,0,1,0,0,27,255,1,0,0.04,0.01,0,0,0,0,normal
0,tcp,SF,211,43148,0,0,3,11,0,0,0,0,1,0,0.27,180,255,1,0,0.01,0.02,0.01,0,0,0,normal
0,tcp,SF,296,1425,0,0,1,4,0,0,0,0,1,0,1,115,119,1,0,0.01,0.02,0,0,0,0,normal
0,tcp,SF,288,294,0,0,11,12,0,0,0,0,1,0,0.17,144,255,1,0,0.01,0.02,0,0,0,0,normal
0,tcp,SF,233,13614,0,0,3,3,0,0,0,0,1,0,0,10,255,1,0,0.1,0.01,0,0,0,0,normal
0,tcp,SF,256,3123,0,0,17,17,0,0,0,0,1,0,0,110,255,1,0,0.01,0.02,0,0,0,0,normal
0,tcp,SF,204,8064,0,0,9,9,0,0,0,0,1,0,0,255,255,1,0,0,0,0,0,0,0,normal
0,tcp,SF,188,5556,0,0,2,2,0,0,0,0,1,0,0,228,255,1,0,0,0.01,0,0,0,0,normal
0,tcp,SF,171,4145,0,0,9,9,0,0,0,0,1,0,0,214,214,1,0,0,0,0,0,0,0,normal
0,tcp,SF,313,927,0,0,8,8,0,0,0,0,1,0,0,8,255,1,0,0.12,0.06,0,0,0,0,normal
0,tcp,SF,297,1645,0,0,4,4,0,0,0,0,1,0,0,15,255,1,0,0.07,0.01,0,0,0.47,0.03,normal
0,tcp,SF,232,310,0,0,2,4,0,0,0,0,1,0,0.5,255,255,1,0,0,0,0,0,0,0,normal
0,tcp,SF,222,1159,0,0,2,3,0,0,0,0,1,0,0.67,6,255,1,0,0.17,0.04,0,0,0,0,normal
0,tcp,SF,240,369,0,0,4,4,0,0,0,0,1,0,0,4,255,1,0,0.25,0.01,0,0,0,0,normal
0,tcp,SF,328,321,0,0,15,15,0.07,0.07,0,0,1,0,0,255,255,1,0,0,0,0,0,0,0,normal
0,tcp,SF,219,1579,0,0,11,12,0,0,0,0,1,0,0.17,60,255,1,0,0.02,0.02,0,0,0,0,normal
0,tcp,SF,240,6445,0,0,14,14,0,0,0,0,1,0,0,255,255,1,0,0,0,0,0,0,0,normal
0,tcp,SF,235,405,0,0,2,2,0,0,0,0,1,0,0,255,255,1,0,0,0,0.01,0.01,0,0,normal
0,tcp,SF,335,630,0,0,9,28,0,0,0,0,1,0,0.07,9,255,1,0,0.11,0.06,0,0,0,0,normal
0,tcp,SF,299,1075,0,0,4,5,0,0,0,0.2,1,0,0.4,81,80,0.99,0.02,0.01,0,0,0,0,0,normal
0,tcp,SF,201,2491,0,0,19,19,0,0,0,0,1,0,0,255,255,1,0,0,0,0,0,0,0,normal
0,tcp,SF,267,23875,0,0,1,12,0,0,0,0,1,0,0.17,211,247,1,0,0,0.04,0,0,0,0,normal
0,tcp,SF,377,2654,0,0,1,5,0,0,0,0,1,0,0.6,78,255,1,0,0.01,0.03,0,0,0,0,normal
0,tcp,SF,185,504,0,0,1,2,0,0,0,0,1,0,1,255,255,1,0,0,0,0,0,0,0,normal
0,tcp,SF,215,3256,0,0,3,8,0,0,0,0,1,0,0.38,32,255,1,0,0.03,0.06,0,0,0,0,normal
0,tcp,SF,235,12623,0,0,5,5,0,0,0,0,1,0,0,255,255,1,0,0,0,0,0,0.01,0.01,normal
0,tcp,SF,236,13452,0,0,1,1,0,0,0,0,1,0,0,1,255,1,0,1,0.04,0,0,0,0,normal
0,tcp,SF,230,1582,0,0,18,25,0,0,0,0,1,0,0.12,21,255,1,0,0.05,0.02,0,0,0,0,normal
0,tcp,SF,241,300,0,0,2,2,0,0,0,0,1,0,0,255,255,1,0,0,0,0,0,0,0,normal
0,tcp,REJ,0,0,0,0,1,1,0,0,1,1,1,0,0,8,231,1,0,0.12,0.09,0,0,1,0.67,normal
0,tcp,SF,238,3307,0,0,3,3,0,0,0,0,1,0,0,3,255,1,0,0.33,0.05,0,0,0,0,normal
0,tcp,SF,204,9180,0,0,7,7,0,0,0,0,1,0,0,154,255,1,0,0.01,0.03,0,0,0,0,normal
0,tcp,SF,232,2382,0,0,3,3,0.33,0.33,0,0,1,0,0,255,255,1,0,0,0,0,0,0,0,normal
0,tcp,SF,228,686,0,0,9,9,0,0,0,0,1,0,0,26,255,1,0,0.04,0.01,0,0,0,0,normal
0,tcp,SF,229,2658,0,0,3,3,0,0,0,0,1,0,0,255,255,1,0,0,0,0,0,0,0,normal
0,tcp,SF,344,4438,0,0,17,27,0,0,0,0,1,0,0.07,43,255,1,0,0.02,0.02,0,0,0,0.01,normal
0,tcp,SF,216,272,0,0,1,6,0,0,0,0,1,0,0.33,82,255,1,0,0.01,0.05,0,0,0,0,normal
0,tcp,SF,151,632,0,0,12,12,0,0,0,0,1,0,0,12,255,1,0,0.08,0.06,0,0,0,0,normal
0,tcp,SF,294,1680,0,0,6,6,0,0,0,0,1,0,0,61,255,1,0,0.02,0.03,0,0,0,0,normal
0,tcp,SF,199,337,0,0,30,30,0,0,0,0,1,0,0,255,255,1,0,0,0,0,0,0,0,normal
0,tcp,SF,266,11875,0,0,9,9,0,0,0,0,1,0,0,255,255,1,0,0,0,0,0,0,0,normal
0,tcp,SF,316,1698,0,0,2,4,0,0,0,0,1,0,0.5,59,255,1,0,0.02,0.05,0,0,0,0,normal
0,tcp,SF,199,463,0,0,2,3,0,0,0,0,1,0,0.67,36,255,1,0,0.03,0.03,0,0,0,0,normal
0,tcp,SF,216,1335,0,0,3,6,0,0,0,0,1,0,0.5,12,255,1,0,0.08,0.02,0,0,0,0,normal
0,tcp,SF,346,1664,0,0,8,8,0,0,0,0,1,0,0,12,255,1,0,0.08,0.05,0,0,0.33,0.47,normal
0,tcp,SF,277,2445,0,0,16,34,0,0,0,0,1,0,0.06,16,255,1,0,0.06,0.01,0,0,0,0,normal
0,tcp,SF,249,2093,0,0,1,18,0,0,0,0,1,0,0.11,14,255,1,0,0.07,0.04,0,0,0,0,normal
0,tcp,SF,352,3461,0,0,3,23,0,0,0,0,1,0,0.13,145,255,1,0,0.01,0.02,0,0,0,0,normal
0,tcp,SF,306,1380,0,0,3,30,0,0.07,0,0,1,0,0.17,255,251,0.98,0.01,0,0,0,0,0,0,normal
0,tcp,SF,282,362,0,0,8,9,0,0,0,0,1,0,0.22,255,255,1,0,0,0,0,0,0,0,normal
0,tcp,SF,214,765,0,0,31,31,0,0,0,0,1,0,0,255,255,1,0,0,0,0,0,0,0,normal
0,tcp,SF,232,458,0,0,14,30,0,0,0,0,1,0,0.17,70,255,1,0,0.01,0.03,0,0,0,0,normal
0,tcp,S0,0,0,0,0,1,1,1,1,0,0,1,0,0,7,126,1,0,0.14,0.16,1,0.06,0,0.94,normal
0,tcp,REJ,0,0,0,0,4,4,0,0,0.75,0.75,1,0,0,39,245,1,0,0.03,0.2,0,0,0.97,1,normal
0,tcp,SF,313,3400,0,0,14,14,0,0,0,0,1,0,0,255,255,1,0,0,0,0,0,0,0,normal
0,tcp,SF,200,9248,0,0,6,11,0,0,0,0,1,0,0.18,255,255,1,0,0,0,0,0,0,0,normal
