% isAttack HIGH_RATE:	1260
% isAttack LOW_RATE:	1332
% isAttack NORMAL:	1333
@relation 'UnformattedKDDTrain+-weka.filters.unsupervised.attribute.Remove-R3,7,10,11,12,13,14,15,16,17,18,19,20,21,22,43-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-Nnormal:NORMAL, tcpFlood:HIGH_RATE, udpFlood:HIGH_RATE, httpFlood:HIGH_RATE, slowBody:LOW_RATE, slowHeaders:LOW_RATE, slowRead:LOW_RATE, normal:NORMAL-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R3,17,19-20,27'

@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute dst_host_count numeric
@attribute dst_host_same_srv_rate numeric
@attribute dst_host_diff_srv_rate numeric
@attribute isAttack {HIGH_RATE,LOW_RATE,NORMAL}

@data
SF,255,1,0,NORMAL
SF,255,0.95,0.02,NORMAL
SF,255,1,0,NORMAL
SF,255,1,0,NORMAL
SF,255,1,0,NORMAL
SF,255,1,0,NORMAL
SF,7,1,0,NORMAL
SF,255,1,0,NORMAL
SF,166,1,0,NORMAL
SF,16,1,0,NORMAL
SF,101,1,0,NORMAL
SF,24,1,0,NORMAL
SF,44,1,0,NORMAL
SF,255,1,0,NORMAL
SF,13,1,0,NORMAL
SF,255,1,0,NORMAL
SF,15,1,0,NORMAL
SF,255,1,0,NORMAL
SF,83,1,0,NORMAL
SF,91,1,0,NORMAL
SF,219,1,0,NORMAL
SF,26,0.96,0.08,NORMAL
SF,255,0.96,0.01,NORMAL
SF,101,1,0,NORMAL
SF,18,1,0,NORMAL
SF,255,1,0,NORMAL
SF,255,1,0,NORMAL
SF,35,1,0,NORMAL
SF,255,1,0,NORMAL
SF,255,1,0,NORMAL
SF,255,1,0,NORMAL
SF,234,1,0,NORMAL
SF,39,1,0,NORMAL
REJ,17,1,0,NORMAL
S0,228,1,0,NORMAL
REJ,8,1,0,NORMAL
SF,5,1,0,NORMAL
SF,78,1,0,NORMAL
SF,53,1,0,NORMAL
REJ,16,1,0,NORMAL
SF,73,1,0,NORMAL
REJ,61,1,0,NORMAL
SF,106,1,0,NORMAL
SF,36,1,0,NORMAL
SF,189,0.95,0.02,NORMAL
SF,118,0.92,0.02,NORMAL
SF,255,0.93,0.02,NORMAL
SF,10,1,0,NORMAL
SF,19,1,0,NORMAL
SF,60,1,0,NORMAL
SF,248,1,0,NORMAL
SF,255,1,0,NORMAL
SF,48,1,0,NORMAL
SF,2,1,0,NORMAL
SF,28,1,0,NORMAL
SF,255,1,0,NORMAL
SF,34,1,0,NORMAL
SF,135,1,0,NORMAL
SF,255,0.88,0.01,NORMAL
SF,26,1,0,NORMAL
SF,147,1,0,NORMAL
SF,34,1,0,NORMAL
SF,139,1,0,NORMAL
SF,86,1,0,NORMAL
REJ,1,1,0,NORMAL
SF,2,1,0,NORMAL
REJ,6,1,0,NORMAL
SF,7,1,0,NORMAL
SF,17,1,0,NORMAL
SF,24,1,0,NORMAL
SF,255,1,0,NORMAL
SF,255,1,0,NORMAL
SF,121,1,0,NORMAL
SF,111,1,0,NORMAL
REJ,58,1,0,NORMAL
