% isAttack tcpFlood:	667
% isAttack slowRead:	667
% isAttack httpFlood:	667
% isAttack slowHeaders:	667
% isAttack udpFlood:	372
% isAttack slowBody:	667
@relation 'TCP Flood-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R1-5,9,11,14-15,18-19,23-24,27'

@attribute duration numeric
@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute dst_bytes numeric
@attribute srv_count numeric
@attribute srv_serror_rate numeric
@attribute same_srv_rate numeric
@attribute diff_srv_rate numeric
@attribute dst_host_srv_count numeric
@attribute dst_host_same_srv_rate numeric
@attribute dst_host_serror_rate numeric
@attribute dst_host_srv_serror_rate numeric
@attribute isAttack {tcpFlood,httpFlood,slowRead,slowHeaders,udpFlood,slowBody}

@data
0,tcp,OTH,78,0,26614,0,1,0,67,1,0,0,tcpFlood
0,tcp,OTH,78,0,6709,0,1,0,67,1,0,0,tcpFlood
0,tcp,OTH,78,0,15362,0,1,0,66,1,0,0,tcpFlood
0,tcp,OTH,78,0,13497,0,1,0,72,1,0,0,tcpFlood
0,tcp,OTH,78,0,26973,0,1,0,74,1,0,0,tcpFlood
0,tcp,OTH,78,0,19441,0,1,0,67,1,0,0,tcpFlood
0,tcp,OTH,78,0,10354,0,1,0,70,1,0,0,tcpFlood
0,tcp,OTH,78,0,1687,0,1,0,66,1,0,0,tcpFlood
0,tcp,OTH,78,0,12387,0,1,0,67,1,0,0,tcpFlood
0,tcp,OTH,78,0,2694,0,1,0,73,1,0,0,tcpFlood
0,tcp,OTH,78,0,11429,0,1,0,67,1,0,0,tcpFlood
0,tcp,OTH,78,0,6191,0,1,0,71,1,0,0,tcpFlood
0,tcp,OTH,78,0,6459,0,1,0,68,1,0,0,tcpFlood
0,tcp,OTH,78,0,9964,0,1,0,65,1,0,0,tcpFlood
0,tcp,OTH,78,0,24012,0,1,0,73,1,0,0,tcpFlood
0,tcp,OTH,78,0,11751,0,1,0,66,1,0,0,tcpFlood
