% isAttack tcpFlood:	571
% isAttack normal:	571
% isAttack slowRead:	571
% isAttack httpFlood:	571
% isAttack slowHeaders:	571
% isAttack udpFlood:	372
% isAttack slowBody:	571
@relation 'UnformattedKDDTrain+-weka.filters.unsupervised.attribute.Remove-R3,7,10,11,12,13,14,15,16,17,18,19,20,21,22,43-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R2-3,9,12,18,27'

@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute srv_count numeric
@attribute rerror_rate numeric
@attribute dst_host_srv_count numeric
@attribute isAttack {tcpFlood,normal,httpFlood,slowRead,slowHeaders,udpFlood,slowBody}

@data
tcp,SF,8,0,255,normal
tcp,SF,7,0,255,normal
tcp,SF,7,0,243,normal
tcp,SF,3,0,255,normal
tcp,SF,12,0,255,normal
tcp,SF,13,0,255,normal
tcp,SF,10,0,255,normal
tcp,SF,20,0,255,normal
tcp,SF,13,0,255,normal
tcp,SF,10,0,67,normal
tcp,SF,10,0,255,normal
tcp,SF,11,0,255,normal
tcp,SF,4,0,247,normal
tcp,SF,9,0,255,normal
tcp,SF,3,0,255,normal
tcp,SF,12,0,255,normal
tcp,SF,4,0,255,normal
tcp,SF,5,0,255,normal
tcp,REJ,1,1,250,normal
tcp,SF,14,0,255,normal
tcp,SF,23,0,255,normal
tcp,REJ,1,1,255,normal
tcp,REJ,2,1,255,normal
tcp,SF,17,0,255,normal
tcp,SF,26,0,255,normal
tcp,SF,18,0,255,normal
tcp,REJ,1,1,11,normal
tcp,SF,17,0,255,normal
tcp,SF,7,0,255,normal
tcp,SF,12,0,255,normal
tcp,SF,6,0,255,normal
tcp,SF,8,0,255,normal
tcp,SF,18,0,255,normal
tcp,SF,1,0,249,normal
tcp,SF,11,0,255,normal
tcp,SF,5,0,255,normal
tcp,SF,4,0,255,normal
tcp,SF,2,0,255,normal
tcp,SF,15,0,255,normal
tcp,SF,2,0,255,normal
tcp,SF,22,0,255,normal
tcp,SF,37,0,255,normal
tcp,SF,12,0,255,normal
tcp,REJ,1,1,250,normal
tcp,SF,9,0,255,normal
tcp,SF,5,0,255,normal
tcp,SF,4,0,255,normal
tcp,SF,3,0,255,normal
tcp,SF,5,0,255,normal
tcp,SF,4,0,255,normal
tcp,SF,1,0,255,normal
tcp,SF,19,0,255,normal
tcp,SF,3,0,255,normal
tcp,SF,19,0,255,normal
tcp,SF,1,0,255,normal
tcp,SF,16,0,255,normal
tcp,SF,5,0,255,normal
tcp,SF,67,0,255,normal
tcp,SF,10,0,255,normal
tcp,SF,3,0,255,normal
tcp,SF,7,0,250,normal
tcp,SF,1,0,255,normal
tcp,SF,6,0,255,normal
tcp,REJ,1,1,255,normal
tcp,SF,6,0.2,255,normal
tcp,SF,36,0,255,normal
tcp,SF,34,0,255,normal
tcp,SF,10,0,255,normal
tcp,SF,8,0,255,normal
tcp,SF,13,0,204,normal
tcp,SF,26,0,255,normal
tcp,SF,3,0,255,normal
tcp,SF,39,0,255,normal
tcp,SF,16,0,255,normal
tcp,SF,10,0,255,normal
tcp,SF,11,0,255,normal
tcp,REJ,2,1,255,normal
tcp,SF,10,0,255,normal
tcp,SF,51,0,255,normal
tcp,SF,9,0,255,normal
tcp,SF,12,0,255,normal
tcp,SF,6,0,255,normal
tcp,SF,2,0,255,normal
tcp,SF,1,0,255,normal
tcp,SF,34,0,255,normal
tcp,SF,19,0,255,normal
tcp,SF,24,0,253,normal
tcp,SF,4,0,255,normal
tcp,SF,27,0,255,normal
tcp,SF,6,0,255,normal
tcp,SF,21,0,255,normal
tcp,SF,13,0,255,normal
tcp,SF,7,0,255,normal
tcp,SF,2,0,255,normal
tcp,SF,6,0,255,normal
tcp,SF,5,0,255,normal
tcp,SF,1,0,255,normal
tcp,SF,4,0,255,normal
tcp,SF,11,0,255,normal
tcp,SF,33,0,255,normal
tcp,SF,21,0,255,normal
tcp,SF,12,0,255,normal
tcp,SF,28,0,255,normal
tcp,SF,3,0,255,normal
tcp,SF,7,0,255,normal
tcp,SF,75,0,255,normal
tcp,SF,13,0,255,normal
tcp,RSTO,7,0.43,255,normal
tcp,SF,17,0,255,normal
tcp,SF,10,0,255,normal
tcp,SF,10,0,255,normal
tcp,SF,4,0,255,normal
tcp,SF,13,0,235,normal
tcp,SF,17,0,255,normal
tcp,SF,13,0,255,normal
tcp,SF,3,0,237,normal
tcp,SF,66,0,255,normal
tcp,SF,37,0,255,normal
tcp,REJ,3,1,58,normal
tcp,SF,16,0,255,normal
tcp,SF,19,0,255,normal
tcp,SF,5,0,255,normal
tcp,SF,4,0,255,normal
tcp,SF,17,0,255,normal
tcp,SF,6,0,255,normal
tcp,SF,1,0,255,normal
tcp,SF,1,0,255,normal
tcp,SF,25,0,255,normal
tcp,SF,21,0,255,normal
tcp,SF,2,0,255,normal
tcp,SF,4,0,118,normal
tcp,REJ,1,1,242,normal
tcp,SF,54,0,255,normal
tcp,SF,15,0,255,normal
tcp,SF,26,0,255,normal
tcp,SF,6,0,255,normal
tcp,SF,7,0,255,normal
tcp,SF,2,0,255,normal
tcp,SF,4,0,255,normal
tcp,SF,11,0,255,normal
tcp,SF,2,0,255,normal
tcp,SF,20,0,255,normal
tcp,SF,28,0,255,normal
tcp,REJ,2,1,255,normal
tcp,SF,13,0,255,normal
tcp,SF,6,0,255,normal
tcp,SF,28,0,255,normal
tcp,SF,2,0,255,normal
tcp,SF,9,0,255,normal
tcp,SF,3,0,255,normal
tcp,SF,5,0,255,normal
tcp,SF,22,0,255,normal
tcp,SF,1,0,255,normal
tcp,SF,5,0,255,normal
tcp,SF,6,0,255,normal
tcp,SF,5,0,255,normal
tcp,SF,3,0,255,normal
tcp,SF,7,0,252,normal
tcp,SF,28,0,255,normal
tcp,SF,11,0,255,normal
tcp,SF,14,0,255,normal
tcp,SF,25,0,255,normal
tcp,SF,22,0,198,normal
tcp,SF,52,0,255,normal
tcp,SF,1,0,255,normal
tcp,SF,2,0,255,normal
tcp,SF,31,0,255,normal
tcp,REJ,1,1,19,normal
tcp,SF,17,0,255,normal
tcp,SF,4,0,255,normal
tcp,SF,2,0,255,normal
tcp,SF,2,0,255,normal
tcp,REJ,3,1,247,normal
tcp,SF,2,0,255,normal
tcp,SF,4,0,255,normal
tcp,SF,4,0,255,normal
tcp,SF,1,0,26,normal
tcp,SF,13,0,255,normal
tcp,SF,14,0,255,normal
tcp,SF,22,0,255,normal
tcp,SF,15,0,255,normal
tcp,REJ,2,1,133,normal
tcp,SF,1,0,255,normal
tcp,SF,19,0,255,normal
tcp,SF,5,0,255,normal
