% isAttack tcpFlood:	571
% isAttack normal:	571
% isAttack slowRead:	571
% isAttack httpFlood:	571
% isAttack slowHeaders:	571
% isAttack udpFlood:	372
% isAttack slowBody:	571
@relation 'UnformattedKDDTrain+-weka.filters.unsupervised.attribute.Remove-R3,7,10,11,12,13,14,15,16,17,18,19,20,21,22,43-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R2-5,8,11,14-20,22-23,27'

@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute dst_bytes numeric
@attribute count numeric
@attribute srv_serror_rate numeric
@attribute same_srv_rate numeric
@attribute diff_srv_rate numeric
@attribute srv_diff_host_rate numeric
@attribute dst_host_count numeric
@attribute dst_host_srv_count numeric
@attribute dst_host_same_srv_rate numeric
@attribute dst_host_diff_srv_rate numeric
@attribute dst_host_srv_diff_host_rate numeric
@attribute dst_host_serror_rate numeric
@attribute isAttack {tcpFlood,normal,httpFlood,slowRead,slowHeaders,udpFlood,slowBody}

@data
tcp,SF,221,659,18,0,1,0,0,18,255,1,0,0.06,0,normal
tcp,SF,212,293,24,0,1,0,0.07,255,255,1,0,0,0,normal
tcp,REJ,0,0,1,0,1,0,1,203,255,1,0,0.02,0,normal
tcp,SF,300,13788,7,0,1,0,0,149,255,1,0,0.02,0.01,normal
tcp,SF,350,1183,17,0,1,0,0.14,255,255,1,0,0,0,normal
tcp,SF,182,1285,4,0,1,0,0,38,255,1,0,0.08,0,normal
tcp,SF,232,7104,9,0,1,0,0.1,9,255,1,0,0.05,0,normal
tcp,SF,223,1040,10,0,1,0,0.18,27,255,1,0,0.03,0,normal
tcp,S2,303,1381,1,1,1,0,0,255,248,0.97,0.01,0,0.02,normal
tcp,SF,263,13332,3,0,1,0,0.5,255,245,0.96,0.02,0,0,normal
tcp,SF,339,1405,28,0,1,0,0.06,61,255,1,0,0.04,0,normal
tcp,SF,191,1938,2,0,1,0,0.38,8,255,1,0,0.05,0,normal
tcp,SF,214,1124,11,0,1,0,0,21,255,1,0,0.03,0,normal
tcp,SF,248,330,17,0,1,0,0,255,255,1,0,0,0,normal
tcp,SF,285,247,1,0,1,0,0.5,24,255,1,0,0.01,0,normal
tcp,SF,405,10219,2,0,1,0,0,70,245,1,0,0.19,0,normal
tcp,SF,352,3900,40,0,1,0,0,255,255,1,0,0,0,normal
tcp,SF,317,2099,14,0,1,0,0.12,255,255,1,0,0,0,normal
tcp,REJ,0,0,1,0,1,0,0,4,165,1,0,0.19,0,normal
tcp,SF,298,6515,2,0,1,0,0.67,255,255,1,0,0,0,normal
