% isAttack tcpFlood:	571
% isAttack normal:	571
% isAttack slowRead:	571
% isAttack httpFlood:	571
% isAttack slowHeaders:	571
% isAttack udpFlood:	372
% isAttack slowBody:	571
@relation 'UnformattedKDDTrain+-weka.filters.unsupervised.attribute.Remove-R3,7,10,11,12,13,14,15,16,17,18,19,20,21,22,43-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R2-4,8,17-18,20,22,27'

@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute count numeric
@attribute dst_host_count numeric
@attribute dst_host_srv_count numeric
@attribute dst_host_diff_srv_rate numeric
@attribute dst_host_srv_diff_host_rate numeric
@attribute isAttack {tcpFlood,normal,httpFlood,slowRead,slowHeaders,udpFlood,slowBody}

@data
tcp,SF,221,18,18,255,0,0.06,normal
tcp,SF,212,24,255,255,0,0,normal
tcp,REJ,0,1,203,255,0,0.02,normal
tcp,SF,300,7,149,255,0,0.02,normal
tcp,SF,350,17,255,255,0,0,normal
tcp,SF,182,4,38,255,0,0.08,normal
tcp,SF,232,9,9,255,0,0.05,normal
tcp,SF,223,10,27,255,0,0.03,normal
tcp,S2,303,1,255,248,0.01,0,normal
tcp,SF,263,3,255,245,0.02,0,normal
tcp,SF,339,28,61,255,0,0.04,normal
tcp,SF,191,2,8,255,0,0.05,normal
tcp,SF,214,11,21,255,0,0.03,normal
tcp,SF,248,17,255,255,0,0,normal
tcp,SF,285,1,24,255,0,0.01,normal
tcp,SF,405,2,70,245,0,0.19,normal
tcp,SF,352,40,255,255,0,0,normal
tcp,SF,317,14,255,255,0,0,normal
tcp,REJ,0,1,4,165,0,0.19,normal
tcp,SF,298,2,255,255,0,0,normal
tcp,SF,279,3,255,255,0,0,normal
tcp,SF,222,9,108,255,0,0.01,normal
tcp,SF,286,2,2,255,0,0.02,normal
tcp,SF,288,21,21,255,0,0.01,normal
tcp,SF,272,7,100,255,0,0.02,normal
tcp,SF,205,2,2,255,0,0.02,normal
tcp,SF,298,27,255,255,0,0,normal
tcp,SF,159,2,2,255,0,0.01,normal
tcp,REJ,0,1,1,255,0,0.06,normal
tcp,S1,142,1,167,255,0,0.01,normal
tcp,SF,294,12,255,255,0,0,normal
tcp,SF,377,3,158,255,0,0.02,normal
tcp,SF,208,3,3,255,0,0.03,normal
tcp,SF,208,42,97,255,0,0.03,normal
tcp,SF,277,5,58,255,0,0.01,normal
tcp,SF,364,8,255,255,0,0,normal
tcp,SF,302,8,156,255,0,0.04,normal
tcp,SF,257,6,76,255,0,0.03,normal
tcp,SF,338,5,12,255,0,0.08,normal
tcp,SF,338,2,98,255,0,0.02,normal
tcp,SF,316,1,34,255,0,0.02,normal
tcp,SF,300,2,37,255,0,0.03,normal
tcp,REJ,0,1,2,146,0,0.05,normal
tcp,SF,196,2,24,255,0,0.05,normal
tcp,SF,210,2,175,255,0,0.01,normal
tcp,SF,235,5,255,255,0,0,normal
tcp,SF,229,3,255,252,0.01,0,normal
tcp,SF,284,4,255,255,0,0,normal
tcp,REJ,0,1,9,255,0,0.1,normal
tcp,SF,246,4,115,255,0,0.02,normal
tcp,SF,170,1,131,255,0,0.01,normal
tcp,SF,236,1,60,255,0,0.06,normal
tcp,SF,275,18,18,255,0,0.04,normal
tcp,SF,215,11,11,255,0,0.01,normal
tcp,SF,301,2,7,255,0,0.04,normal
tcp,SF,285,2,4,255,0,0.05,normal
tcp,SF,165,1,48,255,0,0.03,normal
tcp,SF,316,7,141,255,0,0.01,normal
tcp,SF,272,2,255,255,0,0,normal
tcp,SF,221,13,116,255,0,0.02,normal
tcp,SF,299,7,93,255,0,0.02,normal
tcp,SF,281,3,10,255,0,0.02,normal
tcp,SF,294,25,105,108,0,0.03,normal
tcp,REJ,0,1,3,165,0,0.24,normal
tcp,SF,375,10,255,255,0,0,normal
tcp,SF,290,13,51,255,0,0.05,normal
tcp,SF,314,26,125,255,0,0.01,normal
