@relation 'slowHeaders-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack'

@attribute total_fpackets numeric
@attribute total_fvolume numeric
@attribute total_bpackets numeric
@attribute total_bvolume numeric
@attribute min_fpktl numeric
@attribute mean_fpktl numeric
@attribute max_fpktl numeric
@attribute std_fpktl numeric
@attribute min_bpktl numeric
@attribute mean_bpktl numeric
@attribute max_bpktl numeric
@attribute std_bpktl numeric
@attribute min_fiat numeric
@attribute mean_fiat numeric
@attribute max_fiat numeric
@attribute std_fiat numeric
@attribute min_biat numeric
@attribute mean_biat numeric
@attribute max_biat numeric
@attribute std_biat numeric
@attribute duration numeric
@attribute min_active numeric
@attribute mean_active numeric
@attribute max_active numeric
@attribute std_active numeric
@attribute min_idle numeric
@attribute mean_idle numeric
@attribute max_idle numeric
@attribute std_idle numeric
@attribute sflow_fpackets numeric
@attribute sflow_fbytes numeric
@attribute sflow_bpackets numeric
@attribute sflow_bbytes numeric
@attribute fpsh_cnt numeric
@attribute bpsh_cnt numeric
@attribute furg_cnt numeric
@attribute burg_cnt numeric
@attribute total_fhlen numeric
@attribute total_bhlen numeric
@attribute isAttack {normal,slowBody,slowHeaders,slowRead,tcpFlood,udpFlood,httpFlood}

@data
4,708,3,164,52,177,511,223,52,54,60,4,1353,1594,1836,341,3193,3193,3193,0,10633677,13,1622,3231,2275,10630433,10630433,10630433,0,2,354,1,82,2,0,0,0,216,164,slowHeaders
8,865,7,855,40,108,394,117,52,122,535,182,1441,270371,1012718,495820,2991,356014,1053262,603850,30701175,1120,273429,1078404,536661,9042704,9869152,10356369,719540,2,216,1,213,4,1,0,0,412,372,slowHeaders
8,925,7,860,40,115,467,143,52,122,540,183,1492,14934,41531,23034,130,1720,3311,2249,30753484,12,8989,41531,18249,1014822,7677134,10435896,4482646,1,185,1,172,4,1,0,0,412,372,slowHeaders
8,853,7,855,40,106,394,117,52,122,535,182,2264,30680,86769,48575,3764,20262,36760,23331,31067055,1059,19658,86769,37584,1009641,7742191,10699013,4541090,1,170,1,171,4,1,0,0,412,372,slowHeaders
12,4481,1,60,52,373,467,171,60,60,60,0,1457,286669,864202,325768,0,0,0,0,29910636,0,286669,1720014,702192,1696022,5638124,13567423,4853489,2,746,0,10,10,0,0,0,632,60,slowHeaders
8,865,7,855,40,108,394,117,52,122,535,182,1479,277631,1018315,495504,2909,363408,1046585,591950,30164561,1840,281155,1107312,550784,9035459,9679980,10213524,596821,2,216,1,213,4,1,0,0,412,372,slowHeaders
8,834,6,803,40,104,351,102,52,133,535,196,1052,7785,20966,11415,2393,2393,2393,0,31092118,2719,6650,20966,8011,1014187,7764716,10819548,4548993,1,166,1,160,4,1,0,0,412,320,slowHeaders
3,623,2,112,52,207,511,262,52,56,60,5,1231,1374,1518,202,2739,2739,2739,0,2810,2810,2810,2810,0,0,0,0,0,3,623,2,112,1,0,0,0,164,112,slowHeaders
8,890,6,803,40,111,395,117,52,133,535,196,1433,8391,22145,11911,2998,2998,2998,0,31028699,838,6630,22145,8773,1011327,7748886,10748441,4536193,1,178,1,160,4,1,0,0,412,320,slowHeaders
15,3635,1,60,52,242,395,169,60,60,60,0,1490,284386,863970,296029,0,0,0,0,29538603,262662,248838,1728044,604715,1020279,3935413,8187534,2717603,1,454,0,7,9,0,0,0,820,60,slowHeaders
8,875,7,855,40,109,394,116,52,122,535,182,1477,23145,66370,37433,3007,12605,22204,13574,30721480,1227,18395,66370,27092,1001354,7657375,10376187,4476727,1,175,1,171,4,1,0,0,412,372,slowHeaders
5,532,4,216,52,106,246,79,52,54,60,4,1472,1655,1838,258,3300,3300,3300,0,20968567,12,1132,3371,1938,10267747,10482585,10697423,303826,1,177,1,72,3,0,0,0,268,216,slowHeaders
9,973,7,855,40,108,394,110,52,122,535,182,621,278044,1018333,495362,1557,362716,1044907,591135,30023925,1310,225384,1109889,494477,1011131,7224250,10212960,4195692,1,194,1,171,4,1,0,0,472,372,slowHeaders
8,932,8,912,40,116,467,142,52,114,540,172,1384,20789,58909,33014,12,5148,11962,6148,30617826,4,12493,58909,25991,1013967,7638840,10283633,4452337,1,186,1,182,4,1,0,0,412,424,slowHeaders
8,850,8,907,40,106,394,117,52,113,535,170,978,22908,66267,37550,8,6089,15829,8521,30683556,2,13756,66267,29374,1000081,7653693,10339881,4473326,1,170,1,181,4,1,0,0,412,424,slowHeaders
8,736,7,855,40,92,246,66,52,122,535,182,1323,21427,60553,33887,4792,10647,16503,8280,29113819,6091,21952,60553,22225,1003661,7251014,10688927,4285016,1,147,1,171,4,1,0,0,412,372,slowHeaders
8,784,7,855,40,98,307,87,52,122,535,182,1530,18748,53116,29763,3074,5166,7259,2959,30534986,4579,21082,53116,18906,1013839,7607393,10043222,4403206,1,156,1,171,4,1,0,0,412,372,slowHeaders
14,2446,1,60,52,174,246,91,60,60,60,0,407,287989,863914,326027,0,0,0,0,28845275,0,215992,1727936,610917,1010113,3873905,7963671,2662307,1,305,0,7,9,0,0,0,760,60,slowHeaders
8,694,6,803,40,86,246,66,52,133,535,196,1493,13225,36570,20217,3144,3144,3144,0,30532277,4613,15693,36570,12739,1004029,7613452,10690363,4458147,1,138,1,160,4,1,0,0,412,320,slowHeaders
8,880,7,855,40,110,394,117,52,122,535,182,1450,29029,84028,47630,3077,15818,28559,18018,30924202,693,19984,84028,35853,1005885,7706070,10561548,4513220,1,176,1,171,4,1,0,0,412,372,slowHeaders
8,831,7,855,40,103,394,118,52,122,535,182,1474,272614,1018356,498179,2889,356396,1044448,595945,30096801,1941,276430,1087421,540677,9034276,9663693,10213491,593625,2,207,1,213,4,1,0,0,412,372,slowHeaders
3,623,2,112,52,207,511,262,52,56,60,5,1411,1595,1780,260,3208,3208,3208,0,3259,3259,3259,3259,0,0,0,0,0,3,623,2,112,1,0,0,0,164,112,slowHeaders
3,623,2,112,52,207,511,262,52,56,60,5,1437,1669,1902,328,3338,3338,3338,0,3404,3404,3404,3404,0,0,0,0,0,3,623,2,112,1,0,0,0,164,112,slowHeaders
7,759,6,803,40,108,394,126,52,133,535,196,1532,19084,54120,30341,3150,6027,8904,4068,30796295,4657,18614,54120,23717,1026033,10240612,19206975,9093012,1,189,1,200,3,1,0,0,360,320,slowHeaders
8,875,7,855,40,109,394,117,52,122,535,182,1462,27688,79934,45246,3135,18304,33474,21452,30999367,930,18452,79934,34394,1008106,7726775,10640513,4529068,1,175,1,171,4,1,0,0,412,372,slowHeaders
8,844,7,855,40,105,395,118,52,122,535,182,1357,268344,1016423,499329,3059,352195,1043830,598982,29838945,4409,273143,1070316,531453,9185596,9582124,10031847,425625,2,211,1,213,4,1,0,0,412,372,slowHeaders
4,718,3,164,52,179,511,221,52,54,60,4,1447,1614,1782,236,3217,3217,3217,0,9656734,15,1644,3274,2304,9653445,9653445,9653445,0,2,359,1,82,2,0,0,0,216,164,slowHeaders
7,786,5,751,40,112,394,126,52,150,535,215,1459,10503,28449,15541,2981,2981,2981,0,29948374,4559,12469,28449,10963,1024128,9966165,19203895,9093489,1,196,1,187,3,1,0,0,360,268,slowHeaders
8,944,7,860,40,118,467,143,52,122,540,183,1462,6423,16011,8304,236,1764,3292,2160,30625121,5,3879,16011,6935,1014724,7651431,10333161,4461857,1,188,1,172,4,1,0,0,412,372,slowHeaders
8,856,8,907,40,107,394,117,52,113,535,170,1327,24259,69522,39199,81,8426,21942,11812,30789719,4,14569,69522,30752,1004234,7679218,10442661,4491300,1,171,1,181,4,1,0,0,412,424,slowHeaders
8,760,6,803,40,95,307,87,52,133,535,196,1397,6421,16205,8474,3010,3010,3010,0,31035607,2632,6164,16205,5676,1019035,7751195,10050592,4488348,1,152,1,160,4,1,0,0,412,320,slowHeaders
3,623,2,112,52,207,511,262,52,56,60,5,1434,1660,1887,320,3314,3314,3314,0,3380,3380,3380,3380,0,0,0,0,0,3,623,2,112,1,0,0,0,164,112,slowHeaders
8,751,7,855,40,93,246,66,52,122,535,182,1458,16159,45421,25341,2955,2993,3031,53,30878093,4464,14066,45421,17567,1010368,7701939,10690222,4512295,1,150,1,171,4,1,0,0,412,372,slowHeaders
3,623,2,112,52,207,511,262,52,56,60,5,1365,1571,1777,291,3162,3162,3162,0,3213,3213,3213,3213,0,0,0,0,0,3,623,2,112,1,0,0,0,164,112,slowHeaders
8,809,6,803,40,101,351,102,52,133,535,196,1397,10548,28583,15618,3096,3096,3096,0,31013537,4468,9505,28583,10666,1013206,7741502,10731882,4529443,1,161,1,160,4,1,0,0,412,320,slowHeaders
8,877,7,855,40,109,395,117,52,122,535,182,1513,19463,55312,31045,3009,8077,13145,7167,30726684,4411,17254,55312,21531,1005495,7660103,10411247,4465831,1,175,1,171,4,1,0,0,412,372,slowHeaders
8,950,7,860,40,118,467,142,52,122,540,183,1476,13860,38276,21145,23,1682,3342,2346,30861401,12,8344,38276,16796,1017068,7704919,10544888,4504151,1,190,1,172,4,1,0,0,412,372,slowHeaders
8,889,7,855,40,111,394,116,52,122,535,182,1459,23895,68615,38728,3032,12779,22527,13785,30758981,820,18464,68615,28259,1002157,7666665,10411973,4483597,1,177,1,171,4,1,0,0,412,372,slowHeaders
5,532,4,216,52,106,246,80,52,54,60,4,283,1175,2068,1262,2338,2338,2338,0,20956187,11,811,2409,1383,10256322,10476876,10697431,311911,1,177,1,72,3,0,0,0,268,216,slowHeaders
3,623,2,112,52,207,511,262,52,56,60,5,1388,1641,1895,358,3290,3290,3290,0,3362,3362,3362,3362,0,0,0,0,0,3,623,2,112,1,0,0,0,164,112,slowHeaders
8,860,8,907,40,107,394,117,52,113,535,170,1488,272551,998680,485804,89,272342,1045777,515944,30576656,2,272567,1086936,542914,9055967,9828795,10221487,669318,2,215,2,226,4,1,0,0,412,424,slowHeaders
3,623,2,112,52,207,511,262,52,56,60,5,1425,1589,1754,232,3171,3171,3171,0,3222,3222,3222,3222,0,0,0,0,0,3,623,2,112,1,0,0,0,164,112,slowHeaders
8,916,7,860,40,114,467,143,52,122,540,183,1494,15166,42202,23414,150,1736,3323,2243,30742555,11,9127,42202,18547,1014664,7674229,10424513,4480374,1,183,1,172,4,1,0,0,412,372,slowHeaders
8,862,8,907,40,107,394,117,52,113,535,170,1473,24024,68828,38801,8,7976,20686,11124,30803880,5,14431,68828,30441,1004888,7682930,10457242,4493904,1,172,1,181,4,1,0,0,412,424,slowHeaders
8,819,6,803,40,102,351,103,52,133,535,196,1415,14228,38790,21277,3764,3764,3764,0,29828018,5155,16589,38790,13406,1009146,7436268,10017811,4298393,1,163,1,160,4,1,0,0,412,320,slowHeaders
8,833,8,907,40,104,394,118,52,113,535,170,1489,31127,88898,50036,84,15028,40500,22169,31040631,4,18698,88898,39292,1009767,7736785,10672844,4536017,1,166,1,181,4,1,0,0,412,424,slowHeaders
8,888,7,855,40,111,394,116,52,122,535,182,1444,270081,1012882,496083,3092,355517,1052842,603912,30691004,968,273144,1077211,536057,9042613,9866142,10347424,716577,2,222,1,213,4,1,0,0,412,372,slowHeaders
16,2518,6,803,40,157,307,120,52,133,535,196,398,221777,863914,301773,1432,1432,1432,0,29419342,2945,226009,1727959,607076,1006113,3944467,10042433,3608262,2,314,0,100,9,1,0,0,852,320,slowHeaders
7,742,6,803,40,106,394,127,52,133,535,196,1484,19760,56172,31533,3099,7168,11237,5754,30780614,4558,19271,56172,24659,1025498,10234509,19206688,9092908,1,185,1,200,3,1,0,0,360,320,slowHeaders
3,623,2,112,52,207,511,262,52,56,60,5,1454,1616,1779,229,3220,3220,3220,0,3294,3294,3294,3294,0,0,0,0,0,3,623,2,112,1,0,0,0,164,112,slowHeaders
8,850,7,855,40,106,395,118,52,122,535,182,1533,21798,62184,34975,2907,9099,15291,8756,30542854,4416,19551,62184,24112,1001662,7611274,10223513,4429412,1,170,1,171,4,1,0,0,412,372,slowHeaders
3,358,2,112,52,119,246,109,52,56,60,5,1468,1537,1607,98,3063,3063,3063,0,3126,3126,3126,3126,0,0,0,0,0,3,358,2,112,1,0,0,0,164,112,slowHeaders
8,827,6,803,40,103,351,102,52,133,535,196,1388,13696,38053,21093,3001,3001,3001,0,30815778,4384,14305,38053,13519,1010585,7686063,10523358,4484337,1,165,1,160,4,1,0,0,412,320,slowHeaders
4,693,3,164,52,173,511,225,52,54,60,4,1381,1572,1764,270,3139,3139,3139,0,10307209,5,1596,3188,2250,10304016,10304016,10304016,0,2,346,1,82,2,0,0,0,216,164,slowHeaders
8,894,7,855,40,111,394,116,52,122,535,182,1394,270687,1013034,495847,3020,356233,1052463,602974,30681578,1326,273902,1079655,537180,9042266,9861989,10335546,712752,2,223,1,213,4,1,0,0,412,372,slowHeaders
8,928,7,860,40,116,467,143,52,122,540,183,1421,13334,36676,20215,22,1690,3358,2358,30900727,13,8029,36676,16082,1017911,7715144,10585092,4512197,1,185,1,172,4,1,0,0,412,372,slowHeaders
3,623,2,112,52,207,511,262,52,56,60,5,1484,1736,1989,357,3467,3467,3467,0,3538,3538,3538,3538,0,0,0,0,0,3,623,2,112,1,0,0,0,164,112,slowHeaders
8,781,7,855,40,97,307,87,52,122,535,182,1367,16622,46764,26103,3193,4046,4900,1207,30734749,4536,17866,46764,16682,1013922,7661354,10043952,4434553,1,156,1,171,4,1,0,0,412,372,slowHeaders
7,784,5,751,40,112,394,126,52,150,535,215,1525,12743,35069,19334,2986,2986,2986,0,29988263,4599,13948,35069,14351,1021827,9977489,19204317,9094277,1,196,1,187,3,1,0,0,360,268,slowHeaders
9,914,7,855,40,101,394,110,52,122,535,182,1054,278023,1018499,495453,2647,363084,1046401,592067,30047283,1321,225550,1109426,494126,1002986,7229883,10212687,4203150,1,182,1,171,4,1,0,0,472,372,slowHeaders
9,917,7,855,40,101,394,111,52,122,535,182,209,278002,1018356,495383,2141,363147,1047424,592900,30074304,1589,225598,1109462,494118,1030243,7236578,10212669,4189643,1,183,1,171,4,1,0,0,472,372,slowHeaders
3,623,2,112,52,207,511,262,52,56,60,5,1449,1663,1877,302,3317,3317,3317,0,3388,3388,3388,3388,0,0,0,0,0,3,623,2,112,1,0,0,0,164,112,slowHeaders
3,358,2,112,52,119,246,109,52,56,60,5,1481,1643,1806,229,3271,3271,3271,0,3343,3343,3343,3343,0,0,0,0,0,3,358,2,112,1,0,0,0,164,112,slowHeaders
8,768,6,803,40,96,307,87,52,133,535,196,972,5094,12210,6188,2287,2287,2287,0,31048056,1973,5061,12210,4106,1019527,7755687,10050881,4491025,1,153,1,160,4,1,0,0,412,320,slowHeaders
12,1221,6,803,40,101,307,96,52,133,535,196,481,61302,209584,86165,74310,143271,212233,97526,28389382,12257,51789,287821,105158,1003082,4671143,10042612,4259803,1,174,0,114,5,1,0,0,644,320,slowHeaders
8,846,7,855,40,105,394,117,52,122,535,182,1342,22986,65891,37156,3054,10659,18264,10755,30782667,839,17612,65891,27177,1002809,7673651,10438695,4488775,1,169,1,171,4,1,0,0,412,372,slowHeaders
8,727,6,803,40,90,246,66,52,133,535,196,1336,3752,8404,4029,5586,5586,5586,0,31037468,1761,4221,8404,3181,1015725,7754090,10695588,4545828,1,145,1,160,4,1,0,0,412,320,slowHeaders
12,1305,6,803,40,108,307,95,52,133,535,196,384,61304,209752,86253,74293,143087,211881,97289,28392419,10988,51611,287801,105230,1006103,4671856,10042554,4259048,1,186,0,114,5,1,0,0,644,320,slowHeaders
8,841,7,855,40,105,394,118,52,122,535,182,1497,36736,107110,60945,3021,33000,62980,42397,30988457,985,24244,107110,46346,1007188,7716808,10602605,4521308,1,168,1,171,4,1,0,0,412,372,slowHeaders
9,958,7,855,40,106,394,110,52,122,535,182,444,278072,1018369,495308,1959,363960,1048679,593308,30202363,1587,226278,1108939,493461,1031649,7267742,10207886,4202935,1,191,1,171,4,1,0,0,472,372,slowHeaders
