% isAttack HIGH_RATE:	1533
% isAttack LOW_RATE:	2000
@relation 'tcpFlood-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:HIGH_RATE, udpFlood:HIGH_RATE, httpFlood:HIGH_RATE, slowBody:LOW_RATE, slowHeaders:LOW_RATE, slowRead:LOW_RATE-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R2,7,21,26,30,40'

@attribute total_fvolume numeric
@attribute max_fpktl numeric
@attribute duration numeric
@attribute min_idle numeric
@attribute sflow_fpackets numeric
@attribute isAttack {HIGH_RATE,LOW_RATE}

@data
15428,148,2093595,0,240,HIGH_RATE
70396,472,5882521,0,1064,HIGH_RATE
28084,304,5111883,1233869,217,HIGH_RATE
7472,64,413847,0,117,HIGH_RATE
8888,196,1957208,0,135,HIGH_RATE
42288,256,23924324,1209537,78,HIGH_RATE
37132,256,13654923,1425199,188,HIGH_RATE
8812,88,1945248,0,137,HIGH_RATE
163436,316,6839571,0,2532,HIGH_RATE
316888,268,16182816,0,4907,HIGH_RATE
34236,232,13863327,4046057,264,HIGH_RATE
57936,1500,23618540,1343486,162,HIGH_RATE
86068,364,27660389,1351484,258,HIGH_RATE
21844,448,12313899,1426432,110,HIGH_RATE
28244,148,13650948,1430890,146,HIGH_RATE
60048,412,24096334,1358031,182,HIGH_RATE
7568,124,1815886,0,117,HIGH_RATE
23484,712,12332060,1415775,116,HIGH_RATE
22800,256,13645963,1388255,117,HIGH_RATE
412880,1252,22536417,0,6363,HIGH_RATE
33180,292,11136134,1945195,249,HIGH_RATE
344064,256,18997623,0,5335,HIGH_RATE
28492,328,13635442,1380500,144,HIGH_RATE
7008,88,2216858,0,109,HIGH_RATE
116852,640,8182388,0,1782,HIGH_RATE
341556,184,15851578,0,5296,HIGH_RATE
98948,496,7361356,0,1503,HIGH_RATE
320296,184,16508207,0,4964,HIGH_RATE
10168,196,2192291,0,155,HIGH_RATE
315980,388,16112854,0,4884,HIGH_RATE
98500,1500,7871635,0,1457,HIGH_RATE
288260,1500,16820328,0,4377,HIGH_RATE
461628,1500,24074301,0,7093,HIGH_RATE
301556,316,8228226,0,4677,HIGH_RATE
10504,184,1957728,0,161,HIGH_RATE
523000,1500,26107335,0,8051,HIGH_RATE
10272,88,307594,0,160,HIGH_RATE
189308,316,7742362,0,2934,HIGH_RATE
442532,952,23063967,0,6798,HIGH_RATE
309308,268,16185177,0,4800,HIGH_RATE
272852,316,16008049,0,4230,HIGH_RATE
154152,268,5978164,0,2395,HIGH_RATE
317236,388,16160387,0,4898,HIGH_RATE
109272,352,3163117,0,1681,HIGH_RATE
12612,148,1436020,0,196,HIGH_RATE
58388,292,7214803,1233565,453,HIGH_RATE
93672,1500,7526107,0,1375,HIGH_RATE
5332,208,231246,0,80,HIGH_RATE
18864,64,589402,0,295,HIGH_RATE
105896,640,8598202,0,1599,HIGH_RATE
24024,220,11513864,1421102,122,HIGH_RATE
35844,352,11503336,1680304,181,HIGH_RATE
46828,1500,13354835,1944335,331,HIGH_RATE
70700,292,5882485,0,1068,HIGH_RATE
587336,280,27652818,0,9105,HIGH_RATE
30044,136,13011565,3894781,232,HIGH_RATE
96136,520,7681749,0,1460,HIGH_RATE
29360,220,11505934,1945002,220,HIGH_RATE
9620,76,1898651,0,150,HIGH_RATE
56412,340,6445218,0,838,HIGH_RATE
101588,1500,7821773,0,1509,HIGH_RATE
17460,460,10908228,1428963,86,HIGH_RATE
137220,1500,8351802,0,2053,HIGH_RATE
16092,172,1440708,0,250,HIGH_RATE
405980,436,22034403,0,6282,HIGH_RATE
17888,160,5058117,0,273,HIGH_RATE
177560,304,7355223,0,2754,HIGH_RATE
54200,316,2432506,0,834,HIGH_RATE
104252,1500,7173703,0,1551,HIGH_RATE
62800,292,25894177,1348934,191,HIGH_RATE
114068,652,8326135,0,1734,HIGH_RATE
632604,1500,29197627,0,9760,HIGH_RATE
7780,124,1825733,0,119,HIGH_RATE
55804,496,5923039,1036328,417,HIGH_RATE
10100,208,2291371,0,153,HIGH_RATE
73448,472,5874498,0,1110,HIGH_RATE
